,노선ID,노선명,상하행,노선길이,굴곡도합계,셀개수,굴곡도
100,28030014,103,하행,35.06007199999999,6816.155807354024,3403,2.002984368896275
101,28030020,103-1,상행,41.996706,4749.348091098914,2926,1.6231538247091297
102,28030020,103-1,하행,38.529292999999996,3993.98532382415,2628,1.5197813256560693
103,28032032,1(강화),상행,49.965914,14661.455031638323,6216,2.358663936878752
104,28032033,6(강화),상행,77.636999,28521.43296304418,10294,2.7706851528117524
105,28032034,3(강화),상행,55.838004000000005,22439.840544956067,7021,3.1961031968317997
106,28032035,4(강화),상행,55.85100300000003,23221.83684021944,7021,3.307482814445156
107,28032036,10(강화),상행,7.367738000000001,141.25822969046212,136,1.038663453606339
108,28032036,10(강화),하행,6.374212999999999,125.04583235054812,120,1.0420486029212344
109,28032037,11(강화),상행,5.145478,62.05667626950194,55,1.1283032049000352
110,28032037,11(강화),하행,4.378569000000001,46.375420356026744,45,1.0305648968005943
111,28032038,12(강화),상행,12.818141,1018.3166395569593,595,1.71145653707052
112,28032039,13(강화),상행,14.305997999999999,1716.8433108949268,738,2.326345949722123
113,28032040,14(강화),상행,10.903861,959.2111146485607,378,2.537595541398309
114,28032041,15(강화),상행,9.405001999999996,496.802753884047,300,1.65600917961349
115,28032043,17(강화),상행,7.084906999999999,153.5864022693853,153,1.0038326945711458
116,28032043,17(강화),하행,7.303093,199.49447081735536,190,1.0499708990387124
117,28032044,20(강화),상행,9.194175999999999,153.9563596467279,153,1.0062507166452803
118,28032044,20(강화),하행,10.216687999999998,402.32267855719,351,1.1462184574278917
119,28032045,21(강화),상행,11.877679,407.9242537531383,351,1.162177361120052
120,28032045,21(강화),하행,7.537182000000002,153.2147146329159,153,1.0014033636138293
121,28032047,23(강화),상행,13.64782,424.6956338915872,378,1.123533422993617
122,28032047,23(강화),하행,12.354045999999997,385.83834497843077,351,1.0992545440980934
123,28032048,24(강화),상행,25.633327000000005,2036.4757201390637,1653,1.2319877314815872
124,28032048,24(강화),하행,15.153534999999994,496.1347780962897,496,1.000271730032842
125,28032049,25(강화),상행,15.936326999999999,528.8420835424489,528,1.001594855194032
126,28032049,25(강화),하행,24.861532999999998,2038.0514755783806,1653,1.2329410015598188
127,28032050,26(강화),상행,16.759372000000003,466.86454643479095,465,1.0040097772791203
128,28032050,26(강화),하행,15.293490999999996,630.7318339493082,630,1.0011616411893782
129,28032051,27(강화),상행,16.307861999999997,667.0158903190033,666,1.0015253608393444
130,28032051,27(강화),하행,15.724001999999999,466.17355051379474,465,1.0025237645457952
131,28032052,30(강화),상행,22.296144,1334.1109966678516,1225,1.0890702013615114
132,28032052,30(강화),하행,20.406720000000004,1276.8369104613362,1176,1.0857456721610002
133,28032053,31A(강화),상행,38.614769,4214.197134207002,2850,1.4786656611252638
134,28032053,31A(강화),하행,16.263233,791.9795008624192,780,1.015358334438999
135,28032054,32(강화),상행,16.802578999999998,862.5301027860664,861,1.0017771228641887
136,28032054,32(강화),하행,16.082284999999995,820.3887634417898,820,1.0004741017582803
137,28032055,33(강화),상행,15.434971000000003,595.662673392526,595,1.0011137367941614
138,28032055,33(강화),하행,14.830892999999996,561.4510865639434,561,1.0008040758715568
139,28032056,34(강화),상행,15.434971000000003,595.662673392526,595,1.0011137367941614
140,28032056,34(강화),하행,17.27189,718.1804513008392,703,1.0215938140836973
141,28032058,49(강화),상행,29.100084999999993,1861.3587680832313,1596,1.1662648922827263
142,28032058,49(강화),하행,28.323778999999995,1718.486455869343,1485,1.1572299366123522
143,28032059,37(강화),상행,21.40405,1447.8956926798191,1326,1.0919273700451124
144,28032059,37(강화),하행,22.026951999999998,1388.645123331397,1275,1.0891334300638407
145,28032060,40(강화),상행,16.408830000000002,703.5559967040359,703,1.0007908914708903
146,28032060,40(강화),하행,17.762173999999995,832.5220583530315,820,1.0152708028695507
147,28032061,41(강화),상행,24.489761000000005,1416.3758631961934,1378,1.0278489573267007
148,28032061,41(강화),하행,25.644244000000004,1593.7228966893085,1540,1.0348849978502004
149,28032062,42(강화),상행,22.278667,1045.9313814408918,946,1.1056357097683844
150,28032062,42(강화),하행,23.82333200000001,1196.547803314123,1081,1.1068897347956734
151,28032063,43(강화),상행,25.79383,2236.3888417889016,1830,1.2220704053491265
152,28032063,43(강화),하행,27.115171000000004,2388.9561974063495,1953,1.2232238593990525
153,28032064,44(강화),상행,22.980830000000005,1263.0759520446518,1081,1.168432888107911
154,28032064,44(강화),하행,24.30317100000001,1429.6383092655092,1225,1.1670516810330687
