순번_정류장ID,61-2806621,62-2806503,63-2806507,64-2802175,65-2801848,66-2802172,67-2802162,68-2802153,69-2801846,70-2802103,71-2802052,72-2801847,73-2801990,74-2801952,75-2801805,76-2801799,77-2801777,78-2801772,79-2801770,80-2801762,81-2800774,82-2800762,83-2800757,84-2800769,85-2800766,86-2800748,87-2800721,88-2800703,89-2800699,90-2800693,91-2800683,92-2800676,93-2800667,94-2800657,95-2800340,96-2800624,97-2800619,98-2806215,99-2807461,100-2806729,101-2806731,102-2805743,103-2804896,104-2805564,105-2804968,106-2804905,107-2805413,108-2805842,109-2805498,110-2805576,111-2805225,112-2805227,113-2805742,114-2805229,115-2805231,116-2807633
71-2802052,,,,,,,,,,,0,1.0216304546080575,0.9883407994038698,1.0064462293660525,1.007189928404489,1.0048998747047515,1.006957970447879,1.005636059065242,1.0050072636898064,1.0114061139594284,1.0387281972266518,1.0371234308001316,1.034683342885662,1.0651348183453913,1.181739939001414,1.1732561272385402,1.177264326378894,1.1734954846403685,1.162384078558352,1.1568522214607582,1.148820045747386,1.180013834682237,1.1723472674572046,1.1685549516861329,1.1622627886879169,1.152464432769434,1.1476297486273814,1.181950036746659,1.1906741455700316,1.183945170367743,1.1768615686728048,1.1737791585387645,1.1714014672412032,1.1652193637031039,1.1594223374454673,1.1555651435738257,1.1684484306750578,1.1917572507477519,1.1876666776961882,1.1837776416511125,1.20506450477632,1.2843558229596284,1.3209450315776838,1.3614040490274808,1.4237012809368228,1.7387700348270445
72-2801847,,,,,,,,,,,,0,0.9593425549438077,1.0013720338940886,1.0042318666420633,1.0022084202609385,1.0052263583831282,1.0039392331905181,1.0035078186237798,1.0105812049593785,1.0399200597216776,1.0381189677078628,1.0354524884495862,1.0676387091964195,1.1908009430393132,1.181169922140281,1.1851003414151342,1.1808303072370845,1.168721454146636,1.16271983863371,1.1540238098392739,1.186083905212428,1.1778705376033904,1.1735176962256757,1.1672719315468651,1.156709838345652,1.151592292649612,1.1867412619152256,1.195541629785134,1.188215596744945,1.1809012997139998,1.1776135625871285,1.1750932209299336,1.1687532545506798,1.1626995439424797,1.1584673037289985,1.1718146873361666,1.1955530101589507,1.1910900322408788,1.1872143334002883,1.2088847196363055,1.2902712476383875,1.3274518095292915,1.369179187362004,1.4329021678479885,1.756035861804436
73-2801990,,,,,,,,,,,,,0,1.027531230449436,1.0180325858636414,1.0119171513410654,1.0124170452351189,1.0101250120316323,1.008610351528475,1.0158110550621624,1.046928871529658,1.0446623428518735,1.0409745319518635,1.0755467967726808,1.2068823120848682,1.196009394176276,1.198949422038904,1.1938311494274312,1.1801334355782138,1.1733818346491345,1.1636182657009069,1.196050843021844,1.187678230649387,1.1824317385059429,1.1757548096292492,1.1643770385610377,1.1586839489088856,1.1945966943755817,1.203532930699915,1.195797198028106,1.1876053562193367,1.184001873105234,1.181376136237665,1.174443229771467,1.168332418889154,1.1636202881624333,1.1775888692172156,1.2019670426749813,1.1971319801977067,1.1928970631948255,1.2154509347307882,1.2991100977784202,1.337201915258955,1.3805981472028226,1.4462936136112836,1.7791732910112807
74-2801952,,,,,,,,,,,,,,0,1.0087614912069858,1.0029847954404796,1.0080153320239493,1.0057152089766248,1.0047594741887929,1.0139132632065895,1.0504250464338507,1.0471771217056347,1.043026156109858,1.0814264576589616,1.2297312551159998,1.2164937584144282,1.217961352224113,1.2114026768500976,1.195011198610717,1.1870175648358696,1.1755244984648592,1.2090953470370955,1.1989243458670513,1.1940506191200808,1.1859535593780015,1.1728293229984728,1.1667796757124147,1.2044144367551417,1.2130625389633862,1.2045356402476988,1.1960622973241268,1.1918673493652248,1.1889276234273778,1.181639756913436,1.1745492090137544,1.169747288800945,1.1840880105439286,1.209552729340433,1.204629014753782,1.1999005582185125,1.2231497459011478,1.310627075714338,1.351087414920185,1.3964721940126839,1.465686082131295,1.8151532994090207
75-2801805,,,,,,,,,,,,,,,0,0.9948060497525761,1.0076224130275098,1.0044470544620638,1.0035396061752735,1.0152094760558072,1.0587459899055598,1.0539748580544799,1.0483828641443254,1.0927411891742387,1.262384754305073,1.2447711959001988,1.244353390476119,1.2356035454367913,1.2153224189819216,1.2055628458177192,1.191635233856491,1.2269720988999364,1.2146075153684635,1.2087365913158463,1.1992098504317068,1.1844958749296464,1.1776019611590598,1.2172531672140319,1.2262021617710095,1.216482041825612,1.206745172649981,1.2021931593627333,1.198840882679515,1.1905922645159246,1.1831456727768828,1.177391979921596,1.1924754334434813,1.219279460241715,1.2136491742348121,1.2086513154999252,1.233022370048143,1.3251300443762242,1.3676753619351814,1.4154817338971053,1.4887546497521924,1.8567318561970074
76-2801799,,,,,,,,,,,,,,,,0,1.0135378495779832,1.007292222712187,1.005166468730858,1.0190053018435956,1.0687571116875507,1.0620030587129512,1.0546679117754152,1.1040886005220625,1.29272702878567,1.2713223690773365,1.2684184811830337,1.2574633729276683,1.2334381025636847,1.222007626361376,1.205803151560207,1.1821843457782728,1.1725178589284884,1.167354514460613,1.159711045718645,1.147672015696247,1.1420931209322174,1.1751295867837612,1.194380687905792,1.1860484938887959,1.177555860445567,1.1740226059467613,1.1712231855102553,1.1638867920584248,1.1574294779897072,1.152489654811661,1.1505860214671597,1.1668263019077072,1.1627703723973746,1.1592444473336365,1.1829502024505858,1.2717304921071428,1.3123681110262415,1.358400665595387,1.4288513409189552,1.7886063143909319
77-2801777,,,,,,,,,,,,,,,,,0,0.9924617999263802,0.9979281009683595,1.0221515112105537,1.0899823838644058,1.0774340163172635,1.0655931887096448,1.1265784159598657,1.3612151825812073,1.3282652177521894,1.318935682561349,1.3024741776122593,1.2695704578211784,1.2542978711230008,1.232979504798562,1.2015968964705996,1.1896919535768924,1.183456700637475,1.1744613598084361,1.160082910738204,1.1533310187593153,1.1885582279605162,1.208695157556938,1.199080914528731,1.1895024432197647,1.185258567159478,1.181967199483476,1.1738713398411476,1.1664708865502582,1.1611444173455308,1.1585992442221282,1.1532342092913093,1.1493965372026207,1.1446091042635014,1.168922237763123,1.2603744573354982,1.3023123938250858,1.3497538286628692,1.4226902094482576,1.780840693781516
78-2801772,,,,,,,,,,,,,,,,,,0,0.9965886993969947,1.0290727832002808,1.1071421558928414,1.0892702594176926,1.073745264684897,1.1420701538737856,1.4030668867951328,1.3624672258394883,1.3477068248217583,1.327719260759921,1.2894205856552432,1.271874498999159,1.2475842089538483,1.211892985498048,1.1989870608793611,1.1919459183085477,1.1821281195809163,1.1665088406885635,1.1593984425396828,1.1953305469366056,1.2159044733763487,1.2056370816899633,1.1952934291986559,1.190549298916613,1.1871534471152214,1.1786299645328373,1.1707022384283463,1.1650858550935943,1.1627371445726808,1.1569034833119056,1.1527621051189614,1.1477544969392373,1.1727683491263206,1.2664855918315943,1.3099636750180925,1.3586432351309983,1.4337795909790194,1.8021163985378765
79-2801770,,,,,,,,,,,,,,,,,,,0,1.0703928573456998,1.163655515650339,1.1237734770170829,1.0955979384246313,1.180627586072235,1.505956814367332,1.4435791406518734,1.4144020246817457,1.3851009724881453,1.333302331618872,1.3102460309606543,1.2789130261530688,1.2335707749663352,1.217708092847222,1.2096230046822978,1.198011486442433,1.1797158392245097,1.1712898900999273,1.2088281079543552,1.2301914748832197,1.218749274180972,1.2071247755873684,1.2016124848363188,1.1977100843769966,1.1883090623880344,1.1796787638564472,1.1734515597973108,1.1706735269600097,1.164469879058099,1.1599226776284979,1.1544559764890643,1.1805021381758738,1.2787983520429376,1.3242636961332181,1.3756919046849618,1.4550587974503353,1.8419369379561732
80-2801762,,,,,,,,,,,,,,,,,,,,0,0.9891804373688915,0.9984560317148284,1.0005579269912679,1.03749154606792,1.3955861569213257,1.3435649645276766,1.3878621977336327,1.3582978561009533,1.3061747512930808,1.283408726603647,1.2529590449441714,1.2104906228814638,1.1955425113744926,1.1878864279321364,1.176996566813316,1.1600015073486802,1.1521930386620054,1.192634650311226,1.2154090407818876,1.2041786802117382,1.1929691126256337,1.187912565254152,1.184308175185558,1.1752126783135723,1.166830305461631,1.1609465957399687,1.1582774184523352,1.1524020451366364,1.1481122888922852,1.1430477299298996,1.1695713214785852,1.2697949289119759,1.316157674481336,1.3685078534820685,1.449620581362721,1.8350345302938182
