순번_정류장ID,81-2803661,82-2801697,83-2801724,84-2801915,85-2801926,86-2801922,87-2801940,88-2801950,89-2801961,90-2801987,91-2802006,92-2802016,93-2802028,94-2806611,95-2802047,96-2802054,97-2802064,98-2802092,99-2802106,100-2802113,101-2802122,102-2802720,103-2802724,104-2802732,105-2802755,106-2802776,107-2802800,108-2802815,109-2802852,110-2802888,111-2802912,112-2802949,113-2802967,114-2802963,115-2802956,116-2802984,117-2803020,118-2802390,119-2802452,120-2802470,121-2802465,122-2802473,123-2802495,124-2802517,125-2802506,126-2802489,127-2802499,128-2802369,129-2802529,130-2802539,131-2802558,132-2802569,133-2802560,134-2802555,135-2802556,136-2802566,137-2802366,138-2802349,139-2802577,140-2802581,141-2804851,142-2802597,143-2802594,144-2802591,145-2802590,146-2802593,147-2802600,148-2802601,149-2802604,150-2802348,151-2804908,152-2803767,153-2804877,154-2803768,155-2803522
91-2802006,,,,,,,,,,,0,0.9995794873075948,1.0075930794550565,1.005250592734265,1.0025849986298287,1.0037729558777555,1.003746239027677,1.0039474083106528,1.0011787838319801,1.0025907893560753,1.0024423685506496,1.0029103868396323,1.0047427429199252,1.0034967960338181,1.0036449768940816,1.0020708855354705,1.0185734064452665,1.0193497538296263,1.052979817425961,1.0523525169944303,1.05065054286418,1.0484380589886035,1.0456333881893438,1.0422480396225393,1.0423139168747475,1.0445727362860895,1.075681308206751,1.0788975758552926,1.1253463204515906,1.2090670328173967,1.2780515383614799,1.30704088029017,1.298776777875214,1.293260465321612,1.2997042536831747,1.3352777825053468,1.3222918073061414,1.3183827408768034,1.323918858066,1.3277778570790828,1.3519669459531367,1.5039289258388842,1.6780804997410221,1.7253075164183942,1.7030872732142213,1.7820732322766042,1.7584236811422298,1.8247981492806333,1.8879140765005347,1.8960933459139595,1.9128991814810197,1.7871331122648186,1.7718225677797579,1.7597727882302308,1.7935168163982111,1.805217622784953,1.7950137247340126,1.7844611146671323,1.7702476785126353,1.7561655617099838,1.7181364695475023,1.8072317322450562,1.768481430637027,1.7413616102319218,1.7519171756881806
92-2802016,,,,,,,,,,,,0,1.0100086917586324,1.0057382377028516,1.0022753868874625,1.0037755867398443,1.003745047299619,1.0039685493865744,1.0009459586627782,1.002491526100751,1.0023379778994608,1.002848139228999,1.0048084940564233,1.003481219437904,1.0034122781968382,1.0019874523469237,1.0192483329419135,1.02001600079468,1.0547648532883873,1.0541866984808568,1.0525110304545198,1.049991279399325,1.047022880769147,1.043442758683698,1.043461867047816,1.045845405496309,1.0776615460690908,1.0808624375049958,1.1283661372986833,1.2143721722145637,1.2853648349073457,1.3150973389348743,1.3063923756091327,1.3005835156202739,1.3070691533199301,1.3435101126007878,1.3298906310184706,1.3256313507385145,1.3313597899119285,1.3351732870967217,1.3596625646410454,1.5157138246903161,1.695280038510051,1.7438380085169822,1.7203045454858925,1.8015392806958435,1.7765298943831571,1.8451162712258269,1.9102947996319637,1.9185707717093883,1.9351924470812816,1.8034714685252629,1.7876707270845997,1.7749660991552407,1.8097023871032643,1.821498563938721,1.8108812540909738,1.7999055949351115,1.7849402838711184,1.7703083893424378,1.7309935333573119,1.8219564827958112,1.7817183645032533,1.7537808963208181,1.764219131648472
93-2802028,,,,,,,,,,,,,0,1.0011576034784573,0.9967020247063514,1.001210302196314,1.001863777403142,1.002662683650291,0.9994272663573259,1.001313816523563,1.0012328421563739,1.001904050178303,1.0041915540841404,1.0027879866324274,1.0030415771945922,1.0015290447844567,1.0199685983647906,1.0209398851961986,1.057973410734093,1.0571797939096308,1.0551081204614512,1.052488387729072,1.0489272823299665,1.0451754988248574,1.0452579450666242,1.0475226369450579,1.0806230167718252,1.083633587510972,1.1332237190588308,1.2231131198678786,1.2975337036139902,1.328528372394174,1.3190559446461734,1.3127386276006296,1.3192864374322562,1.3571953767718659,1.3424801723522213,1.3378339530977648,1.343669302525628,1.3473968688364872,1.372374982619584,1.5353626195627637,1.7238858178750052,1.7747023939096147,1.7491916366826523,1.8342625774625698,1.807188852900788,1.8792619125055736,1.94798306788558,1.9564125246881978,1.9726626899673276,1.8310768066218779,1.8138426066139217,1.8005866110568087,1.83659233722332,1.8485375025779873,1.8372129596144766,1.8253586153363675,1.8096552043150047,1.794075365706978,1.7521968509853167,1.8462840886519019,1.8037400078242531,1.7742055735701545,1.7847647269022486
94-2806611,,,,,,,,,,,,,,0,0.987570163763671,1.001243120637209,1.00213848884515,1.0030422042535223,0.999106761833837,1.0013405440918237,1.0012445196219992,1.0020083374513755,1.0049218541854565,1.002656026428099,1.002950458274757,1.0013168454376729,1.0216700363455806,1.0223808462207336,1.0615897876382985,1.060721577823135,1.058188534606223,1.055275030464938,1.0517025434086518,1.0474117070951319,1.0472545753424358,1.0496395142269064,1.084297412807897,1.0868927178468284,1.1384814599997302,1.2323371870493551,1.3102773813937711,1.3425485371944068,1.3322527073180364,1.3253912920051376,1.3319789053025346,1.3713668828016268,1.35548944065785,1.350573785447761,1.3563619558095703,1.3599801140619647,1.3854072831455044,1.5554534521282053,1.753169860017298,1.8060842985327374,1.7786903973233426,1.867469819484831,1.8384291097678793,1.9140835072507911,1.9864613750690896,1.9950282553970144,2.010808778149547,1.8587444906449808,1.8406884582215353,1.8262078348977335,1.8634765073415511,1.875721828163369,1.8635010028296493,1.8510606638512854,1.8342931855411893,1.8177430545869684,1.7733823727350282,1.8705851349577347,1.825830440387951,1.7946626906135534,1.805068992502643
95-2802047,,,,,,,,,,,,,,,0,0.9996365186002206,1.00147843909236,1.0027699909263115,0.9985307065120695,1.0010114479914707,1.0009412009781293,1.0017914284816754,1.0045402980880753,1.0025247050362447,1.0031354018153729,1.0011571414919984,1.0150790890715733,1.016080005706348,1.063472776660299,1.062462905936081,1.059961497163786,1.0568796343664846,1.0529598222485597,1.0483158063240114,1.0482604189020688,1.0504997009345156,1.0860269134477827,1.0884738697863194,1.1273844823116104,1.221313140972713,1.299626264138976,1.3320288835830378,1.3221380134301328,1.3152961094243878,1.3221087499994328,1.3618000179732876,1.3462233662019856,1.3414447499659388,1.3475020761258798,1.3513160970239846,1.3770642120393597,1.5476535376978549,1.7463944305063692,1.7998571023511674,1.772081416913531,1.8615954187231851,1.8327516662541032,1.9083962235429832,1.9813863716671165,1.989814113667291,2.005856130276349,1.8536395369260883,1.8355885958673497,1.8209495646764648,1.8588881278902083,1.8710780973273968,1.859018462081993,1.8464080361302864,1.8296545986080208,1.8128032665614602,1.7684959782156058,1.8662463251671482,1.8213450012201475,1.7902078741367176,1.8008587153196076
96-2802054,,,,,,,,,,,,,,,,0,1.003628638148692,0.9994720585178941,0.9952390282422479,0.9987165562253998,0.998912812449957,1.0001861540172037,1.0036364656499526,1.0014496864028142,1.0019793657981686,1.0001971876186515,1.0153515170476715,1.016891205858279,1.0677524861709462,1.0665947221639889,1.0637059259828678,1.0600240321867194,1.0558466255156427,1.0508558673789907,1.050362027830936,1.0528825052111725,1.090102994338722,1.0921752719274473,1.1328897295593234,1.2318252442619657,1.3143434137732068,1.3483196908698152,1.3374189417559874,1.3300575684267977,1.3369181851743979,1.3782716108475246,1.3614173983316666,1.3561379087050849,1.3621613316328751,1.3658405847148838,1.3921256824013677,1.5713623067284235,1.7813035788660387,1.8378438427185462,1.8074015500456384,1.9017790730912019,1.870202615082505,1.9502773873545358,2.02786065204761,2.036669752780484,2.051797885461671,1.886792181809865,1.8671298508669858,1.8513627953917513,1.8908913814456454,1.9030436639628687,1.8902621747967376,1.8767238707411436,1.8584920946062335,1.8407615954064738,1.793409510751263,1.8947666466633832,1.8472962062305491,1.8138912848285864,1.8246449207238737
97-2802064,,,,,,,,,,,,,,,,,0,0.9966053668302765,0.9923882953759021,0.99727397496904,0.9977412654874528,0.999459548268825,1.004155554753148,1.0015605972933526,1.0021365713015224,1.0001432570651068,1.016731083913125,1.018027964966414,1.0732629471810555,1.0711772360286145,1.0678510460234147,1.0639049199697266,1.0592417163772652,1.0536904362807606,1.0531891393291306,1.0554933413800571,1.0942960953926675,1.0960671444372583,1.1383457526595904,1.2419236848222397,1.328621532746696,1.364269337529516,1.3521725313131885,1.3441396011327678,1.3510194449665127,1.3942519148675523,1.3758149465840157,1.3698827060387677,1.3761524211836067,1.379677981023183,1.406568991703733,1.5938743870250343,1.8147667278128505,1.8738179213756652,1.8411970623259515,1.9402425684017914,1.9054954004101856,1.9903026497161973,2.072082693126271,2.08101273486674,2.095623557979782,1.9173222956050682,1.8962837564744357,1.8798046385277187,1.920803181139671,1.9332447518602214,1.91941541064507,1.9049852289652478,1.8856578450937835,1.8666120987218349,1.8165206987236122,1.9213725318752917,1.8708725300405786,1.8360310963001425,1.8463037355084624
98-2802092,,,,,,,,,,,,,,,,,,0,0.9882908892769714,0.99776833824269,0.9983796596148908,1.000718273153851,1.0067478702424328,1.002358214740846,1.0028943913321697,1.0004218219600511,1.0096274813274715,1.0115076796837161,1.082521492636337,1.080231921775698,1.075288435426322,1.070709101781085,1.0649414593763549,1.0585795347943685,1.0575852392558325,1.0600849224156843,1.1016837631531835,1.1025859585379965,1.0969259317249607,1.189294282183839,1.274816386432846,1.311059471687868,1.300834717825463,1.2939694374764557,1.3018873559659094,1.3456489929205304,1.329168247485281,1.3484526382937265,1.3387960221493171,1.3354453073316686,1.3641973962157063,1.5497905500400668,1.7689563322240494,1.8281624487520625,1.796756378904019,1.8296315298875192,1.7997520694589002,1.8797507118564631,1.9564229134643814,1.9657725211791421,1.9835449972360228,1.8269755586725045,1.8084356157724235,1.8247019134722502,1.8857587881791988,1.8986469778071478,1.885231778921624,1.871236285800952,1.8524358235624976,1.834003011505173,1.7853714160120726,1.8905594142214817,1.8413677422923447,1.8073976354892063,1.8184584673113877
99-2802106,,,,,,,,,,,,,,,,,,,0,1.0283894092241834,1.0122965113921176,1.0110544439516866,1.0114199261772303,1.0047669668738006,1.004817405078159,1.0014173437712,1.0118126301886397,1.0140913761016808,1.095849532084528,1.0914686277174575,1.085702928329298,1.0796198068691756,1.072806053173317,1.0648252871724537,1.063554207034502,1.0654409370002078,1.1105241219836148,1.1100701623381135,1.1037809822392985,1.2029863489232633,1.2953922650418899,1.3341993280945004,1.3222220808404899,1.3143306235055598,1.3223601530073132,1.3690055865921789,1.3504763958190862,1.3709422940042026,1.3603105116118792,1.3559792512931483,1.3855937871944142,1.5848553056782717,1.8223446040014482,1.886168834953121,1.8503123057051742,1.7995077943869067,1.770439328742932,1.7872595305059995,1.8601291849137975,1.8698460277222888,1.8901995162092728,1.7507965139979262,1.811656198750707,1.867575034541142,1.9328818574827054,1.9459407057350426,1.9310965456661353,1.9158276583076568,1.8949389810203865,1.8748031235489089,1.82144048178614,1.9319568211730411,1.8783475438014103,1.8413617961905648,1.8523330787655925
100-2802113,,,,,,,,,,,,,,,,,,,,0,1.0003066761028545,1.0050437291537204,1.0066951767583001,1.0006786504009304,1.0019190904124573,0.9988384123170462,1.010369451740744,1.0129482332785917,1.0984873969491042,1.093667102802206,1.0875152948800182,1.0813376929965661,1.0741536955626396,1.06556393312282,1.0644120829658885,1.0662816031356932,1.11253801483795,1.1116179734336242,1.105111351368555,1.2067611916475018,1.3014919460822365,1.3411733708636475,1.3286667228041924,1.3204321739919531,1.3285042042863138,1.376126548666916,1.356860311917109,1.3777242138881751,1.3663745897471256,1.3621162145452443,1.392027974334019,1.5956026148109779,1.8394950045287188,1.9048868830785546,1.8674986684434196,1.8143785722177888,1.7844228490600087,1.8014148525340903,1.8760688884790873,1.8858822563115276,1.906122133227404,1.7618187744718865,1.8240677732735642,1.8809516637496306,1.9478710079071113,1.9609823519477163,1.9454572509060284,1.9297071884677741,1.9081298033767082,1.8871966016715582,1.8324742611844922,1.9448326440903663,1.8899424806480025,1.8519644036338418,1.8627514589676633
