순번_정류장ID,1-2805529,2-2805760,3-2805761,4-2805339,5-2805228,6-2805226,7-2805575,8-2805499,9-2805408,10-2804947,11-2804969,12-2805568,13-2804895,14-2805744,15-2806419,16-2803673,17-2804967,18-2806938,19-2803492,20-2807073,21-2807056,22-2800799,23-2800804,24-2803056,25-2802651,26-2802638,27-2803042,28-2803043,29-2803115,30-2803134,31-2803133,32-2803125,33-2803232,34-2803181,35-2803260,36-2803270,37-2803269,38-2803267,39-2806495,40-2802802,41-2802810,42-2807483,43-2802850,44-2802858,45-2802886,46-2802934,47-2802984,48-2803020,49-2802429,50-2802467,51-2806673,52-2802469,53-2802465,54-2802463,55-2802460,56-2802450,57-2802455,58-2802476,59-2802513,60-2802490,61-2802458,62-2802446,63-2802466,64-2806692,65-2805389,66-2802541,67-2802547,68-2802552,69-2802566,70-2802366,71-2802585,72-2802374
11-2804969,,,,,,,,,,,0,0.9929054802036908,1.0040557351878105,1.0008703540538944,0.9988440902421726,1.0032222227402796,0.997998123614373,1.000875624913672,1.001275467091136,1.001477577479684,0.9972146357772883,1.0019161270411074,1.0009798907595686,1.0001141984981614,1.0015126166588504,1.0009613096257295,1.002587293556015,1.0053557939216853,1.057239180641279,1.053231290743475,1.1422976443107855,1.1968700611428162,1.1858305683839911,1.180939183215345,1.1735966663505861,1.1644396968894668,1.1673519068956133,1.2492461851902472,1.2584964929213152,1.2994890784682707,1.3338132617812641,1.3249634188763835,1.3137091994517212,1.3036526616191275,1.3113926917905925,1.2997043700266901,1.2957274673170185,1.2810846257531767,1.2606671519925106,1.2486784769270545,1.2453294244596762,1.2565556753922889,1.2540136346877342,1.250216757468994,1.2468915459193548,1.2397604242783786,1.291788958074106,1.2935262450684881,1.3059535645830695,1.3295868662603127,1.3288478880379557,1.3206008511589005,1.3416922164771408,1.3384314148397187,1.3946669275073758,1.3905179207090912,1.3859274128624943,1.3817969692336178,1.3806479920055874,1.3738737689938896,1.3671207693639007,1.363008256474546
12-2805568,,,,,,,,,,,,0,1.0195860838895912,1.0045952044657778,1.000567237560068,1.0049107604273955,0.9987637414819546,1.0015221202595297,1.0018863259748938,1.0020754037686475,0.9973809009725834,1.0026346821690277,1.0015954710345685,1.0006289496231973,1.002079093975745,1.0016267273072077,1.0031648018112307,1.0060636385142157,1.0610575011964503,1.0564719229848876,1.1506461051326906,1.208113474447196,1.195879107001552,1.1904325087826622,1.1823045765769777,1.1722897940744161,1.1753152360874408,1.261099518790409,1.2706707774032227,1.313651325436628,1.3495254297597,1.3397664082407899,1.327565702356105,1.3165283055815382,1.3245232032458005,1.3117920718523866,1.307274554745743,1.2916995636980955,1.2697510348756544,1.2569926724340894,1.253324005199324,1.2647208675326505,1.2621027534233433,1.257981723173317,1.2544196046349534,1.2468716498055805,1.3005090467077625,1.3020371292091848,1.3145712836762409,1.338950356299782,1.3378737890696393,1.329096186192198,1.3508002162470596,1.347278904409619,1.4053305214709713,1.400710198190772,1.3961465548142276,1.391543671514594,1.3902203264847848,1.3832686845475546,1.3762620583739011,1.3717845874849917
13-2804895,,,,,,,,,,,,,0,0.9953320265262667,0.9938074004647532,1.0016431584333727,0.9958406186694603,0.9998773023736497,1.0002138152332838,1.0005133287336136,0.995675494708725,1.0011974149027374,1.0003595854656837,0.999423573611805,1.0008778825625528,1.0006071111866572,1.0022797880534848,1.005344759447317,1.0152745015517166,1.0135342704329278,1.1056356201658308,1.1636557000512255,1.1536171882669477,1.1499519348890688,1.143235419028175,1.1354642367031391,1.1391532289580713,1.2234933370017174,1.2377265802115933,1.30991921005386,1.3467559550400563,1.3368677633582131,1.3244905326354026,1.313314816441831,1.3214243992579222,1.3084577623901403,1.304173201954978,1.2883344918380348,1.2661825904113169,1.253371636455974,1.2499873372566408,1.2617344490489255,1.258732180018631,1.2546913551574987,1.2511355949283802,1.2500288091370277,1.3062039874883282,1.308022746441152,1.320428416294962,1.3453639107398165,1.3440152017024027,1.3351698644844565,1.3570996666737558,1.3536201117840405,1.412730452646896,1.4080689713958416,1.4028922942896225,1.3983037695835656,1.3969394143471623,1.3895705328767307,1.3824074683536043,1.3779389217587898
14-2805744,,,,,,,,,,,,,,0,0.9921483774661558,1.005176230431728,0.9949399451383525,1.0001332299250787,1.0008093976053585,1.0011208995940788,0.9954708673501751,1.0017678266650811,1.0005725375244336,0.9995087873941426,1.0014822055144315,1.0008048766493332,1.0026257537692989,1.0061101543960564,1.0010670975708287,0.9998276283111505,1.0000917459928014,1.0568253692146254,1.0617068832503662,1.0623008308341972,1.0581059542697144,1.0671275957903787,1.1192912470761591,1.206690347348256,1.2544388834341234,1.3321966972983441,1.3717083935530958,1.360402571099498,1.346399165970168,1.3337639710352966,1.341690611745703,1.3272393111904615,1.321862547365424,1.304425532869774,1.2798887514534103,1.2659425587605044,1.2620033010807512,1.2739161480241554,1.2708271399004012,1.2663175722910998,1.262479371743919,1.2612328081310125,1.3202194969840584,1.3215381502122496,1.333959026109873,1.3598979261853907,1.3582069758281181,1.3485397241480874,1.3713855964665655,1.3674374374906895,1.429442818752351,1.4240979526330935,1.418620375345258,1.4136749972484621,1.4119272815901198,1.4041725224786437,1.396214550930061,1.391498451386058
15-2806419,,,,,,,,,,,,,,,0,1.01702418693286,0.996825484976589,1.0026273025660082,1.002989291900748,1.0031839759987988,0.996311721070831,1.0034180744750067,1.001961467355739,1.0006488551706032,1.0025225468892314,1.0017276572528682,1.0036551076941698,1.0074021896052876,1.0019994328753856,1.000447540863153,1.0009799766626724,1.0613988282935574,1.0666844001650742,1.0669499825486275,1.0624565813963387,1.0719980635953008,1.1275535559835044,1.2213853881441903,1.2723616718817086,1.3558998149358081,1.398608798659898,1.3856800277845005,1.3698410750178005,1.3552491770029442,1.3635095048665797,1.3469549638628062,1.3410483614805726,1.3213070847047972,1.2942905857181668,1.2790103253310106,1.2743574776470779,1.2866087281717242,1.2834336989222086,1.2785212539986748,1.274077400712591,1.2723868665520024,1.3345224321968416,1.3355893502564609,1.3474696221378408,1.3747042963617153,1.3726431527160567,1.3622060054943401,1.38568077984748,1.3818083561455143,1.4462687984972098,1.440197435203648,1.434609833575875,1.4290994547480576,1.427225401144809,1.4186156603518347,1.410186299253521,1.4052179390643023
16-2803673,,,,,,,,,,,,,,,,0,0.9841726109394149,0.9980913617081361,0.9995705085036943,1.0001450383410353,0.9925419814953769,1.0012788515025204,0.9997561128669719,0.9984798105157365,1.0008181490322692,1.0000169947451376,1.0022890516552767,1.0062938190398882,1.000314425596637,0.9990805970302739,0.9994301533650473,1.0647889693283135,1.0701288420465824,1.07038182163013,1.0654714145896647,1.0752235049712104,1.134772643102678,1.2348736023629405,1.2894502571080746,1.3799396823939931,1.425951898813003,1.4106454789316512,1.3928022185449045,1.3767485481869641,1.3845389151997138,1.3658871428448067,1.3591396748464435,1.337660579137357,1.3075524598729051,1.2907982197206118,1.2860795545573904,1.2985743788804964,1.2948852642386415,1.289568202247417,1.2848155949720657,1.2827715436721063,1.3477131230793449,1.348528795418486,1.3603661186137184,1.388720624084836,1.3862895055820985,1.3749701839457218,1.3994706594334012,1.3950023269644747,1.462231516418463,1.455717952391995,1.4496285491864538,1.4438343874896407,1.4414494393135588,1.4324411693027668,1.4234449628715615,1.4179521755866016
17-2804967,,,,,,,,,,,,,,,,,0,1.012175872060709,1.0078008042689672,1.0074373140671484,0.9949744754281059,1.0061870447157195,1.003761283478473,1.0016603199877536,1.0043788228405488,1.0031937928258583,1.0058199108373387,1.0100584385293576,1.002785079572836,1.001155156328135,1.0014174850224902,1.0761696552514721,1.0811880566045287,1.0808450397866731,1.07494909451797,1.0853450672028078,1.152139435281937,1.2650015959968886,1.3265808900886864,1.4302603951063075,1.4827815593644829,1.462981926927147,1.4407837016943528,1.4208881302838066,1.4280434463811043,1.404890092545734,1.3963225057623834,1.3706779506099929,1.334685191915031,1.3152797831683365,1.3096299729110739,1.3224275662211205,1.318127331873824,1.3119955036142994,1.306406891174652,1.3038313602702585,1.3739980653422235,1.3743600796707107,1.3854734647826366,1.4158179520093659,1.412529900876285,1.399580674723227,1.4255308496170334,1.4205779347143035,1.4923834185437455,1.4849311235861837,1.4779619163730664,1.4715528214285687,1.4686356182062126,1.4584062712598838,1.4485393712922743,1.4421869273453625
18-2806938,,,,,,,,,,,,,,,,,,0,1.0004247937980106,1.0020368691617727,0.983302071337695,1.0032264012925145,1.000135191956611,0.9978724047965659,1.0017082283252792,1.0004006421074516,1.0037120530554127,1.0095997131538494,1.0011894630158218,0.9992136118693691,0.9994666935562923,1.0865673907141078,1.0912192325851704,1.0903679990133937,1.0832731020682047,1.094523734820754,1.1701419823993378,1.2993080759113715,1.3695550460186912,1.4909022663965967,1.5516302688160968,1.525747251529478,1.4970694454692084,1.472225118170191,1.4780901287393482,1.449213948219586,1.4382630353594636,1.407321186902862,1.3640020977657172,1.3411020970107896,1.3346158570772275,1.3477119268493014,1.342551016625195,1.3357176509193809,1.3291373108952462,1.3255598910215731,1.4018402578550784,1.4015150231320643,1.411709007531833,1.4448133307859328,1.4400050160979965,1.425408676013973,1.452978971076341,1.4471157952239824,1.524560329210696,1.5158863735710058,1.5081384686654804,1.5007820748737568,1.4971279488107614,1.4857243364073476,1.4744307009963098,1.467528738569251
19-2803492,,,,,,,,,,,,,,,,,,,0,1.0054003327960515,0.9717677852292509,1.004388749940605,1.0000357506236697,0.9971794311786865,1.0024249324489427,1.0007991098971551,1.0045981042127157,1.010952537978644,1.001016422689682,0.9990722791268636,0.9995866264426102,1.0955488200824683,1.1001919262489257,1.0986348416574245,1.090345753190884,1.1020882198740787,1.184728008688441,1.3257111251522662,1.4025675706392389,1.536560110755879,1.6040075316330964,1.5725362535723642,1.5394850018264914,1.5104587014454551,1.51521945614978,1.481635596476083,1.468580319523054,1.433582179113861,1.3847229405346488,1.3596394349616765,1.3521399244446082,1.3654969690032905,1.3597929998379295,1.3519973085461303,1.3448330067924805,1.3405918550636988,1.4210381965109025,1.4201823070871162,1.4294704443625663,1.4645480599359728,1.4588726019862674,1.4431539728000824,1.4717858835484545,1.4651842927357075,1.5465208344270147,1.5369736705683705,1.52859954944317,1.5205309439461792,1.5162251804616995,1.5041696857996862,1.4917952102167722,1.4844874200685239
20-2807073,,,,,,,,,,,,,,,,,,,,0,0.9557297007285511,1.0041365849450306,0.998978095817639,0.9959478377625871,1.001593211755282,0.9998841205661132,1.0041552293587548,1.0113744188566642,1.0007217547801668,0.9984401583823347,0.9990386537121954,1.029826056733417,1.1047841360918222,1.1023904074079054,1.0937667593857192,1.105770131261356,1.1917758860843992,1.3392304135342707,1.4202115267956008,1.5612115353317166,1.632232293976389,1.5976753334193627,1.561843609550471,1.5304639531609472,1.5345603921458615,1.4981346813441676,1.4844795722542727,1.4472498365973867,1.3952049085933562,1.3686548973112587,1.3610788535668776,1.374185325429727,1.3683461723719443,1.360183743569053,1.352507687494754,1.3479221373533339,1.4304973542687445,1.4292207184763344,1.4382331816650782,1.473911382820901,1.4680652270073749,1.4515868899999387,1.4807496186411562,1.4740210058627101,1.5570636345340336,1.547075364064113,1.5383859968205311,1.5300186475107815,1.5255662644471357,1.5128239479433487,1.5003713914528023,1.4925732424912128
