순번_정류장ID,1-2802647,2-2806710,3-2806712,4-2806714,5-2806717,6-2802663,7-2802664,8-2802675,9-2802681,10-2802676,11-2802670,12-2802692,13-2805075,14-2802721,15-2802123,16-2802116,17-2802112,18-2802094,19-2802098,20-2802129,21-2802158,22-2802168,23-2802175,24-2801848,25-2802172,26-2802162,27-2802153
11-2802670,,,,,,,,,,,0,1.0004858478865617,1.0089479773919865,1.0051588197689028,0.9994176111733943,1.0024724863055892,0.9965056411791758,1.00315379461076,1.001643785335779,1.00133619545932,1.0386387176325524,1.0596157426014579,1.261622552028656,1.4518680492208256,1.605344618145447,1.8941657688270068,1.9462254322144605
12-2802692,,,,,,,,,,,,0,1.0217325995187052,1.0081185068182468,0.9998855422217136,1.0041252375511462,0.9958108261940872,1.004377936728669,1.0022933695603014,1.0018447956492582,1.0445248654676893,1.068108692880453,1.3033355164057896,1.5312876022564959,1.7131251799065728,2.075202011267282,2.131390274376771
13-2805075,,,,,,,,,,,,,0,0.9960555130176999,0.9883855085873557,0.996445554762107,0.9868032539342098,1.0001441621074065,0.9988075352279955,0.9984221279092017,1.0471171950267981,1.0729810602683438,1.3366296571742646,1.5984525390467923,1.8055757908072092,2.2383280859216703,2.296603557466446
14-2802721,,,,,,,,,,,,,,0,0.9747668069391282,0.9968562081615672,0.9797992087995282,1.0017892174263126,0.9995591853159325,0.999444989903487,0.9939115163455879,0.9976818918841371,1.137082049070806,1.36780428685313,1.5645181407300746,1.9433991452113928,2.0103441992279203
15-2802123,,,,,,,,,,,,,,,0,1.029515495928291,0.9835383065110165,1.0097151245160743,1.0040669270345444,1.0029825969727493,0.9960213725107371,0.9999009813211625,1.00310695283278,1.1558170247754296,1.3318167969866328,1.6396305836786123,1.7814572975380196
16-2802116,,,,,,,,,,,,,,,,0,0.9370198691198787,1.0048149904091652,1.0004979089467498,1.0001333735131526,0.9933230853603914,0.9978249432518,1.001484425055252,1.0297756922628813,1.2155800727625647,1.493371219193336,1.8388461679479964
17-2802112,,,,,,,,,,,,,,,,,0,1.0267649102334275,1.0107126573609337,1.007626592568506,0.9976823199761774,1.001909424724602,1.005266855546651,0.9995385417920626,1.2325037856830199,1.5328835338795643,1.9114983504731056
18-2802094,,,,,,,,,,,,,,,,,,0,0.9929708082245705,0.9943346640053226,0.9863969013417224,0.9939232742545322,0.9994273984804295,0.9931335935529425,1.2810005904133352,1.6741796431196954,2.207897688275178
19-2802098,,,,,,,,,,,,,,,,,,,0,0.9936036449876078,0.9814618298268348,0.9935218304149326,1.000971153292517,0.9926415145515204,1.3720418547463655,1.9439423271686231,2.834221829293247
20-2802129,,,,,,,,,,,,,,,,,,,,0,0.9710356194556755,0.992310582519454,1.0024477602405395,0.9917211898085602,1.4813216936243778,2.314659778004047,3.893477499278501
