순번_정류장ID,1-2805935,2-2805937,3-2806688,4-2800680,5-2806689,6-2805948,7-2807328,8-2807329,9-2805903,10-2803067,11-2803040,12-2803077,13-2803101,14-2803115,15-2803134,16-2803133,17-2805713,18-2803122,19-2805890,20-2803091,21-2805891,22-2803081,23-2803052,24-2806035,25-2803069,26-2803073,27-2803072,28-2803088,29-2803090,30-2803089,31-2803076,32-2803083,33-2805887,34-2803092,35-2803098,36-2803103,37-2803116,38-2805712,39-2805896,40-2803234,41-2803237,42-2803241,43-2802763,44-2802772,45-2802788,46-2802805,47-2802836,48-2805690,49-2806493,50-2805688
11-2803040,,,,,,,,,,,0,1.0053077906831085,1.005150542972997,1.006520051949018,0.9994091824139159,1.027279788858583,1.3297040230463473,1.6312240171795636,2.3750857795324922,2.2434120398276685,2.036904071060225,1.9175065037813963,1.9065624101759053,1.9579404946097152,2.2366107938965083,2.0086952719704603,1.9006206514420105,1.9610055872263856,2.4542647815431806,2.649595208522161,3.156324784498149,3.5932960758725305,4.081185897619534,4.9892792449661405,5.976396622674333,5.727554490998215,4.935559350770866,4.376462204842657,4.551490242174418,4.446459565556251,3.9951743426119886,3.782349244660617,4.158119281777924,3.6653885645607525,3.378784911621419,3.1851798039806556,2.92093305424412,2.6994568832388413,2.602643596057927,2.5191571557275294
12-2803077,,,,,,,,,,,,0,1.0050010197838057,1.007131877088237,0.9976259596950102,0.9995137439802756,1.2924723360133263,1.6411718607489592,2.5503778149230167,2.373364277346772,2.110143825251851,1.9646722290523455,1.9500679679372268,2.0052603447183146,2.324711239482759,2.0548815579355844,1.9310009960791548,1.996099108155352,2.5486655108079623,2.772204116927599,3.3606856863042833,3.885359874439947,4.488211477161402,5.661619220674339,7.019690916986603,6.644749927526896,5.527622038792814,4.79227249488061,5.423696873987922,5.213994012999341,4.557564273557289,4.245900212405078,4.706589703177024,4.046125229694237,3.6771397465704836,3.4344643116518987,3.110378926449485,2.8462762717046335,2.732469019520934,2.6353073496778716
13-2803101,,,,,,,,,,,,,0,1.009649944172547,0.9940961561238713,0.9977582511228308,1.0466446817599315,1.1770877926808985,1.5967630761061506,1.544494929276755,1.457854562123287,1.4099169053029321,1.4194581059490374,1.490566037735849,1.718317336740657,1.5928820777454682,1.5356720456684205,1.6006955889898158,2.007489997668435,2.166509534752899,2.5839469598332894,2.9312344708921585,3.3132593612872903,4.007614613905475,4.738258738393266,4.578183025675196,4.293150230426979,4.565968204850711,7.004429337331054,6.53541778368207,5.454049487753645,4.951616694981948,5.554401886010944,4.596855467326448,4.092961018681326,3.773636731899941,3.359852789867881,3.0347079612572396,2.8972182267382007,2.781304771462743
14-2803115,,,,,,,,,,,,,,0,0.9835291289190989,0.993354511830089,1.056620965733412,1.2220938298428097,1.1570377088423287,1.1443767667230724,1.1198579057144797,1.1096715358081148,1.1056908003857941,1.1748945547084544,1.3544510244390673,1.298368511414594,1.405724953554629,1.6682801423210836,2.1450706990894406,2.1438836461185287,2.159804177259625,2.441150277684735,2.7334960171249665,3.248335880489401,3.7678446578287637,4.1096724015208075,5.146216454356526,5.518531127398593,9.60230693824506,8.531106405825465,6.658849943869279,5.191927226467045,5.187230881833386,4.331089318080881,3.87466172685748,3.583555337481052,3.204882502522603,2.9052173004212722,2.778259907187886,2.670966857604572
15-2803134,,,,,,,,,,,,,,,0,1.0025033840107453,1.1031627750559418,1.376355689464928,1.2252786455154534,1.2013758671781631,1.1601393127873019,1.1424485600213539,1.1352990503554743,1.120681046351537,1.3215258855585827,1.2645775893244535,1.4889666479576087,1.820644546678536,2.4630174909529545,2.4508574186621024,2.447622490677194,2.8388132945357403,3.2632063993818146,4.061403901094029,4.936612428145384,5.559819052741712,7.714143566337511,8.459144842482202,24.69699202247061,17.058495456267032,10.41303761726405,6.947879918433782,4.938152596334892,4.127839962239797,3.6982437305448244,3.4242703675189983,3.0685613174442987,2.7867161904364095,2.667522336046613,2.5667433775173385
16-2803133,,,,,,,,,,,,,,,,0,1.2261800971478392,1.8277238280929577,1.3344888192010493,1.2851520919035129,1.2118854737102154,1.1813094474453383,1.169062998728305,1.1458572479928386,1.3948580349360975,1.3127685757215957,1.5866992775060207,2.011423399430647,2.903547623120759,2.868865518960577,2.8194776071732353,3.3817061045319097,4.029595894542977,5.374042505951573,7.085002581568314,8.462576292964984,14.908809770581806,17.347293862599983,13.778134162553949,11.16865501291524,7.829202443534143,5.670562325165,4.2463049368426455,3.630617829912179,3.2945798601234273,3.075995538688027,2.7885060137849464,2.5557931971520382,2.4566761680444893,2.372252712996428
17-2805713,,,,,,,,,,,,,,,,,0,1.0098627077991895,0.9994848948060986,0.9982061980443991,0.987106987632763,0.9915630614330281,0.9956600162713198,1.000930768071965,1.257518790894729,1.1994568890346446,1.4820585468491687,1.9226744616246958,2.881520178795493,2.8443412700383175,2.793274712929414,3.410495587979079,4.14271689082125,5.738197910904297,7.918688151854689,9.847910027802044,21.150661287283064,100.76680464058762,12.9655448461366,6.835867449005107,5.429693774017122,4.308394337839866,3.4466779125573663,3.038417147182789,2.806539716205938,2.651227517221438,2.443221001434293,2.2691003399392553,2.1941782843235775,2.129609000623847
18-2803122,,,,,,,,,,,,,,,,,,0,0.9951642269004136,0.9943936199530322,0.9819206563510968,0.9882268792418761,0.9925120846073888,0.999762058786351,1.2930647275770504,1.2202476539759828,1.369629070786708,1.7890857084295868,2.700419852480521,2.6719746509268085,3.0880978403446147,3.8856294574484074,4.8892209041517365,7.31679572921352,11.371432114265343,15.871483580943256,19.985997513852894,24.779861252501576,12.409928396192617,6.589590787977417,5.247359009396561,4.175078795871971,3.3495264659247375,2.9579303729573003,2.735571649222934,2.5865029411264526,2.3870492365522065,2.219746483853577,2.147836105481102,2.085818093561448
19-2805890,,,,,,,,,,,,,,,,,,,0,0.9838115283200451,0.963393673147225,0.9811777386507422,0.9908110107750112,1.0008821554523308,1.4481563289213706,1.2997309481865722,1.2561138899383897,1.4420144516883615,2.2084591266551135,2.567986235408156,4.460102381784704,6.492225195854217,10.07145298163491,33.74267927346006,34.84732284230732,22.357979149959906,10.104387277697258,6.808032659935192,5.538670277440036,4.009206546910405,3.491712355430081,3.0068551971727735,2.577465678962405,2.3537941042277137,2.2216847859650457,2.129869501749943,2.00509211569131,1.8953549745543448,1.8478227773830045,1.8061356690913788
20-2803091,,,,,,,,,,,,,,,,,,,,0,0.9532534146767958,0.9804610402468078,0.9923103610677669,1.0033382588794983,1.5266175731775034,1.3341607777693452,1.2798171355089358,1.4823390719155607,2.353935539758785,2.7801307641530193,5.227753924304338,8.316246424574057,15.340993335117892,26.18744446451147,18.479997092600673,12.691642203083385,7.534485103574092,5.54498502220845,4.731301319314367,3.581231942570332,3.168038519490059,2.7729694382818013,2.41124746878087,2.218246464069332,2.104493780346662,2.024222260746106,1.9149150236136008,1.8174932152471055,1.7749201780283999,1.737743238779199
