순번_정류장ID,1-2802961,2-2802973,3-2802967,4-2802963,5-2802956,6-2802984,7-2804818,8-2802964,9-2802971,10-2802975,11-2802981,12-2802624,13-2802636,14-2802955,15-2802945,16-2802936,17-2802918,18-2802892,19-2802866,20-2802839,21-2802845,22-2802861,23-2802872,24-2802881,25-2802885,26-2802851,27-2802823,28-2802783,29-2802757,30-2802733,31-2802706
11-2802981,,,,,,,,,,,0,1.0001604186161983,0.995705840339997,1.0827150127101512,1.0792144060374296,1.0738429760224613,1.051582206492876,1.048173418798026,1.0491265363374942,1.3870545700893322,1.5140323423444428,1.8788272175893213,2.279152203180583,2.6785816331595265,2.8598643615807826,2.561328296963352,2.414145462659185,2.1555248124725965,1.96595502716797,1.8859611832463858,1.7824981944256215
12-2802624,,,,,,,,,,,,0,0.9918640854665972,1.105227468741016,1.0984032419112146,1.089825503845013,1.0601736679732823,1.0544936001094136,1.044695265154626,1.4122717408576801,1.5553181463999706,1.9762687610177136,2.454824331048209,2.9511371697407434,3.170397637427578,2.769613617449256,2.5807087270462103,2.26129591236521,2.03622003052295,1.9438133968727853,1.8252741761726121
13-2802636,,,,,,,,,,,,,0,1.1577172412321741,1.140181934108257,1.1227793764483531,1.0766060202999066,1.0657872715208678,1.0522248903820994,1.4408504676748115,1.6066473380252055,2.111494466933927,2.7162619118243008,3.382068356282425,3.6664062003748694,3.076319193855561,2.816678897209312,2.401338862327102,2.1244814069772175,2.014842773476489,1.8773080830534177
14-2802955,,,,,,,,,,,,,,0,1.0091042584434655,1.0135352126705846,0.9824229684998379,1.0032467029455625,1.002591386242943,1.0261401762545008,1.1657997406842093,1.5848603988083656,2.0897537421859536,2.645400587593186,2.9143371503192754,2.4906339899077237,2.3036125628897204,2.004076471397016,1.80596642040269,1.7269997033671864,1.6278333734930577
15-2802945,,,,,,,,,,,,,,,0,1.0177654893103312,0.9757226972505247,1.0024567082087674,1.0020030406717482,1.0007048420635936,1.022242597995075,1.3827898351024854,1.806311767403215,2.2576875550693987,2.4899042109728224,2.1893517586494493,2.05136947120335,1.8236158410481458,1.6699806406081048,1.6055436464966277,1.526827838650278
16-2802936,,,,,,,,,,,,,,,,0,0.960723018784039,0.9999424380185375,1.0003557061948227,0.9993439294525353,1.0090267702463878,1.1982898001574318,1.554343188391295,1.9229910936342285,2.124954823694911,1.9183101484037353,1.8198005174816054,1.6523964759197867,1.5372293711173524,1.4872428434499516,1.4271720113401611
17-2802918,,,,,,,,,,,,,,,,,0,1.0333976477057785,1.0167740539196444,1.01046487808313,1.021816338378023,1.008845266320491,1.0512007640063192,1.280952192408296,1.4282683149166244,1.3669298403396495,1.3344187452069598,1.2748122835102194,1.2330505812339172,1.2125417091904747,1.1899757464380771
18-2802892,,,,,,,,,,,,,,,,,,0,1.0010765997354383,0.9987775090660023,1.0166031285710169,1.0003525543794631,1.00268196091862,1.0005092678173344,0.9998495272602823,1.0604872896632076,1.0937975870711996,1.1260160746681533,1.1078877546307626,1.115581536163011,1.103467776036083
19-2802866,,,,,,,,,,,,,,,,,,,0,0.9960817864744215,1.030744795160432,0.9999327203989163,1.0033960573476703,1.000294875402505,0.999455558432783,1.0774562978192381,1.1186072305954586,1.154125878070066,1.1268697196835615,1.134899338489575,1.1183924456009666
20-2802839,,,,,,,,,,,,,,,,,,,,0,1.151469176986702,1.0036799608015272,1.007867055741555,1.0022868813911388,0.9967887454672739,1.0027698682565571,1.015660423971839,1.0735189847835422,1.06061136434207,1.0745344207420624,1.0656460221290354
21-2802845,,,,,,,,,,,,,,,,,,,,,0,0.9464269907979478,0.9772951916940369,0.97885097475039,0.9781420463998113,0.9891298971423016,0.9905204896159481,0.9900099263367163,0.9949232884245258,0.992125334262535,0.9951673186518617
22-2802861,,,,,,,,,,,,,,,,,,,,,,0,1.0149541914499345,1.000968484406435,0.9924711490015115,1.0023781382637502,1.0019160997213692,0.9980990279613076,1.0013009065676952,0.9978947725996831,1.000353774251338
23-2802872,,,,,,,,,,,,,,,,,,,,,,,0,0.9832312563683974,0.9792500660421449,0.9980894693968941,0.998411773310826,0.9950749643893965,1.000073329577798,0.9959252800154754,0.9989586119448821
24-2802881,,,,,,,,,,,,,,,,,,,,,,,,0,0.975803587074408,1.003552086523428,1.0024941219453267,0.9970256498210425,1.0020226557743046,0.9971962001711236,1.0002401586296852
25-2802885,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0205184830579248,1.0123781073295637,1.0009068041503557,1.0053406786569707,0.998758436621411,1.0017951394359539
26-2802851,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9996108928091896,0.9917266034100983,1.0013199890402031,0.9948180476037239,0.9992969615089293
27-2802823,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.983786881480433,0.998331562769539,0.9914549206758672,0.9973440126822595
28-2802783,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0138300254887112,0.9974602863991835,1.0033840170543153
29-2802757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9663342808828835,0.9960032974303252
30-2802733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0135484845795748
31-2802706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
