순번_정류장ID,1-2804988,2-2804989,3-2801243,4-2801242,5-2801247,6-2801249,7-2801253,8-2801256,9-2801265,10-2801273,11-2801294,12-2801318,13-2801325,14-2801351,15-2801363,16-2801379,17-2801433,18-2801465,19-2805642,20-2801563,21-2801598,22-2801623,23-2801653,24-2801676,25-2801186,26-2801710,27-2801727,28-2801745,29-2806034,30-2801174,31-2801722,32-2801714,33-2801712,34-2801701,35-2805300,36-2801168,37-2801686,38-2801182,39-2801662,40-2801640,41-2801579,42-2801521,43-2800236,44-2801472,45-2801453,46-2801416,47-2801198,48-2801378,49-2801197,50-2801346,51-2801327,52-2801308,53-2801284,54-2801274,55-2801269,56-2805502,57-2801259
11-2801294,,,,,,,,,,,0,0.986556643406122,0.9995246428041608,1.0012228125801623,0.9998414674594378,0.9985173383423551,0.9988559134168636,0.999318858055414,1.0010735419512558,1.0062047991682095,1.0063264500958915,1.0065924710865641,1.0055842515144418,1.0048623172702937,1.0049222034180287,1.0984008636869413,1.1373974990036677,1.1692552938015206,1.1573234974590052,1.4482321974319936,1.6496146268190215,1.6894465676247696,1.6947343593115172,1.8732974306643946,1.959098741103777,2.0651654983400074,2.161995156067573,2.1063291491432623,1.9872712032570397,2.070098806869064,2.5042805588060517,2.6695268623289894,2.9532435220158906,3.2233734877000497,3.6011652954052247,4.216444920855904,4.645026325965442,5.739318532937105,6.699547964437138,6.127892597464023,6.552318535262981,7.637443601156349,10.7646822619959,11.741902047597813,10.156853029939608,8.799370055490758,7.876890014913071
12-2801318,,,,,,,,,,,,0,1.033110193610454,1.0079485388133873,1.0041456144385152,1.001750784834581,1.0014050376051489,1.001615380330556,1.0033388273149682,1.0090031109385438,1.009001472119493,1.009114296337361,1.0078698519678482,1.0068668790094224,1.0067553012097123,1.0690425172538887,1.1105854298602469,1.145506244961284,1.1350113021682167,1.4407048677282153,1.6554043341007811,1.6974599634919743,1.6776393640778873,1.7934379642796976,1.8780251696444725,1.982675186986782,2.0796021210193514,2.0271537516069147,1.9153174933735584,1.9880696913511018,2.342505839154673,2.4354711951081742,2.5385763382304005,2.8286663848361853,3.0574274007562687,3.5288859068349345,3.8478432465851387,4.637825328573588,5.297040958242604,4.9488943329168045,5.252203495052308,5.9801510121502774,7.90138148694669,8.473801666864958,7.619677473382517,6.832757242683995,6.266920160145744
13-2801325,,,,,,,,,,,,,0,1.0025332957117563,1.0000040939847898,0.9980952202977168,0.9986470862791337,0.9992632696971667,1.0014300431693135,1.007600285243957,1.0076723185638095,1.00788854706875,1.0066422522329068,1.0057080202766433,1.0056987604553222,1.0289810241596191,1.070990604537817,1.1083806255065174,1.1004511013310736,1.4015308933447814,1.6128167931121007,1.6552594054029763,1.63656639271351,1.7511780627569555,1.8345039554167422,1.9375897873282564,2.033809496178078,1.9835728678075202,1.8765099825451064,1.9488090005998706,2.2995755568992906,2.3917267256065116,2.4576240654562813,2.7802680234328196,2.9557046885757607,3.4057390333332713,3.7121784065639405,4.460896446088872,5.0830875924115215,4.762483637736448,4.825372165616764,5.452650834007757,7.0581614941033015,7.532461488210519,6.852205944408819,6.214102149515791,5.742230495604256
14-2801351,,,,,,,,,,,,,,0,0.9949916283065747,0.9928503301807804,0.9960089603981506,0.9975254089230651,1.0009612447858485,1.0094781556169639,1.0094426758351374,1.0095552920806263,1.007841926453871,1.0065275696142622,1.0064235744731753,1.0069178383919248,1.006171871329781,1.0072128087268015,1.0064220727073596,1.175418495261021,1.3585845138895198,1.4013937250838984,1.3899971164772043,1.3665116067749987,1.3675221701102804,1.439042501025331,1.5121200297991357,1.4912822708733209,1.4462241121754171,1.5032503340365324,1.7555492535968198,1.8232797507273895,1.8782949480162807,2.098557635194084,2.2218265014386454,2.5144255969642075,2.706366865958435,3.1545778508933457,3.5056789819064003,3.3709793215026047,3.428294845824761,3.7818468099316465,4.609148440351519,4.852003440871535,4.569249268111158,4.282327777420468,4.060809524761275
15-2801363,,,,,,,,,,,,,,,0,0.986123849498797,0.9914947197914492,0.994893022782986,0.9972788485093255,0.9998907155964931,1.000658647451969,1.0017848754437981,1.0003528140473499,0.9998454944214783,1.0005763634002909,1.0015286280806295,1.0010675460767684,1.003061241779282,1.002310481404477,1.0535887495242797,1.220257362166982,1.2626755391205813,1.2551152209975818,1.240088330076643,1.2345975835701324,1.249518364434846,1.31457753836803,1.302700384190998,1.2771457475781578,1.3286317906538898,1.547249164080549,1.6063336722056476,1.6575170994551849,1.8443400776754713,1.9461017827743334,2.1893898532672953,2.3464970138957613,2.7076481400281187,2.984899264888003,2.8967664012826666,2.9503479475616783,3.2283908333086386,3.865158240876265,4.05320983393269,3.856621545248123,3.654079373690116,3.4951332229525427
16-2801379,,,,,,,,,,,,,,,,0,0.9944102119550787,0.9977839065849633,0.9997955141318399,1.0024012777079967,1.0030482108096475,1.00402668599778,1.0022240469518922,1.0013843448825828,1.0019717338513505,1.002904654032605,1.0023047059475112,1.0040227807961968,1.003140627195164,1.0044717187283416,1.1249127678930646,1.1668136009010657,1.1620206978317627,1.1525667690072963,1.1490671383585203,1.1635906884964837,1.2258100136168313,1.2174868380977246,1.199796132370419,1.2492903890687166,1.4552368614014728,1.511628695944278,1.5614190836155535,1.7362491540545395,1.8133457618847026,2.0356789656658236,2.1783874013478624,2.5049652981302626,2.6964955687124603,2.6308685102520895,2.6814278602735553,2.9224970916808997,3.4634897945813328,3.6248692285539432,3.4693930550806247,3.308129563147918,3.1797067709258946
17-2801433,,,,,,,,,,,,,,,,,0,1.0030012802241601,1.0036255076891034,1.0064439595780805,1.0068008400538775,1.0074707644457623,1.0047222811770435,1.0032003587248794,1.0036075800998094,1.0045777449453104,1.0037253677057034,1.0054959209961358,1.0043486318437531,1.0056446561493977,1.1411066888541972,1.1879398494252147,1.181475199730209,1.1697827602696345,1.1656996917760978,1.1815639601728476,1.2507168752163238,1.240532739517969,1.219044269731671,1.2734173261526067,1.5028036912312102,1.5658918158481863,1.6209024313560025,1.8199702625034764,1.9070712587008976,2.165414045958401,2.334429693831845,2.7266384046273653,2.784746006292038,2.652386239371264,2.5430724528285293,2.4794825843694155,2.876503639358824,3.0026614393999944,2.899192956492218,2.789242671306396,2.7012138259978915
18-2801465,,,,,,,,,,,,,,,,,,0,1.0041569940074502,1.0081176814257762,1.0082851683219705,1.0088177804308973,1.0051708074045393,1.0032406657394812,1.0037061900297743,1.0048078300205137,1.0038207215195412,1.0057703235851598,1.0044810279513132,1.0058601634918165,1.1529389183340195,1.2036298152047502,1.196469861134773,1.1828819807463566,1.178125904293524,1.1947352983034747,1.269247648739968,1.2575363475985926,1.2329810176485072,1.2910486047293606,1.538881274031619,1.6072104585276654,1.6658686113551937,1.8842825109229782,1.9793241660060839,2.2672703547624447,2.457294078266436,2.907345737672848,2.970150243199877,2.808769262920436,2.6787349067207558,2.602779972118081,2.5697816499444084,2.679252800175126,2.5997879290041728,2.5132025563012146,2.444009509074372
19-2805642,,,,,,,,,,,,,,,,,,,0,1.0133894048164902,1.0117851686039796,1.011371495620009,1.0056180221250728,1.002953978727824,1.003599133391326,1.0049424751839136,1.0037587230031402,1.0060092885385292,1.0045233039371126,1.0060405171177025,1.1692480570203325,1.225356867873771,1.2167320015315914,1.2003235742938372,1.1945749815945093,1.187992220962128,1.2595376800269025,1.2475279249095985,1.2226233205963961,1.2839094213805216,1.5470695561718562,1.6196028964407998,1.6820440787072992,1.917693585371141,1.9186601930683245,2.053927093378335,2.2218966713312374,2.6160656221496477,2.6771607906898156,2.5492236167286295,2.4433005822508154,2.382681749865358,2.3584242698335625,2.362980233003206,2.303332233909011,2.263551297143649,2.2480306112028074
20-2801563,,,,,,,,,,,,,,,,,,,,0,1.0089702253363835,1.0099596109048163,1.0017657265854647,0.9997590480091605,1.0014877185732365,1.0033879391883809,1.0022244144620207,1.0050834980544665,1.0035597907632858,1.0054053174766313,1.1106762613156282,1.1687945787258514,1.1618325681715227,1.1491517954347807,1.1448871515367671,1.1399189450673715,1.205724207200383,1.1963241575213186,1.1765177407310277,1.238067604082275,1.4994759529969435,1.572510650417117,1.6362484286498458,1.8710691043801115,1.8741600094160742,1.8507019655222448,1.9971432488073204,2.335344323423491,2.3936358873025467,2.2967748025312256,2.2136587303515527,2.167473329732836,2.1556997828765923,2.1641521282308798,2.1156206580025696,2.084800716767503,2.0745723284856825
