순번_정류장ID,1-2806263,2-2806259,3-2800492,4-2800477,5-2805048,6-2800456,7-2800451,8-2800454,9-2800461,10-2800463,11-2800466,12-2800470,13-2800353,14-2800467,15-2800441,16-2800436,17-2800433,18-2800401,19-2800901,20-2807489,21-2807492,22-2807529,23-2807537,24-2805157,25-2805159,26-2805161,27-2805168,28-2805163,29-2805165,30-2803466,31-2806277,32-2803486,33-2803483
11-2800466,,,,,,,,,,,0,1.0072541278515723,1.6483684197267545,1.546220987188248,1.202957615530903,1.186269802422519,1.168827754768157,1.0958897536806744,1.0663780607808493,1.0374593455702859,1.030108638738019,1.0256611966155396,1.0246688294507542,1.0640408314786958,1.0628257863976036,1.0618771008893433,1.060537664367635,1.0590834132935552,1.0590100045866444,1.057634574174103,1.05630857034004,1.054456318750174,1.052902263964263
12-2800470,,,,,,,,,,,,0,1.9906752764317137,1.7851483492514,1.227656424419204,1.2061327055330298,1.184995751693387,1.1006713817546825,1.0684835910820238,1.0379381889808448,1.030348382274571,1.0258180898687883,1.024806689311868,1.0645437143765157,1.0633413363302926,1.0622993190618544,1.060940240241838,1.0594639756785267,1.0594204626734904,1.0580274732456205,1.0566795684336783,1.0547681452892155,1.0531918784449625
13-2800353,,,,,,,,,,,,,0,1.0066482629880402,1.0060009221214907,1.011433312882998,1.0093458693085307,1.0059224873551644,1.00593697485519,1.0101142408196055,1.0080608580777561,1.0067508433299472,1.0067792006634586,1.0479223866176908,1.047120073524341,1.0464482167874454,1.04541417019812,1.0442981628432528,1.0443828792057022,1.0432385823478594,1.042268850620897,1.040869074784167,1.0397488005314914
14-2800467,,,,,,,,,,,,,,0,1.0057762689159595,1.0128262841827007,1.0100316190035743,1.0058348036012705,1.0058827985902852,1.0102263260653905,1.0080458936198788,1.006709409284467,1.0068230213035871,1.0487149521132253,1.0478743576319032,1.0472140047696086,1.0460727701216614,1.0449215369089149,1.0450708078548296,1.0438265400878908,1.0428581584351515,1.0413842310113677,1.040229381014178
15-2800441,,,,,,,,,,,,,,,0,1.0420758457549997,1.0178585804122882,1.0051293207001015,1.0055246839042105,1.0105410865956006,1.0081724204898412,1.0066325094391197,1.0067143293539003,1.0511032539032965,1.0501407800652172,1.0493991900633106,1.0481917683952355,1.0468879876327732,1.0469798534611454,1.045679020433138,1.0446426363171692,1.0430034428880215,1.0417378476237014
16-2800436,,,,,,,,,,,,,,,,0,0.9868667398706029,1.0004661968501913,1.003217680785753,1.0098287597597557,1.0075817265415934,1.0062107437673284,1.0063198601377124,1.0512067317763547,1.050230318398107,1.0494788785394698,1.0482569877667374,1.04693799900933,1.0470681414296001,1.045715321528603,1.0446677407728104,1.0430471369055319,1.041768447094681
17-2800433,,,,,,,,,,,,,,,,,0,1.0015772928085278,1.0038920268920097,1.0101806160577924,1.007764802111099,1.0063477492575645,1.0064046617409552,1.0517894087648718,1.0507846946886015,1.0499738938129135,1.0487703425012864,1.0475037947451216,1.047588642796623,1.0461775609171595,1.045143258239323,1.04345743708962,1.0421536068787582
18-2800401,,,,,,,,,,,,,,,,,,0,1.0059646757515046,1.011831479204292,1.0086452405133641,1.0069035177717862,1.0069773538416746,1.0568184260298843,1.0555884794774149,1.0545959385355637,1.0531365311807483,1.051592871495992,1.051579508192929,1.0500193845018848,1.0487324866009344,1.0468180657921213,1.0452475001339436
19-2800901,,,,,,,,,,,,,,,,,,,0,1.0134311285004092,1.009151624597378,1.006982546467928,1.0071732556629918,1.0631536239407264,1.0614779867308997,1.0602753941416465,1.0585102737786174,1.0566297339576216,1.0565276729041722,1.0547075791086387,1.0531620977256355,1.0508809275815123,1.0490311533845833
20-2807489,,,,,,,,,,,,,,,,,,,,0,0.9997513266547493,0.9994206997180587,1.0007930357883603,1.1049774478964611,1.0991804075178795,1.0953680717682626,1.0908569813169928,1.0860130454923143,1.0850785315326623,1.0812806698988517,1.0771102703164732,1.0720326886690126,1.0678428281056316
