순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2803599,11-2804712,12-2800276,13-2800277,14-2803597,15-2806642,16-2804030,17-2800279,18-2804029,19-2800282,20-2804585,21-2804587,22-2804722,23-2804725,24-2807143,25-2807144,26-2804785,27-2806426,28-2804787,29-2804789,30-2804793,31-2800291,32-2807413,33-2800297
12-2800276,,,,,,,,,,,,0,0.9959408049220014,0.9880589190633801,0.995534339143586,0.9959969569004056,0.9956504830047581,0.9957527112502875,0.9990337567307291,1.0017760096542274,1.001392395346865,1.0016688699568248,1.000764811768167,1.001206770757561,1.001196939418959,1.0009352649421124,1.0010906204982957,1.0009932486765654,1.157882178328628,1.1979258877627728,1.1857129725092526,1.1786105983316626,1.1757714321373842
13-2800277,,,,,,,,,,,,,0,0.984957926021413,0.9954644922921393,0.9960057267359879,0.9956159909067279,0.9957355864745241,0.9992801582375768,1.002123369087621,1.0016949508688517,1.0019689781512662,1.0009970963600374,1.001443473946449,1.0015576546895835,1.0011282331814966,1.00114513317084,1.0010405312148363,1.16350568932938,1.2052081891942485,1.192138906376012,1.1843889393929274,1.1812094161205577
14-2803597,,,,,,,,,,,,,,0,1.003612037013383,1.0032783546563102,1.0002261651377284,0.9989801146066563,1.0029162057250585,1.005183352905923,1.0044436540851345,1.0045820940548296,1.003233667373097,1.003755328425395,1.0034638362990305,1.0030438828522839,1.0029317587691722,1.002674873139323,1.1807903094640377,1.2269117460046826,1.2111756070944353,1.2018253312294938,1.197549311721057
15-2806642,,,,,,,,,,,,,,,0,1.0014038809508954,0.995953987291568,0.9953387129155763,1.0020356847374443,1.0053190925158144,1.0043673633047208,1.0045460979600167,1.002906453680936,1.0035614767485719,1.0032443861676574,1.0027693142720298,1.002661924556755,1.0023943850894916,1.2060637911218945,1.259417628812906,1.2390752697450897,1.2270129174319488,1.2208762994715676
16-2804030,,,,,,,,,,,,,,,,0,0.9943752801515349,0.9945668012657876,1.0020955938689384,1.0055387562408151,1.0045161763332808,1.0046906016377366,1.002967469570895,1.0034101468235328,1.0033031423374885,1.002810173533957,1.0025244638410151,1.0022630502904042,1.211199156360648,1.2660714090117455,1.244711043929373,1.2320565675595636,1.2255110916246603
17-2800279,,,,,,,,,,,,,,,,,0,0.9947168859937993,1.0058525464382058,1.0082202866637202,1.0066427478219475,1.0066372602055678,1.0043683190782446,1.004725634507948,1.0041841060370418,1.0035729266959845,1.003379341780139,1.003006460081913,1.2324043056220224,1.2933049552714826,1.2680626186598738,1.252495828453127,1.2443929724654443
18-2804029,,,,,,,,,,,,,,,,,,0,1.0077274740933233,1.0097637416373342,1.007350423648409,1.0072506705828976,1.004287990879205,1.0050605021468504,1.0043587219687922,1.0036290060222688,1.0034000264971201,1.0029744681970378,1.2648839637330174,1.3355646232399476,1.3024030741071566,1.2830236326929965,1.2717728954395964
19-2800282,,,,,,,,,,,,,,,,,,,0,1.0105273897320441,1.007240450078792,1.007134336690548,1.0036200719228392,1.0042445057627343,1.0036143576454923,1.0028658038527989,1.0026994337183635,1.0023226340199334,1.2904047551655817,1.3689882201950914,1.3292863240344996,1.3062948910295773,1.2927454923761366
20-2804585,,,,,,,,,,,,,,,,,,,,0,0.9957975167144223,1.0008353806789974,0.9962300460741572,1.0000153785771073,1.0003517004787472,0.9996915135003855,0.9999626234688251,0.9999200792589413,0.9990335491522065,1.0361563552685955,1.0319133010949046,1.0307617004337872,1.036643878354046
21-2804587,,,,,,,,,,,,,,,,,,,,,0,1.006587916132726,0.996421945577024,1.0012330392478719,1.0011860670748545,1.0002943270652913,1.0004922690605291,1.0003475711646543,0.9992889658371737,1.000634180687422,0.9999406062018882,1.0012715761472992,1.009030199729033
22-2804722,,,,,,,,,,,,,,,,,,,,,,0,0.9899619485298099,0.9982698463711123,0.9995027067981415,0.9987734014017203,0.999301547780365,0.9993840556160347,0.9984948156446158,0.9999685036317737,0.9993046397572811,1.0007621695019626,1.0089761387367155
23-2804725,,,,,,,,,,,,,,,,,,,,,,,0,1.0101951710460102,1.004537181414602,1.0023695976154992,1.00212760410709,1.0015449339495297,0.9999084034929182,1.0015021623770675,1.0005763499765559,1.0020738180201139,1.010947631987484
24-2807143,,,,,,,,,,,,,,,,,,,,,,,,0,1.0011029846435204,0.9992079409153813,0.9999084244114742,0.9998507568655464,0.9985580573765581,1.0004209455381767,0.99954275917404,1.0012820873430115,1.0110145307677867
25-2807144,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9954340349183073,0.9989181208553298,0.9992540613010427,0.9978553789904827,1.0002446796645343,0.9992069428257963,1.0013163638113372,1.0127163777005215
26-2804785,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0014028256308998,1.0004555962404873,0.9982451275664651,0.9978635358967075,0.9971432853155501,0.9997243045170431,1.0123542271086288
27-2806426,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9997081785477692,0.9973246642044656,0.9969343878652204,0.9962740252715648,0.9994309974888865,1.0140203174636027
28-2804787,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9959272865903087,0.9955514042761711,0.9950754249252421,0.9993521536359543,1.0174389095353562
29-2804789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9934038420514895,0.9938215361119065,1.0025833898971463,1.0322459991789024
30-2804793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9939664913306059,1.004400789520745,1.0375668557146978
31-2800291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0182380088580185,1.0660013340532988
