순번_정류장ID,28-2803394,29-2805673,30-2803403,31-2805014,32-2807528,33-2800108,34-2807508,35-2807498,36-2807501,37-2807560,38-2807559,39-2807555,40-2807278,41-2807511,42-2807544,43-2807533,44-2807532,45-2807525,46-2802061,47-2802006,48-2806611,49-2801834,50-2802092,51-2802724,52-2802643,53-2802735,54-2802810
38-2807559,,,,,,,,,,,0,1.0009963058893465,1.0019183342289473,1.0052051492358636,1.0019722176853465,1.0033026813209174,1.0332757786538107,1.0287799061001952,1.0262588902482863,1.0367206513175173,1.0356837458939108,1.0348608578877638,1.0342377777251885,1.0449222990591305,1.0437802161084406,1.0409015721219959,1.0671039302756558
39-2807555,,,,,,,,,,,,0,1.005299511903452,1.014678035853818,1.0031966398837906,1.0053969258014983,1.0560610437165379,1.0438799108764094,1.0383280642352695,1.0527150226433546,1.0505345757648552,1.0488558995388364,1.0475218114582852,1.061662495248441,1.059481090906492,1.0543266562047502,1.0889061446752297
40-2807278,,,,,,,,,,,,,0,0.9986118284504126,0.9922446419402253,0.9990122735266357,1.0632152676069548,1.0469469921859496,1.040224628462209,1.0564419212947769,1.0537830596807811,1.0517696164711303,1.050179202935013,1.0561957119725613,1.0539723504307918,1.048853225829761,1.0869546075919438
41-2807511,,,,,,,,,,,,,,0,0.9890493225322192,0.9992923511868846,1.07509454116209,1.0531248023267672,1.044663715216083,1.0621600876797466,1.0589221970127018,1.0565102804415765,1.0546121487812328,1.053780754764071,1.0515070786245093,1.0463944446743156,1.0929464772626
42-2807544,,,,,,,,,,,,,,,0,1.011159509919275,1.1240422931249006,1.0746209924568075,1.0597688503536389,1.0801849971326216,1.0749262422417087,1.071163689877064,1.0682351931982448,1.0628589671053836,1.0596581745413731,1.0528366859570966,1.1092384612094937
43-2807533,,,,,,,,,,,,,,,,0,0.9985237668307442,1.0013170874151913,1.0005575244482787,1.0312892980521964,1.0291988275432717,1.0275763073039776,1.0263841395503421,1.0244260845175028,1.0230368135253196,1.0200403677249221,1.0834202160572242
44-2807532,,,,,,,,,,,,,,,,,0,1.0030508293047615,1.0012163702252233,1.0464769600009312,1.0417063574390693,1.038415138428344,1.0360549890348478,1.0321286483445664,1.029848574032527,1.0249960210733593,1.1034018159975678
45-2807525,,,,,,,,,,,,,,,,,,0,0.9981143825823637,1.0950205730161608,1.0753273765695297,1.0646955043234636,1.0578003050241116,1.0476031701213568,1.042551257146398,1.0332108579521793,1.0767944205571804
46-2802061,,,,,,,,,,,,,,,,,,,0,1.0088876402277795,1.0078515936597583,1.018047050934043,1.0156092641928365,1.0254772588975922,1.0219809930027886,1.0157741253089856,1.0959852852715233
47-2802006,,,,,,,,,,,,,,,,,,,,0,1.0052505927342648,1.0039701003633927,1.0039474083106525,1.0047430047618573,1.0041588058974182,1.0025093813528643,1.0038205413503913
48-2806611,,,,,,,,,,,,,,,,,,,,,0,1.0022992818094114,1.0030422042535223,1.0049222056711513,1.0038743859091648,1.001720436715075,1.0034962716539608
49-2801834,,,,,,,,,,,,,,,,,,,,,,0,0.9978002619674239,1.0039415126696236,1.0029265733460555,1.0014435585039982,1.0031777378707034
50-2802092,,,,,,,,,,,,,,,,,,,,,,,0,1.00674856318454,1.0043736650585673,1.0019754115920323,1.0034350053966252
51-2802724,,,,,,,,,,,,,,,,,,,,,,,,0,1.0016592145786816,0.9987610571749049,1.0026036314861404
52-2802643,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9984911898307568,1.0028344443029777
53-2802735,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.005185922722562
54-2802810,,,,,,,,,,,,,,,,,,,,,,,,,,,0
