순번_정류장ID,29-2802708,30-2802731,31-2802755,32-2802776,33-2802813,34-2802854,35-2802865,36-2802876,37-2802888,38-2802912,39-2802949,40-2802978,41-2803006,42-2803002,43-2804818,44-2802956,45-2802984,46-2803578,47-2802646,48-2803032,49-2803031,50-2803025,51-2803023,52-2803016,53-2802995,54-2802957,55-2802933,56-2802911,57-2802916
39-2802949,,,,,,,,,,,0,0.995258704411098,1.0235322487253427,1.003905693995084,1.4825594937589393,1.4693756835494527,1.3433318689075444,1.5061626334422198,1.409942074676637,1.3581060083087548,1.324933632439282,1.3063990435068045,1.2923292489306335,1.2739542481081378,1.2551804094892272,1.4461684586282297,1.5986258042668473,1.7579663766098657,2.238831869625564
40-2802978,,,,,,,,,,,,0,1.0350767666497203,1.0061026794814496,1.4008122965776293,1.402210376081096,1.2898740896585208,1.5737888315864628,1.4534241803738852,1.3910341327208329,1.3517006758707588,1.3300220637864637,1.3140341895083718,1.2928118240054298,1.2701838758927542,1.422029132282497,1.5775852562993076,1.7407504863672436,2.236898971160781
41-2803006,,,,,,,,,,,,,0,0.9583013215149613,0.9735888227563056,0.9898407857343055,1.2145182153090464,1.8322006568775588,1.5979817541354648,1.4927534547483177,1.4302889954007858,1.3973927644918032,1.3748288758701352,1.3440072191520809,1.3128590828371463,1.337216217613901,1.4978394317335846,1.6677438242257547,2.1938755054583776
42-2803002,,,,,,,,,,,,,,0,0.9844700914310826,1.0033209824142797,1.2972188591713107,2.1904533989101704,1.767456557486334,1.604721269257559,1.5138731692710239,1.4679545759652448,1.4382253922588402,1.3968022167819099,1.356690661326901,1.3812681126916584,1.5653990199105612,1.7634645739151138,2.3988109480919415
43-2804818,,,,,,,,,,,,,,,0,1.0279469019588214,1.0355370223444103,1.4739435256806448,1.3148360232521088,1.2501640426524259,1.215679444491875,1.19805848500231,1.1831616346274503,1.1679339640282689,1.1505214895885187,1.3826556447828542,1.5935289365876175,1.8253232687477008,2.6053692028661053
44-2802956,,,,,,,,,,,,,,,,0,1.0399666005636157,0.998039570717401,0.9969914889074207,0.9956318313548617,0.9987059349228451,1.0003169493746307,0.9957087480297071,0.9986137566002199,1.1451929752991792,1.4326770950869858,1.681416391344275,1.9622572931024425,2.9680096130611378
45-2802984,,,,,,,,,,,,,,,,,0,0.949715267302293,0.9716869239457877,0.9765198142749163,0.9842954914602817,0.9880092473803841,0.9828350546449914,0.9879982016325705,1.0898198115796214,1.4285828371056393,1.735372645271462,2.098332757778545,3.5632053917685784
46-2803578,,,,,,,,,,,,,,,,,,0,0.9896615695412587,0.9896899237028554,0.9972433732927651,1.000349649421131,0.9924030063628573,0.9975930888051091,0.995523147604457,1.0013818287210712,1.1393805664167842,1.3536800974274819,2.1082805907172997
47-2802646,,,,,,,,,,,,,,,,,,,0,0.9897280175208177,1.0026769827859614,1.00620769891701,0.9937188507681025,1.0006061636774946,0.9973461208887424,1.0044139486988424,1.0048391890469763,1.0034782508044542,1.3764073246074666
48-2803032,,,,,,,,,,,,,,,,,,,,0,1.0174776968305115,1.0175633512022146,0.9959371452470573,1.0048965445975058,0.9996398000688023,1.0079163345496494,1.0079806107339424,1.0060319470481265,1.0215335724329164
