순번_정류장ID,1-2807429,2-2805676,3-2805630,4-2807038,5-2805632,6-2805634,7-2806163,8-2807626,9-2805703,10-2806807,11-2807439,12-2805702,13-2805700,14-2805698,15-2806024,16-2805696,17-2805694,18-2805636,19-2805692,20-2803157,21-2803651,22-2806491,23-2803182,24-2803678,25-2803679,26-2803155,27-2805705,28-2803154,29-2803655,30-2806607,31-2805970,32-2805972,33-2807630,34-2807300,35-2803298,36-2803190,37-2805833,38-2803288,39-2803285,40-2803650,41-2803291,42-2803296,43-2803179,44-2804433,45-2806619
17-2805694,,,,,,,,,,,,,,,,,0,1.0095533272561532,1.0077275671425645,1.002926530617713,0.9986250814486864,0.9996771404393098,1.0020660942072686,1.0015882735966886,1.0023290248395782,1.002784013832525,1.0032714055013,1.1740226802070202,1.2308737117545394,1.2931639117416769,1.3252291262501648,1.3089650424961796,1.2829939390815888,1.263732946752911,1.267908686131865,1.3812943118250987,1.4100753160597856,1.3842254475787348,1.3636698898239141,1.3650448125926644,1.4472656853432877,1.4954603439157463,1.510717487524199,1.834236421644677,1.8091227334140638
18-2805636,,,,,,,,,,,,,,,,,,0,1.0059935262528454,1.0004059105757734,0.9955086572209133,0.9973725782710181,1.0006557196889911,1.0003671017225828,1.001327762637413,1.0019740537150865,1.0024376049369403,1.0023782726783232,1.06020106526927,1.1195065564120554,1.1573344054678862,1.150572999665872,1.1388510312651074,1.1303421674456102,1.1418556177835733,1.2426894337934733,1.271318992213752,1.2553419583668715,1.242838627400697,1.2466309924210814,1.3206977533142756,1.364026762708626,1.3804983374975965,1.734025559652781,1.7126121264159064
19-2805692,,,,,,,,,,,,,,,,,,,0,0.9966732728240166,0.9910096798257216,0.9945646411407335,0.9993351329676947,0.9992840146379232,1.0005301737502457,1.0013946899285817,1.0020395663466384,1.0020383226351228,1.0043235556028125,1.00357876567181,1.0050692181054046,1.005861239534497,1.0056779583146203,1.0060366108573022,1.030946169929204,1.1216987398740839,1.1502945829299396,1.142117008023334,1.1360505922765742,1.1416466235525256,1.2090573129872613,1.2484319865495235,1.265840921914415,1.6360012812255362,1.61801467227113
20-2803157,,,,,,,,,,,,,,,,,,,,0,0.9808356530530281,0.99255679625257,1.0008999022082077,1.0003408961072286,1.0018556868240933,1.002693304081966,1.0031194641773873,1.0026634378288437,1.0056153482141794,1.0042728542942494,1.0017259175006732,1.0029474017198239,1.0028272742774091,1.0035615727943006,1.0227661849040341,1.1204426955096083,1.1513805196685967,1.1423575816057439,1.1359852948298872,1.1419774336623638,1.2144712796589974,1.2567155008092539,1.275432658403514,1.5028804865916388,1.489239748873234
21-2803651,,,,,,,,,,,,,,,,,,,,,0,1.0057648131039476,1.0106716920250314,1.0060171236134015,1.0061705832183718,1.006647791335722,1.0062842970223127,1.0051311725608527,1.0077170112804257,1.006312303238756,1.0033793944029241,1.004407143306497,1.004320194987305,1.0048322046625984,1.0249668376933136,1.1283179097850435,1.1606814310668716,1.1507469796420922,1.143427830479924,1.1496853229313728,1.2258213137359806,1.2705564784338106,1.2897894744230676,1.5182168027293863,1.5037777475908203
22-2806491,,,,,,,,,,,,,,,,,,,,,,0,1.0144067091930675,1.0061038756404612,1.0071124711356638,1.0068166704275057,1.0063498591174247,1.0050689598706581,1.0078759242758806,1.0063528981583052,1.003221709307119,1.0043226434095034,1.0042385490995553,1.0047835156102203,1.0259048618672157,1.1346284923738683,1.1685602561147588,1.1576116625548531,1.1495486941404829,1.155936999786051,1.235735639877604,1.2827340017230797,1.3026281038002099,1.5318227867297634,1.5166374576422128
23-2803182,,,,,,,,,,,,,,,,,,,,,,,0,0.9991047825042056,1.0031977885787435,1.0042695075834587,1.0047484941380465,1.0036939522595414,1.0070938752843523,1.005483698515809,1.0021579835563055,1.0034246828920925,1.0034230143791756,1.0040748818140817,1.0266933844357644,1.1433514020773021,1.1795975376444119,1.1671104533147845,1.1579324363680097,1.164502775757156,1.2496600749277516,1.2999885878913404,1.3208246756529056,1.5505230872796714,1.5342732577055722
24-2803678,,,,,,,,,,,,,,,,,,,,,,,,0,1.0068363336270683,1.0063511675776928,1.0058675871693614,1.004239586193338,1.0080823844990061,1.0061244317321643,1.0022907282158036,1.0036974928231746,1.0036657160073321,1.0043578797069577,1.0287716265000217,1.1567179138649548,1.1961283106480844,1.1812570511541192,1.1703630544362937,1.1771139120361802,1.2696623098431783,1.324617076644532,1.3466519385237286,1.5750821162080355,1.5573994636879558
25-2803679,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0017925551751024,1.004153708946836,1.0029145096437468,1.0074749918762023,1.0054134082405173,1.0013837962454715,1.0029610332586398,1.003012955372208,1.0038070795911307,1.029558399439031,1.1647970954516407,1.206280425470963,1.1897977092019445,1.1777636618159844,1.1846216058714396,1.2819540587466065,1.3399252904585441,1.362707609778412,1.5897500991582343,1.5711734823426573
26-2803155,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0008080868629976,1.0007492793238704,1.0068793130930813,1.0045406138130968,1.0000617196868167,1.0019654158150249,1.002153454319328,1.0031208636576467,1.0316076026676242,1.1806775970212715,1.2260887826297748,1.206276920685684,1.191917768395773,1.1989171583162923,1.3053162364191624,1.369049001640092,1.3931471287480388,1.6158302084927496,1.5956167244615276
