순번_정류장ID,50-2805980,51-2805340,52-2805841,53-2805450,54-2806913,55-2805580,56-2805332,57-2805742,58-2805229,59-2805231,60-2805400,61-2805038,62-2804895,63-2805911,64-2806175,65-2806603,66-2803657,67-2806659,68-2805674,69-2804974,70-2800541,71-2800530,72-2800523,73-2800519,74-2800517,75-2800515,76-2805304,77-2800498,78-2800497,79-2800493,80-2800344,81-2800481,82-2805944,83-2803595,84-2800468,85-2800465,86-2800462,87-2800460,88-2800453,89-2800445,90-2800437,91-2800416,92-2804855,93-2800343,94-2800303
65-2806603,,,,,,,,,,,,,,,,0,0.995214374216574,0.9966142735640325,0.9993137896580019,1.038760476125221,1.1329725711931742,1.1129660724445678,1.1048608181626929,1.0981402694333133,1.0936296233053575,1.0904397182199077,1.078430643414742,1.0652170837112092,1.0617402651358512,1.0560550979011987,1.0550743589506435,1.0534507086196863,1.0517509252147197,1.0500355652175353,1.0475125197180237,1.0477198458063848,1.0451830513776688,1.0439795212801781,1.0417259627712938,1.0397318500427233,1.0382372426076454,1.1270083995183835,1.1221277828753562,1.1180678377663118,1.1172631855801023
66-2803657,,,,,,,,,,,,,,,,,0,1.0038500317412897,1.0059448891132683,1.0072683837859682,1.0073885006644487,1.0044377107996614,1.0047892274475771,1.0041688524466184,1.0031261785455372,1.0038725754828863,1.0035597340172056,1.003069834164468,1.0022945391158125,1.0008814199197757,1.002659248494914,1.002528060772961,1.0027875540090498,1.0030121684261932,1.0018051012222564,1.00392342700556,1.002531498448584,1.0026279773862592,1.0022227213894255,1.001553705111652,1.0012620913589727,1.0996636450605943,1.0954656148925734,1.0922543084473377,1.0915909410270912
67-2806659,,,,,,,,,,,,,,,,,,0,1.0068990973000649,1.0079199449938574,1.0079704396809126,1.004512168234752,1.00489460266668,1.004201177965473,1.0030570172246225,1.0038746017239024,1.00353842375119,1.0030250324815198,1.002210326082232,1.0005521884040436,1.0026038244812687,1.0024692596002378,1.0027423144994454,1.00313022715336,1.0015783118624726,1.0037849613027978,1.002483717267072,1.0024538061432902,1.0020443678552393,1.0014809990867608,1.0011831795613617,1.1026239198912158,1.0981675013559686,1.0946304666225488,1.0939169430742446
68-2805674,,,,,,,,,,,,,,,,,,,0,1.0086545063773589,1.0085738604250372,1.0035924140484953,1.004242398437081,1.003428692212047,1.0020371775879764,1.0031310892745138,1.0028924363980982,1.002466189573939,1.0018077185935002,0.999990957213852,1.002114970370088,1.0021732317028464,1.002489513728201,1.0027613976943688,1.0012372877063391,1.003657953156787,1.002249432311688,1.0022251922989047,1.0017965579731478,1.0012034717427507,1.0008952365725194,1.109726656310798,1.104615865468298,1.1005389549019993,1.0996949125928448
69-2804974,,,,,,,,,,,,,,,,,,,,0,1.0082811319916476,0.9977564048292327,1.0006062256652344,0.9999749237601416,0.9981692633699576,1.000264851197451,1.0007935733045505,1.0009142277031553,1.0002273756946962,0.9982426570728667,1.0008862773270757,1.0008037427970855,1.00145803670034,1.001640586851227,1.000119521581669,1.002942062568764,1.0013747124108654,1.0013818008100743,1.0009546763819823,1.0003401934522331,1.0000356545628688,1.1210988668976571,1.11468698711228,1.1096730433648732,1.1087370122019928
70-2800541,,,,,,,,,,,,,,,,,,,,,0,0.9928555919726216,0.9983517989272991,0.998125877722175,0.996228387629316,0.9989276548693881,0.9999583731637735,1.0003675745813772,0.9996805724720436,0.9973908628167493,1.0004826072236843,1.000418896436545,1.0009132488694388,1.0013396169617699,0.9995736432244196,1.0027226560474622,1.0011047618849163,1.000956462633516,1.000542702999837,1.0000783678395964,0.99977612289888,1.1247078402419424,1.1179016354187443,1.1125717197524714,1.1114241365706308
71-2800530,,,,,,,,,,,,,,,,,,,,,,0,1.007750374961089,1.0029551925329734,0.9985938465914203,1.002318127479686,1.0021963912704852,1.001792295326345,1.000846131543791,0.9980470164697122,1.0014956693175143,1.0016164361158013,1.002086429941108,1.002254865874742,1.0002626258212097,1.0034770314116064,1.0018610031407864,1.0016659220513642,1.0011675870702088,1.0006288637917917,1.0001280619015842,1.1342652410908118,1.1267435845863827,1.1205575766434421,1.1191991587735173
72-2800523,,,,,,,,,,,,,,,,,,,,,,,0,0.997418827853788,0.9922247538248798,0.9996844392536988,1.0009419648956288,1.0010489134174463,1.0000800308825053,0.9974762424665053,1.0009686796556718,1.0011355739404222,1.0016747603998046,1.002123334893208,1.0000106089180372,1.0034336061227547,1.001527316327943,1.0015285866901658,1.0010156520560334,1.0002966756813394,0.9999470630568263,1.140150054999114,1.1317769858409028,1.1250453134111935,1.1235539017199825
73-2800519,,,,,,,,,,,,,,,,,,,,,,,,0,0.984347244830382,1.0013215468306529,1.0017987880280774,1.0014884352046078,0.999928855449022,0.9971263520096165,1.0009263491404772,1.0011084819240414,1.0016858321569058,1.002161202769515,0.9999233228668649,1.003538656599881,1.0015282505227368,1.0015295369421513,1.0009934563945315,1.0002458463992956,0.9998850369762443,1.1457601085650098,1.1367102848209878,1.1294351939476093,1.1278108621467249
74-2800517,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0168448698428152,1.0051335686169653,1.0029763152378954,1.0011028187188082,0.9982813565664552,1.0021733619635562,1.0022674085723358,1.002776948145751,1.003184064280341,1.0007970044363348,1.0044918720717808,1.0023517231469086,1.002311168987494,1.001695028701776,1.000876890142184,1.000472021834104,1.1504031084905353,1.1408135084353634,1.1331025549708147,1.131370358942201
