순번_정류장ID,58-2800253,59-2803871,60-2804720,61-2806360,62-2803868,63-2803866,64-2803863,65-2803864,66-2800255,67-2803615,68-2803614,69-2803859,70-2806227,71-2803858,72-2803611,73-2806361,74-2807623,75-2804338,76-2804441,77-2804631,78-2807383,79-2803703,80-2803704,81-2804633,82-2803707,83-2803709,84-2806218,85-2803710,86-2803712,87-2803713,88-2804231,89-2804232,90-2806331,91-2804233,92-2804235,93-2804237,94-2804239,95-2806328,96-2804241,97-2804335,98-2804773,99-2804244,100-2806230,101-2804257,102-2804259,103-2804758,104-2804760,105-2807395,106-2804261,107-2804337,108-2807368,109-2804602,110-2803580,111-2800263,112-2800267
68-2803614,,,,,,,,,,,0,1.0284175506531046,1.0187564260311146,1.009200714785662,1.0078376562752571,1.009938930088212,1.0023625586586566,1.0037881889843476,1.0058081319049794,1.042530021815706,1.0317871348536076,1.0468158685976243,1.0836392508060433,1.0782567893004682,1.0736427226764444,1.0712492765461847,1.0682453629284148,1.0674304178274392,1.066601238578554,1.0616033760164452,1.0570008865529654,1.0557295106969742,1.0536253017995931,1.0946124945891622,1.175879011954351,1.2250719299596853,1.2217395711904715,1.2130020271930906,1.2045567272925353,1.1917308482736844,1.177560408750482,1.2109133104562337,1.2995830788138276,1.3489916338664176,1.4255405324134176,1.5015933386949227,1.5589469217590393,1.6077696728965087,1.6502433975259447,1.6703078802804716,1.7504860396208397,1.8021387690188042,1.837624121138047,1.8907823249354392,1.9388327754510202
69-2803859,,,,,,,,,,,,0,1.0031158835030298,1.0014725941780447,1.0018495493558315,1.0050115326331341,0.9989240861839351,1.0006669691642531,1.0031269895313268,1.0440089366138259,1.0320359064256786,1.0478251425760812,1.0864147799790351,1.0805999805380948,1.0756309734779588,1.0730747711626465,1.069874320935551,1.069002915071196,1.0681079262750073,1.062821778406089,1.05796157818269,1.0566282838016183,1.0544287684947284,1.096685293754486,1.1806805290454294,1.2316236563487026,1.2279946273936135,1.21854379555198,1.2098198415834613,1.1962955874366363,1.1814246944942988,1.2153663606042675,1.306469936974711,1.3573142749937166,1.435985876410102,1.5144690170664263,1.5739828855477769,1.62451095084001,1.6685110146162174,1.6890389239450825,1.7725232183197852,1.826211821865151,1.8631334773003505,1.9181577252507258,1.9685095020923855
70-2806227,,,,,,,,,,,,,0,1.0009293639619792,1.0015710143974181,1.0053845912760047,0.9985519806053159,1.0004585492820497,1.0031278675026256,1.046839765675894,1.03341941283938,1.0493935529503868,1.089084415595438,1.0829180461340824,1.0776559000323138,1.0749667624224029,1.0716049967549377,1.0706856066707613,1.069732202241961,1.0642077689605487,1.0591246091386672,1.0577388282023088,1.0554597474366352,1.0985312846505,1.1843263334427692,1.2364264581772224,1.2325028573895835,1.2227953190970084,1.2136354478530893,1.1996229833726955,1.1842636476047121,1.2187801166872874,1.311490623829641,1.3630885270105266,1.4434968251844835,1.5236041576031372,1.584406927037693,1.6360697141406313,1.6810866765790273,1.7020978333167758,1.7876143501646016,1.8423453034733397,1.8802173594184972,1.937036769818346,1.9883528082169533
71-2803858,,,,,,,,,,,,,,0,1.0028336663680837,1.011976694233787,0.9976792104280741,1.0002957069009717,1.0038188608990923,1.0590020472945527,1.0389167454968076,1.0551477370736881,1.098549084223666,1.0910767904913254,1.0847351100666374,1.0815639214570802,1.0776196524045083,1.0765263814736956,1.075359200931181,1.0689867876165502,1.0631139247266717,1.0615444926241295,1.058988524564626,1.1047261542302385,1.1964716151230905,1.2524161060595298,1.2474530367220662,1.2365173107323446,1.2261095017568684,1.2105451542203522,1.1935404164518377,1.2291851441084611,1.3272291674414678,1.381875198430643,1.4672789626634968,1.5524092993714558,1.6173956272260828,1.6730362731645627,1.7213843972219733,1.7439817387779666,1.8361848057508539,1.8953803506939821,1.9360720679988979,1.9977644708069993,2.0538205116870123
72-2803611,,,,,,,,,,,,,,,0,1.013237676071268,0.9945325206591205,0.9979216318947923,1.0023650966006574,1.0663111812863935,1.0414673282973412,1.057921767576317,1.1035241710791601,1.0952743778950889,1.0883030289768427,1.0848548607094834,1.0805794228732324,1.0793882190408266,1.0781013469821954,1.0712588439674768,1.0649585652428701,1.0632908549958153,1.0605872632495723,1.1078041573257813,1.2028543567202246,1.2609473035003573,1.2552616210955279,1.243636708717649,1.2326983765903745,1.2161128614552232,1.198301258450527,1.2346424199664205,1.3352975524552713,1.3915968640554826,1.4797216570538583,1.5679915053429085,1.6353045905394412,1.692722424776756,1.742913640067515,1.7663902897990726,1.8623123339174457,1.92400147944797,1.9668358797199696,2.0312951806398534,2.0894202039095178
73-2806361,,,,,,,,,,,,,,,,0,0.9929612680972557,0.9967322133821197,1.0010357737637343,1.0687544586472817,1.0421047234477612,1.037621856209903,1.085349679813074,1.0784900468043552,1.0727929379669092,1.0698975029957594,1.0663200401987651,1.06536759070731,1.0644196620236173,1.05865969896099,1.0535598730165048,1.0521594504100702,1.0498450888001907,1.0973155676472568,1.1919798080589084,1.2498414365794568,1.2448379949607222,1.2336545689242455,1.2231569939760283,1.2071510248658879,1.1899678564809495,1.2267647916896007,1.3271359926174546,1.3832766091815445,1.471157742614676,1.5591891639604898,1.6263247004793133,1.6835920683953405,1.7336542452958033,1.7570714895247659,1.8527501342188035,1.9142855024843686,1.9570129097934748,2.0213154272890836,2.079330605796406
74-2807623,,,,,,,,,,,,,,,,,0,1.042902620906197,1.0370522181762722,1.2162683007985802,1.0736799997436917,1.0423220650657412,1.1033577549271638,1.0929376712767132,1.0845148257650952,1.080442742558124,1.0754945582030868,1.0741546299540687,1.0727561056962793,1.0651435739873578,1.0584824121379601,1.0567233968745953,1.0538688813682455,1.108364536759857,1.2185341034902957,1.2866080697262694,1.278682912656831,1.264191893567845,1.2506782003948471,1.2303915565319476,1.2091154025122066,1.1898798055889452,1.1829867606191196,1.1786065102345058,1.22079168229554,1.2914369519262257,1.3453425540040156,1.3909055951618177,1.430586062703853,1.4491007789509573,1.524040604480705,1.5723325622979198,1.6055116403683884,1.6552833117879975,1.7009520196498402
75-2804338,,,,,,,,,,,,,,,,,,0,1.033694217850288,1.2490352359365342,1.0753840305321238,1.0423051800216379,1.1048800387407502,1.0940720553764698,1.0853669036783615,1.0811770584763967,1.0760950135176937,1.074718451209434,1.0732786733076198,1.0654955662038197,1.058701107457417,1.0569120217157324,1.054012275221366,1.1092014408664381,1.2208976674843826,1.2899890224884103,1.281613712176665,1.266797283080599,1.252990998647169,1.232527904104258,1.2108452416610833,1.1912781196801272,1.18426564879699,1.1798197620660948,1.2021453482490987,1.2717932793710693,1.3245812935318553,1.3693419670204567,1.4083132055680334,1.4264937037872223,1.5002944390359554,1.5474248840049816,1.5799623102946307,1.6287605094159823,1.6736007506157176
76-2804441,,,,,,,,,,,,,,,,,,,0,1.1368844440959052,1.0366091094674996,1.021473772166293,1.0886454529411578,1.0792275257476895,1.0717947425589465,1.0681385288626188,1.0637281270661707,1.0625862626884262,1.0614870877411327,1.0547203952310125,1.0490594928488646,1.0475151684696342,1.044966315545781,1.1011288412327578,1.2140171126232302,1.2839286995105932,1.2758011906146771,1.2612210736346912,1.2475318500998653,1.227168748732902,1.2057555488407274,1.1863812545464973,1.1795186541966107,1.1751415990740859,1.170381626560803,1.2382000612892774,1.2894399390032578,1.3326548818827895,1.370430860321218,1.3880486117455408,1.4597433516775813,1.505108251465275,1.5365667916624572,1.5837299056182685,1.6271766050122838
77-2804631,,,,,,,,,,,,,,,,,,,,0,1.0034094294295937,1.004707783447358,1.0827228686098838,1.0729497665677574,1.0654756741129914,1.0617992880460163,1.0574166223197567,1.0563233007107842,1.0553398461732342,1.048722370452234,1.0434311851671207,1.0419590495093203,1.039504127751768,1.0990566387493288,1.2187404898900895,1.2932333517421972,1.2840295564732072,1.2680435253049618,1.2532531737454369,1.2314069291145509,1.2086508884943465,1.1883317520451155,1.1811227371975155,1.1765469509800504,1.1705067861613114,1.1654895429478267,1.2113272938243655,1.2520026751788587,1.2873709976243684,1.303856849241385,1.3706220996707688,1.4131579028525298,1.4424629107482145,1.4863686553554272,1.5270549955659325
