순번_정류장ID,1-2805836,2-2803035,3-2803034,4-2803029,5-2803026,6-2803019,7-2802965,8-2802959,9-2802641,10-2803003,11-2803008,12-2806040,13-2802980,14-2802954,15-2802913,16-2802915,17-2802930,18-2802925,19-2802905,20-2806494,21-2802921,22-2802901,23-2802885,24-2802851,25-2802823,26-2802783,27-2802757,28-2802733,29-2802706,30-2802628
13-2802980,,,,,,,,,,,,,0,0.981867207459313,0.9997164277346093,1.0013010278908838,1.148217911936675,1.1967518472150627,1.1621749736145346,1.1402096591720088,1.1263116823416164,1.2197271092489945,1.316973353622941,1.2727071467806177,1.2965152128492434,1.2425519494965784,1.2357322939709963,1.3137474345930487,1.2759429153302264,1.2988889174977207
14-2802954,,,,,,,,,,,,,,0,1.0099937702019954,1.006596392373044,0.9956138406535953,1.001510688335513,1.003981166052121,1.0004199814462145,1.0017778566840383,1.0953763432355923,1.1912209023488325,1.301487283308099,1.325914428602707,1.2622407664395983,1.2525083580740812,1.3355786676225827,1.2922741056045537,1.3157489718458169
15-2802913,,,,,,,,,,,,,,,0,0.9997434092359516,0.98603722682121,0.9979831928214142,1.0020928109944796,0.997847675735173,0.9998631789459762,1.1149540650418666,1.2324102731373545,1.36384944420797,1.3888674408749748,1.3015455783225665,1.283407403399643,1.3769932314234195,1.322776363741747,1.3472229694894753
16-2802915,,,,,,,,,,,,,,,,0,0.9792784758816376,0.997526101508429,1.0025248511599634,0.9975563619010839,0.9998779644120162,1.1297290729346325,1.26300897268561,1.2170094312298,1.2318472902888287,1.1806545839500486,1.1827967086930937,1.274107592780361,1.2362250550167884,1.264153934032544
17-2802930,,,,,,,,,,,,,,,,,0,1.017841602963851,1.0164220133686936,1.0058349553784567,1.0073057225041508,1.1839973234095469,1.3615855554604164,1.2795188140204932,1.241832061969927,1.1808904153351052,1.1456189906218985,1.1279395492667796,1.1115923620146229,1.1448363803130104
18-2802925,,,,,,,,,,,,,,,,,,0,1.014772118411359,0.9976002258610954,1.0022584059043653,1.2608395053481518,1.5174747646777542,1.3604135596852982,1.2993588988603368,1.2108464748459176,1.1641054498052774,1.1416502341770303,1.1214242787209863,1.157476324639519
19-2802905,,,,,,,,,,,,,,,,,,,0,0.9727156398391684,0.993449974660271,1.4241711099194518,1.840519050129655,1.4861044514161939,1.3803527498644876,1.2477755685446552,1.1846401983826151,1.1569212569822693,1.1320325006921907,1.1708800763694025
20-2806494,,,,,,,,,,,,,,,,,,,,0,1.0130375481386393,1.009030845839565,1.182938478527441,1.1207153277051436,1.0964457917339394,1.0618322497030561,1.0493868874542807,1.038915051894194,1.0346384348487176,1.0781184713785235
21-2802921,,,,,,,,,,,,,,,,,,,,,0,1.0050191656496554,0.9905556443510825,1.0056061767070674,1.0042700824066002,0.9988011476905854,1.0029075781779526,0.9983123231493518,1.0009825977649052,1.0475375430526859
22-2802901,,,,,,,,,,,,,,,,,,,,,,0,0.9706792130606152,1.0036513728902337,1.0025074206306723,0.9968597897521646,1.0013691174278996,0.996542881565201,1.000208987173809,1.0498047910397619
23-2802885,,,,,,,,,,,,,,,,,,,,,,,0,1.0205184830579248,1.0123781073295637,1.0009068041503557,1.0053406786569707,0.998758436621411,1.0017951394359539,1.0557617532697066
24-2802851,,,,,,,,,,,,,,,,,,,,,,,,0,0.9996108928091896,0.9917266034100983,1.0013199890402031,0.9948180476037239,0.9992969615089293,1.0616709387634309
25-2802823,,,,,,,,,,,,,,,,,,,,,,,,,0,0.983786881480433,0.998331562769539,0.9914549206758672,0.9973440126822595,1.0664416988760987
26-2802783,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0138300254887112,0.9974602863991835,1.0033840170543153,1.0952407116405314
27-2802757,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9663342808828835,0.9960032974303252,1.1426440580293327
28-2802733,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0135484845795748,1.2204812935704594
29-2802706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.8296571396294627
30-2802628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
