순번_정류장ID,1-2802511,2-2802454,3-2802250,4-2807320,5-2802229,6-2802236,7-2802254,8-2803792,9-2801817,10-2805668,11-2801889,12-2807321,13-2807322,14-2802306,15-2803637,16-2802324,17-2805421,18-2806664,19-2806665,20-2805423,21-2805016,22-2804853,23-2805042,24-2805063,25-2803817
11-2801889,,,,,,,,,,,0,1.009903400995053,1.0044268540618744,1.0026016481645441,0.997024848409097,1.0008309909233786,1.0004345930609975,1.0014513114096741,1.0039146927753044,1.003326864617247,1.0072560053741195,1.003457430145413,1.0606970180454696,1.1273249040854725,1.4226905148105964
12-2807321,,,,,,,,,,,,0,0.9949974311132744,0.9917572118284093,0.98581865156804,0.9937105536360691,0.9959284640755883,0.9969009671522052,1.0016311960919557,1.001099567983945,1.0061970876008692,1.0019191332221118,1.0715178071907856,1.1538081026507716,1.1702145306031113
13-2807322,,,,,,,,,,,,,0,0.9868361120571858,0.9795299806397229,0.9930518646470015,0.9962170080828778,0.9980564162380615,1.0018895494879958,1.0022507953286304,1.0081027707094457,1.0021604311469114,1.083200359349719,1.178615388904424,1.1941707298677444
14-2802306,,,,,,,,,,,,,,0,0.9735162192469298,0.9962134502923976,0.9986333397456089,1.0002816839489812,1.0056805230519743,1.0050241911979017,1.0107892636096913,1.0044655458029907,1.093980323678789,1.2006223109982264,1.2147011844862414
15-2803637,,,,,,,,,,,,,,,0,1.0329938543542145,1.0085218283530506,1.0077020502369118,1.0119309105431311,1.0101728397841052,1.0175466850206238,1.0096754788557498,1.112927302978982,1.2374125164352283,1.247683717174927
16-2802324,,,,,,,,,,,,,,,,0,1.00111062843594,1.0028804832914626,1.0091446676402909,1.00761977246524,1.0156004691310527,1.0069718821480351,1.0043457345887914,1.087333032924179,1.1198109873202657
17-2805421,,,,,,,,,,,,,,,,,0,1.0058074231552838,1.0159579006220876,1.0115680466460195,1.0224884490731792,1.0094422327286239,1.0054024394505994,1.0052323851696892,1.0042302726028332
18-2806664,,,,,,,,,,,,,,,,,,0,1.011560100050612,1.006650100675982,1.0233650627897046,1.0058144435159744,1.0018135670434083,1.0020586011069723,1.0022620493689145
19-2806665,,,,,,,,,,,,,,,,,,,0,0.9782683253827207,1.0190208440084911,0.9940961809059511,0.9931473251624162,0.9948244471114266,0.9971943763967681
20-2805423,,,,,,,,,,,,,,,,,,,,0,1.0620482409318992,1.004598856197077,0.998208259876532,0.9981153242633566,0.9997637560730096
21-2805016,,,,,,,,,,,,,,,,,,,,,0,0.9074174250620506,0.9678784304263514,0.9775848046717746,0.9881235854338541
22-2804853,,,,,,,,,,,,,,,,,,,,,,0,0.9914882513016142,0.9956646776795469,0.9990758903461849
23-2805042,,,,,,,,,,,,,,,,,,,,,,,0,1.003760259361479,1.003117197698833
24-2805063,,,,,,,,,,,,,,,,,,,,,,,,0,1.0005893811270605
25-2803817,,,,,,,,,,,,,,,,,,,,,,,,,0
