순번_정류장ID,1-2802586,2-2802349,3-2802577,4-2802581,5-2804851,6-2803664,7-2806670,8-2806089,9-2805031,10-2806722,11-2806724,12-2807231,13-2805770,14-2806725,15-2805822,16-2805054,17-2803769,18-2804876,19-2803770,20-2803820,21-2806041,22-2805551,23-2804418,24-2803624,25-2805039,26-2805309,27-2805206,28-2805004,29-2805552,30-2802568,31-2802551,32-2802377,33-2802356,34-2802518,35-2802493,36-2802471,37-2805716,38-2802464,39-2802451,40-2802426,41-2803019,42-2803578,43-2802646,44-2803032,45-2803031,46-2803025,47-2803023,48-2803016,49-2802995,50-2802957,51-2802933,52-2802891,53-2802879,54-2802621,55-2803274,56-2803264,57-2803257,58-2803253,59-2803249,60-2803230,61-2803135,62-2803124,63-2803099,64-2803044,65-2803041,66-2803066,67-2806058,68-2805447,69-2805651,70-2800369,71-2800373
11-2806724,,,,,,,,,,,0,1.0100214715806193,1.0017283846795626,1.0000693294684906,1.000300854122963,0.998681797601728,0.9983122185139607,0.9977327817351666,1.3308109633674199,1.4207346515073551,1.3794817306004734,1.3565956587941623,1.3187366411201569,1.2939327748965002,1.3262097455153183,1.3032664590520904,1.2804474762164912,1.2702350051675304,1.3115442995114746,1.3481752452477886,1.3166991871515914,1.2999916576513688,1.2878738032854384,1.273884047183041,1.2673521701502244,1.2580361996453095,1.262151973721444,1.2857357397337146,1.2756276857208089,1.3562039594970603,1.3337354918550706,1.325568770035343,1.313174243876914,1.3045628268968759,1.2979415074082332,1.2937443402010433,1.2903815463082629,1.2975099421140883,1.300809433007744,1.295183611126149,1.320733936473939,1.3542480488549382,1.3479502673675063,1.36691655748711,1.3583715764080417,1.3459704270455048,1.3413658772383603,1.3302497859766869,1.3238980384342194,1.3138249793812253,1.3929553981875356,1.3877139728617243,1.424352732539888,1.41227333213177,1.4066570144310881,1.402369633243381,1.4290206143327742,1.4216975444044382,1.415803953714322,1.3968544431905996,1.3881531690036328
12-2807231,,,,,,,,,,,,0,0.9924980771793331,0.9936285817987056,0.9961307173990634,0.9955427244747697,0.9958651128610397,0.9956696840495385,1.1950724670976116,1.2633637693633761,1.234913645684034,1.220823818436363,1.1973122234660696,1.1819260048851954,1.1719596745018845,1.165368776076663,1.1535099008389211,1.1478574277463192,1.2231493899612162,1.2412822488452422,1.2201919898161249,1.2122824170038575,1.2041058389355825,1.1942280740590057,1.1898047614855873,1.1834099086245748,1.1891769076314045,1.212524738299163,1.2051712220384359,1.2824926317968286,1.2675187987485133,1.2611692016796419,1.2515333424350616,1.2445586741117793,1.2393879361050568,1.2360028098362184,1.2331877241501568,1.2408648158749136,1.2449231293319223,1.2405522163771259,1.2652721637928188,1.2981566288166928,1.2930912635337308,1.312404358694569,1.3053043730730842,1.2945906449923705,1.291073717984491,1.281574784179073,1.276580593013706,1.2680622713325007,1.3457123977700403,1.3414799378281634,1.3774607294120884,1.3669813040397853,1.3620558822246336,1.3581903461531832,1.3846854966324011,1.3782454181099064,1.3731482551728784,1.3563881043470805,1.3489093696269392
13-2805770,,,,,,,,,,,,,0,0.9951993036066937,0.9984085121862495,0.996550229158925,0.9966435643724899,0.9958191674708061,1.1435023159757844,1.2154355912128019,1.1889774828797455,1.176872670480379,1.1568077275077455,1.1438520422195753,1.136044693072748,1.1314978492503267,1.1215035255908983,1.116659685670252,1.195437363759581,1.2196212114626286,1.1998330627561318,1.1935174963613282,1.1859121512675916,1.1766125186665082,1.1725185645278065,1.1665836690195501,1.1729012893752442,1.1969003528081166,1.1899277879332946,1.268700636645663,1.2547478581591345,1.2487357797489902,1.2392339111561177,1.2324443488940344,1.2274469238549095,1.224280875400979,1.221406295803274,1.2293496887437776,1.2337374694817655,1.229523190804166,1.2545413987802414,1.2880530362244624,1.2831678516906482,1.3030458523556625,1.2960662583754616,1.2853688811924087,1.2819604809492229,1.2726850670958925,1.267612100250958,1.2593402515629477,1.3381455001910165,1.3339081374553343,1.3704404190371589,1.3600072207977245,1.355105031873483,1.3512548256794044,1.3782882612285114,1.371681724079594,1.3666825066686237,1.350010754588099,1.34258737373693
14-2806725,,,,,,,,,,,,,,0,1.001051139403017,0.9969729865990112,0.9969318649683429,0.9959100214234708,1.1145278834646617,1.1938913005402527,1.1674667583668716,1.1560231890921506,1.1372239661789971,1.1252483127142452,1.118428867633931,1.1148898259418913,1.1058181501935034,1.1015431619501672,1.18340090941126,1.2108487143532634,1.19127983205866,1.1855788519376211,1.1781191742042394,1.1689542904265626,1.1649577697416482,1.159160322688452,1.165809876696614,1.1904009667882067,1.1835089241124515,1.2639722192937841,1.2502015762291585,1.244319122315472,1.2347945837589644,1.2278809592766995,1.2230078300255645,1.2198506256065063,1.2169632151577565,1.2252034413137003,1.229616812817676,1.2254184940910764,1.2507467344643555,1.2848503159527864,1.2798266559122047,1.3001870051041107,1.2931680898120765,1.2823949112089925,1.2790862853059994,1.269570998403607,1.2646726980266798,1.2562006526154548,1.336127815749832,1.3320576285466763,1.3690243477982174,1.3584859133096348,1.3535370343323647,1.3496505098904583,1.3770668022481285,1.3704803649050303,1.365342613197562,1.3486092879734037,1.3412082263596663
15-2805822,,,,,,,,,,,,,,,0,0.9944731181385343,0.9956129014588857,0.9953732571481553,1.0623889979602852,1.1497243494492884,1.1254839324298578,1.1162960400205715,1.1012695847552283,1.0918615062884747,1.0872908299072763,1.0858523511348468,1.0788332786493755,1.075328525886695,1.1611034591160563,1.19431704543365,1.1756931446356798,1.1713048738634335,1.1642697635931214,1.1555240732013312,1.1517760958433447,1.1463244427441384,1.153475821929796,1.178767708939824,1.1721384678774394,1.2544471823111856,1.241464259084508,1.2354463709948051,1.2260524012245053,1.2194677213316767,1.2145791694787158,1.2113764108542637,1.2087271798485206,1.2168917805112867,1.221394275223741,1.2172977205320759,1.2433930652966758,1.2781722250802117,1.2733855320287006,1.293766392776634,1.2869014459089692,1.2761485871291522,1.2728996486273978,1.2634248908830374,1.2585769521445471,1.2503530515112489,1.331444022611266,1.3273114658950753,1.3650617269747782,1.3542888208408828,1.3493238476981793,1.3455142058949832,1.3732913566972624,1.3667594404798415,1.3616834882281557,1.3448153449798996,1.3372468341544113
16-2805054,,,,,,,,,,,,,,,,0,0.9950759430775445,0.9949735468687874,1.0895775148837792,1.2082935222393223,1.1678888732195742,1.151742846529055,1.1272323754392382,1.1127891601810656,1.1053058144209216,1.1020332026502193,1.092526518971054,1.0873429242386072,1.1870655125037048,1.2182316194594458,1.1949425038897248,1.188099953101821,1.1795753048569042,1.1692418546666956,1.1647761659908462,1.1583456868001891,1.1657319994111512,1.1929618432267493,1.1852554665922654,1.2746460146904819,1.2583830237802116,1.2515690034068045,1.240778265303633,1.2333455866923466,1.2275652648408262,1.224075297401855,1.2211476004143886,1.2296533010143624,1.2344682252000598,1.2297198089710484,1.2575056792371293,1.2940419909117291,1.288697328691996,1.3100478382081187,1.3023365422424427,1.2905752519224298,1.2868733058024036,1.2764497401679353,1.2709760624007667,1.2618400803184373,1.3469703335993075,1.3425055241051453,1.3819489131177836,1.3701514907406183,1.364921413572012,1.3606729485895925,1.3895327036974974,1.382437776594226,1.376651374852713,1.3582383623245728,1.3502808519085197
17-2803769,,,,,,,,,,,,,,,,,0,0.9948689417528871,1.0099842799483172,1.021900406957878,1.0054015846975461,1.0055532274476742,1.0047772492316953,1.0043452098454044,1.007538227613253,1.013239608128855,1.0126800215176817,1.0110698443439334,1.1163261609845057,1.1665102386141484,1.148175327996557,1.1461944635473085,1.1395364661779706,1.1310852925864958,1.1276248789807073,1.1225767272006497,1.1312009849376397,1.1594209588096442,1.1528899986512449,1.2439798972197316,1.2308999993988876,1.2247801836389507,1.214971141377477,1.2080115230524877,1.2029977557103668,1.1998382236266811,1.1968436062974486,1.2058213152158568,1.2109680111423036,1.2067942254940742,1.2350401776185214,1.27264443698549,1.2673429992137182,1.289398150165281,1.282137695127522,1.2708770765966704,1.2673940888773372,1.257556144433551,1.2524146526755613,1.2436847223848695,1.3302787865142507,1.3261035094413833,1.3662291461797482,1.3549321942722192,1.349547762455749,1.3454033201029283,1.3749849632313211,1.367932518214318,1.362444130088352,1.34458776884499,1.3366966017062032
18-2804876,,,,,,,,,,,,,,,,,,0,1.0270638080384216,1.0397290439579698,1.010039583991238,1.0094947828893115,1.0075018288310693,1.0065075252430962,1.0102008620632752,1.0168310816336863,1.0153579196595888,1.0133172145946687,1.1380753999439914,1.1888052161801084,1.165475061903368,1.1612007719444108,1.1530498017144672,1.1430158929242196,1.1388625936062353,1.1328766532995251,1.1418774981434467,1.1723046493129776,1.1646926015104957,1.2631665325290142,1.2468413676153745,1.2397673115748917,1.2286590000445228,1.2208250355681443,1.215286265055184,1.211720184308578,1.2081730288778354,1.2180337371126544,1.223291238617368,1.2185711642681873,1.2481262072354218,1.2878486385054173,1.2819524649100278,1.3051709065884243,1.2969075997296178,1.2845030429910664,1.2806678240289782,1.269761551834879,1.2640851351171265,1.2547235493260898,1.345313445074139,1.3403893837345746,1.382465130632555,1.3700226426636364,1.3643716324254498,1.3596707258428864,1.3904676450144662,1.3827372022980673,1.3769078352940365,1.3576570274440336,1.3490257056558164
19-2803770,,,,,,,,,,,,,,,,,,,0,1.0609422611141497,0.994919770200669,0.9981258563576517,0.9992145998497944,0.9996757499378128,1.005528274169129,1.014399173251365,1.013008155241131,1.0107335767202543,1.1593964437297832,1.2101041071304572,1.1810622749526352,1.1742990281248273,1.1645796535899817,1.1529177622127154,1.1480668431826102,1.1411494133309825,1.1505654324238963,1.1832655230291265,1.1745715379214434,1.2811613739743115,1.2612610846692645,1.2530578711597689,1.240650703891293,1.2320946374062158,1.2255002071069612,1.2216810522809634,1.2179608649520781,1.2279689436149839,1.233478681323181,1.2282427904697735,1.2595463404586045,1.3013562467145388,1.2948751116424198,1.3192548410152838,1.310118498936119,1.2967145210642235,1.29219128186489,1.2804715875297072,1.27427979650222,1.264026457071199,1.3585564666013663,1.353218320475946,1.3970830888945096,1.3836259832736353,1.3774184008152268,1.3725828273833887,1.4043490915330443,1.3960574952874412,1.389808306237539,1.3689490311373262,1.359981154119496
20-2803820,,,,,,,,,,,,,,,,,,,,0,0.9168529365688892,0.9565296261833827,0.9771876529535986,0.9836796361824366,0.9938742453841501,1.0061378038866955,1.0064793927090292,1.004385882037681,1.0509940204520503,1.2224778119433426,1.1894296217160505,1.1810685345927845,1.170339876884167,1.1576476161055227,1.1523683760494678,1.1448862686728505,1.1546202649022375,1.1888465547924738,1.1794795602350137,1.291017804067873,1.2688103967168263,1.2603364486374935,1.247111761356253,1.2377232853326132,1.23101957425081,1.2268233154824302,1.2233346669832381,1.2336080083572936,1.239070739086428,1.2335141354811947,1.265729877606242,1.3087442976118786,1.3021769995769208,1.3272301694107824,1.3175463934271174,1.3033196916064584,1.2986395815682699,1.2863478276051077,1.279840924086155,1.2691050370126216,1.3661388472962224,1.3601333996108207,1.4053583769364593,1.3911612057118825,1.3847883967816588,1.3797444077556564,1.4121894382520352,1.4035523396929162,1.3970456952910029,1.3753179046464354,1.3657928695050185
