순번_정류장ID,1-2801796,2-2801793,3-2801779,4-2801766,5-2801756,6-2801749,7-2801743,8-2801185,9-2801687,10-2801184,11-2801665,12-2801604,13-2801520,14-2801485,15-2801450,16-2801438,17-2805321,18-2801462,19-2804438,20-2803644,21-2803555,22-2800688,23-2805582,24-2800715,25-2800729,26-2807073,27-2807056,28-2800799,29-2800804,30-2803056,31-2802651,32-2802638,33-2803669,34-2803046,35-2803045,36-2803071,37-2803082,38-2803093,39-2803107,40-2803121,41-2803125,42-2803232,43-2803181,44-2803254,45-2803258,46-2803263,47-2806495,48-2802802,49-2802806,50-2802840,51-2802886,52-2802934,53-2802984,54-2803020,55-2802429,56-2802467,57-2802470,58-2802465,59-2802463,60-2802460,61-2802450,62-2802455,63-2802438,64-2803517,65-2802422,66-2802418,67-2802415,68-2802412,69-2802372,70-2802474,71-2802487,72-2802530,73-2802546,74-2802562,75-2802571,76-2802581,77-2804851,78-2802588,79-2806672
11-2801665,,,,,,,,,,,0,0.9984024322659146,1.0027975026673268,1.0002551619942925,1.0009944340469423,1.003297581981676,1.0762494443025643,1.069452230824514,1.0598616110910428,1.0385534491569826,1.0347596644170167,1.0310369971381752,1.0588801263989096,1.112113625693311,1.155092500939048,1.1412255496833135,1.1522619767416897,1.2896470925617003,1.3688287768934289,1.4423670250936074,1.4140031721766921,1.4011065104363298,1.3823273087347634,1.367506225561593,1.3621125698815735,1.3556686544035248,1.343483782610946,1.3294672285988491,1.3201884440602862,1.3141145449606277,1.3263387387904078,1.37241897611258,1.3616450130194988,1.3949443584286751,1.4829559981945502,1.5517510337479923,1.6466753727859866,1.7294269099555577,1.7908571904353308,1.840467378636967,1.8048262160946873,1.7677299792988397,1.752787470085961,1.7630915877525977,1.7149177070280388,1.6808536521096826,1.7780455062413556,1.8488491911319733,1.9004733803204457,1.9687461835051614,2.0837440410876797,2.1895369609512514,2.169318018978501,2.134313952782513,2.293510824242336,2.385048535652413,2.508050729535244,2.5911862059926087,2.5180886977748793,2.460665288406335,2.4290671260105983,2.3771727106377334,2.315902909267222,2.2788831653046646,2.2483754580570876,2.2128343787107156,2.2194511161149735,2.1846174506135725,2.1769281045900706
12-2801604,,,,,,,,,,,,0,1.0062599933628986,1.000487996702469,1.001573907386436,1.0046522776959241,1.0034675193208937,1.0049887432164948,1.0043823285945888,1.003354728117421,1.0033487201672,1.0023109397800962,1.0144440306826172,1.0690870067913656,1.1140156231126193,1.1031550866897926,1.0935519990155107,1.1189573593313136,1.166223590669525,1.2306621594483695,1.217706839015156,1.2112012289538594,1.202058934437077,1.19479859215315,1.192061058495822,1.1892133533675517,1.1833076400464295,1.1764189132642942,1.171832731448726,1.1688963482178056,1.1859578154006967,1.228859651828031,1.2235036212203516,1.2547162014698707,1.3326216683965906,1.3939326053857297,1.47747470480079,1.549700631602528,1.6059259096237648,1.6520528328431154,1.626627408572552,1.6001028053425723,1.5894366649832423,1.6022802747677058,1.5683543663619315,1.5424170416346143,1.631029130390091,1.6946124376763458,1.7405862602688358,1.8016866353729613,1.9038528155677703,1.997465074752284,1.983449481157837,1.9554681433591081,2.097738906041196,2.1783854025080984,2.286617086743684,2.3607037854999646,2.302262809012885,2.255972052105721,2.230115795491285,2.1882856352734996,2.138065245374743,2.107683947370655,2.0828151651464775,2.053689356162103,2.0632456051229577,2.034515281016672,2.0281360194192133
13-2801520,,,,,,,,,,,,,0,0.9907332192904494,0.9976397920610901,1.0038503643456635,1.0025762695544636,1.0046503059292906,1.0039921800238358,1.0030200086981116,1.003056093385875,1.001954569322637,1.0149982204484471,1.0749907979799507,1.1241006786400198,1.1111870566680286,1.1002804117550282,1.1273375702729262,1.1224920198164614,1.14378092210522,1.1360129497563223,1.13206830940558,1.1263473457679414,1.1218586806187618,1.1200384677723876,1.1185960210287602,1.114744380510478,1.112686839403566,1.1095588962540361,1.107900810139744,1.1269956953034463,1.1678169840614068,1.1647876034498712,1.1578665977350864,1.2253768805271774,1.2780208659652392,1.3530737820515608,1.4184297628027018,1.4706780268402389,1.5155028415525378,1.4958758830053422,1.4763269923813593,1.469028495290482,1.4836242293748678,1.4595796919145474,1.4388925119602838,1.5215133063679063,1.5796247739075329,1.6218561710938317,1.67764237938051,1.770954771188615,1.856075692558418,1.8460877346810303,1.8228853751967753,1.9530913854252734,2.0264928726059406,2.1243081196030302,2.192308124499352,2.143572878192275,2.1046659607417593,2.0828988662084837,2.047825476704861,2.005552459142262,1.9797800884451007,1.9587093533713178,1.9344617732038698,1.945882828608731,1.921060496162664,1.916106235699597
14-2801485,,,,,,,,,,,,,,0,1.0044586668680462,1.009343973524074,1.005333920962406,1.0072529616359325,1.0058494171108725,1.0039189794707022,1.003835420886711,1.002587594430569,1.0165160317349782,1.079790364207893,1.131763974125214,1.1175858848540534,1.1056854735533868,1.1336267408359535,1.1283509468579818,1.1504167388912792,1.1420574143683735,1.1376452776909731,1.1316019279595746,1.1267561116007783,1.1249280229121166,1.1230949815702318,1.1192074559569138,1.116673096396488,1.1134518438667491,1.1116683556027285,1.1313013379935435,1.1731339834494057,1.1699404011105725,1.162557881159479,1.2320544575563521,1.274124154428272,1.350959186231604,1.4174971292813305,1.4395318761597358,1.4412465155730139,1.4250310484370141,1.4090738085460328,1.402982744716835,1.418604236512837,1.399488346386798,1.3819530501571016,1.460814945836141,1.5162525619683378,1.5564057516588075,1.609436699893586,1.6978083190468733,1.7784123663535079,1.7703509040620153,1.750169986581371,1.873911657618379,1.943378236062572,2.0358180919971143,2.100670793796044,2.056754863768692,2.021786177524945,2.0023124479976904,1.9705930521270238,1.932388414356937,1.909042310917337,1.889835312637986,1.8682213404250778,1.8805994524606053,1.8580162702616867,1.8535346868997153
15-2801450,,,,,,,,,,,,,,,0,1.0082689043067496,1.0036551060533092,1.0064254068543546,1.005033577091225,1.0033705173226923,1.0033605064841742,1.0020919429608701,1.0022444233969852,1.001176226708809,1.0443979807716628,1.0390838590377185,1.0332482112983685,1.0632080462360998,1.0603972628975504,1.0835266714634273,1.0797819703222584,1.077028233080968,1.0735480678791516,1.0710094801176602,1.0698790046224924,1.0691757178258177,1.067080085087652,1.066734439397144,1.0646587277759236,1.0639145624532047,1.0849713889654924,1.1264024024454433,1.1246431002662889,1.1188721336328475,1.1860761332834353,1.226976483426272,1.3012660961677407,1.365307327314161,1.3879498128319934,1.3782224264680516,1.3643822340739944,1.3512257340356602,1.3467700417464092,1.3625906447110838,1.3477146898054355,1.3326773082478969,1.4087109829375748,1.4620278467222172,1.5005277039911595,1.551248997738503,1.6358212862031893,1.712864031429793,1.7064731784593723,1.6883323368827934,1.8072443537449574,1.8737815525560058,1.9618537725594343,2.023913428206981,1.9839638531424553,1.95227878718813,1.9344811190600069,1.9055706946608961,1.8706125553536221,1.8492092938972966,1.8316175988936474,1.812005805760647,1.825047888478361,1.8044002122833485,1.8004105929435679
16-2801438,,,,,,,,,,,,,,,,0,0.9969804922813522,1.0034054859478048,1.0027495149686887,1.0022043905994937,1.0023797955335478,1.0011198736139668,1.0013245619140019,1.0001987209074614,1.0036685834791859,1.0025331112284064,0.9989086557957214,1.0313717845333386,1.0295733154641225,1.0359842320943777,1.0350576169049754,1.0335211980876577,1.031883310745665,1.0307203178078794,1.0302743757567634,1.030272461271599,1.0293063719231326,1.0441530975078213,1.0427488396979419,1.0421950496677024,1.0646125012953573,1.0936084803037323,1.0929699463467855,1.0882465207652077,1.15491000800334,1.1959109595760475,1.26962904265735,1.333432366855296,1.3566121038468242,1.3390769952647894,1.326868248081636,1.3152185469097573,1.3111498061242957,1.3020886261532416,1.2914593724648897,1.2786970290182205,1.3523199004518427,1.4031675811929067,1.4402858376405951,1.4890319145268904,1.5697363525200467,1.6435251857404292,1.6390780435956627,1.622692892530795,1.736903580699198,1.8003572774987648,1.884626914778931,1.9442715802448567,1.9083172214933983,1.8796474078033354,1.8631837671877456,1.8373216975174536,1.8055528752907959,1.7860650589198959,1.7700717722455814,1.752330979148944,1.7663456345726798,1.7473759700368485,1.74388253817724
17-2805321,,,,,,,,,,,,,,,,,0,1.0120148571463055,1.005500452873229,1.0029293881520862,1.0029989158212653,1.001471671567495,1.001688063593235,1.0004014119076101,1.0040862759941684,1.0029625109150233,0.9991045520128884,1.034387734304716,1.0321466317977555,1.0393196665989604,1.038088229474668,1.0364761558161406,1.034441984124365,1.0330924509962864,1.0325777942359955,1.0325317544934864,1.0314205451786163,1.0470849639982494,1.0457327097031708,1.0449717337214561,1.068646174530328,1.0994552891033034,1.0983522139122484,1.0932884908087974,1.1642147016305162,1.2074975667653813,1.2861078033357394,1.3543972908247333,1.3786625473953755,1.3589641211785497,1.3453180174239476,1.3322542607432586,1.3276085178646928,1.311694610245978,1.2892427784504688,1.2762458548407283,1.3177599563262918,1.3684549900011085,1.4051002543444064,1.453765287839224,1.533978596250832,1.607220674644514,1.6036843325411443,1.5880627034243304,1.696025184687959,1.7589942732119772,1.8424628556066371,1.9016261299677433,1.8671289468222543,1.839490680607084,1.8239737468867974,1.7990802209387937,1.7684915720144447,1.749809450115745,1.7346275303228011,1.7176657854199044,1.7324705527758282,1.714397805027348,1.711142932953382
18-2801462,,,,,,,,,,,,,,,,,,0,1.001664691658953,1.0017762145795888,1.0020890824205586,1.0005722197725484,1.0008505729744386,0.9994984001828093,1.0034990980301408,1.0021770821683706,0.9981584269040656,1.0356593521080626,1.0332450922809744,1.0382967669043817,1.0369311845394646,1.0354294435156879,1.0333597876834275,1.031999752464411,1.0314818799520526,1.0315834646668876,1.0303414008961378,1.0484338743733908,1.046755462365616,1.0462911783635047,1.070401734826156,1.1006405319100219,1.0997881408773518,1.0943077692288048,1.1673961448590893,1.2122172741401194,1.2936070609422272,1.3644620680095454,1.389372780941903,1.3684769776866073,1.3540431225949556,1.3402142870408535,1.3352614210798677,1.3185780117224513,1.2949178753934902,1.2812741085076051,1.3241815202054472,1.3762780342686498,1.4138605686927366,1.4637155283459857,1.546635525331266,1.6222542550058077,1.6178699344394716,1.6016089147302364,1.6872220193808467,1.7507117838827397,1.83476242251885,1.8948589700076808,1.8599013059698606,1.8324936337360578,1.816635198283424,1.7915692990287753,1.7612271284336993,1.7426625504217041,1.7271041461311791,1.710432753839684,1.7253860713159677,1.707329777228424,1.7042142963980547
19-2804438,,,,,,,,,,,,,,,,,,,0,1.0018068607003647,1.0021768607492605,1.0003871157289395,1.0007205310191585,0.9991688054720984,1.004019677996422,1.0024617995293483,0.9977650210241914,1.0392914237467916,1.0366591218074264,1.0335025102640036,1.0325591764165645,1.0309301714570727,1.029089730413153,1.0278196435820457,1.0273366394264993,1.0273969594185612,1.0261038866716756,1.051833119803714,1.0499331264580303,1.0493675364165205,1.075105581388039,1.1011994249553916,1.1000458988151856,1.0943804003035724,1.171446888040089,1.2113150321486048,1.2659842676765074,1.3378296265922902,1.3638455395560463,1.3438326452932132,1.3300422161615437,1.3169809584682888,1.3124395193651626,1.2964247479831725,1.2740796426625922,1.2611667022992747,1.3045813482553419,1.3570986182970164,1.3951931813467786,1.4456299358620548,1.5298478117246634,1.6065315439322752,1.6025683367363013,1.5861233346895764,1.6732964588251769,1.7377628767731554,1.823203862916805,1.8842489866583327,1.848990734208438,1.8215495087192604,1.805733638485334,1.7805415645747584,1.7499363710793816,1.7311868250841975,1.715857319586594,1.6992172459706123,1.7143843130233003,1.696436678246482,1.6932405214555752
20-2803644,,,,,,,,,,,,,,,,,,,,0,1.0033028946015576,0.9981039491245975,0.999211785668054,0.9958956923240908,1.0064498414487715,1.0030013362526968,0.9953112225330926,1.0631368610271024,1.0572857404551215,1.0504542838671,1.046893164733375,1.0440584079755277,1.0404814129273723,1.0380196909837625,1.0369181386417452,1.036909620123505,1.0350202385958729,1.0687204809502842,1.0656598393877352,1.0641245123656846,1.096833241114808,1.1299473313505033,1.1271635263614888,1.1187777861124408,1.2181776197467582,1.2692698988480637,1.3014075314183746,1.392947017076161,1.4242498684600555,1.3955244087327383,1.3760051952875803,1.3578764772542191,1.3513102184065948,1.3301442576223186,1.3006108911669851,1.2840143953915606,1.2949808782020809,1.2885964910777283,1.2832576734838443,1.3241662634868039,1.4071313791373605,1.4829851018810385,1.48176898201864,1.4682897338646739,1.5089425783946688,1.5697341936099858,1.650695055199153,1.7095001309279598,1.6811522325986685,1.6588058160917991,1.6459425552147862,1.6259459079611343,1.6012372238204975,1.5860635070992999,1.5737616071213223,1.5609287020383884,1.578956120068837,1.565815450934038,1.5931722487858035
