순번_정류장ID,34-2800505,35-2800509,36-2800511,37-2800514,38-2800516,39-2800518,40-2800522,41-2800531,42-2800540,43-2800546,44-2800539,45-2800545,46-2800337,47-2800559,48-2800572,49-2806839,50-2800578,51-2800584,52-2804897,53-2806519,54-2805052,55-2804893,56-2805221,57-2805232,58-2805872,59-2805230,60-2805331,61-2805579,62-2806912,63-2805449,64-2805840,65-2805560,66-2805838,67-2805334
44-2800539,,,,,,,,,,,0,0.9862267766164905,0.9945576679600802,0.9991665571207945,1.0009828356913626,1.0994706339989402,1.5802940898565292,1.964397991922727,1.4593041430823364,1.4354349375953954,1.3867960951387683,1.3605669314325772,1.3642592146737873,1.339068441366856,1.3268014960107146,1.3138125335799888,1.2837808147016774,1.269937709317798,1.2550789960775117,1.2346161404508265,1.2417164687419873,1.229447636442043,1.2739478555542263,1.3646264347519101
45-2800545,,,,,,,,,,,,0,1.019963466907453,1.0134981558300085,1.0126510231020436,1.1555753955206642,1.673516118787954,1.4921593551917554,1.2057978573206412,1.1970631592907712,1.1778412086052608,1.1662318686246649,1.2293001369214647,1.213689428191686,1.206068351802987,1.1981123707165922,1.1792370219018549,1.1712453142936372,1.1621576402507512,1.1492355840906145,1.157964715015287,1.1496170241536776,1.1927986780924567,1.2800024005160047
46-2800337,,,,,,,,,,,,,0,1.0098109142351483,1.0100912114721905,1.1818802241870803,1.8234203951526606,1.5673121316864271,1.215649404776817,1.2062170851284462,1.1847764379468575,1.1724658753420427,1.23818535887817,1.2210858003306464,1.2128984145697113,1.2043654152664967,1.1844646584802205,1.1757490324136204,1.166130630986678,1.1526915477235309,1.1614292988029375,1.1528471023478875,1.1971728342236434,1.286654805652251
47-2800559,,,,,,,,,,,,,,0,1.0105367138623642,1.2705673104350892,2.3707901186880407,1.783124538158822,1.2379468028759733,1.2261533318639988,1.2000169628680757,1.1858865862916097,1.2568481689101534,1.2370638302179844,1.2276460776972047,1.2178629786094617,1.1951298678414732,1.1854944328329977,1.174935043041767,1.1597189885088524,1.1689110521328907,1.159537581007625,1.2058733349559507,1.300385393173035
48-2800572,,,,,,,,,,,,,,,0,1.3953559770462642,3.3691395191471143,2.0318730349126732,1.2538493947309963,1.2401919627403466,1.2110031114379163,1.19497537829089,1.2696585502799875,1.2481810196263114,1.2378511342316971,1.2271479208070128,1.2022791631981566,1.1920640180421673,1.180320039831114,1.1644828757333856,1.1736966123967674,1.163785151673616,1.2117520230133696,1.3090779131528025
49-2806839,,,,,,,,,,,,,,,,0,1.0013070285671104,0.9939032013001374,1.0218436788422736,1.0238800350162862,1.023533797396387,1.0219054790439992,1.0961357440166106,1.0882394782939104,1.0847169610777918,1.0812995923900344,1.0724964870446956,1.0699108960810293,1.066297229663566,1.060698303913467,1.0719987904312849,1.0676975836031393,1.113426300132901,1.2060228539978743
50-2800578,,,,,,,,,,,,,,,,,0,0.9867655629424972,1.0249728429924436,1.0270283001875962,1.0261894887760603,1.024182973147903,1.1058913821377419,1.0961931780368936,1.0920136555214925,1.0881985057672963,1.0779797289801785,1.0746732164850497,1.0706974270844702,1.0641974164743533,1.076214922613728,1.0714486751580121,1.1195044100531615,1.217463403705437
51-2800584,,,,,,,,,,,,,,,,,,0,0.993975393798929,0.9988230203840726,1.0023667214890286,1.002327711368502,1.0906427421603522,1.0818971264507005,1.0781078054872504,1.074518939845103,1.0653432254329267,1.0629099562660895,1.0593720696794962,1.0538698553402077,1.0664849768007567,1.0620934642902211,1.112249369899794,1.2143737836440005
52-2804897,,,,,,,,,,,,,,,,,,,0,1.052503873883069,1.0192273675521326,1.01404893324888,1.0133885244647518,1.0273749022021437,1.0249005853106128,1.023427501609438,1.018025924925736,1.0192832311697035,1.0185954479939316,1.0163779245349978,1.036687237355943,1.032842296169199,1.1063612239203608,1.2605884445397357
53-2806519,,,,,,,,,,,,,,,,,,,,0,1.0047889172497644,1.003703259917173,1.0067454003139433,1.0235924258983158,1.0212345922432091,1.0200342448141517,1.0149562782167625,1.0166904201174347,1.016276967578643,1.0143053772506339,1.0358108997361641,1.0318529875759086,1.1091490915029227,1.272121599399306
