순번_정류장ID,30-2804062,31-2800299,32-2800293,33-2803938,34-2804530,35-2804532,36-2803935,37-2804070,38-2804545,39-2804546,40-2804068,41-2804542,42-2804538,43-2804536,44-2804065,45-2800296,46-2800298,47-2805077,48-2800301,49-2804454,50-2800294,51-2806305,52-2804529,53-2804056,54-2804604,55-2804598,56-2804053,57-2804051,58-2804596,59-2804050,60-2804594,61-2804047,62-2806409,63-2804592,64-2804044,65-2804590,66-2804042,67-2804040,68-2804038,69-2804036,70-2804033,71-2800268,72-2804528,73-2804527,74-2800270
40-2804068,,,,,,,,,,,0,1.0022567532275828,1.0009304650827207,0.9957995377980016,1.0012201295283887,1.0790491415346453,1.2694601540218653,1.4037712438540124,1.3363756393478166,1.2950535720031318,1.2648032699842542,1.2465680314922887,1.4324681207547,1.343607118852221,1.319776373158986,1.2733224393549984,1.2609885946923394,1.2537044016642493,1.2306700966352355,1.2119908455291517,1.1775832804660882,1.1716030286112031,1.1652085015891176,1.1554503750940694,1.1668958761768091,1.1643940701342248,1.161511744168049,1.1581561490190775,1.1545538690278259,1.1792588578592027,1.2795970624201927,1.3093383538228587,1.3778548456233057,1.4171869213912278,1.438444541946833
41-2804542,,,,,,,,,,,,0,0.9960702549279439,0.991447582540773,0.9985634865391454,1.0882968922549403,1.30948339209751,1.457963351888262,1.3727071803552748,1.3225119837029489,1.2865456370344508,1.2544463405740847,1.2546212557755978,1.208945568409876,1.1952028957212026,1.1682297316873484,1.1610081424011676,1.169561578438322,1.154523867375397,1.1425345253060917,1.119933998448833,1.1160966586671055,1.1118756997980672,1.1587991780390738,1.1702579913018274,1.1676413720593766,1.1646960238758175,1.161347089020301,1.157531851929914,1.1829268219561953,1.285407710237408,1.3158503811382734,1.3861031016649517,1.4262875576919753,1.4481257206651956
42-2804538,,,,,,,,,,,,,0,0.9832390372339296,1.0017254006280956,1.1434368801295698,1.5303964177128284,1.7257805581380692,1.5321773758888424,1.4359230395924247,1.372707140134745,1.3203221702702026,1.2908629761959536,1.2200019098967736,1.203509901982827,1.1720541982313328,1.1638349575515683,1.1727059426049218,1.1561021918642203,1.1430487102333748,1.1189054006754242,1.1148674775982017,1.1104418022944116,1.1696347352075096,1.1813175631647028,1.1783299451709273,1.1749519453290715,1.171039617635533,1.1668541315594956,1.193683403424889,1.3030494969211577,1.33534609993472,1.4106436995260876,1.453942948399667,1.4771921991523784
43-2804536,,,,,,,,,,,,,,0,1.0479903381642512,1.2223583703557375,1.8857572312648676,2.0819037512284257,1.7019926595757526,1.5445823869526587,1.4496905279225007,1.3759450656391483,1.3361577334384167,1.2449733926426678,1.224812611658736,1.1871960512173176,1.1775502138022613,1.184501752792322,1.165787398218016,1.1511739917171795,1.1245768831040883,1.12015535197262,1.1153422819370433,1.1767197524094013,1.1884385971928202,1.1852042488786512,1.1815383223463904,1.1773483379114407,1.172872788957853,1.2007572368053328,1.3144785274042199,1.3476799003842843,1.4261421012983562,1.4713444353186191,1.4954672472197006
44-2804065,,,,,,,,,,,,,,,0,1.2666142703527188,2.1837059028690513,2.329762494846411,1.7953841802453125,1.5979875374453318,1.4846546287563456,1.3994761144007533,1.3544870550002703,1.2538240040007969,1.232079776740758,1.1919213634730499,1.181711596818909,1.1880718361154758,1.1685581526842603,1.153375785095069,1.1259214672470061,1.1213731165934127,1.1164325170375422,1.1787550186937845,1.1905344987840685,1.1872112256753706,1.1834428222201587,1.1791523299040083,1.1745724047897816,1.2027803721101717,1.3182466528282777,1.3519981934874359,1.4317746336988102,1.4777696319792761,1.5022612154371293
45-2800296,,,,,,,,,,,,,,,,0,1.0190031686220777,1.0040390547975704,1.0055694512427955,1.0033049075593439,1.0033461004673696,1.002737099902311,1.0027801547402575,1.1292566628329987,1.1171602545702803,1.0955656398937794,1.0901989822011062,1.1148253390377227,1.1020917667799355,1.0926832847777372,1.0753901619045412,1.072715175827503,1.0696563071950673,1.1682552061085203,1.1814382191015378,1.1780273294798655,1.1742059216370921,1.1699803760434284,1.1653900853782901,1.1950022259248168,1.3165841924413872,1.3521480017017369,1.4366901290675755,1.4856383407681897,1.5115944584870362
46-2800298,,,,,,,,,,,,,,,,,0,0.9993240626935225,1.003205765707122,1.0012709962646802,1.0017252346598402,1.0013620748131264,1.001570511797197,1.016108323712693,1.0145864692881863,1.0122190466514118,1.011657983171303,1.0504588909738697,1.0446749670731175,1.0409222711427537,1.0332878790435007,1.0323226829153944,1.0309857348288618,1.1276721188035177,1.1427362533545822,1.140436805600022,1.137576327737009,1.1342565714609958,1.1305542779158522,1.1595127517814252,1.2770283478113331,1.3122133526189494,1.3938815128198532,1.44089372620393,1.4663668117317457
47-2805077,,,,,,,,,,,,,,,,,,0,1.0012794354893375,0.9988660790553163,1.000258109885016,1.00012984416232,1.0005925071025694,1.0045818596143403,1.003995039715789,1.003463483102635,1.0033767627516215,1.047678425422144,1.0417045081911473,1.0379629147881637,1.0304148852425123,1.0295115658338032,1.0282202405345928,1.0266246703499502,1.0336486935414793,1.0333707972877273,1.0335197636004336,1.032551849690223,1.0315148820999547,1.0579412310192453,1.1646641543723724,1.198684815202526,1.272448909684603,1.3150245638825477,1.3391723312850075
48-2800301,,,,,,,,,,,,,,,,,,,0,0.9958693337485742,0.9996091011588051,0.9996572386392376,1.0003679069860218,1.0051987298820397,1.004441779321096,1.0037407339445201,1.0036245324693447,1.0519131780902724,1.0449496851273339,1.0405864341917666,1.032077486577447,1.0310516831945307,1.0296225001164296,1.027822774206904,1.0244468259443875,1.0244209325494666,1.024730408533787,1.0239305850166625,1.0230741355553095,1.022926212869114,1.0798112142391958,1.1130910149976916,1.1811643438717616,1.220273647664554,1.2434002737631247
49-2804454,,,,,,,,,,,,,,,,,,,,0,1.003528869460502,1.001532012393574,1.0019758148826168,1.0068516439024173,1.0057509198708163,1.0046370677399592,1.0044399202548906,1.056359224135643,1.0483419681131267,1.0433193200041666,1.0338216043053936,1.0326683402207413,1.031099229228376,1.0290875217420816,1.02548317361788,1.0254346038781619,1.0257280093752652,1.0248779432591113,1.0239692759891952,1.0238032147537781,1.0229662950254341,1.0487887909145766,1.1128034600309498,1.1493981324703475,1.1717594088627503
50-2800294,,,,,,,,,,,,,,,,,,,,,0,0.9997454476569346,1.0011721402687819,1.0061732903261074,1.004995778612161,1.0039624768058657,1.003800713552209,1.0601109319285615,1.0510147497097013,1.045354682966197,1.0349508563822765,1.0336908096002908,1.0320026508639322,1.0298230234675683,1.0260266912216551,1.0259646223574346,1.0262534953262175,1.0253626841895835,1.0244119994534218,1.0242339383221326,1.0233503116343212,1.022283565470827,1.0511088344097503,1.0856513804317403,1.1073281026886068
51-2806305,,,,,,,,,,,,,,,,,,,,,,0,1.0031293736109343,1.008061556975505,1.0062306380312576,1.004626957929849,1.004377827539923,1.0661888793654617,1.0554046822957208,1.0487445288766057,1.036953659333295,1.0355238161098799,1.033653150598687,1.0312024239482263,1.027123117973116,1.0270337270855445,1.0273037006356567,1.0263522284395397,1.0253390046116153,1.0251395001127386,1.0241780858318206,1.0230430598287428,1.0225970822504007,1.0443040771410979,1.0884325166705875
52-2804529,,,,,,,,,,,,,,,,,,,,,,,0,1.0094054870627531,1.0068723421417016,1.0048212891266495,1.00452224845404,1.071183599464728,1.0588846415565467,1.0513572526356136,1.0384168891019718,1.0368511551903372,1.0348356314765712,1.032173362190455,1.0278756614203601,1.0277659953194687,1.0280225955044062,1.0270250662222595,1.0259645077494253,1.0257492245716069,1.0247302517494108,1.0235445327462322,1.0230720599311889,1.0453137362426184,1.0906445619132297
53-2804056,,,,,,,,,,,,,,,,,,,,,,,,0,0.9988779581632037,1.0006532305065352,1.0009191206480537,1.0965006520355176,1.074880896340588,1.0625226875396938,1.0438918965572446,1.041708737032601,1.0390502146316785,1.0354834385526173,1.030278228872572,1.0300915923282303,1.0303033315194083,1.0291214743260346,1.027873249318,1.0275988633287279,1.0263627900675805,1.0249843015779543,1.0244161241755994,1.048864780863108,1.098792802170273
54-2804604,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0013716736208131,1.0015418464658974,1.1110692687373547,1.0835552702671107,1.0683845327729087,1.0467549492768342,1.0442534741719882,1.0412768460590898,1.0372511802734807,1.0316281016323978,1.0313967381491325,1.031572481156693,1.0303063633449299,1.028972495681559,1.028667102756239,1.0273229656415999,1.0258547395634197,1.02523756126036,1.0504818146349382,1.102106365355366
55-2804598,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0020630455168433,1.1751525824825952,1.1158367423969093,1.0881293086889372,1.0552176316689559,1.0516323038678108,1.0476096074976946,1.0421127662923244,1.0352241218462535,1.0348564035840537,1.0349204522395428,1.0334077610708063,1.0318253521565635,1.0314296017081392,1.0297748320604054,1.0280529595160506,1.0272981983216765,1.0547484817233872,1.1111916696508182
56-2804053,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.033796300579104,1.0203547248201823,1.0164113838470994,1.0097263921429536,1.0096522871191183,1.0088835626596184,1.0090494519027848,1.0061946198183962,1.0067175142512237,1.0078589054384897,1.0072368216625822,1.0065827304532653,1.0067139995784882,1.006702214817678,1.0061224180236297,1.006209236320952,1.0337253346305788,1.0900040675716767
57-2804051,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9940935609761609,0.999571561303417,0.9987263916821537,0.9998265438459251,0.9998337685791832,1.001769397401206,0.9993436470232073,1.000248915372559,1.0019472516352004,1.0014319157449896,1.0008958388857483,1.0011965976360018,1.001620033332831,1.0012384149687512,1.0015593020076323,1.033713533515711,1.0995453491493012
58-2804596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0049575173091,1.0000972891433342,1.0012903114166891,1.0011079843337336,1.0030931908496414,1.0000895699199168,1.001085890898222,1.0029587554896566,1.0023340118246045,1.0016914137727142,1.002004165263113,1.0024008520634287,1.0019319081586584,1.0022483283745776,1.0373996171487514,1.1097047318064095
59-2804050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9980046249464929,1.0000038953976655,0.9999854235526884,1.0026963960157984,0.9992672887488389,1.0004644833335858,1.002657364384688,1.0019590527039925,1.0012504544107537,1.001617939936412,1.0020991986652323,1.0016004552362754,1.0019676234311818,1.0406688752205728,1.120945728409114
60-2804594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0087802358612377,1.002130543093164,1.0063378244723535,0.9994652366813694,1.0013567311241731,1.0046455989983403,1.0034462630549348,1.0022951902987918,1.002775079725702,1.003281959790086,1.0025000203850325,1.0029191128901338,1.0541776650111756,1.162036265824673
61-2804047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9960616120189795,1.0056394495148706,0.997860286667325,1.0001957048049142,1.0040675308702827,1.0027660440591877,1.0015423447735277,1.002113202587215,1.0027650531533818,1.0019709480106103,1.002463326739654,1.0577514456456252,1.1749919066839347
62-2806409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0100057372747333,0.9982785908883941,1.0010505821001574,1.0055151440402215,1.0038549102740157,1.0023410943464093,1.0029444409497068,1.0035348078489892,1.002571677574512,1.003059568363396,1.0633847854521883,1.1927195992633224
63-2804592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9860390847297591,0.993610594542667,1.0025624945442182,1.0004508991160346,0.9987375090375877,0.9998978984409733,1.0013560426371324,1.0004375111258204,1.0012760387237731,1.0773282851427766,1.2442844732513079
