순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2803599,11-2804712,12-2800276,13-2800277,14-2803597,15-2806642,16-2804030,17-2800279,18-2804029,19-2800282,20-2800284,21-2800285,22-2803933,23-2800287,24-2800288,25-2804793,26-2800291,27-2807413,28-2800297,29-2800261
11-2804712,,,,,,,,,,,0,1.0100542835167436,1.0029424875760617,0.9928431937147508,0.9973661315114888,0.9976470179718173,0.9970138137364567,0.9968384519699881,0.9997801205430271,1.0014357404996028,0.9987545445752424,1.0021149224951142,1.0008466404394607,1.0011380798533298,1.0005760320253638,1.000192362104869,1.0009490024152488,1.0426436843319153,1.091366983768351
12-2800276,,,,,,,,,,,,0,0.9959408049220014,0.9880589190633801,0.995534339143586,0.9959969569004056,0.9956504830047581,0.9957527112502875,0.9990337567307291,1.0009235008550406,0.9981436680208335,1.0017497858897428,1.000500871143643,1.0008222307511943,1.000257973541519,0.9998812449357031,1.000785978614818,1.0436968475502229,1.0935358502937582
13-2800277,,,,,,,,,,,,,0,0.984957926021413,0.9954644922921393,0.9960057267359879,0.9956159909067279,0.9957355864745241,0.9992801582375768,1.0012436286544018,0.9982716582625671,1.0020344438987467,1.000826189961893,1.0010044262968913,1.0005388473061683,1.0001322231410747,1.000939244601359,1.0451409652677295,1.0966861860795496
14-2803597,,,,,,,,,,,,,,0,1.003612037013383,1.0032783546563102,1.0002261651377284,0.9989801146066563,1.0029162057250585,1.004421871968664,1.0005784868412235,1.0044637680805024,1.0024440507761463,1.0026861320793947,1.0020740688884444,1.0015265043747335,1.0023363889097603,1.0501518040527429,1.1062473777281279
15-2806642,,,,,,,,,,,,,,,0,1.0014038809508954,0.995953987291568,0.9953387129155763,1.0020356847374443,1.0043190640409725,0.9993862923721031,1.0044044784811046,1.002246883134676,1.0025414308250338,1.0018501858755295,1.0012461774510706,1.002174288296373,1.055749658190248,1.118978721176387
16-2804030,,,,,,,,,,,,,,,,0,0.9943752801515349,0.9945668012657876,1.0020955938689384,1.0045046422719826,0.9992770766285304,1.0045294638661681,1.0022728323775478,1.0022160910053763,1.0016957889401632,1.0010890354122322,1.0020474148355563,1.0567944800684912,1.1214753976891583
17-2800279,,,,,,,,,,,,,,,,,0,0.9947168859937993,1.0058525464382058,1.0073576388765157,1.000399319047229,1.0062347773085674,1.0032196906903958,1.0032739176441738,1.0022527781523272,1.001877002450647,1.0025561952668338,1.0618935043868567,1.1322186123410272
18-2804029,,,,,,,,,,,,,,,,,,0,1.0077274740933233,1.0088380106375414,0.9986580041465051,1.0066540777321116,1.0027032920009826,1.0028176959026178,1.0018976925859495,1.0011277500846805,1.0022948228852102,1.068302671750573,1.1472712438335717
19-2800282,,,,,,,,,,,,,,,,,,,0,1.009425775792471,0.9955543330210139,1.0064362036688121,1.0023589707020668,1.002780757688703,1.0015399161442307,1.0007381510666684,1.0020316697529126,1.0733896678353823,1.1587816457012652
20-2800284,,,,,,,,,,,,,,,,,,,,0,0.9701765131196367,1.0045764474227314,1.0001528085071705,1.0009973944489077,0.9999649261781596,0.999199042632075,1.0008710781628714,1.084398942933028,1.1860153820928543
21-2800285,,,,,,,,,,,,,,,,,,,,,0,1.022299814310614,1.0058628129952276,1.005531432269866,1.0037181495425678,1.0025968582162488,1.0041269772255368,1.0960091166144743,1.2093695810123517
22-2803933,,,,,,,,,,,,,,,,,,,,,,0,0.9956964489265738,0.9982817653776864,0.9971472121233836,0.9965403004626561,0.9992694446186697,1.1149320730830872,1.2602653998689304
