순번_정류장ID,37-2802694,38-2802692,39-2802713,40-2802744,41-2802767,42-2802785,43-2802812,44-2802844,45-2802867,46-2802393,47-2802395,48-2802397,49-2802399,50-2802401,51-2802403,52-2802404,53-2802223,54-2802225,55-2802247,56-2802368,57-2802456,58-2802482,59-2802509,60-2802516,61-2802530,62-2802542,63-2802367,64-2802541,65-2802547,66-2802552,67-2802566,68-2802366,69-2802579,70-2802577,71-2802581,72-2802565,73-2802290,74-2802292,75-2802287,76-2802283,77-2802272,78-2802273,79-2802274,80-2802275,81-2802296,82-2801865
47-2802395,,,,,,,,,,,0,0.9919011539645268,1.004683003076516,1.4876597210852602,1.4005016093047622,1.3403300557243418,1.2379999515785398,1.202823433934205,1.2935652320777355,1.8196121556560356,1.9797162974475058,1.7887874171543174,1.7110829036030473,1.6455674554498076,1.6791202959247455,1.600062745885439,1.553317825062799,1.5619626081657265,1.5346963026622809,1.5111168374292068,1.4782422867088154,1.447716889368187,1.5156040879242907,1.7089946376238931,1.729221006923033,2.3425380337673474,2.6337054605703476,2.547744437177659,2.4034692420707326,2.3288303720420993,2.925760860892557,3.355729608882723,3.336162834347274,3.200485293061341,2.777505892772833,3.098469138320288
48-2802397,,,,,,,,,,,,0,1.0236826950763027,1.7585214659131918,1.5675762426189455,1.4506249938425602,1.2902134509381262,1.2414557090304734,1.3397281586279342,1.980700130900183,2.176885910116858,1.912289831522217,1.809956123606964,1.725873981486084,1.7573288017876414,1.6607422394569478,1.6042204843109844,1.6096474963277856,1.5778288036989279,1.5500505288370614,1.512329634362233,1.4771208734151207,1.5505021456003327,1.7606994072701416,1.7817774430937947,2.4623395290244154,2.785420501973722,2.6829146213265367,2.5141550683857257,2.426984843387976,3.0948224729536,3.5871901256004817,3.5571691384423683,3.3955081980728914,2.8999219779617964,3.2543444111884465
49-2802399,,,,,,,,,,,,,0,2.18539758777039,1.773882499332006,1.5661032318000898,1.3345745299941123,1.272049958644702,1.3759864513000688,2.1248302201214515,2.355700711642199,2.015689270711866,1.8900645967014877,1.7891192093770696,1.8181354050581395,1.706566880995046,1.641920338814969,1.6445776393041651,1.6086491785808192,1.5778701891265612,1.5365031560445597,1.4982781000039875,1.5752201821383411,1.7982610035509994,1.8199501450908342,2.553608480464862,2.902166017009214,2.7858809820249686,2.597135465941936,2.500340001666412,3.2242037267288226,3.767912816060809,3.7286799012557457,3.545259202796549,2.990613766144939,3.371167983455318
50-2802401,,,,,,,,,,,,,,0,0.9995953578553969,1.0265141262934356,0.9929051387666097,0.9807031768823048,1.000788909261057,1.5056689834438595,1.7108477221584315,1.5364730131395128,1.4719991074841854,1.4206059203915777,1.4935325485291258,1.4253634768664503,1.388299560698703,1.411619540250894,1.388204841293039,1.369521097208643,1.3442038764891313,1.319378548043203,1.3919568250809806,1.598112618326298,1.6116982848169668,2.281381206749289,2.6127148291014892,2.517002037997948,2.3579214852284798,2.2766990510469034,3.0288841233983597,3.555272664792965,3.5240423829536014,3.352129278642336,2.837539212776674,3.2094012556135865
51-2802403,,,,,,,,,,,,,,,0,1.0497302642102049,0.9910898230621548,0.976846455319774,1.000937581546032,1.4380429099227139,1.6512739856316316,1.4855007163271863,1.4253501888080085,1.3779474626804398,1.4551679262835824,1.3906129237740645,1.3562218354814817,1.3826387152145354,1.360370393315351,1.3427385780891639,1.318476180589246,1.2958169249960043,1.3689194765285009,1.5763347438552264,1.5909487118628822,2.2685687287640173,2.6062331136690084,2.509064458334737,2.348020704046896,2.3068353566178015,3.1536264888838526,3.7343019019014294,3.6932822484964096,3.4984084295747997,2.923491841801839,3.321910147242329
52-2802404,,,,,,,,,,,,,,,,0,0.9641720843512351,0.9542449079592307,0.9926552742650749,1.4195147802420045,1.6584082674683827,1.4758499753248893,1.4123515101506596,1.363360783159325,1.447179275421362,1.3802561700952338,1.3452640864248653,1.3742487620376362,1.3519243336725872,1.3332374312923814,1.309572472924813,1.2864939055325533,1.3615757208618795,1.5761302082560555,1.5908585866888223,2.300059882602646,2.6556939357933746,2.550808404332644,2.37801134513732,2.382403896414942,3.3150892476858096,3.9716316068224002,3.9160911238262073,3.688665346552552,3.0309191774042095,3.4644598906869866
53-2802223,,,,,,,,,,,,,,,,,0,0.9335739336295281,1.0093684397422373,1.0125643690973625,1.006115575066683,1.0031437423672365,1.0034843290915274,1.0052373337289442,1.053235772484261,1.0435425135790661,1.0433576910863551,1.0765743366591596,1.0715341167242198,1.06751281204905,1.0661234711473675,1.0617209140890516,1.137662077244039,1.3127284717620227,1.3692275651559869,1.9602061918850247,2.2684033039228213,2.196143154011094,2.340682586413695,2.5961183843488147,3.7870407633201135,4.688999453369209,4.580002512033491,4.243790210855389,3.3258988325711476,3.86027923090687
54-2802225,,,,,,,,,,,,,,,,,,0,1.0391073333975607,1.0304371115562698,1.0194877952547445,1.012599075723543,1.011750257589792,1.0126885507758796,1.0642073154414016,1.0522967223084614,1.0512498480465868,1.0447387130816057,1.0414628128168648,1.038759879153444,1.03898227725176,1.0582363783997066,1.1482700487171504,1.3341311508421672,1.394110816858354,2.034509513847697,2.3694433456214474,2.284755152146905,2.442125623162576,2.725821217843879,4.09149817943828,5.174850951888042,5.021553049258022,4.602832428151619,3.5019453103905347,4.101097270699244
55-2802247,,,,,,,,,,,,,,,,,,,0,1.0186261885895402,1.0021020890415924,0.9985490295069205,0.9999506056685876,1.0031635054550316,1.071861329324562,1.055653849214648,1.053973637661788,1.0458069490400967,1.0415453363576284,1.0383826847484698,1.0392541999112637,1.0610158138866599,1.1649394052106523,1.3837091944802693,1.4545941899764536,2.259653566098322,2.687445821233861,2.5588014283297666,2.68864143605086,3.0575303731102346,5.016989012777732,6.824879327246223,6.468585500287555,5.714367651276169,3.965646681365008,4.76871966739525
56-2802368,,,,,,,,,,,,,,,,,,,,0,0.9713464011319485,0.9857621836785547,0.9912977134268768,0.9975980370748995,1.0872151486497683,1.0641621772943595,1.0609416781623335,1.0506251092077568,1.045391439395722,1.0419048746629824,1.041887047322199,1.0660766980838932,1.1834111755106633,1.435083932736729,1.5169146404530531,2.5067369365549674,3.0426034573709835,2.856812725849035,2.576809259814204,2.5562706616643447,4.003419377607412,5.213908659468388,5.038309248573189,4.570592345401595,3.399830171932618,4.035643187479822
