순번_정류장ID,28-2801135,29-2801131,30-2801122,31-2801119,32-2800848,33-2801098,34-2800857,35-2801090,36-2800884,37-2800883,38-2800881,39-2801085,40-2801100,41-2801108,42-2800852,43-2800845,44-2800854,45-2800833,46-2801087,47-2801055,48-2801035,49-2801027,50-2801017,51-2801015,52-2801008,53-2801000,54-2800986,55-2800974,56-2800963,57-2800960
38-2800881,,,,,,,,,,,0,0.9872012441740475,0.9984846252087632,0.9910859484480055,0.9987778682550245,0.995031247537543,1.5375217785810493,1.3725035921540671,1.322214649670569,1.2389527301311916,1.1921336511010072,1.1799568424562337,1.166113948813153,1.1616719481680897,1.1495371506548537,1.143840400283715,1.1391212463726867,1.138264951953562,1.1318318557220286,1.204967761511037
39-2801085,,,,,,,,,,,,0,1.0098674310636597,0.9939662049459712,1.0033166509690028,0.9973297270291919,1.0308699407215483,1.0207276173811606,1.0158158855727977,1.0338705164716486,1.027462491098784,1.0257599530650228,1.0268540945662399,1.0302038745072788,1.027440526476257,1.026326406665825,1.026022710984988,1.029585686360366,1.0284020462287278,1.0972016695785636
40-2801100,,,,,,,,,,,,,0,0.9370520831927442,0.9960234276739398,0.9901792588371513,1.0133849879630972,1.006861540249849,1.0030145124081455,1.0269721134526928,1.0214265121511812,1.019983557432416,1.021704067745147,1.025543804579967,1.0229546355210954,1.021947243518393,1.0217912534971012,1.0256980882285474,1.0246446236086584,1.0963319400468463
41-2801108,,,,,,,,,,,,,,0,1.01381914152707,0.9995341961794579,1.0208212512739587,1.011507449881188,1.0068247890934348,1.030369506885611,1.0239806732810481,1.0223330840280997,1.023511948110708,1.0276700504173777,1.0248718169610664,1.0237707396420286,1.0235422469771795,1.0274540480885632,1.0262957380093751,1.0996383378306114
42-2800852,,,,,,,,,,,,,,,0,0.9795205678777054,1.014310554418576,1.005060877218718,1.0003454400474403,1.0297369918460557,1.022790870059282,1.0210604108239216,1.0224841514701233,1.0270589104261854,1.024088982906363,1.02293667896035,1.0227260294242937,1.02694274669898,1.0257352961102353,1.1038925239389676
43-2800845,,,,,,,,,,,,,,,,0,1.0320008588497798,1.0114795497664655,1.0045564708230141,1.0354320415617226,1.0265235370490864,1.024370649559671,1.0259221960235672,1.0301816310397656,1.0267784953878747,1.025444702140873,1.0251146234036796,1.0294424622832934,1.0280395129643916,1.109828461604659
44-2800854,,,,,,,,,,,,,,,,,0,0.9914256549846886,0.9864433521683935,0.9965738229824559,0.9970383339519078,0.9971479532741517,1.0024872658288748,1.0090632096776575,1.0071863673024506,1.0066359306250592,1.0071631921484008,1.012832198593927,1.0122821409150937,1.101881037016686
45-2800833,,,,,,,,,,,,,,,,,,0,0.9760810978162797,0.9986003558266049,0.9984701538960081,0.9984498414361321,1.0040639929355906,1.0121448263733215,1.009651594384672,1.008885714537351,1.0093655566350965,1.015654155303574,1.0148490527190055,1.1152248998334022
46-2801087,,,,,,,,,,,,,,,,,,,0,1.0038575434799668,1.0016002717411467,1.0011973133245111,1.0069056355592612,1.0154522867177724,1.012381155628877,1.0113973350382155,1.0117658217806789,1.018332199277264,1.0172871048123926,1.1244928645664751
47-2801055,,,,,,,,,,,,,,,,,,,,0,0.9982283460521097,0.9982421895897882,1.0092531625840147,1.022954482087772,1.0169375397404798,1.015076106118588,1.0153014935882678,1.0242403704197007,1.022239721287613,1.1690614287782615
48-2801035,,,,,,,,,,,,,,,,,,,,,0,0.9982823607996564,1.020999283816666,1.00246572565701,0.998747305704217,0.9983464748655415,1.0006198801851556,1.0144137813809913,1.013039767810572,1.2262160983908208
49-2801027,,,,,,,,,,,,,,,,,,,,,,0,1.0341830642230412,1.0038873834342337,0.9988541572436177,0.9983589862957898,1.0010136058248682,1.0167654351901119,1.0148857772303488,1.2559205975392698
50-2801017,,,,,,,,,,,,,,,,,,,,,,,0,0.9610810070619535,0.9756920570301739,0.9802090438374851,0.9874501267442369,1.0109225090537115,1.0095835251242995,1.2347381397681623
51-2801015,,,,,,,,,,,,,,,,,,,,,,,,0,0.9883405375884301,0.9909029778533434,0.9981894774580979,0.9931715021074792,0.9954373682417814,1.1053045337794383
52-2801008,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9955643668230068,1.0069396905161325,0.9957475749653728,0.9980863224996959,0.9979032290722237
53-2801000,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.017756604590732,0.9958234671932871,0.998734056464659,0.9983025044972438
54-2800986,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.978914367204654,0.9916719125986847,0.994047733677406
55-2800974,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0035218115778242,0.9978029395461941
56-2800963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9935724201218634
57-2800960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
