순번_정류장ID,1-2800365,2-2800454,3-2800461,4-2800463,5-2805581,6-2800353,7-2803672,8-2800309,9-2800480,10-2800491,11-2800494,12-2800496,13-2800499,14-2805303,15-2800512,16-2800521,17-2800524,18-2800544,19-2804975,20-2800560,21-2800569,22-2807222,23-2800563,24-2807232,25-2807362,26-2803211,27-2803359,28-2805065
11-2800494,,,,,,,,,,,0,1.0260913780362917,1.012129600396897,1.011413091490717,1.0085780606242307,1.007511163866073,1.0062388628507257,1.0054105846965218,1.0257785194151778,1.0186333398225185,1.0163998815210116,1.0156482509760494,1.0142815684054398,1.0082390442451434,1.0201191881503249,1.5383986104162157,1.622801987096563,1.6132660582981109
12-2800496,,,,,,,,,,,,0,0.9917716716845035,1.0058860568262804,1.003874687563673,1.0035511491096778,1.0024849577252433,1.0024921374880782,1.0254516795629225,1.0177807209168594,1.0154910766361582,1.0147369392593686,1.0133310101364026,1.0079681444612822,1.020006858150004,1.5455036322753912,1.6309867875010475,1.6211973693196573
13-2800499,,,,,,,,,,,,,0,1.0109102885672916,1.006889081630054,1.0058214127329543,1.0043426816830656,1.0038410049169866,1.0287566415239284,1.0196394320969404,1.016969723414912,1.0160902843536443,1.0145357737769687,1.0081504783864845,1.0203010630256981,1.5509114060547804,1.6371510651414616,1.6271748029963615
14-2805303,,,,,,,,,,,,,,0,0.9922436562490958,0.9970552732302644,0.9962712303685713,0.9988344942394941,1.0354232881700562,1.0212506958370502,1.0176832718392843,1.0165618716583187,1.0146600131006587,1.0079576756881263,1.0205143860220116,1.5696860985800545,1.6586761720137728,1.6480200359277704
15-2800512,,,,,,,,,,,,,,,0,1.0022602583535662,0.9990073612517074,1.0008982074678057,1.0017551049693008,0.9999360541706226,0.9999864275039207,1.0001404683048025,0.999352902254068,1.0055032276947478,1.0182303671463349,1.5750970892996432,1.6652691230373773,1.6543600535783456
16-2800521,,,,,,,,,,,,,,,,0,0.9935157332165813,1.0003424386183333,1.001592839261118,0.999554865895101,0.9996922776141798,0.9998901950805812,0.9990393208113881,1.0055526868051805,1.0184740953399796,1.584254107661613,1.6757348744176415,1.6644858846565398
17-2800524,,,,,,,,,,,,,,,,,0,1.0025136305035185,1.0034908069209505,1.0002046850956356,1.0002048414624178,1.0003695097156649,0.9994162978601624,1.0056624948933837,1.0187017764773292,1.5899011281446178,1.6821739940024474,1.6707145930706973
18-2800544,,,,,,,,,,,,,,,,,,0,1.0062551999320826,0.9990234842523794,0.9993893177649622,0.9997056342059001,0.9985700506287349,1.0057554822383592,1.019179811843775,1.6081029109944138,1.7029609562120411,1.6908047813515754
19-2804975,,,,,,,,,,,,,,,,,,,0,0.9974288013209609,0.9984107922796078,0.998900693014142,0.997748480351298,1.0057502108493035,1.0193161479252582,1.6147684282380461,1.7105754750370255,1.6981583030704166
20-2800560,,,,,,,,,,,,,,,,,,,,0,0.9988378356945777,0.9998098410101394,0.9973465615801824,1.0061302271780113,1.0203768374182571,1.6473321910454504,1.7476779785611738,1.733957861830729
21-2800569,,,,,,,,,,,,,,,,,,,,,0,1.0019584435209672,0.9957644574153908,1.0063365525112633,1.020986234739194,1.6666727424046137,1.769692943325464,1.7551691050795988
22-2807222,,,,,,,,,,,,,,,,,,,,,,0,0.9900482248297907,1.0063933169529933,1.0212329354895968,1.675763731459174,1.7800412008882847,1.765131060905584
23-2800563,,,,,,,,,,,,,,,,,,,,,,,0,1.0066262237944559,1.0216772891612638,1.6860786227751976,1.7917504650874363,1.7764005878053268
24-2807232,,,,,,,,,,,,,,,,,,,,,,,,0,1.006271214779154,1.02838188733924,1.185828614027779,1.255084037426776
