순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2804748,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2803599,11-2804712,12-2800276,13-2800277,14-2803597,15-2806642,16-2804030,17-2800279,18-2804029,19-2800282,20-2806302,21-2804028,22-2804703,23-2804021,24-2806407,25-2804018,26-2806405,27-2804017,28-2804015,29-2804013,30-2804010,31-2804009,32-2804007,33-2804005,34-2804003,35-2804001,36-2803999,37-2804768,38-2800288,39-2804793,40-2800291,41-2807413,42-2800297,43-2803996,44-2803994,45-2803951,46-2803953,47-2803955,48-2803957,49-2803959,50-2803961,51-2803963,52-2803965,53-2803967,54-2803969,55-2803972,56-2803867,57-2806359,58-2804721,59-2803870,60-2800254,61-2803874
11-2804712,,,,,,,,,,,0,1.0100542835167436,1.0029424875760617,0.9928431937147508,0.9973661315114888,0.9976470179718173,0.9970138137364567,0.9968384519699881,0.9997801205430271,1.0016320753354422,1.0018813196030008,1.001945765280206,1.0004201585768433,1.0007679352173464,1.00070837934051,1.0000709788534874,1.0005394683229691,1.0008992142692206,1.001529961597839,1.0018288735020804,1.0014015682127437,1.0013926952415824,1.0009240035472282,1.0012523471667416,1.0013557141026892,1.082770255117602,1.2238979425275427,1.357009425720048,1.3382955166747945,1.3183079417616659,1.3057262365851428,1.3347585659599661,1.3523327045443387,1.3412730677875497,1.3370110961032238,1.3208361780186504,1.3717809071847133,1.4964926162842611,1.5931987458123291,1.8019964109418303,1.8653754765845707,1.8261621714366634,1.7785078542626567,1.7521420142291586,1.7106749919050632,1.7425440957136085,1.7169489760350463,1.6429035560063903,1.6257979719443179,1.6175351380980494,1.6043519495805254
12-2800276,,,,,,,,,,,,0,0.9959408049220014,0.9880589190633801,0.995534339143586,0.9959969569004056,0.9956504830047581,0.9957527112502875,0.9990337567307291,1.001075400482806,1.00139414463661,1.0014838935935608,0.9998942223180413,1.0002908495980825,1.0002497110447595,0.9996135867639231,1.0001253675328667,1.000519742155166,1.001198228412885,1.001524584472039,1.001098224567211,1.0011001826852726,1.000628633257989,1.000976209716993,1.0010939521393991,1.0847933272044883,1.2307486397841716,1.3693000231854138,1.3493101968664465,1.3280325178896686,1.3147978865089744,1.3442843127857809,1.362239046659309,1.350275455221444,1.3455952667813946,1.3283518357222008,1.3808288145032226,1.5093181218135736,1.609182753711192,1.8255045771259835,1.891175535286627,1.8496299572128228,1.7991228162331527,1.7715428393549566,1.727939975129055,1.7095365874699722,1.685301817756985,1.6145168510623098,1.598354239960799,1.5903683282198537,1.5780721622196812
13-2800277,,,,,,,,,,,,,0,0.984957926021413,0.9954644922921393,0.9960057267359879,0.9956159909067279,0.9957355864745241,0.9992801582375768,1.001444922388149,1.00174559910768,1.0018242953212193,1.0001263063139694,1.000530345121186,1.0004757735569987,0.9997929159110618,1.0003189064908586,1.000720994146283,1.0014146949299874,1.0017426919279024,1.0012887405523068,1.0012834478802486,1.0007879060746696,1.0011419479667156,1.0012564283481733,1.0878373771199685,1.2391662429836166,1.3832353750462842,1.3619545536130586,1.339187552077175,1.3248842009062167,1.3548180380234567,1.373484900030668,1.3608000976092975,1.3553103902880717,1.3371279639324567,1.3909943938482485,1.523445109712853,1.6269146583217282,1.8515039191851783,1.919692065919326,1.8753146848857503,1.8218210251239744,1.7928786279879925,1.74656901326528,1.7274876320985213,1.7017621319631249,1.6276963752422136,1.6109657866104186,1.6026457449714617,1.5898248323693105
14-2803597,,,,,,,,,,,,,,0,1.003612037013383,1.0032783546563102,1.0002261651377284,0.9989801146066563,1.0029162057250585,1.0051355719159634,1.0050339887535624,1.0049438577296457,1.0027862857068217,1.0030640669172826,1.0028634653947794,1.001894649684631,1.0023652561502192,1.0027033993697951,1.003338060536437,1.0035926460953104,1.002980809075053,1.0029035230341516,1.0022840174555196,1.002619516074743,1.0026763758915536,1.0971949002260049,1.2641273582749617,1.4249791818383666,1.3991040643422885,1.3717357298359683,1.3546042778069978,1.3856125844182343,1.4058934830847993,1.39103796147975,1.3830348666576742,1.3620714037458734,1.41981038145812,1.564109022055431,1.6773175561038198,1.9258608369604306,2.001354818220109,1.9490403533472265,1.886794207718423,1.8530765988100635,1.7999100325144772,1.7777391123631383,1.7486825726586948,1.6650078099097625,1.6461485320406197,1.6368693727975079,1.6224167076539384
15-2806642,,,,,,,,,,,,,,,0,1.0014038809508954,0.995953987291568,0.9953387129155763,1.0020356847374443,1.005300729909247,1.0051376372647955,1.005011368607897,1.0022196232870935,1.0026228688453542,1.0024025709515678,1.0012620905870238,1.001875829053561,1.0023120214367123,1.0030917009499194,1.0034047708376155,1.0027116809355918,1.0026361000322872,1.0019452082963698,1.0023385084317458,1.0024170359711908,1.1096298865418321,1.301896679104646,1.4908308175349527,1.456676094104499,1.4212170855452222,1.3992059648751878,1.431560028525784,1.454381092083105,1.4358854554931575,1.4235758248485098,1.3981022282941746,1.4615731088285322,1.6241149243076216,1.7529933118861962,2.0403257152466336,2.127732402915616,2.0617874823924263,1.9844709629071793,1.9431422322491978,1.8784773965652644,1.8515608250223028,1.8169328188636615,1.718316412030217,1.6963545567606553,1.6855958634421766,1.6688123196277864
16-2804030,,,,,,,,,,,,,,,,0,0.9943752801515349,0.9945668012657876,1.0020955938689384,1.005604048863382,1.0053761809310091,1.0052239380405004,1.0022643764800603,1.0026830168745362,1.002448592777974,1.0012562154744342,1.0018936793965867,1.0023442002859793,1.003146753239353,1.003465570010335,1.0027485943987287,1.0026691506665182,1.0019589208265023,1.0023610947926278,1.0024402414070288,1.1120836000964884,1.3096408671862065,1.5042992094109617,1.4685439283686006,1.4312893744951303,1.4082094693080531,1.440775234347017,1.4641128677039885,1.4448370908862755,1.4315882960541335,1.405170019963034,1.4699747942563806,1.6362511516007616,1.7683718178506898,2.063854266213678,2.153773901326984,2.084840613130765,2.0040101572061,1.9610675705217384,1.894197577020016,1.8662799829833834,1.830487606952614,1.7285953670380874,1.7061573341453928,1.694950662281092,1.6776988148928098
17-2800279,,,,,,,,,,,,,,,,,0,0.9947168859937993,1.0058525464382058,1.0097298733210474,1.008495685528428,1.0080002923326061,1.0041075782644204,1.004399280850881,1.0039755252346867,1.002404746138031,1.0030402375299272,1.0034636101318595,1.0042597361137742,1.0045308540122873,1.0036525569361998,1.0035154684484815,1.0026856350394142,1.003093290909543,1.0031373428789878,1.123010007779503,1.3416136174672109,1.5604817064305305,1.5162077613231792,1.4719213266445452,1.4439125226424585,1.4772425489290184,1.502575072235216,1.4803224521904155,1.4631379560227633,1.4329114771670104,1.5017848533276537,1.6823328549989935,1.8269482153906804,2.154227445821017,2.2543385215563325,2.173320717101384,2.079688461829217,2.0300050848211324,1.9533132201612795,1.9217056189178638,1.8813815999303811,1.767608834797451,1.7425914912939362,1.730383131210294,1.711320280622251
18-2804029,,,,,,,,,,,,,,,,,,0,1.0077274740933233,1.0141071853555987,1.0106270740405003,1.0095878181527351,1.003868693301954,1.0043008536022175,1.003754905370274,1.001797243691105,1.0026493837622137,1.003201588323648,1.0041798892810037,1.0045052884493462,1.0034906052581631,1.0033434158780812,1.002411196971303,1.0028856712999972,1.0029484727553015,1.1380090552558488,1.3901277813615232,1.6494304038536554,1.5911040109387522,1.5331352946438583,1.4980202702893217,1.53137888721452,1.5597685056895703,1.5320769569288595,1.5084011124416459,1.4721984472999088,1.5481568627867843,1.7505262126560437,1.9145737157890481,2.2925583156138107,2.408142137020454,2.3068088565038907,2.1916998398208425,2.1318353844935434,2.039803997761104,2.0017881104708217,1.9544214222640584,1.8220771592533984,1.793435729795349,1.7795176855218482,1.7577737028823706
19-2800282,,,,,,,,,,,,,,,,,,,0,1.0216790705871188,1.0121866889716729,1.0103826416125192,1.0024952847889974,1.0033272256336523,1.0027817804289747,1.0006042920346871,1.0017566783684888,1.0024941785843287,1.0036976209149029,1.0041113260951748,1.0030251032920816,1.0028951503314858,1.0019090999279663,1.0024527255126128,1.0025509036160027,1.15005513545495,1.4291779159680054,1.7221362274626033,1.6503991303026015,1.580905502432557,1.5393153977723635,1.572619792158413,1.6033459503045917,1.5710694149431454,1.541968764905975,1.5010230671642217,1.5813233730374017,1.8000408011909168,1.9789034075667564,2.397011344926342,2.524658799940183,2.406510677505478,2.2740190247806855,2.2058577848188725,2.1018405021326183,2.0590472223701473,2.0063005021818716,1.8601380619554873,1.8290070308145023,1.8138260675460733,1.7901065424588427
20-2806302,,,,,,,,,,,,,,,,,,,,0,1.0043226080259042,1.0040311150262289,0.9942896042732872,0.9975528621022015,0.9978694298064161,0.9963071888198481,0.9982937766906617,0.9995852669047921,1.0013742783987467,1.0020961557002062,1.001124027666333,1.0011260737917942,1.000200332434688,1.0008865923607315,1.0011094580120905,1.0378288437376524,1.2927760004487614,1.5586150695255183,1.5053213674188668,1.4529943547652362,1.4218550779249548,1.4620251986674857,1.4915599449862118,1.466082284062901,1.447799115349069,1.4148627509043465,1.4930995168586747,1.6990771887702198,1.8669706712781886,2.2568809668489638,2.377286791796362,2.273590611897951,2.156685731717091,2.0959309806121227,2.0038818860682612,1.9659999619865718,1.9187564601444267,1.787594692728452,1.75958178663818,1.7458909290970364,1.7245784058007227
