순번_정류장ID,1-2806160,2-2807302,3-2804858,4-2804819,5-2804820,6-2804822,7-2805193,8-2800592,9-2805250,10-2805408,11-2804947,12-2804948,13-2805315,14-2805052,15-2804893,16-2805038,17-2804895,18-2805744,19-2807267,20-2804912,21-2800626,22-2800637,23-2800647,24-2800666,25-2800678,26-2803556,27-2800345,28-2803643,29-2803791,30-2801474,31-2801178,32-2801179,33-2801439,34-2801584,35-2801628
11-2804947,,,,,,,,,,,0,0.9694075845846937,3.58645965863716,7.0022159891468885,3.579480039576056,2.4966078977214146,2.4178595894898005,1.91804985651106,1.5608729554508098,1.5214274850647036,1.4898981617413007,1.443994111120944,1.4147329264869244,1.3766106067857196,1.3482171831348495,1.3175709693660198,1.3170269138857482,1.282766960417487,1.2103644248273135,1.2399252821984148,1.2575414349481149,1.2397034375189713,1.2310773748317105,1.2057451568184887,1.2133835560401671
12-2804948,,,,,,,,,,,,0,1.0055959587161956,1.5298557450614838,1.374500212675457,1.654426561193223,1.832754246925244,1.552653198660991,1.3433509645268327,1.3199280843091303,1.301632839144433,1.2726674865761323,1.2557690804904078,1.2308367410802026,1.2166853665231276,1.1957374374860281,1.200014327730925,1.1782370208480641,1.1334638188404065,1.1635510880579951,1.1852650248350227,1.172332202617804,1.1660033121657465,1.1482826596099591,1.159207301787315
13-2805315,,,,,,,,,,,,,0,1.0153077470032104,1.0096688736219224,1.0084776458292037,1.011228315082154,1.0069864494340992,1.0052240540951725,1.0038087643890259,1.0053136478935247,1.0028641322575975,1.003085535776716,0.998531670139848,1.006579105692533,1.000463912255774,1.0120783687034867,1.009711428469339,1.0078441080138523,1.0390418080322308,1.0662287871375968,1.061613261120292,1.0590119477598794,1.0533316154760715,1.0693991364506696
14-2805052,,,,,,,,,,,,,,0,1.0019315800193158,1.0043573614269494,1.009471156772976,1.0047575502624062,1.0036158494096086,1.0024611959944114,1.0039299203972347,1.0009963355219373,1.001936044131382,0.9967290029774691,1.0057350279123058,0.9993475312032091,1.0118005993994472,1.0092810560041123,1.0075573755051332,1.040368944905923,1.0689252549716428,1.0638962430846624,1.0610941721917604,1.0549363125701001,1.0715471305348458
15-2804893,,,,,,,,,,,,,,,0,1.0062592037632594,1.0129223455787224,1.005443019214312,1.003837361872038,1.0025253017260403,1.0041538215379353,1.0009015672941373,1.0019364604468535,0.9962869615215001,1.0057726478632512,0.9989373673718731,1.0124606198014843,1.0097174220023872,1.007800036862178,1.042001882343484,1.0716144820309086,1.0662056961963324,1.0632223235425733,1.0566181865109652,1.0736218944916507
16-2805038,,,,,,,,,,,,,,,,0,1.018572543715444,1.0039193600029483,1.0033494856665992,1.0018442092159692,1.0038026526513395,1.0001107727024088,1.001353402017414,0.9950764186399388,1.005997917435728,0.9984730926392728,1.0130378440895749,1.0100001434801362,1.007889670336331,1.0442005858822794,1.0751360451287104,1.0691932645308173,1.065957486595288,1.0587394220101276,1.0762799116380457
17-2804895,,,,,,,,,,,,,,,,,0,0.9953320265262667,0.9995711354793925,0.9982503307301669,1.0008185670732004,0.9970770009485285,0.9987425321019633,0.9921570132108456,1.0040548667349987,0.9964174405434172,1.012121014155972,1.0090136514328616,1.0071094097246134,1.0448145335820236,1.0770976488713593,1.0707835879123506,1.0673732816153727,1.059752774173549,1.0777343671878346
18-2805744,,,,,,,,,,,,,,,,,,0,1.0019356196483797,0.9996190309894479,1.0030436930508289,0.9976627335277551,0.9997461677552419,0.9913505497517374,1.0062873074505299,0.9963030099268281,1.0151320471078125,1.0111028238584037,1.0083103711313857,1.0499421781819007,1.0847368737082288,1.0772371813362491,1.073282827196729,1.064320934010693,1.0831724270178849
19-2807267,,,,,,,,,,,,,,,,,,,0,0.9873662247424329,1.0059950079305031,0.9911960339304051,0.9973020020156003,0.9825055000512549,1.0089984868239592,0.9938636463969155,1.0078670800456428,1.0038487666883966,1.0033833198180884,1.016419805348932,1.059560580772629,1.0532598932545487,1.0498891317670838,1.0434406617468819,1.0658692109477688
20-2804912,,,,,,,,,,,,,,,,,,,,0,1.0248917694118838,0.9927311360676107,0.9999586256785055,0.981593581024766,1.011887516574326,0.9940315320825538,1.0098542068952836,1.0050985321329395,1.0040857175441567,1.0039820610322825,1.013086244505377,1.011453661818877,1.010035255253588,1.0096066902381349,1.0344581073691597
21-2800626,,,,,,,,,,,,,,,,,,,,,0,0.9717208939227544,0.99103417777955,0.9717684718253463,1.0091410791628503,0.9903187827795539,1.0082649535477515,1.0034990851409964,1.0031456066520577,1.0031086515816625,1.0031232356141693,1.0024253570408634,1.001398983123619,1.002281754724145,1.0281559498182984
22-2800637,,,,,,,,,,,,,,,,,,,,,,0,1.014439535946507,0.971793792944399,1.0204392873764803,0.9945159910446267,1.0153149490980078,1.0079833601810364,1.0054805766182056,1.0052526251263334,1.0049905847487683,1.0040630231722352,1.0029035929657049,1.0035842192847464,1.0303674984921056
23-2800647,,,,,,,,,,,,,,,,,,,,,,,0,0.9384010772905766,1.0237918284931886,0.9908656596365546,1.0154806891741432,1.007132528949319,1.0048953993301033,1.0047038873576413,1.0045030127304386,1.0035853142192859,1.0023997532862496,1.00318855055815,1.0308996207072363
24-2800666,,,,,,,,,,,,,,,,,,,,,,,,0,1.0867273753667046,1.0125567650139324,1.0359132602193422,1.0184533992270164,1.0097927818930983,1.0091326305616848,1.008273259845363,1.006867471956827,1.0054334870614108,1.0057349302818104,1.0344440965214523
25-2800678,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9177853390604631,0.9974315533495803,0.9927037806492257,0.9989691735030393,0.9993532639613193,0.9999770031424962,0.9994785611799074,0.9983586687337669,0.9999932754453049,1.031080170678143
26-2803556,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.1133118279569891,1.0240765040851696,1.0090134673484465,1.0082788328501964,1.0073926943099432,1.005855657522841,1.0042474473509035,1.0048220232528176,1.0370872818861954
27-2800345,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9845903343149143,0.9985212820348949,0.9990380165243031,0.9998215271253191,0.9992761245904132,0.9980249785865024,0.999895808574303,1.0338680277602466
28-2803643,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0006185823377645,1.0009368482117915,1.0014490185174245,1.000545668423987,0.9990090536933407,1.0008718490829238,1.0382281854833575
29-2803791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.002656499746667,1.0030269211788938,1.0004570472496823,0.9973685710786695,1.0010334683740827,1.0581395285050128
30-2801474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0017056508029003,0.9990202387464204,0.995492048673392,1.000441066969855,1.0638430721182097
31-2801178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9959909205134088,0.9908346934945432,1.000026374155716,1.0794088253484815
32-2801179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9806244512916465,1.0016795639027058,1.1032210365935595
33-2801439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0071747117508685,1.1238704314099859
34-2801584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.144179467454153
35-2801628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
