순번_정류장ID,48-2801658,49-2801672,50-2801684,51-2801718,52-2801745,53-2801752,54-2801759,55-2801768,56-2801790,57-2801977,58-2802024,59-2802051,60-2802098,61-2802129,62-2802158,63-2802168,64-2801848,65-2802825,66-2802870,67-2802906,68-2802937,69-2802951,70-2802613,71-2802982,72-2802977,73-2802973,74-2802967,75-2802963,76-2802956,77-2802984,78-2803020,79-2802429,80-2802369,81-2802529,82-2802539,83-2802558,84-2802569,85-2802560,86-2802555,87-2802556,88-2802566,89-2802366,90-2802585
58-2802024,,,,,,,,,,,0,0.991260460924424,1.0073082040733694,1.003266984350028,0.9928867506697706,0.9988348605021462,0.9968524191906025,1.0272609446743561,1.0220096166695005,1.0289478174436586,1.0265632241274822,1.0779239174515616,1.0682006504974264,1.0654124419924162,1.0623373146871644,1.0818550163134952,1.111518391498636,1.1023439752315773,1.0994905946827571,1.0987336689810634,1.1347019111919208,1.1353554641509023,1.1535764081619841,1.1618065419749326,1.1695634025437593,1.2030637470477843,1.3685758661350225,1.5625129696590496,1.6171677907588144,1.5946806773657292,1.6856463518163747,1.661642790342123,1.7089496118980703
59-2802051,,,,,,,,,,,,0,1.0119517874806954,1.0048722529365266,0.9923869055955653,0.9991169943611989,0.9968911614749627,1.029585635036041,1.0237260570325966,1.0307451583356075,1.0279950483678357,1.0816819026581086,1.0710110552991872,1.067963345920768,1.0646819879110234,1.084609039128666,1.1154250379122503,1.1054721487990755,1.1023773793854283,1.1014102068620686,1.138427091743896,1.1385488114195148,1.157161894239551,1.1654038040221502,1.1732512489267986,1.207304512760548,1.3766418637780007,1.5760703513189822,1.6321610077097586,1.6085923071654604,1.7019736461318267,1.676632126697314,1.7253312285644313
60-2802098,,,,,,,,,,,,,0,0.9936036449876078,0.9814618298268348,0.9935218304149326,0.9926415145515202,1.0328876259750983,1.0255043998649995,1.0332068457583656,1.029723543130373,1.0898592541725776,1.0767518113763874,1.0730657306038858,1.0692745166433024,1.0745028941047503,1.0836412891907863,1.0759219374105782,1.0742466738008913,1.0751601068619354,1.1293219264660086,1.1304877228580996,1.164928485328248,1.173527972569249,1.1816106160988744,1.2170649860413485,1.3966100226936977,1.6094950076048329,1.6692549106923948,1.642865281594776,1.7421920173440053,1.7143040337474815,1.7658468056061702
61-2802129,,,,,,,,,,,,,,0,0.9710356194556755,0.992310582519454,0.99172118980856,1.0407524304229603,1.0308142879861724,1.0383680582837393,1.0335748999996608,1.100246825520659,1.0840657649316154,1.0795836308686426,1.0751931017414975,1.0805223120117258,1.090086486424557,1.08127205112119,1.079192773668957,1.0798030988171494,1.1370255520087542,1.1373272791133504,1.1728371281933316,1.18174440760611,1.1900055187303282,1.2266662769610133,1.4153158255295588,1.6411239602941876,1.704059397410063,1.675140103769085,1.7804392375102314,1.7491936133364332,1.803779562438426
62-2802158,,,,,,,,,,,,,,,0,1.027998620632927,1.0033924024232053,1.01826002087264,1.0098922663095262,1.0550333590671594,1.045793833972987,1.1244193767124107,1.1008112395626526,1.094457907790807,1.088743232514938,1.083177938676711,1.077622652936309,1.0692952895777232,1.0677742466531024,1.0655345237889062,1.1518943955002914,1.1502982199182692,1.1870724047502896,1.196590015853841,1.2050569462558172,1.2434896238951316,1.4474028483949606,1.6940798327480775,1.7628413595767392,1.7291015961098966,1.8435734976972749,1.8072623324046295,1.8664513545968675
63-2802168,,,,,,,,,,,,,,,,0,0.9909197464648261,1.0150381920676885,1.0053958459528405,1.059711666922184,1.0481391494660703,1.1365209532522647,1.1078639881733108,1.1003689133517927,1.0938494508808723,1.0874839761632464,1.0812476384053356,1.0720009534765622,1.0702145198346855,1.0676412910232902,1.1588829010565735,1.1562617583694137,1.194135526330022,1.2039809075104388,1.2126216429413712,1.2522883694253697,1.4661531859593921,1.7267385282802836,1.7992770388467152,1.7622405035552051,1.883052264165583,1.843267458592923,1.9058319625665516
64-2801848,,,,,,,,,,,,,,,,,0,1.0603724221910098,1.0193031101252368,1.047481949178619,1.0361328674884007,1.1510344887719024,1.112317946369356,1.1029614886873416,1.0951127120999469,1.0876022352081178,1.0804133147260995,1.0700285963358152,1.0681615228350863,1.0654937283950616,1.1670287044990737,1.1629453595750954,1.203457709923664,1.2140174553809715,1.2231011861254018,1.2654115767372216,1.4991063461877385,1.789510656498541,1.8696475402148736,1.8258606479604567,1.9596133231887738,1.9124063214226084,1.9814302524691012
65-2802825,,,,,,,,,,,,,,,,,,0,0.9763702870537528,0.995553269012275,1.0013396503415295,1.1386596210557223,1.099142641316262,1.0902071965256412,1.082486909299804,1.0754469152872672,1.0686318096963048,1.0589707803597563,1.0578220848541453,1.0560308591529648,1.1636657094611673,1.159898649951801,1.2027746642590444,1.2136332180257552,1.2231275885230157,1.267205150528273,1.5121578874186,1.818649465897558,1.904041051393415,1.8559126686591803,1.9566269351985106,1.9082395855659315,1.9791887854785746
66-2802870,,,,,,,,,,,,,,,,,,,0,1.0048840741177787,1.0078133999318655,1.1769694697877409,1.11779368849905,1.10538945958336,1.0955103470702665,1.0863796049555257,1.0779183217182409,1.0661520508845073,1.0643205103713163,1.0617030823385298,1.1770856401764882,1.1708723810126644,1.2146599650452579,1.226108557593308,1.2357100099574871,1.2812607680043318,1.5409987673726178,1.8698536533791388,1.9608149204778127,1.9066902681831264,2.0135926873803514,1.959821152183009,2.0352953888953236
67-2802906,,,,,,,,,,,,,,,,,,,,0,1.0093917788312063,1.3373049084570454,1.1682601087240778,1.1426957970746157,1.1255108127414504,1.1097931731312047,1.0965373090895136,1.079127335291705,1.075658803439151,1.0711660961779135,1.2065146447036252,1.1938802484578754,1.2405248681055743,1.2526887691032877,1.2625154474313613,1.311528475513695,1.6070990263101006,1.992964771113784,2.0989609032949796,2.0286412754885856,1.9343063315684395,1.8834129986110193,1.900324367297062
