순번_정류장ID,46-2802061,47-2802077,48-2802085,49-2802096,50-2802111,51-2801845,52-2802117,53-2802074,54-2802031,55-2802010,56-2801983,57-2801975,58-2805277,59-2805276,60-2805274,61-2805272,62-2801921,63-2801927,64-2801924,65-2801916,66-2801925,67-2801908,68-2801715,69-2801690,70-2807642,71-2806780,72-2800225,73-2800217,74-2800210,75-2800174,76-2800200,77-2800195,78-2800198,79-2800203,80-2800208,81-2800205,82-2801327,83-2801308,84-2801284,85-2801271,86-2801262,87-2801252,88-2801250
64-2801924,,,,,,,,,,,,,,,,,,,0,0.9999835677665309,1.002424845056441,1.695405241269036,1.4096306242745622,1.3537539801525673,1.2179776437487997,1.3606689623042338,1.4589972808896288,1.4324404512248186,1.3864966415037256,1.3558136817867887,1.3705891704881403,1.4040826367771597,1.485522018719414,1.499799144151968,1.6065591500752114,1.5738236697323646,1.555937611453057,1.536754471038125,1.5055803698817856,1.4797424357930846,1.4689430394596963,1.455980310032417,1.4491321642394492
65-2801916,,,,,,,,,,,,,,,,,,,,0,1.006119078553386,2.585493499346254,1.6135975312918034,1.4864822931217754,1.2612345956773745,1.4326512285565232,1.5465507766342124,1.5092855700280556,1.4467582298282184,1.4061035385218905,1.421335315856876,1.4584085732342502,1.550488113540701,1.5649473782660566,1.6854838867734723,1.6443833102542447,1.6215897481175032,1.597680606095648,1.559380184832358,1.5279873527785233,1.5147116860220442,1.4993532783483765,1.4907793724647358
66-2801925,,,,,,,,,,,,,,,,,,,,,0,1.3004157621693218,1.1351455406087143,1.126779855501027,1.073735019070337,1.2356481742446817,1.3524514764394469,1.3295266576980187,1.2906179311261659,1.2654906453614299,1.2844274985498914,1.322650703251903,1.4122450583830222,1.4296836416809493,1.5464945015082832,1.5143023384323335,1.4969718542298347,1.478225556919018,1.448669487671248,1.4238328481709654,1.4138358145523233,1.4015885800405055,1.3951451941334576
67-2801908,,,,,,,,,,,,,,,,,,,,,,0,0.9947931080658841,1.0002087610525228,1.0046908628122522,1.203327099281141,1.3472388298958733,1.320120452859862,1.2757790019562738,1.2483025381030206,1.2706674198162136,1.3147726190478617,1.4174768744632849,1.3938678289616029,1.4488688285303881,1.4891167844798776,1.4710755869952887,1.451906880495955,1.4214324649427656,1.396371344375067,1.3861157160510094,1.3739877256154427,1.3673485643601473
68-2801715,,,,,,,,,,,,,,,,,,,,,,,0,1.0095099555550446,1.008622768826977,1.2869558991020507,1.4786224023927834,1.428696779518166,1.353035226111689,1.3090048054416068,1.333916578165084,1.3863254172103494,1.5113919047816222,1.4763474297533412,1.5035968538975248,1.5834422155066388,1.557861622559399,1.5311746636484072,1.489391837304236,1.4560748410905964,1.4425264030965779,1.4264896355473755,1.418134569447045
69-2801690,,,,,,,,,,,,,,,,,,,,,,,,0,1.0083557747822522,1.3714757299012241,1.608671257928534,1.5298026500695245,1.41851226373636,1.3575250997079786,1.38389417342029,1.4427315985496993,1.5859679410104572,1.5402114806793812,1.5650407191956883,1.65517881564445,1.622944554844627,1.5897616150536529,1.5384494663540722,1.4983951241998779,1.4824616651345486,1.4634614689830963,1.4536043254020194
70-2807642,,,,,,,,,,,,,,,,,,,,,,,,,0,1.14583937317851,3.6802692324287007,2.4827073456606543,1.7746315430718458,1.5560947085252856,1.5864945828359929,1.6813446620253059,1.9326476580883913,1.8092698859812093,1.6252413914537052,1.556698782796275,1.5228088546818817,1.4887030855426273,1.4379127231814737,1.3994484422432454,1.3842403372969252,1.366471028574035,1.3573686036216233
71-2806780,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0090002096183608,1.0068788799199824,1.0040046178433573,1.0059283604650007,1.0737777912498179,1.1773404793275652,1.398807434463632,1.3535522933595947,1.2866910556232347,1.400422667040078,1.3759184831719593,1.3511145911627789,1.3146641484138324,1.286473834288222,1.2755472691039806,1.2623022008961144,1.2556879393888984
72-2800225,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0018033848145749,1.000075993616536,1.004384664060323,1.1027355655420557,1.2479568093984585,1.559740301986709,1.4735166936344615,1.352750399571242,1.3083807439161144,1.28804999965501,1.2675390836771114,1.238204193135011,1.2152448501860673,1.2066124582229625,1.1961783244988788,1.1909105437048835
73-2800217,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9992302293463741,1.0050709718543092,1.0040661487106977,1.3002898607715452,1.6760912635863217,1.5529108921440664,1.3944115719257417,1.3404734377763505,1.3161823501805006,1.2907936542113903,1.2565881173926743,1.2295745178086688,1.220015839732907,1.2082288540837653,1.2020370326550966
