순번_정류장ID,73-2802586,74-2802584,75-2802575,76-2802567,77-2802553,78-2802543,79-2805388,80-2806693,81-2802468,82-2802444,83-2802457,84-2802494,85-2805600,86-2802371,87-2802449,88-2802370,89-2802459,90-2802461,91-2805716,92-2802464,93-2806674,94-2802462,95-2802428,96-2803019,97-2802965,98-2802939,99-2802634,100-2802857,101-2802848,102-2802799,103-2803266,104-2803268,105-2803259,106-2803249,107-2803226,108-2803127,109-2803132,110-2803135,111-2803124,112-2803100,113-2803087,114-2802637,115-2802652,116-2803058,117-2800805,118-2800798,119-2807057,120-2807074,121-2803491,122-2806937,123-2804966,124-2800630,125-2806418,126-2806633,127-2805743,128-2804896,129-2805564,130-2804968,131-2804905,132-2805413,133-2805498,134-2805576,135-2805225,136-2805227,137-2805329,138-2806741,139-2805758
83-2802457,,,,,,,,,,,0,0.997791050876427,1.02871258315486,1.6591131018891319,1.4130717784538698,1.3659752897940736,1.3099619109256115,1.2626670983661021,1.237874872856336,1.2194959079781122,1.1970609437629904,1.1853714796723254,1.2378597571276748,1.180824541057575,1.1646592541075367,1.158574637650901,1.1443444144989614,1.1375043953782655,1.1305870671812523,1.139117749991446,1.1585000055006272,1.1518804402091467,1.1608912638646802,1.1832759524245098,1.191058545506773,1.185963565042891,1.2828413880806395,1.3525879552676119,1.3468101980608622,1.4016876351028964,1.4416595589949754,1.5023128127286791,1.5262144232359858,1.5265320628978805,1.500507493286508,1.4886535933002456,1.4685572901561976,1.447795915932635,1.4377438719315447,1.420682496819631,1.3910649930933063,1.3699637183042748,1.3569777870961646,1.3453829688808214,1.335685489266252,1.331339854713698,1.3230751026290046,1.3146410218463618,1.3081806703856005,1.3387448507072006,1.350806672177884,1.3443893738479027,1.3620240763250528,1.4281084340973373,1.4138025792748257,1.4077266049615413,1.402573200244113
84-2802494,,,,,,,,,,,,0,1.0711870921527344,1.723536542854021,1.3705971632083387,1.3187647741120851,1.26116321957835,1.2124462370654232,1.1900697871407373,1.1740232894591691,1.1537681959602288,1.1439586556692034,1.2051586961490115,1.1512898550790707,1.136936492920806,1.1317122035758418,1.1193331590431257,1.1132667299493852,1.1073170669893346,1.1187791486516958,1.1405001026832937,1.1343466973285745,1.1446083304116756,1.1679132274359374,1.1769646359267936,1.171881311926438,1.2722496580634444,1.3444525045824354,1.3387162816028013,1.3955635307602898,1.4373689825991558,1.5005442153917683,1.5250378550534145,1.5253975775060384,1.4983339067163761,1.4862685477513586,1.465594078812333,1.4440338621282864,1.4340126418329748,1.4165890471448495,1.3863094571714587,1.365141754063391,1.3516000486313857,1.3402815388271696,1.3304044515174362,1.3261329510491113,1.3173591976075583,1.3093130505968966,1.302746572773773,1.3340929961156252,1.3461582275955126,1.3399513796879121,1.3576867585714834,1.4250081202540126,1.4109527125773766,1.4047956127121537,1.3995033787306927
85-2805600,,,,,,,,,,,,,0,0.9703945328487975,0.9958846968352749,0.9992515383684515,1.0070921389009035,0.996337135055741,1.0002547551118957,1.0014794738878439,1.001373854538546,1.0014559044303188,1.0741373043133762,1.0510463472113116,1.0462271360516522,1.0451919282193252,1.041448875006922,1.0398147354288394,1.0379632505816834,1.0567437610117287,1.0820640311486591,1.0788557178295983,1.0919251151098597,1.115038430833793,1.1268611325688467,1.1228799693771534,1.220885604156359,1.2917990206959769,1.287520635878937,1.344429669363745,1.3854436836293953,1.4476778571749587,1.4717412807259291,1.4732839552197892,1.449709543240386,1.4390546711918997,1.4199392806817956,1.4009130043192106,1.391773925677061,1.3762934104398112,1.3489533520985066,1.3300833844393516,1.3180797174540004,1.3074365533829537,1.2987214420948952,1.2948932204621668,1.2872327303545543,1.279666422345665,1.2737065434507522,1.3046356882978571,1.3173203637300652,1.311578413526747,1.3291618016509892,1.3955778222347788,1.383352008106157,1.3776294859346214,1.3728579561726697
86-2802371,,,,,,,,,,,,,,0,1.02564290724285,1.0229752620181676,1.0279001197339481,1.0086482687838052,1.0120269802273612,1.0122662731292884,1.0105530381708243,1.0099219820621128,1.0981832242280853,1.0649778119614595,1.0577214242760853,1.0559400956596265,1.0507111043572892,1.048129604402102,1.0455617308241174,1.0653112898077537,1.0925314518311289,1.088478994361749,1.1019719830527959,1.1269974313772413,1.1390486426432231,1.1345866453427103,1.2407125048245664,1.3175102436981942,1.3121580065429104,1.3732818330207848,1.417675915463537,1.4849691443827273,1.511152166272433,1.5119141375307814,1.4840217317249493,1.4718918605955953,1.4503162256839457,1.4287111194120443,1.4182138416329781,1.4004139398124327,1.369932117498948,1.3487917871351673,1.3355801922544883,1.3240200983464152,1.3140245087688953,1.3100406234735116,1.3014891100908843,1.2932930792824686,1.2867627760365423,1.3191969174528415,1.3321604068895037,1.325856480144246,1.3442573630062447,1.4138693911375158,1.3999003566997763,1.393697360535141,1.3885669488368517
87-2802449,,,,,,,,,,,,,,,0,0.952743700735308,1.0065733653824012,0.982040997086794,0.9936166858160284,0.997034584664131,0.9977214227709436,0.9982356147415355,1.110958106919309,1.0678217365968445,1.059091891633546,1.0569682903383653,1.050940627132294,1.0480362702882093,1.0451897404269759,1.0668962738983947,1.0964294108775159,1.091808431518148,1.1061771842612187,1.1331868111801007,1.1457489521368471,1.1407811255049838,1.2551012017892507,1.3380572987976695,1.3315407992653554,1.3971429418785994,1.4449996411388126,1.4372383461963225,1.4638112081748744,1.466248641331597,1.4402936431900442,1.4291169797710435,1.408866719095738,1.389310750965184,1.379470020712813,1.363255384113733,1.3350057874675807,1.315903095454169,1.303806988527179,1.2931223155840454,1.2841437005890102,1.2803477560292682,1.272796627672608,1.265131556901285,1.2688214533480042,1.3043301212062113,1.317726339065236,1.3117099641452112,1.3305518151535773,1.400945074664877,1.3877114374441981,1.3815881630473987,1.3763957560655364
88-2802370,,,,,,,,,,,,,,,,0,1.0243365489650471,0.9839948037239978,0.9975270374056839,1.0007781921878722,1.0007282750635829,1.000954782150735,1.1248984127427861,1.0740967859686552,1.0640429292813052,1.0614897655458015,1.054567166075751,1.0512771741490572,1.0480827454454875,1.070186073112037,1.1004461468963194,1.0954387823909064,1.110012920834896,1.1378177677355077,1.150430143592719,1.1451977493365426,1.2628669088951692,1.3483337914513265,1.3414207532529572,1.40843863917963,1.4578805030226483,1.4300811558903619,1.4193893875093089,1.4081134899343892,1.3862382493057577,1.3763918874342909,1.3593474303087725,1.3423350293638048,1.3339134951023588,1.3198287922034673,1.2954189614557095,1.2788398557870504,1.2682354050711384,1.25901787369491,1.2513603624254306,1.2479060095503896,1.245296271885089,1.2383755716193068,1.2728495485010918,1.3090151194467146,1.3226019868502676,1.31639341580564,1.3353469070321962,1.4069726804319316,1.3931383683211402,1.3868494084226162,1.3815035015828434
89-2802459,,,,,,,,,,,,,,,,,0,0.9362619201084172,0.9810795246142718,0.9904190130809525,0.9933696750148037,0.9947415420405697,1.1467763551768255,1.0807627201424568,1.0686009061174797,1.0654581882193344,1.0573254512441665,1.0535472044773186,1.0499310473216978,1.0732460318392587,1.1051054153195297,1.0995143151167337,1.1146140605579018,1.1439129967634742,1.1567483443875486,1.1510756236138686,1.2749379653307105,1.3650791771376558,1.3569608309074057,1.4274665518859242,1.479528877644232,1.4492472880519558,1.4375811277145583,1.4175012112540262,1.39414141611346,1.3840468178820162,1.365783671825765,1.3479036031915022,1.3392188695894631,1.3243551760203411,1.2987127232515758,1.281712160324674,1.2709339047968824,1.2613050325763653,1.2532160157840144,1.2500128665864196,1.2509158503392757,1.2437528323847786,1.278956162016869,1.3161330699121654,1.3300149528829692,1.3235747080889249,1.342853962230951,1.4165078376702116,1.401661199415968,1.3951789358311197,1.3895711764283818
90-2802461,,,,,,,,,,,,,,,,,,0,1.022067244475236,1.018468315825144,1.0114044761595848,1.009744627508532,1.1924310512660155,1.0982854641652775,1.0820530967923068,1.0775721365896898,1.0668525076384725,1.062003183678164,1.0574444112989132,1.081007869685809,1.1139164371197783,1.1074537130270767,1.1227419919227477,1.1534258174205898,1.1661585127484695,1.1599552881684907,1.289690244128964,1.3842494485617927,1.3751687299864725,1.4487234314509227,1.5030299041499868,1.4699637313543894,1.4572872674065018,1.4355440304882605,1.4102868182596213,1.399235579500484,1.3797956282590513,1.3607628836169798,1.3512180117834742,1.3356332708906813,1.3083189210152324,1.2902704757849655,1.278685400809953,1.2687529766922714,1.2602496123673677,1.2567585905118919,1.2576456965088396,1.2503155179227585,1.2863324720274811,1.3244434828548854,1.3383689222339554,1.331506235328598,1.3514266723972794,1.4268477575315743,1.4110336806598194,1.4040841739698713,1.3983939565281922
91-2805716,,,,,,,,,,,,,,,,,,,0,1.014052375458654,1.0060628268173433,1.005178592705975,1.2378209571454404,1.108609872728117,1.0887485223770121,1.0832458044867521,1.070646150897802,1.065086378646871,1.0599371450334638,1.0844962279889307,1.1188530048387706,1.1117207472403856,1.127425228393659,1.1595373665363373,1.1723726019979768,1.165711874869125,1.301356782061199,1.4004055791494283,1.3900199103731716,1.4668990538671702,1.5236936509252668,1.4876792564015444,1.4740261714593101,1.4506865027846212,1.4238058680303092,1.4118258583538836,1.3911429743576216,1.3707745882854963,1.360834111649339,1.3443607709750336,1.3157748832711222,1.2966835583571563,1.2845677756317564,1.2740972711835634,1.265240589699518,1.2616808319487696,1.2625859465319094,1.254782949344543,1.2917607884410194,1.3306602538545853,1.3447476756278898,1.3375954750998904,1.3579546137166898,1.4351431324706596,1.4184029984905786,1.4112918118458184,1.40527811350618
92-2802464,,,,,,,,,,,,,,,,,,,,0,1.0005533090874288,1.0013410734214252,1.299889203940538,1.1203441418118307,1.096223810825944,1.0895339666303128,1.074843220234038,1.0685133742668633,1.0627329335348445,1.088066481361193,1.1236542710452697,1.1158676112309107,1.1318929654304868,1.165271435819381,1.1781399750682149,1.171053727072673,1.3119404804528736,1.4149814218365577,1.4037770365698334,1.4831869089452356,1.5421861888667654,1.5038665960033086,1.4890949027136675,1.4642919743146714,1.435774518382524,1.423277103183211,1.4014559382768472,1.379996673736814,1.3695670921238776,1.3522855750761398,1.3225675251539946,1.3025142539309615,1.2899203299911937,1.2790544701134015,1.2697775441230281,1.2659744098764634,1.2668119972870409,1.2589372780488213,1.2962976253050351,1.3360417784714693,1.3502597009897124,1.3429517656226675,1.363685391829184,1.4423875066547829,1.4248281069351016,1.41739947181273,1.411373080985858
