순번_정류장ID,31-2802625,32-2802694,33-2802692,34-2802713,35-2802724,36-2802732,37-2802755,38-2802776,39-2802813,40-2802853,41-2802878,42-2802903,43-2802919,44-2802922,45-2802904,46-2802924,47-2802931,48-2802923,49-2802914,50-2802912,51-2802949,52-2802978,53-2803006,54-2803002,55-2804818,56-2802956,57-2802984,58-2803020,59-2804978,60-2807337,61-2803033,62-2805834
41-2802878,,,,,,,,,,,0,1.0146225087453593,0.9857380188451929,1.185409172958088,1.8356292057821715,1.4965244777398856,1.351700332963374,1.3064915777242543,1.2653656959309856,1.240046311654395,1.1978516366084406,1.3185682672143135,1.2537056837078333,1.21772812188947,1.4102376073727,1.4100710575403608,1.3526699659346157,1.4275883365893725,1.708163381226468,1.8742730204947349,2.3304025857430877,2.24426748091696
42-2802903,,,,,,,,,,,,0,0.9477976682919387,0.9948841293475356,1.2135676104843154,1.1258248182992348,1.087208096538692,1.0773654524223613,1.0699413832193088,1.0664551191130924,1.054300582123823,1.1742540253193094,1.1814796069589015,1.1536057630864291,1.3102156363910313,1.3178455262521098,1.2748913544330103,1.3838025596889263,1.665636932088262,1.832816641757697,2.294789580579994,2.208999296820429
43-2802919,,,,,,,,,,,,,0,1.0434002374313245,1.0274071612259978,1.0111682232308188,1.0042447032038124,1.0054533633221654,1.0087276658610762,1.0122385660242286,1.009230553403494,1.1356650339706114,1.1663657056145678,1.1391062329153383,1.289006195880456,1.2986019457468305,1.2574876389580223,1.381430338704852,1.6742786571552686,1.8491362507166063,2.3360077027441024,2.2434408224018796
44-2802922,,,,,,,,,,,,,,0,1.0012332744634358,0.9954507342942299,0.9929955436837613,0.9963127301500352,1.0016893631101074,1.0065691139802397,1.0043894808061806,1.1433734412418792,1.1264316079804109,1.1037658020308014,1.3040956873401621,1.3129763874480624,1.2674168192471582,1.360755252395379,1.6581746906090218,1.8363588707655274,2.3353788571963774,2.2403767994199226
45-2802904,,,,,,,,,,,,,,,0,0.9917139776385612,0.990326026478383,0.9950568424912904,1.0017795793568796,1.007471659397766,1.0048037669454002,1.1620339659774337,1.1266437727951424,1.1023117642380664,1.3291347000999831,1.3363844619902074,1.2838619283602273,1.37299631435422,1.6890778352054336,1.880465072545892,2.4223815650908165,2.3144110271780134
46-2802924,,,,,,,,,,,,,,,,0,0.9889289993309165,0.9972402777918179,1.006312283107725,1.0130750572050933,1.008143658234653,1.2055123206364742,1.1498358503827057,1.1181795497393814,1.3786963035119957,1.381751504743146,1.314780880828719,1.4106471917470755,1.7670635380272148,1.987682490897893,2.6265368948519607,2.4868058441443965
47-2802931,,,,,,,,,,,,,,,,,0,1.0126529316712836,1.0203857321920096,1.011223321056081,1.0053710291766562,1.1616847842398124,1.1146870883610684,1.0859637133573372,1.375386861295401,1.379130454266645,1.307372688788929,1.4108683177164032,1.7974915208153146,2.0410108770080977,2.7613667476196455,2.594801389310642
48-2802923,,,,,,,,,,,,,,,,,,0,1.0263775698427071,1.0106386431157124,1.0037561809813744,1.0016902936461427,1.014150277541244,1.0038478487449465,1.2923940529893894,1.3056832829797336,1.2492882592233896,1.3572744347843249,1.7374613841864246,1.9766818146051746,2.687058224272273,2.5269459478855305
49-2802914,,,,,,,,,,,,,,,,,,,0,0.993045966598147,0.9946862512634441,0.9948639082520596,1.0122293060751357,1.001042590300987,1.326509428687353,1.3369293204684873,1.2684771729925322,1.3835419194955771,1.8027943117447374,2.072288330034191,2.8924300447934526,2.692797847082831
50-2802912,,,,,,,,,,,,,,,,,,,,0,0.995603704350865,0.9954614438358809,1.0153664749476086,1.0020450282160636,1.3697267979921406,1.3751736281207028,1.291458766576182,1.4133942551014658,1.8753138431184495,2.17903347507615,3.1287124326416595,2.8793115268855543
