순번_정류장ID,1-2805726,2-2805739,3-2800372,4-2800317,5-2804990,6-2805948,7-2805949,8-2800371,9-2803056,10-2802651,11-2805435,12-2803096,13-2803112,14-2803119,15-2806906,16-2802763,17-2802635,18-2802730,19-2802727,20-2802718,21-2802712,22-2802708,23-2802738,24-2802728,25-2802744,26-2802767,27-2802785,28-2802812,29-2802844,30-2802867,31-2805711,32-2802393,33-2802395,34-2802399,35-2802406,36-2802412,37-2802372,38-2802474,39-2802487,40-2802530,41-2802546,42-2802562,43-2802571,44-2802576,45-2802585,46-2802374,47-2802588
11-2805435,,,,,,,,,,,0,0.313271,0.576082,0.754108,1.1097709999999998,1.757464,2.5813740000000003,3.074143,2.947737,3.064806,3.2833160000000006,3.853823,4.223896,4.723549,5.066878,5.3775319999999995,5.723878,6.0254650000000005,6.268802,6.490432,7.026180999999999,7.483229,7.9237210000000005,8.406385,9.042705,9.280908,9.734666,10.126521,10.350987,10.143558,10.248182,10.575334,10.831446000000001,11.104511,10.902921000000001,11.108713999999999,11.374833
12-2803096,,,,,,,,,,,,0,0.270811,0.448837,0.8045,1.452193,2.276103,2.768872,3.041008,3.157077,3.3755870000000003,3.9460940000000004,4.316167,4.81682,5.159149,5.469803,5.816149,6.117736,6.361073,6.582704,7.118453,7.5755,8.015992,8.498656,9.134976,9.374179,9.827937,10.218793,10.366742,9.96283,10.066454,10.393605,10.524175,10.79924,10.59865,10.804443,11.069562
13-2803112,,,,,,,,,,,,,0,0.178026,0.53369,1.181382,2.005293,2.498062,2.770197,2.8862669999999997,3.1057759999999996,3.6752839999999996,4.045357,4.546009,4.889339,5.197992,5.545339,5.847926,6.091262,6.312893,6.846642,7.305689999999999,7.744182,8.228846,8.865165,9.103369,9.557127000000001,9.947982000000001,10.094932,9.691019,9.795643,10.122794,10.254365,10.529428999999999,10.327838999999999,10.532632000000001,10.799750999999999
14-2803119,,,,,,,,,,,,,,0,0.355664,1.003356,1.8272669999999998,2.320036,2.591171,2.709241,2.92775,3.497257,3.8673309999999996,4.366983,4.711313,5.0209660000000005,5.367312,5.6689,5.912236,6.134867,6.668616,7.127664,7.566155,8.04982,8.686139,8.925342,9.378101,9.768956,9.916905,9.514992999999999,9.617617,9.943767999999999,10.077338000000001,10.350403,10.148813,10.355606,10.620725
15-2806906,,,,,,,,,,,,,,,0,0.6486930000000001,1.472603,1.9653720000000001,2.419493,2.595577,2.814087,3.3845940000000003,3.7536669999999996,4.25432,4.597649,4.907303,5.255649,5.557236,5.7995730000000005,6.021203,6.554048,6.949,7.388491999999999,7.8721559999999995,8.508476,8.746678999999999,9.200436999999999,9.591292,9.563242,9.159329,9.261953,9.590105,9.721675,9.996739999999999,9.79415,9.999943,10.266062
16-2802763,,,,,,,,,,,,,,,,0,0.8239110000000001,1.3166799999999999,1.7708009999999998,2.213885,2.4343939999999997,3.002902,3.371975,3.873628,4.216957,4.52761,4.636957,4.938544,5.1818800000000005,5.403511,5.906356,6.301308000000001,6.7408,7.224464,7.8607830000000005,8.098987,8.552745,8.9436,9.03555,8.632636999999999,8.736261,9.063412,9.193983,9.470047000000001,9.267457,9.47325,9.738369
17-2802635,,,,,,,,,,,,,,,,,0,0.49276899999999996,0.94689,1.391974,1.610484,2.178991,2.548064,3.048717,3.392046,3.7017,4.049046,4.350633,4.59397,4.815601,5.35035,5.808397,6.247889,6.731553,7.3678729999999995,7.606076,8.059834,8.450689,8.675155,8.468727000000001,8.57235,8.898502,9.188072,9.463137,9.332547,9.53834,9.803459
18-2802730,,,,,,,,,,,,,,,,,,0,0.454121,0.8992049999999999,1.117715,1.6882220000000001,2.058295,2.558948,2.902277,3.2119299999999997,3.559277,3.860864,4.104201,4.325831,4.860580000000001,5.3186279999999995,5.75812,6.241784,6.8781039999999996,7.116307000000001,7.570065,7.96092,8.185386,7.978957,8.082581,8.410733,8.699303,8.974368,8.843778,9.049571,9.314689999999999
19-2802727,,,,,,,,,,,,,,,,,,,0,0.44508500000000006,0.6635939999999999,1.2341010000000001,1.604174,2.1048270000000002,2.448157,2.7578099999999997,3.104156,3.406743,3.64908,3.870711,4.40646,4.863508,5.303999,5.786663,6.422983,6.661186,7.114945,7.5058,7.731266000000001,7.525836999999999,7.629461,7.953612,8.244182,8.519247,8.390657000000001,8.59445,8.861569
20-2802718,,,,,,,,,,,,,,,,,,,,0,0.21850999999999998,0.789017,1.5770899999999999,2.077743,2.421072,2.7307259999999998,3.078072,3.3796589999999997,3.622996,3.8446269999999996,4.379376000000001,4.837423,5.276915,5.760579,6.3968989999999994,6.635102000000001,7.08886,7.479715,7.704181,7.498753,7.602377000000001,7.928528,8.219097999999999,8.494163,8.363572999999999,8.569366,8.833485000000001
21-2802712,,,,,,,,,,,,,,,,,,,,,0,0.570508,1.358581,1.859234,2.202563,2.512216,2.859563,3.16115,3.404487,3.626117,4.160866,4.618914,5.058406,5.54207,6.178389,6.416593,6.870350999999999,7.261206,7.485672,7.281242999999999,7.381867,7.7090179999999995,7.999589,8.274653,8.143063,8.349855999999999,8.614975
22-2802708,,,,,,,,,,,,,,,,,,,,,,0,0.7890729999999999,1.289726,1.633055,1.942709,2.2900549999999997,2.591642,2.834979,3.05661,3.5913589999999997,4.049405999999999,4.488898000000001,4.972562,5.608882,5.847085,6.300843,6.691699000000001,6.9161649999999995,6.710736,6.81336,7.141511,7.4300809999999995,7.705146000000001,7.575556,7.780349,8.046467999999999
23-2802738,,,,,,,,,,,,,,,,,,,,,,,0,0.500653,0.843982,1.153636,1.500982,1.8025689999999999,2.045906,2.267536,2.802285,3.260333,3.699825,4.183489,4.819808999999999,5.058012000000001,5.511769999999999,5.902625,6.127091,6.439996,6.54362,6.869772,7.160342,7.4354070000000005,7.303817,7.50961,7.774729
24-2802728,,,,,,,,,,,,,,,,,,,,,,,,0,0.344329,0.653983,1.0013290000000001,1.302916,1.546253,1.767884,2.302633,2.760681,3.2001720000000002,3.683836,4.320156,4.558358999999999,5.012118,5.402973,5.627439,6.0303510000000005,6.536633999999999,6.863785000000001,7.153355,7.42842,7.804469,8.010261999999999,8.182619
25-2802744,,,,,,,,,,,,,,,,,,,,,,,,,0,0.309654,0.657,0.9585870000000001,1.201924,1.423555,1.958304,2.4163509999999997,2.855843,3.339507,3.9758269999999998,4.21403,4.667788,5.058643,5.283109,5.686022,6.192304,6.519456,6.809025999999999,7.084091,7.517500999999999,7.723294,7.83829
26-2802767,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.34734699999999996,0.648934,0.8922700000000001,1.113901,1.64865,2.1066979999999997,2.54619,3.0298540000000003,3.666173,3.9043769999999998,4.358135,4.74899,4.973456,5.376368,5.882651,6.209802,6.499373,6.774437,7.207847,7.413639999999999,7.528636
27-2802785,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.301587,0.544924,0.766555,1.301304,1.759352,2.198843,2.6825069999999998,3.3188269999999997,3.55703,4.010789,4.401644,4.62611,5.029022,5.535305,5.862456,6.152026,6.427091000000001,6.860500999999999,7.066294,7.18129
