순번_정류장ID,51-2803704,52-2804633,53-2803707,54-2803709,55-2806218,56-2803710,57-2803712,58-2803713,59-2803717,60-2803722,61-2803724,62-2803725,63-2803753,64-2804637,65-2803726,66-2803727,67-2803729,68-2803731,69-2803733,70-2804300,71-2803738,72-2807372,73-2803736,74-2803739,75-2803700,76-2803699,77-2803697,78-2803695,79-2803693,80-2804775,81-2803741,82-2803742,83-2803743,84-2803744,85-2804666,86-2803745,87-2803746,88-2803747,89-2803748,90-2804688,91-2807370,92-2803604,93-2800266,94-2807368,95-2804602,96-2803580,97-2800263,98-2800267,99-2804032
61-2803724,,,,,,,,,,,0,0.509686,0.682447,0.917723,1.258612,2.9246939999999997,3.30119,3.618807,3.996107,4.446964,4.751777,5.039544,5.3277529999999995,5.574037000000001,5.746965,6.066478,6.399848,6.852846,7.165955,7.396682000000001,8.186271000000001,7.486161,7.216488000000001,6.738589999999999,7.047808,7.706405999999999,8.177341,8.915563,9.323589,9.749715,9.881829,10.196736,10.730089999999999,10.994893,11.222142999999999,11.375648,11.596646,11.846741999999999,12.483189
62-2803725,,,,,,,,,,,,0,0.172761,0.408037,0.748925,2.4150080000000003,2.791503,3.109121,3.486421,3.937278,4.242091,4.529858,4.818067,5.06435,5.237279,5.556792,5.890162,6.34316,6.656267999999999,6.886996000000001,7.676585,7.003156,6.7334830000000006,6.255584,6.5648029999999995,7.2234,7.694336,8.432558,8.840584,9.26671,9.398823,9.713731,10.382904,10.68058,10.907829,11.061334,11.282332,11.532428,12.168875
63-2803753,,,,,,,,,,,,,0,0.235276,0.5761649999999999,2.2422470000000003,2.618743,2.9363599999999996,3.31366,3.7645169999999997,4.06933,4.357098000000001,4.645306,4.89159,5.064519000000001,5.384030999999999,5.717402,6.170399,6.4835080000000005,6.714235,7.503824000000001,7.175916,6.906242999999999,6.428344999999999,6.737563000000001,7.396161,7.867096000000001,8.605319,9.013345,9.439471000000001,9.571584,9.886492,10.555665,10.85334,11.080589999999999,11.234095,11.455093,11.705189,12.341636
64-2804637,,,,,,,,,,,,,,0,0.340888,2.006971,2.383467,2.701084,3.0783840000000002,3.5292410000000003,3.834054,4.121821,4.41003,4.656314,4.829242,5.148755,5.482125,5.935123,6.248231,6.478959,7.268548,7.411192999999999,7.14152,6.663621000000001,6.97284,7.631436999999999,8.102373,8.840595,9.248621,9.674747,9.80686,10.121768,10.790941,11.088617,11.315866,11.469371,11.690369,11.940465,12.576912
65-2803726,,,,,,,,,,,,,,,0,1.666082,2.042578,2.3601959999999997,2.7374959999999997,3.188352,3.4931660000000004,3.780933,4.069141,4.315425,4.488354,4.807867,5.141237,5.594233999999999,5.907343,6.138071,6.927658999999999,7.7520809999999996,7.482408,7.004510000000001,7.313728,7.972326,8.443261,9.181483,9.589509,10.015635000000001,10.147748,10.462655999999999,11.13183,11.429505,11.656755,11.810259,12.031258,12.281353,12.9178
66-2803727,,,,,,,,,,,,,,,,0,0.376496,0.694114,1.071413,1.52227,1.8270830000000002,2.114851,2.403059,2.649343,2.8222720000000003,3.141784,3.4751550000000004,3.928152,4.241261,4.471989,5.261577,6.278837,6.54851,7.120896000000001,7.430114,8.088712,8.559647,9.29787,9.705896000000001,10.132021,10.264135000000001,10.579042999999999,11.248216000000001,11.545891000000001,11.773141,11.926646,12.147644,12.397739999999999,13.034186
67-2803729,,,,,,,,,,,,,,,,,0,0.31761799999999996,0.694917,1.145774,1.450588,1.7383549999999999,2.026563,2.272847,2.445776,2.765289,3.098659,3.551656,3.8647650000000002,4.095493,4.885081,5.902341000000001,6.172014,6.7444,7.053617999999999,7.712216000000001,8.183150999999999,8.921374,9.3294,9.755526,9.887639,10.202547000000001,10.87172,11.169395,11.396645,11.55015,11.771148,12.021244,12.657691
68-2803731,,,,,,,,,,,,,,,,,,0,0.3773,0.8281569999999999,1.13297,1.4207370000000001,1.7089459999999999,1.95523,2.128158,2.4476709999999997,2.781041,3.234039,3.5471470000000003,3.777875,4.567464,5.584724,5.8543970000000005,6.426783,6.736001,7.394599,7.865533999999999,8.603756,9.011782,9.437908,9.570021,9.884929,10.554103,10.851778,11.079028,11.232532,11.453531,11.703626,12.340073
69-2803733,,,,,,,,,,,,,,,,,,,0,0.45085699999999995,0.75567,1.0454370000000002,1.3336459999999999,1.5799299999999998,1.752859,2.072371,2.405742,2.858739,3.171848,3.402575,4.192164,5.209423999999999,5.479097,6.051483,6.360701000000001,7.019299,7.490234,8.228457,8.636482,9.062608,9.194722,9.50963,10.178803,10.476478,10.703728,10.857232000000002,11.078231,11.328327,11.964773
70-2804300,,,,,,,,,,,,,,,,,,,,0,0.304813,0.594581,0.8827889999999999,1.129073,1.302002,1.621514,1.9548849999999998,2.407882,2.720991,2.951718,3.741307,4.758567,5.02824,5.600626,5.9098440000000005,6.568442,7.039377,7.7776,8.185626,8.611751,8.743865,9.058773,9.727946000000001,10.025621000000001,10.252871,10.406376,10.627374,10.877469999999999,11.513916
71-2803738,,,,,,,,,,,,,,,,,,,,,0,0.289767,0.577976,0.82426,0.997188,1.3167010000000001,1.6500709999999998,2.103069,2.416178,2.646905,3.436494,4.453754,4.723427,5.295813,5.605030999999999,6.263629,6.734564,7.472786,7.880812,8.306938,8.439052,8.753959,9.423133,9.720808,9.948058,10.101562,10.322561,10.572657000000001,11.209103
