순번_정류장ID,80-2802587,81-2802580,82-2802572,83-2802561,84-2802550,85-2802363,86-2802488,87-2802472,88-2802448,89-2802421,90-2802409,91-2802413,92-2802417,93-2802391,94-2802425,95-2802432,96-2802437,97-2802449,98-2802370,99-2802459,100-2802461,101-2805716,102-2802464,103-2802462,104-2802428,105-2803019,106-2802965,107-2802939,108-2802634,109-2802843,110-2802804,111-2802799,112-2803264,113-2803257,114-2803253,115-2803249,116-2803226,117-2803127,118-2805712,119-2803122,120-2803104,121-2803094,122-2803080,123-2803075,124-2803041,125-2803066,126-2803064,127-2802652,128-2803058,129-2800805,130-2800798,131-2807057,132-2807074,133-2800730,134-2800716,135-2805583,136-2800690,137-2800345,138-2803643,139-2803791,140-2801474,141-2801464,142-2801178,143-2801179,144-2801439,145-2801492,146-2801524,147-2801602,148-2801658,149-2801672,150-2801684,151-2801718,152-2801741,153-2801750,154-2801755,155-2801765,156-2801775,157-2801789
100-2802461,,,,,,,,,,,,,,,,,,,,,0,0.282908,0.513474,1.0466280000000001,1.344731,2.371429,2.817383,3.050567,3.6224519999999996,3.9707160000000004,4.589129,5.062718,5.381929,5.62718,6.067784,6.3634010000000005,6.842743,7.059429,7.083158,7.079072,7.301475,7.5318309999999995,7.480808000000001,7.299269000000001,7.516421,7.680573,7.876030999999999,7.5505119999999994,7.9120289999999995,8.407031,8.645764999999999,9.078946,9.579705,10.071091000000001,10.212047,10.401106,10.589273,11.288428999999999,11.861728,12.519053,12.326328,12.574342999999999,12.970314,13.054488000000001,12.970646,12.518031,12.213846,11.746436,11.160953,10.797572,10.365653,9.879219,9.426072,9.043638,8.670889,8.296239,7.954708,7.714519
101-2805716,,,,,,,,,,,,,,,,,,,,,,0,0.230566,0.763721,1.0618239999999999,2.088521,2.5344759999999997,2.767659,3.3395449999999998,3.6878089999999997,4.306222,4.7798110000000005,5.099021,5.344273,5.784877,6.080494,6.559836,6.776521000000001,6.800250999999999,6.796164999999999,7.018567999999999,7.249924000000001,7.197901,7.017361999999999,7.234514,7.397666,7.594124000000001,7.268605,7.630122,8.124122999999999,8.363858,8.797039,9.298798,9.788184,9.93014,10.117198,10.306366,11.004521,11.581821000000001,12.801960000000001,12.606235,12.85525,13.251221,13.334395,13.251553,12.798938,12.493754,12.028343,11.44186,11.080478999999999,10.646561,10.161126,9.706978999999999,9.325545,8.952796000000001,8.578146,8.237615,7.996426
102-2802464,,,,,,,,,,,,,,,,,,,,,,,0,0.533155,0.831257,1.857955,2.3039099999999997,2.537093,3.108979,3.457243,4.0756559999999995,4.549245,4.868455,5.113707,5.554311,5.849928,6.329269999999999,6.545955,6.569684,6.565599000000001,6.7880009999999995,7.019358,6.968335000000001,6.786796000000001,7.002948,7.1671,7.363558,7.038039,7.399555,7.893557,8.132292,8.565472999999999,9.067232,9.558618,9.699574,9.886632,10.0758,10.774955,11.350255,13.033526,12.837800999999999,13.085816000000001,13.481786999999999,13.567960999999999,13.484119,13.031504,12.727319999999999,12.259909,11.674425999999999,11.309045,10.877127,10.391691999999999,9.938545,9.558111,9.184362,8.808712,8.467181,8.226992
103-2802462,,,,,,,,,,,,,,,,,,,,,,,,0,0.526103,1.5528,1.9987549999999998,2.231938,2.803824,3.152088,3.7705010000000003,4.24409,4.5633,4.808552,5.249156,5.544773,6.024115,6.2408,6.264530000000001,6.260444000000001,6.4828470000000005,6.7142029999999995,6.6631800000000005,6.480641,6.697792999999999,6.862945,7.057403,6.731884,7.093400999999999,7.589402000000001,7.828137,8.261318,8.763077000000001,9.253463,9.395419,9.581477,9.770645,10.4698,11.0461,12.977281,12.782557,13.030571,13.425542000000002,13.851716,13.769874,13.317260000000001,13.013075,12.545664,11.960181,11.5968,11.164882,10.678447,10.223301,9.842866,9.469117,9.094467,8.752936,8.511747
104-2802428,,,,,,,,,,,,,,,,,,,,,,,,,0,1.027698,1.473652,1.706836,2.278722,2.626985,3.2453990000000004,3.7189879999999995,4.038198,4.283449,4.724053,5.019671,5.499013,5.715698000000001,5.739427,5.735342,5.957744,6.189101,6.138078,5.956539,6.173691000000001,6.337843,6.5333,6.207782,6.5682979999999995,7.0633,7.302035000000001,7.736216000000001,8.237975,8.72836,8.868316,9.055375,9.244542,9.943698,10.519998,12.451179,12.258453999999999,12.505469,12.90144,13.328614000000002,13.243772,12.789157000000001,12.487973,12.018562,11.433079,11.071698,10.637779,10.152345,9.697198,9.315764,8.942015,8.567364999999999,8.228833999999999,7.985645
105-2803019,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.44595500000000005,0.679138,1.251024,1.5992879999999998,2.217701,2.69129,3.0105,3.255752,3.6963559999999998,3.991973,4.471315,4.688,4.711729,4.707644,4.930046,5.161403,5.109380000000001,4.927841,5.144993,5.3101449999999994,5.5046029999999995,5.179084,5.5406,6.035602,6.273337000000001,6.707517999999999,7.209277,7.699663,7.841619000000001,8.027677,8.216845,8.916,9.4923,11.41852,11.231755999999999,11.479771000000001,11.874742,12.407916,12.322074,11.871459,11.565275,11.097864,10.512381,10.152000000000001,9.717082000000001,9.230647,8.7785,8.398066,8.024317,7.648667,7.306136,7.066947
106-2802965,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.233184,0.80507,1.153333,1.7717459999999998,2.245336,2.564546,2.809797,3.2504009999999997,3.546018,4.025361,4.242046,4.265775,4.261689,4.4840919999999995,4.715449,4.664425,4.482886,4.700038,4.86319,5.058648000000001,4.73313,5.094646,5.590648000000001,5.828382,6.260564,6.763323,7.252708,7.393664,7.581722999999999,7.769889999999999,8.470046,9.047346000000001,10.972565,10.785802,11.033816999999999,11.428788,12.012962,12.170119999999999,11.717505000000001,11.41232,10.945910000000001,10.361427,9.999046,9.566127,9.078693,8.625546,8.244112,7.870363,7.496713000000001,7.1541820000000005,6.912992999999999
107-2802939,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.572886,0.92115,1.539563,2.013152,2.332362,2.577614,3.018218,3.3138349999999996,3.7931769999999996,4.009862,4.033591,4.029506,4.251908,4.483265,4.432242,4.250703,4.467855,4.632007,4.826465,4.501946,4.863462,5.357464,5.5961989999999995,6.02838,6.530139,7.022525,7.163481,7.348539,7.539707000000001,8.236862,8.812161999999999,10.740382,10.553618,10.801633,11.196603999999999,11.780778,11.935936,11.484322,11.180137,10.712726,10.129242999999999,9.764861999999999,9.332944,8.845509,8.391361999999999,8.010928,7.637179,7.262529,6.921997999999999,6.680809
108-2802634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.34826399999999996,0.966677,1.440266,1.9574759999999998,2.202728,2.643332,2.938949,3.4182910000000004,3.634976,3.6587059999999996,3.6546199999999995,3.877022,4.108379,3.8583559999999997,3.676817,3.8939690000000002,4.058121,4.253579,3.9290599999999998,4.2895769999999995,4.783577999999999,5.024312999999999,5.4574940000000005,5.9592529999999995,6.448639,6.5905949999999995,6.777653,6.966821,7.663976,8.241276,10.165496000000001,9.980733,10.228747,10.623717999999998,11.207892,11.36505,10.911436,10.608251,10.14184,9.557357000000001,9.192976,8.760058,8.274623,7.820475999999999,7.439042,7.066292999999999,6.690643,6.3511120000000005,6.108923
109-2802843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.623413,1.0970030000000002,1.6422130000000001,1.887464,2.328068,2.623685,3.103027,3.3197129999999997,3.343442,3.3393559999999995,3.5617589999999995,3.7931150000000002,3.5150919999999997,3.3335529999999998,3.5507050000000002,3.714857,3.910315,3.584797,3.946313,4.440315,4.679049,5.11223,5.613989,6.104375,6.245331,6.43239,6.6225570000000005,7.322713,7.898013000000001,9.824232,9.637469,9.885484,10.280455,10.864628999999999,11.020786,10.569172,10.265986999999999,9.798577,9.214094000000001,8.850713,8.418794,7.932360000000001,7.478213,7.095778,6.725028999999999,6.349379,6.007848,5.764659
