순번_정류장ID,95-2806160,96-2807302,97-2806166,98-2807180,99-2807421,100-2806420,101-2806159,102-2805410,103-2805992,104-2805536,105-2805577,106-2805412,107-2805315,108-2804947,109-2805317,110-2805874,111-2805024,112-2806658,113-2805856,114-2806604,115-2806174,116-2806730,117-2807462,118-2806214,119-2800614,120-2800620,121-2800625,122-2800644,123-2800658,124-2800670,125-2800345,126-2803643,127-2803791,128-2801474,129-2801464,130-2801178,131-2801179,132-2801439,133-2801492,134-2801524,135-2801602,136-2806837,137-2801647,138-2801634,139-2803646,140-2801949,141-2801960,142-2801984,143-2802009,144-2802046,145-2802029,146-2802013,147-2802003,148-2802033,149-2802057,150-2802085,151-2802096,152-2802111,153-2802134,154-2802166,155-2806621,156-2806503,157-2806507,158-2802175,159-2801848,160-2802825,161-2802870,162-2802906,163-2802937,164-2802951,165-2802613,166-2802987,167-2802627,168-2802626,169-2803006,170-2803002,171-2804818,172-2802956,173-2802984,174-2803032,175-2803031,176-2803025,177-2803023,178-2803016,179-2803009,180-2803000,181-2803300,182-2803308,183-2807102,184-2806071,185-2805983,186-2807033
105-2805577,,,,,,,,,,,0,0.6326689999999999,0.9069790000000001,1.236305,1.39485,1.66098,1.614932,1.3983889999999999,2.293422,2.620427,2.90711,3.373497,3.578554,4.1939400000000004,4.598505,4.726698000000001,5.0389,5.550885,5.518864,5.781289,6.176869,6.752169,8.678389,8.676625999999999,8.92464,9.094611,9.678785000000001,9.973796,10.489410000000001,10.792595,11.260005,11.503671,11.875404,11.974105,12.522839,13.728839,13.519604000000001,13.470713,13.678963000000001,14.069869,14.450953,14.911048000000001,14.841317000000002,15.378310999999998,15.513672,15.755459,15.769282,15.258354,14.862139,15.353747,15.550692999999999,15.335231,14.950454,14.604729,14.321369,14.148143,14.46454,14.514069000000001,14.245648000000001,13.896662,13.499901999999999,13.518913000000001,13.592726999999998,13.308714000000002,12.917369,12.618303,12.318627000000001,12.038919,11.694869,12.67555,12.415161999999999,12.242514,12.140966,11.921733,11.760351,11.604545,11.306171,11.360369,12.03005,12.573324000000001,13.127253,13.398287
106-2805412,,,,,,,,,,,,0,0.27431,0.603637,0.762182,1.028311,0.9822629999999999,0.76572,1.660753,1.9877580000000001,2.2744419999999996,2.740829,2.9458849999999996,3.5602720000000003,3.965836,4.09403,4.406232,4.917217,4.885196,5.14762,5.543201,6.118501,8.04472,8.043957,8.291972,8.461943,9.046117,9.341128,9.856742,10.159927,10.627336999999999,10.872003,11.243735000000001,11.341436999999999,11.890171,13.531170000000001,13.315935999999999,13.269045000000002,13.476295,13.867201000000001,14.247285,14.710379000000001,14.641649,15.175642999999999,15.314004,15.554789999999999,15.566613,15.057685000000001,14.660471,15.152079,15.348023999999999,15.135563000000001,14.748785999999999,14.40206,14.121701000000002,13.946475,14.263871,14.3124,14.104579000000001,13.756592999999999,13.357833,13.377844,13.450657000000001,13.166644,12.7763,12.477233,12.176558,11.897849,11.5528,12.532481,12.274092,12.102444,11.998897,11.781663,11.616282,11.462475,11.164102,11.2173,11.88798,12.432253999999999,12.984183999999999,13.257217
107-2805315,,,,,,,,,,,,,0,0.329327,0.48787200000000003,0.761001,0.965829,0.935629,1.8306619999999998,2.157667,2.17965,2.470519,2.675575,3.2909620000000004,3.780526,3.9087199999999998,4.220922,4.647907,4.615886,4.87831,5.273891000000001,5.849191,7.77641,7.887647,8.135662,8.305633,8.889807000000001,9.184818,9.700432000000001,10.003617,10.471027000000001,10.715693,11.087425999999999,11.185127,11.733861,13.259860999999999,13.049626,13.001735,13.206985000000001,13.598891,13.978975,14.442069,14.371339,14.907333,15.045694000000001,15.288480999999999,15.298303,14.789375,14.393161,14.882769,15.079714000000001,14.866253,14.478476,14.13075,13.849391,13.676165,13.992560999999998,14.041089999999999,13.95067,13.601683999999999,13.205924,13.225935,13.298748999999999,13.014736,12.623391,12.325325,12.024649,11.744941,11.401891,12.381572,12.121183,11.949536,11.848988,11.628753999999999,11.466372999999999,11.310566,11.012193,11.066391000000001,11.737071,12.280346,12.833275,13.104308999999999
108-2804947,,,,,,,,,,,,,,0,0.158545,0.434674,0.639502,0.8560450000000001,1.9040119999999998,2.046122,1.856323,2.147192,2.352249,2.9666349999999997,3.4562,3.584393,3.8965949999999996,4.323580000000001,4.2915589999999995,4.553983000000001,4.949564,5.524864,7.451084,7.562321000000001,7.811335000000001,7.981306,8.56548,8.860491,9.376105,9.67929,10.1467,10.391366,10.762099000000001,10.8608,11.409533999999999,12.934534,12.722299000000001,12.675408000000001,12.881658,13.275564000000001,13.653648,14.115743,14.046012,14.582006,14.719367000000002,14.961154,14.972976999999998,14.467049,14.066834,14.557442000000002,14.753388000000001,14.540926,14.157148999999999,13.809424,13.529064000000002,13.351838,13.669235,13.718764000000002,13.706342999999999,13.357357,12.961597,12.981608,13.059422,12.774409,12.432936,12.13487,11.836194,11.555486,11.212436,12.193116999999999,11.932729,11.761080999999999,11.659533,11.4403,11.276917999999998,11.121112,10.822738000000001,10.875936,11.546616,12.089891,12.64282,12.914854
109-2805317,,,,,,,,,,,,,,,0,0.27613000000000004,0.48095699999999997,0.6975,1.7454669999999999,1.887577,1.6977779999999998,1.988647,2.193704,2.80809,3.2976550000000002,3.4258480000000002,3.73805,4.165035,4.133014,4.395439,4.791019,5.366319,7.292539,7.404775999999999,7.652791000000001,7.822761999999999,8.406935,8.701946000000001,9.21756,9.520745,9.988155,10.231821,10.604553999999998,10.702256,11.25099,12.776989,12.565754,12.516864,12.724113000000001,13.114019,13.495103,13.958198000000001,13.888467000000002,14.424462,14.561822,14.803609,14.815432000000001,14.304504000000001,13.909289999999999,14.397897,14.595842999999999,14.381381,13.996604000000001,13.649879,13.369519,13.193292999999999,13.51169,13.560219,13.548798000000001,13.199812,12.804052,12.825064,12.902877,12.617863999999999,12.593481,12.295414,11.993739,11.715031,11.370981,12.350662,12.090273,11.920625999999999,11.818078,11.597844,11.434463000000001,11.279656,10.982283,11.035480999999999,11.706161,12.248435,12.803365,13.074398
110-2805874,,,,,,,,,,,,,,,,0,0.205828,0.422371,1.470338,1.6124479999999999,1.422649,1.713518,1.9185740000000002,2.5329610000000002,3.022526,3.150719,3.463921,3.889906,3.858885,4.121308999999999,4.51689,5.09119,7.01841,7.128646000000001,7.376661,7.5486320000000005,8.132806,8.426817,8.942431,9.246616,9.713026,9.958692,10.329425,10.428125999999999,10.97686,12.50286,12.288625,12.243734,12.446984,12.842889999999999,13.221974,13.686067999999999,13.616338,14.150332,14.287692999999999,14.530479999999999,14.543303,14.032375,13.634160000000001,14.127768,14.321713,14.108251999999998,13.722475,13.37575,13.094389999999999,12.918163999999999,13.235560999999999,13.284089000000002,13.273669,12.923683,12.526923,12.549934,12.626748,12.343735,12.48439,12.243324000000001,11.941647999999999,11.66094,11.31889,12.401571,12.140183,11.969535,11.867987,11.650754,11.484372,11.332566,11.254412,11.30861,11.979289999999999,12.522565,13.075494,13.346528
111-2805024,,,,,,,,,,,,,,,,,0,0.21654299999999999,1.374615,1.656496,1.466697,1.757566,1.962622,2.577009,3.066573,3.195767,3.5069690000000002,3.933954,3.901933,4.164357,4.559938,5.135237999999999,7.061458,7.173694,7.422708999999999,7.59168,8.175854,8.471865,8.986479,9.290664,9.758074,10.000739999999999,10.373472999999999,10.471174000000001,11.019908000000001,12.543908,12.331673,12.285782000000001,12.495032,12.881938,13.263022,13.725116,13.655385999999998,14.191379999999999,14.328741,14.570528,14.586351,14.073422,13.680207999999999,14.170816,14.362760999999999,14.1513,13.765523000000002,13.420798000000001,13.137438000000001,12.962212,13.279608999999999,13.328137,13.319717,12.967731,12.570971,12.591982000000002,12.669796,12.385783,12.528438000000001,12.284372,11.986696,11.705988,11.362938,12.444619,12.186231,12.012583,11.910035,11.690802,11.52842,11.371614,11.434239999999999,11.488438,12.159118,12.704393,13.256322,13.527356
112-2806658,,,,,,,,,,,,,,,,,,0,1.158072,1.485077,1.68324,1.9741090000000001,2.1791650000000002,2.794552,3.2841160000000005,3.4123099999999997,3.7245120000000003,4.151497,4.119476000000001,4.3819,4.777481,5.352780999999999,7.279,7.391236999999999,7.639252000000001,7.809222999999999,8.393397,8.688407000000002,9.204022,9.507206,9.974617,10.218283,10.591014999999999,10.688717,11.237451,12.76445,12.552216,12.505325,12.711575,13.102481,13.483564999999999,13.945659,13.875928,14.411923000000002,14.549282999999999,14.791070000000001,14.802893,14.293965,13.896751,14.387357999999999,14.583304,14.369843,13.985066,13.63734,13.356981,13.180754,13.498151000000002,13.546679999999999,13.535260000000001,13.186274,12.787514,12.810525,12.886338,12.601325,12.746981,12.501914,12.201239,11.92253,11.580480999999999,12.662162,12.401773,12.230125,12.126578,11.907344,11.743962,11.591156,11.651783,11.706980999999999,12.376661,12.919935,13.473865,13.744898000000001
113-2805856,,,,,,,,,,,,,,,,,,,0,0.327006,0.613689,1.120076,1.325132,1.956519,2.4460830000000002,2.574277,2.886479,3.3134639999999997,3.281443,3.5438669999999997,3.9394480000000005,4.514748,6.439968,6.551204,6.799219,6.971189999999999,7.555364,7.850375,8.364989,8.669174,9.136584,9.37925,9.751983000000001,9.850684,10.399417999999999,11.925417999999999,11.712183,11.667292,11.873542,12.263448,12.645532000000001,13.105625999999999,13.035896000000001,13.57189,13.711251,13.952038,13.964860999999999,13.453932,13.057718,13.548326000000001,13.745270999999999,13.529810000000001,13.144032999999999,12.798308,12.516948,12.340722,12.658118,12.706647,12.696227,12.349241000000001,11.952481,11.971492,12.049306,11.766293,11.909948,11.664882,11.365206,11.085498,10.741448,11.825128999999999,11.564739999999999,11.393092999999999,11.290545,11.071311999999999,10.90793,10.753124,10.81475,10.868948,11.540628,12.082903,12.635832,12.906866
114-2806604,,,,,,,,,,,,,,,,,,,,0,0.286684,0.793071,0.9981270000000001,1.640514,2.1300779999999997,2.2582720000000003,2.5704740000000004,2.997459,2.9654380000000002,3.227862,3.623443,4.198743,6.124962,6.2371989999999995,6.485214,6.655185,7.239358999999999,7.53437,8.049984,8.353169,8.820578999999999,9.064245,9.436977,9.534678999999999,10.083413,11.608412,11.396177999999999,11.349287,11.555537,11.946442999999999,12.327527,12.789621,12.719891,13.255885000000001,13.393246,13.635032,13.646854999999999,13.137927,12.740713000000001,13.231320000000002,13.427266,13.215805,12.831028,12.482302,12.200942999999999,12.025717,12.343113,12.392642,12.817222000000001,12.468236,12.072476,12.092487,12.1703,11.886287,12.029943,11.808991,11.505316,11.225607,10.884558,11.965238000000001,11.70685,11.532202,11.432654,11.211421000000001,11.050039,10.895233000000001,10.95486,11.011058,11.681738000000001,12.223011999999999,12.775941,13.046975
