순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2803599,11-2804712,12-2800276,13-2800277,14-2807391,15-2803925,16-2807392,17-2804772,18-2803923,19-2806339,20-2804765,21-2803921,22-2806337,23-2806394,24-2803919,25-2804592,26-2804044,27-2804590,28-2804042,29-2804040,30-2804038,31-2804036,32-2804033,33-2800268,34-2800264,35-2807245,36-2800262,37-2807367,38-2800265,39-2800266,40-2807368,41-2804602,42-2803580,43-2800263,44-2807388,45-2804528,46-2804527,1-2803703,2-2804580,3-2804213,4-2804211,5-2804209,6-2804207,7-2804205,8-2804204,9-2806290,10-2804202,11-2806292,12-2804578,13-2803609,14-2806232,15-2803608,16-2803607,17-2803606,18-2806297,19-2803616,20-2803853,21-2803850,22-2803617,23-2806299,24-2803618,25-2806300,26-2803600,27-2800273,28-2803601,29-2804331,30-2803581,31-2800271,32-2804749,33-2805489,34-2807150,35-2804581,36-2804582,37-2807389,38-2800267,39-2804032,2-2804581,3-2804582,4-2800267,5-2804034,6-2804035,7-2804037,8-2804039,9-2804041,10-2804589,11-2804043,12-2804591,13-2804045,14-2804048,15-2804593,16-2804049,17-2804595,18-2804052,19-2804053,20-2804597,21-2804603,22-2804054,23-2804600,24-2804057,25-2800292,26-2804599,27-2804063,28-2804061
34-2800264,1.018311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.31295700000000004,0.449187,0.696959,0.9857379999999999,0.960859,0.663184,0.435934,0.28243,0.319415,0.36047199999999996,0.495364,0.7498060000000001,12.931525,12.809546000000001,12.62031,12.260162,11.769368,11.398003,10.660782000000001,10.429003999999999,10.074701,9.662904,9.40933,9.047614999999999,8.908375999999999,8.533289,8.204647,7.700437,7.408047,6.856598,6.537199,6.338644,5.942282,5.347812,4.8231269999999995,4.555717,4.238517,3.552258,3.090976,2.88025,2.708542,2.450876,1.973427,1.920489,1.4665629999999998,1.092792,0.76553,0.467574,0.332577,0.190665,0.8271120000000001,0.76553,0.467574,0.190665,0.947699,1.571302,1.8302060000000002,2.1860209999999998,2.5138220000000002,2.912824,3.2090389999999998,4.27131,5.426114,5.918758,6.3791519999999995,8.490317999999998,9.407944,10.283398,12.004123,12.160207000000002,13.164664000000002,13.596146,14.882701999999998,15.653583,15.955798000000001,16.475607,17.136289,17.557989000000003
35-2807245,1.329267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.13623,0.384002,0.6767810000000001,0.651903,0.44870600000000005,0.266045,0.112541,0.251526,0.6714289999999999,0.80632,1.060763,12.621568,12.500589999999999,12.931266,12.571117999999998,12.080325,11.708959,10.969738000000001,10.739961,10.383657000000001,9.971860000000001,9.720286,9.356572,9.219332000000001,8.844244999999999,8.515604,8.011394000000001,7.719003999999999,7.167553999999999,6.8481559999999995,6.649601,6.253239,5.658768,5.134084,4.866674,4.549474,3.8632150000000003,3.401933,3.191207,3.019498,2.761832,2.284384,2.231446,1.7775189999999998,1.403749,1.076486,0.7785310000000001,0.643534,0.501622,1.138068,1.076486,0.7785310000000001,0.501622,1.258656,1.882259,2.141163,2.4969770000000002,2.824779,3.2237810000000002,3.519996,4.582266000000001,5.737071,6.229715000000001,6.690108,8.801275,9.718900999999999,10.594355,12.31508,12.471164,13.475620999999999,13.907103,15.193659,15.964539000000002,16.266755,16.786564000000002,17.447246,17.868945999999998
36-2800262,1.466497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.247772,0.540551,0.5156729999999999,0.31247600000000003,0.402275,0.24877,0.387756,0.807658,0.94255,1.196993,12.486338,12.364360000000001,12.871505,12.705347999999999,12.214555,11.845189,11.107968,10.87619,10.521887,10.11009,9.856516000000001,9.494802,9.355561999999999,8.980475,8.651834,8.147624,7.855233999999999,7.303783999999999,6.984386,6.785830000000001,6.389468,5.7949980000000005,5.270313,5.002904,4.685704,3.9994449999999997,3.538163,3.327437,3.155728,2.898062,2.420614,2.367675,1.9137490000000001,1.539979,1.212716,0.914761,0.779764,0.6378520000000001,1.274298,1.212716,0.914761,0.6378520000000001,1.394885,2.0184889999999998,2.277392,2.633207,2.9610090000000002,3.36001,3.656226,4.718496,5.8733010000000005,6.365945,6.826338000000001,8.937503999999999,9.855131,10.730585000000001,12.451310000000001,12.607394000000001,13.611851000000001,14.043332999999999,15.329889000000001,16.100769,16.402984,16.922793,17.583476,18.005176000000002
37-2807367,1.7142689999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.292779,0.267901,0.064704,0.291953,0.44545799999999997,0.635528,1.0554299999999999,1.1903219999999999,1.4447649999999999,12.238566,12.116588,12.623733,12.95312,12.462327,12.092961,11.355739999999999,11.121962,10.769658999999999,10.355862,10.104288,9.742574000000001,9.603334,9.228247,8.899605000000001,8.395396,8.103005,7.551556,7.232158,7.033602,6.637239999999999,6.04277,5.518085,5.250676,4.933476000000001,4.247217,3.785935,3.5752089999999996,3.4035,3.145834,2.668386,2.615447,2.161521,1.7877509999999999,1.460488,1.162533,1.027536,0.8856229999999999,1.52207,1.460488,1.162533,0.8856229999999999,1.642657,2.266261,2.5251639999999997,2.880979,3.20878,3.607782,3.903997,4.966268,6.121073,6.613716999999999,7.074110000000001,9.185276,10.102903,10.978357,12.699082,12.855165,13.859622,14.291104999999998,15.57766,16.348541,16.650756,17.170565,17.831248000000002,18.252947
38-2800265,2.003048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.057751,0.322554,0.549804,0.703308,0.924307,1.344209,1.479101,1.733544,12.027416,11.906438,12.413583000000001,12.773731,12.751106,12.381739999999999,11.642519,11.412741,11.058438,10.644641,10.391067,10.031353,9.892113,9.517026,9.188385,8.684175,8.391785,7.8403350000000005,7.520936999999999,7.322381,6.926019,6.331549,5.806864,5.539455,5.2222550000000005,4.535996,4.074714,3.8639879999999995,3.692279,3.4346129999999997,2.9571650000000003,2.904226,2.4503,2.07653,1.749267,1.4513120000000002,1.316315,1.174402,1.8108490000000002,1.749267,1.4513120000000002,1.174402,1.9314360000000002,2.55504,2.813943,3.1697580000000003,3.49756,3.896561,4.1927769999999995,5.255047,6.409852,6.902496000000001,7.362889,9.474055,10.391682000000001,11.267136,12.987861,13.143945,14.148401000000002,14.579884,15.866439999999999,16.637320000000003,16.939535,17.459344,18.120027,18.541726999999998
39-2800266,1.97817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.297676,0.524925,0.67843,0.8994280000000001,1.319331,1.454223,1.708665,12.003538,11.881559,12.387704,12.748852000000001,12.726227,12.354861999999999,11.619641,11.387863000000001,11.033560000000001,10.621763,10.366188000000001,10.004474,9.867235,9.492148,9.163506,8.659296000000001,8.366906,7.815457,7.4960580000000006,7.297503,6.901141,6.306671,5.781986,5.514576,5.197376,4.511117,4.049835,3.8391089999999997,3.6674010000000004,3.409735,2.932286,2.879348,2.425422,2.0516509999999997,1.724388,1.426433,1.291436,1.149524,1.785971,1.724388,1.426433,1.149524,1.9065580000000002,2.530161,2.7890650000000003,3.14488,3.4726809999999997,3.871683,4.167898,5.230169,6.3849730000000005,6.877617,7.338011,9.449177,10.366802999999999,11.242257,12.962982,13.119066,14.123523,14.555005,15.841560999999999,16.612442,16.914657000000002,17.434466,18.095148000000002,18.516848
40-2807368,1.680494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.22725,0.380754,0.601753,1.021656,1.156547,1.41099,12.268341,12.146362,12.653507000000001,12.919345,12.428552,12.057186,11.319965,11.088188,10.735884,10.322087,10.068513000000001,9.706799,9.569559,9.194472,8.865831,8.361621000000001,8.069231,7.517780999999999,7.198383,6.999827000000001,6.603466,6.008995,5.48431,5.216901,4.899701,4.213442,3.75216,3.5414339999999997,3.369725,3.112059,2.634611,2.581673,2.1277459999999997,1.7539759999999998,1.426713,1.128758,0.993761,0.851849,1.4882950000000001,1.426713,1.128758,0.851849,1.608883,2.232486,2.491389,2.847204,3.175006,3.574007,3.870223,4.932493,6.0872980000000005,6.579942,7.040335000000001,9.151501,10.069128,10.944582,12.665307,12.821391,13.825848,14.25733,15.543885999999999,16.314766,16.616982,17.136789999999998,17.797473,18.219173
41-2804602,1.452245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.153505,0.37450300000000003,0.7944060000000001,0.929298,1.18374,12.49559,12.373612,12.880757000000001,12.694096,12.203302,11.829937,11.094716,10.860938,10.506635000000001,10.094838000000001,9.841263,9.481549000000001,9.342310000000001,8.967222999999999,8.638581,8.134371,7.841981,7.290532000000001,6.971133,6.772578,6.376216,5.781746,5.257061,4.989651,4.672451000000001,3.986192,3.5249099999999998,3.3141839999999996,3.142476,2.88481,2.407361,2.354423,1.900497,1.526726,1.199463,0.901508,0.7665109999999999,0.624599,1.261046,1.199463,0.901508,0.624599,1.381633,2.005236,2.2641400000000003,2.619954,2.947756,3.3467580000000003,3.6429730000000005,4.705244,5.860048,6.352692,6.813086,8.924252000000001,9.841878,10.717332,12.438057,12.594141,13.598598,14.030079999999998,15.316635999999999,16.087517000000002,16.389732000000002,16.909541,17.570223000000002,17.991923
42-2803580,1.29874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.22099899999999997,0.640901,0.7757930000000001,1.0302360000000002,12.649094999999999,12.527117,12.898738999999999,12.538591,12.049798,11.676432,10.941211000000001,10.709433,10.35313,9.943333,9.687759,9.326045,9.188805,8.813718,8.485077,7.980867,7.688477000000001,7.137027000000001,6.817628999999999,6.619072999999999,6.222711,5.628241,5.103556,4.836147,4.518947,3.8326879999999997,3.371406,3.1606799999999997,2.988971,2.731305,2.253857,2.200918,1.7469919999999999,1.373222,1.045959,0.748004,0.613007,0.47109399999999996,1.1075409999999999,1.045959,0.748004,0.47109399999999996,1.228128,1.851732,2.110635,2.46645,2.794251,3.193253,3.489469,4.5517389999999995,5.706544,6.1991879999999995,6.659581,8.770747,9.688374000000001,10.563827999999999,12.284553,12.440636999999999,13.445093,13.876576000000002,15.163131,15.934012,16.236227,16.756035999999998,17.416719,17.838419000000002
43-2800263,1.077742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.41990299999999997,0.5547949999999999,0.809237,12.870092999999999,12.748114999999999,12.677741000000001,12.319593,11.826799000000001,11.455434,10.720213000000001,10.488435,10.132132,9.720335,9.468761,9.105046000000002,8.967807,8.59272,8.264078,7.759867999999999,7.467478,6.916028999999999,6.59663,6.398075,6.001713,5.407243,4.882558,4.6151480000000005,4.297948,3.611689,3.150407,2.939681,2.767973,2.510307,2.032858,1.9799200000000001,1.525994,1.152224,0.824961,0.5270050000000001,0.39200799999999997,0.250096,0.8865430000000001,0.824961,0.5270050000000001,0.250096,1.0071299999999999,1.630733,1.8896369999999998,2.2454520000000002,2.573253,2.972255,3.26847,4.330741000000001,5.485545,5.9781889999999995,6.438583,8.549749,9.467375,10.342830000000001,12.063554,12.219638,13.224095000000002,13.655577,14.942132999999998,15.713014000000001,16.015229,16.535038,17.19572,17.617420000000003
44-2807388,0.759372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.134892,0.393334,12.945207,12.768982000000001,12.261838000000001,11.901689999999999,11.410896000000001,11.039531,10.30231,10.070532,9.716229,9.304432,9.050858,8.691144,8.551903999999999,8.176817,7.848175,7.343965,7.051575,6.500126,6.180727,5.982172,5.5858099999999995,4.99134,4.466655,4.1992449999999995,3.8820449999999997,3.195786,2.7345040000000003,2.523778,2.35207,2.094404,1.616955,1.564017,1.110091,0.736321,0.409058,0.21310900000000002,0.34810599999999997,0.257982,0.8944290000000001,0.409058,0.21310900000000002,0.257982,1.015016,1.63862,1.8975229999999998,2.2533380000000003,2.581139,2.980141,3.2763560000000003,4.338627,5.493432,5.986076000000001,6.4464690000000004,8.557635000000001,9.475261999999999,10.350716,12.071441,12.227524,13.231981,13.663464000000001,14.950019000000001,15.7209,16.023115,16.542924,17.203607,17.625307
