순번_정류장ID,1-2801796,2-2803544,3-2801806,4-2801954,5-2802024,6-2802098,7-2802129,8-2802168,9-2802828,10-2802378,11-2802399,12-2802456,13-2802509,14-2802365,15-2804851,16-2807104,17-2807598,18-2807344,19-2806484,20-2807326,21-2805694,22-2805636,23-2806053,24-2806032,25-2806025,26-2805697,27-2805699,28-2805701,29-2807440,30-2806806,31-2805704,32-2807625,33-2803157,34-2803651,35-2806491,36-2803182,37-2803678,38-2803679,39-2803155,40-2805705,41-2803154,42-2803655,43-2806607,44-2805970,45-2805972,46-2807630,47-2807300,48-2803190
11-2802399,,,,,,,,,,,0,1.254282,1.9089209999999999,3.157082,4.121157,5.427944999999999,22.37132,23.158634,23.484932999999998,24.671602,26.576931,26.988306,27.36699,27.487561,27.517809000000003,27.710481,28.235367,28.025429,28.021108,28.115578999999997,27.673844,27.628871999999998,28.063864000000002,27.70283,27.381438,26.961523,26.462203000000002,26.178231,25.710279999999997,24.842799,24.256621,24.586519,24.641271,24.907057000000002,25.208026999999998,25.729172,26.19716,26.282344000000002
12-2802456,,,,,,,,,,,,0,0.6546390000000001,1.9027990000000001,2.866874,4.1736629999999995,21.452038,22.239352,22.565651000000003,23.75232,25.657649,26.069024,26.447708000000002,26.569278999999998,26.598527,26.791199,27.315084999999996,27.106146999999996,27.100826,27.196296999999998,26.754562,26.709590000000002,27.144582,26.782548,26.462156,26.041241,25.542921,25.258948999999998,24.790997,23.923517,23.337339,23.667237,23.721989,23.987775,24.288745000000002,24.80989,25.277878,25.363062
13-2802509,,,,,,,,,,,,,0,1.248161,2.212236,3.519024,20.797399,21.584713,21.911012,23.097681,25.00301,25.414385,25.793069,25.91464,25.943888,26.13656,26.661446,26.451508,26.447187,26.541658,26.099923,26.054951000000003,26.488943,26.128909,25.808517000000002,25.386602,24.888282,24.60431,24.136359,23.268878,22.6827,23.012598,23.06735,23.333136,23.634106,24.155251,24.623239,24.708423
14-2802365,,,,,,,,,,,,,,0,0.964075,2.270864,19.549239,20.336553,20.662851999999997,21.849521,23.75485,24.166225,24.544909,24.666479000000002,24.695728,24.8884,25.412285999999998,25.202347,25.198026000000002,25.293498,24.851763000000002,24.806791,25.240783,24.879748,24.559357000000002,24.138442,23.640122,23.35615,22.888198000000003,22.020718,21.43454,21.764438000000002,21.81919,22.084976,22.385945,22.907091,23.375079,23.460263
15-2804851,,,,,,,,,,,,,,,0,1.3097889999999999,18.588164000000003,19.375478,19.701777,20.888446,22.793775,23.20515,23.583834,23.705404,23.734653,23.927325,24.451210999999997,24.242272,24.236951,24.332423000000002,23.890688,23.845716,24.280707999999997,23.919673,23.599282000000002,23.178367,22.679047,22.395075,21.927123,21.059642999999998,20.473465,20.803363,20.858114999999998,21.123901,21.424870000000002,21.946016,22.414004000000002,22.499188
16-2807104,,,,,,,,,,,,,,,,0,17.278376,18.065689000000003,18.391988,19.578657,21.483987,21.895362,22.274046,22.395616,22.424865,22.617535999999998,23.142423,22.932484,22.928163,23.022634,22.5809,22.535928,22.97092,22.608885,22.288493,21.868578,21.369259,21.085287,20.617335,19.749854,19.163677,19.493575,19.548326,19.814113,20.115082,20.636226999999998,21.104216,21.1894
17-2807598,,,,,,,,,,,,,,,,,0,0.7893140000000001,1.115613,2.302282,4.207612,4.618987000000001,4.9976709999999995,5.119241000000001,5.14849,5.3411610000000005,5.866048,5.656109,5.651788,5.7462599999999995,5.304525,5.2595529999999995,5.693544999999999,5.3335099999999995,5.013118,4.592203,4.092884,3.8089120000000003,3.34096,2.473479,1.887302,2.2172,2.271951,2.537738,2.838707,3.3598519999999996,3.8278410000000003,3.913025
18-2807344,,,,,,,,,,,,,,,,,,0,0.326299,1.512968,3.4302980000000005,3.841673,4.220357,4.341927,4.371176,4.563847,5.088734,4.878794999999999,4.874474,4.968946,4.527211,4.482239,4.923191,4.686775,4.366383,3.944468,3.4461480000000004,3.1621770000000002,2.694225,1.826744,1.240567,1.5704639999999999,1.625216,1.891002,2.1919720000000003,2.713117,3.181105,3.266289
19-2806484,,,,,,,,,,,,,,,,,,,0,1.1866700000000001,3.103999,3.515374,3.8940580000000002,4.0156279999999995,4.044877,4.237549,4.762435,4.552496,4.548175,4.642647,4.200912000000001,4.15594,4.5968919999999995,4.957927,4.691682,4.270767,3.772447,3.4884760000000004,3.020524,2.153043,1.566866,1.8967630000000002,1.951515,2.217301,2.518271,3.039416,3.507404,3.5925879999999997
20-2807326,,,,,,,,,,,,,,,,,,,,0,1.91733,2.328705,2.707389,2.8289590000000002,2.8582080000000003,3.050879,3.5757660000000002,3.3658269999999995,3.361506,3.455978,3.014243,2.969271,3.4102230000000002,3.771258,4.09165,4.512565,4.959116000000001,4.675144,4.207193,3.3397120000000005,2.753535,3.083432,3.138184,3.4039699999999997,3.70494,4.226084999999999,4.694073,4.779257
21-2805694,,,,,,,,,,,,,,,,,,,,,0,0.411375,0.7900590000000001,1.0841969999999999,1.292052,1.484723,2.00961,1.799671,1.75065,1.538648,1.096913,1.051941,1.492894,1.8539279999999998,2.1743200000000003,2.5952349999999997,3.0945549999999997,3.3795260000000003,3.849478,4.712959,4.658864,4.988762,5.043513,5.3093,5.610269000000001,6.131414,6.599403,6.684587
22-2805636,,,,,,,,,,,,,,,,,,,,,,0,0.378684,0.672822,1.0345030000000002,1.227175,1.747061,1.537123,1.339275,1.127273,0.685538,0.640566,1.0815190000000001,1.442553,1.762945,2.1838599999999997,2.68318,2.9681509999999998,3.438103,4.3025839999999995,5.042315,5.400137,5.454889,5.720675,6.021644,6.542789,7.010778,7.095961999999999
23-2806053,,,,,,,,,,,,,,,,,,,,,,,0,0.294139,0.65582,0.848491,1.373378,1.163439,1.159118,1.03188,0.590146,0.5451739999999999,0.9861260000000001,1.347161,1.6675520000000001,2.088468,2.587787,2.873759,3.343711,4.206192,4.946923,5.603471,5.833572,6.099359,6.400328,6.921473,7.389462,7.474646000000001
24-2806032,,,,,,,,,,,,,,,,,,,,,,,,0,0.361681,0.554353,1.0792389999999998,0.869301,0.86498,1.0769819999999999,0.8842840000000001,0.8393120000000001,1.2802639999999998,1.641299,1.961691,2.382606,2.881925,3.167897,3.6378489999999997,4.50033,5.242061,5.8986089999999995,5.955143,6.220929,6.5218989999999994,7.043044,7.511032000000001,7.596216
25-2806025,,,,,,,,,,,,,,,,,,,,,,,,,0,0.192672,1.0965120000000002,0.8975489999999999,0.893228,1.1052309999999999,1.245965,1.200993,1.641945,2.00298,2.323372,2.744287,3.243606,3.528578,3.99853,4.862011,5.602742,5.92964,5.9843910000000005,6.250178,6.551147,7.072292,7.540280999999999,7.625464999999999
26-2805697,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.903841,1.0902209999999999,1.0859,1.2979020000000001,1.4386370000000002,1.393664,1.8346169999999997,2.195651,2.516043,2.936958,3.4362779999999997,3.72225,4.191202,5.055682,5.795414,6.122311,6.1770629999999995,6.442849,6.743819,7.264964,7.732952,7.818136999999999
27-2805699,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.209939,0.40778600000000004,0.619789,1.0625229999999999,1.315551,1.756503,2.117538,2.4379299999999997,2.858845,3.358164,3.644136,4.114088,4.977569,5.7183,6.374848,6.70195,6.967736,7.268705000000001,7.78985,8.257839,8.343022999999999
28-2805701,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.197848,0.40985,0.852584,1.105612,1.546565,1.9075990000000003,2.227991,2.648906,3.1482259999999997,3.4331970000000003,3.903149,4.76663,5.507361,6.16391,6.492011,6.757797,7.058767,7.579911999999999,8.0479,8.133084
