순번_정류장ID,1-2807632,2-2800680,3-2806689,4-2800722,5-2800307,6-2800758,7-2803491,8-2806937,9-2804966,10-2800663,11-2800655,12-2800654,13-2800340,14-2800624,15-2807077,16-2807079,17-2806633,18-2805743,19-2804896,20-2805037,21-2805221,22-2805232,23-2805872,24-2805230,25-2805333,26-2805228,27-2805226,28-2805575,29-2805499,30-2805843,31-2805408,32-2804947,33-2805317,34-2805874,35-2805024,36-2806658,37-2806743,38-2806902,39-2800582,40-2800571,41-2800554,42-2800544,43-2804975,44-2800560,45-2803766,46-2800351,47-2800549,48-2800543,49-2800385,50-2800536,51-2807212,52-2803764,53-2800530,54-2800523,55-2800519,56-2800517,57-2800515,58-2800508,59-2800506
37-2806743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.340471,0.507976,0.97016,1.451007,1.666934,1.655861,2.965328,3.2153400000000003,3.5881879999999997,3.82985,3.883986,3.5335400000000003,2.882032,2.403802,2.0495900000000002,2.087882,2.370578,2.615428,2.776996,2.953667,3.5189550000000005,3.810366
38-2806902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.167505,0.629689,1.110536,1.407086,1.396013,2.730799,2.980811,3.3536589999999995,3.5953209999999998,3.624138,3.273691,2.622184,2.143954,1.789741,1.828034,2.1107299999999998,2.35558,2.517148,2.693819,3.185484,3.476895
39-2800582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.46218400000000004,0.943031,1.48841,1.563518,2.898304,3.148317,3.5211639999999997,3.762826,3.791643,3.4411970000000003,2.789689,2.311459,1.9572459999999998,1.995539,2.278235,2.523085,2.684653,2.861324,3.017979,3.30939
40-2800571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.480847,1.026226,1.3207010000000001,2.655487,2.9055,3.2783480000000003,3.5200089999999995,3.548826,3.19838,2.546873,2.0686430000000002,1.71443,1.752723,2.035418,2.280268,2.441837,2.6185080000000003,2.555796,2.8472060000000003
41-2800554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.545379,0.8398540000000001,2.174641,2.4246529999999997,2.797501,3.0391630000000003,3.06798,2.717533,2.066026,1.587796,1.233583,1.271876,1.554571,1.799421,1.9609900000000002,2.137661,2.074949,2.366359
42-2800544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.294475,1.629262,1.8792740000000001,2.252122,2.4937840000000002,2.522601,2.172154,1.5206469999999999,1.042417,0.688204,0.7264970000000001,1.009192,1.254042,1.415611,1.592282,1.932021,2.223432
43-2804975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.334786,1.584799,1.9576470000000001,2.1993080000000003,2.264125,2.1610810000000003,1.509574,1.031344,0.677131,0.715424,0.9981190000000001,1.242969,1.4045379999999998,1.581209,2.146497,2.437907
44-2800560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.251013,0.623861,0.8655219999999999,0.9303389999999999,1.098133,1.74964,2.224871,2.011917,2.05021,2.332905,2.577756,2.7393240000000003,2.915995,3.4812830000000003,3.772693
45-2803766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.376848,0.618509,0.683326,0.8511200000000001,1.502628,1.9778580000000001,2.26193,2.300223,2.582918,2.827768,2.989337,3.166008,3.731296,4.0227059999999994
46-2800351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.241662,0.42482600000000004,0.7772720000000001,1.42878,1.9040099999999998,2.258223,2.349375,2.632071,2.876921,3.0384889999999998,3.21516,3.7804480000000003,4.071858
47-2800549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.18316500000000002,0.535611,1.1871180000000001,1.662348,2.0165610000000003,2.107713,2.390409,2.635259,2.796827,2.9734979999999998,3.538786,3.830197
48-2800543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.353446,1.0049540000000001,1.480184,1.834397,1.9255490000000002,2.2082450000000002,2.4530950000000002,2.614663,2.791334,3.356622,3.648032
49-2800385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.651508,1.129738,1.48395,1.5751030000000001,1.857798,2.102648,2.264217,2.440888,3.006176,3.297586
50-2800536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.47823000000000004,0.832443,0.923595,1.206291,1.451141,1.612709,1.78938,2.354668,2.6460790000000003
51-2807212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.354213,0.44536499999999996,0.728061,0.9729110000000001,1.134479,1.31115,1.876438,2.1678490000000004
52-2803764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.091152,0.373848,0.618698,0.780266,0.956937,1.522225,1.813636
53-2800530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.282696,0.527546,0.689114,0.865785,1.431073,1.722484
54-2800523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.24485,0.406418,0.5830890000000001,1.148377,1.4397879999999998
55-2800519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16156900000000002,0.33824,0.9035270000000001,1.1949379999999998
56-2800517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.176671,0.741959,1.0333700000000001
57-2800515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.565288,0.856699
58-2800508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.29441100000000003
59-2800506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
