순번_정류장ID,65-2800225,66-2800222,67-2800221,68-2800216,69-2800211,70-2800206,71-2800200,72-2800185,73-2800181,74-2800178,75-2800176,76-2800142,77-2800141,78-2800137,79-2800135,80-2800133,81-2800128,82-2800124,83-2800127,84-2800129,85-2805737,86-2804916,87-2801044,88-2801054,89-2801063,90-2801080,91-2801091,92-2801083,93-2801057,94-2801043,95-2801024,96-2801015,97-2801008,98-2800986,99-2800963,100-2800960,101-2800971,102-2800841,103-2800964,104-2800840,105-2805652,106-2800985,107-2800838,108-2801042,109-2801072,110-2801103,111-2801113,112-2801116,113-2801121,114-2801130,115-2801134,116-2801144,117-2801152,118-2801156,119-2806243,120-2806241,121-2806215,122-2807267,123-2804912,124-2800626,125-2800635,126-2800639,127-2800327
82-2800124,,,,,,,,,,,,,,,,,,0,0.638525,1.090514,1.367091,2.015112,2.350715,2.787721,3.044387,3.4393,3.5668089999999997,4.060853,4.206774,4.215887,4.301812,4.334841,4.248636,4.514498000000001,4.881449,5.137622,5.525721,5.945799,6.143553,6.197013,6.399906,6.529434999999999,6.044518,5.647049,5.289951,5.11715,5.2787,5.45614,5.825751,6.250561,6.516662,6.9957020000000005,7.288898,7.456925999999999,8.245844,8.601066000000001,9.211664,9.792468,9.992804,10.191298,10.554136999999999,10.893946000000001,11.188547999999999
83-2800127,,,,,,,,,,,,,,,,,,,0,0.45198900000000003,0.7285659999999999,1.376588,1.71219,2.149197,2.405862,2.800775,2.927284,3.4233290000000003,3.56825,3.5773620000000004,3.6632879999999997,3.6963160000000004,3.610111,3.875973,4.2429239999999995,4.499097,4.888197,5.308274,5.505029,5.557487999999999,5.760382,5.889911,5.404994,5.007525,4.650426,4.4796260000000006,4.640176,4.818615,5.188226,5.613037,5.879137,6.357178,6.651374000000001,6.819402,7.607319,7.963541,8.574139,9.154943,9.355279,9.552774000000001,9.916611999999999,10.256421000000001,10.551024
84-2800129,,,,,,,,,,,,,,,,,,,,0,0.276577,0.924599,1.2602010000000001,1.6972080000000003,1.953873,2.348786,2.476295,2.97134,3.116261,3.1253729999999997,3.2112990000000003,3.244327,3.158122,3.4239839999999995,3.7909349999999997,4.047108000000001,4.436208000000001,4.855285,5.05204,5.105499,5.309393,5.438922,4.953005,4.555536,4.199438,4.026637,4.189187,4.365626,4.736237,5.161048,5.426148,5.904189,6.1993849999999995,6.367413,7.15533,7.510552000000001,8.12215,8.702954,8.90329,9.100785,9.464623,9.804432,10.098035000000001
85-2805737,,,,,,,,,,,,,,,,,,,,,0,0.648022,0.983625,1.420631,1.677297,2.0722099999999997,2.199718,2.694763,2.839684,2.848796,2.9347220000000003,2.96775,2.8815459999999997,3.147408,3.514359,3.7705309999999996,4.158631,4.579708,4.776463,4.829923,5.032816,5.161345,4.676428,4.279959,3.922861,3.75006,3.91261,4.09005,4.458661,4.884471,5.149571,5.628612,5.922808,6.090836,6.878753999999999,7.233975999999999,7.845574000000001,8.426377,8.626713,8.824208,9.188047000000001,9.527856,9.822458000000001
86-2804916,,,,,,,,,,,,,,,,,,,,,,0,0.33560300000000004,0.772609,1.029275,1.423188,1.550697,2.045741,2.191662,2.200775,2.286701,2.319729,2.233524,2.499386,2.8663369999999997,3.1225099999999997,3.5116089999999995,3.9306870000000003,4.127441999999999,4.181901,4.384794,4.514323,4.029407,3.631938,3.274839,3.103039,3.264589,3.442028,3.811639,4.23645,4.50155,4.979591,5.273786,5.441815,6.229732,6.585953999999999,7.1965520000000005,7.777356,7.977692,8.175187,8.539025,8.878834,9.173437
87-2801044,,,,,,,,,,,,,,,,,,,,,,,0,0.437007,0.6936720000000001,1.0885850000000001,1.216094,1.711139,1.8560599999999998,1.865172,1.951098,1.9841259999999998,1.897921,2.163783,2.530734,2.786907,3.175007,3.596084,3.791839,3.845298,4.048192,4.177721,3.692804,3.2953349999999997,2.938236,2.767436,2.928986,3.106425,3.476036,3.900847,4.166947,4.644988,4.939184,5.1072120000000005,5.895129,6.2513510000000005,6.861949000000001,7.442753,7.643089,7.840584,8.204422000000001,8.544231,8.838834
88-2801054,,,,,,,,,,,,,,,,,,,,,,,,0,0.256666,0.650579,0.778087,1.273132,1.4190530000000001,1.428165,1.514091,1.5471190000000001,1.460915,1.726777,2.093728,2.3499,2.738,3.158077,3.354832,3.4092919999999998,3.611185,3.741714,3.256797,2.859328,2.50223,2.330429,2.491979,2.669419,3.03903,3.4638400000000003,3.72994,4.207981,4.502177,4.669205000000001,5.457123,5.813345,6.423943,7.004746000000001,7.205082000000001,7.402577000000001,7.766416,8.106225,8.400827
89-2801063,,,,,,,,,,,,,,,,,,,,,,,,,0,0.393913,0.521422,1.016467,1.201387,1.311,1.3969260000000001,1.4299540000000002,1.343749,1.6096110000000001,1.976562,2.232735,2.5203349999999998,2.952412,3.149167,3.191626,3.3945199999999995,3.523049,3.039132,2.6416630000000003,2.284564,2.112764,2.274314,2.4507529999999997,2.820364,3.245175,3.512275,3.9893160000000005,4.284512,4.41254,5.200457,5.556679,6.1672769999999995,6.748081,6.948417,7.145911999999999,7.50975,7.849558999999999,8.144162
90-2801080,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.12750899999999998,0.622553,0.856474,1.2600879999999999,1.5328389999999998,1.565867,1.479662,1.745524,2.112475,2.368648,2.176421,2.608499,2.805254,2.841713,3.043606,3.1741349999999997,2.689219,2.29175,1.934651,1.7618509999999998,1.9234,2.1008400000000003,2.4704509999999997,2.895262,3.161362,3.6394029999999997,3.9335980000000004,4.0186269999999995,4.806544000000001,5.162766,5.773364,6.354168,6.554504,6.7519990000000005,7.115837,7.455646000000001,7.750249
91-2801091,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.49504499999999996,0.728966,1.132579,1.5180040000000001,1.6933759999999998,1.607171,1.8730330000000002,2.239984,2.496157,2.0479130000000003,2.4799900000000004,2.676745,2.713204,2.916098,3.045627,2.56071,2.163241,1.806143,1.634342,1.7958919999999998,1.9733310000000002,2.342942,2.767753,3.0338529999999997,3.5118940000000003,3.80609,3.891118,4.679035,5.035257,5.645855,6.226659,6.426995,6.62449,6.988328,7.328137,7.622739999999999
