순번_정류장ID,46-2803210,47-2803361,48-2803180,49-2803295,50-2803292,51-2803649,52-2803284,53-2803290,54-2803177,55-2803178,56-2803297,57-2807299,58-2807629,59-2805973,60-2805971,61-2806608,62-2803165,63-2803167,64-2805706,65-2803164,66-2803680,67-2803677,68-2803183,69-2805472,70-2803186,71-2803163,72-2805691,73-2805637,74-2805693,75-2805695,76-2806025,77-2805697,78-2805699,79-2805701,80-2807440,81-2806806,82-2805704,83-2807625,84-2806162,85-2805635,86-2805633,87-2807037,88-2805631,89-2805677
56-2803297,,,,,,,,,,,0,0.564591,1.199067,1.562308,1.875172,2.249876,2.671207,3.313643,4.04358,4.89814,5.372283,5.69272,6.160808,6.5918529999999995,6.876982000000001,7.279648,7.745825,7.438536999999999,6.98009,7.691317999999999,7.968464999999999,8.161137,8.685023,8.476085000000001,8.471764,8.303235,7.8615,7.608472999999999,7.180824,6.8674550000000005,6.225402,5.890474,5.558223,5.065112999999999
57-2807299,,,,,,,,,,,,0,0.6364770000000001,0.999717,1.312582,1.8012860000000002,2.2226169999999996,2.865053,3.59499,4.44955,4.923693,5.24413,5.711218,6.143262,6.428392,6.830058,7.297235000000001,6.989946000000001,6.531499,7.242728,7.519875,7.712546000000001,8.236433,8.027494,8.023173,7.935645,7.49291,7.240882000000001,6.954586999999999,7.140865,6.500812000000001,6.203064,5.870813,5.378703
58-2807629,,,,,,,,,,,,,0,0.365241,0.6781050000000001,1.166809,1.5881399999999999,2.2305759999999997,2.960513,3.8150730000000004,4.289216000000001,4.609653,5.076741,5.507786,5.793915,6.196581,6.662758,6.3554699999999995,5.897023,6.608250999999999,6.8853979999999995,7.078069999999999,7.6019559999999995,7.392017,7.387697,7.301168,6.859433,6.606406,6.32011,6.507388,5.865335,5.79946,6.131711,5.9500459999999995
59-2805973,,,,,,,,,,,,,,0,0.312864,0.803569,1.224899,1.8673349999999997,2.597273,3.451833,3.9259760000000004,4.2464129999999995,4.7135,5.144545,5.429675,5.83234,6.299518,5.992229,5.5337819999999995,6.245011,6.522158,6.714828999999999,7.2397160000000005,7.029777,7.025456,6.936927000000001,6.495193,6.242165,5.955869,6.143148,5.502095,5.43622,5.768471,5.586805
60-2805971,,,,,,,,,,,,,,,0,0.490705,0.912035,1.554471,2.284409,3.138969,3.613112,3.9335489999999997,4.401636,4.831681,5.116811,5.519476999999999,5.986654,5.679365,5.220918,5.9321470000000005,6.209294,6.401965000000001,6.925852000000001,6.7159130000000005,6.711592,6.6240630000000005,6.182329,5.929301000000001,5.644005,5.831283999999999,5.1892309999999995,5.124356,5.456607,5.273941000000001
61-2806608,,,,,,,,,,,,,,,,0,0.425331,1.067767,1.7977040000000002,2.6522639999999997,3.126408,3.446844,3.913932,4.3459769999999995,4.631106,5.033772,5.759949,5.452661,4.994214,5.705442,5.982589,6.175261,6.700147,6.490208999999999,6.349361,6.137359,5.695624,5.442597,5.156301,5.344579,4.702527,4.6366510000000005,4.969901999999999,5.384988
62-2803165,,,,,,,,,,,,,,,,,0,0.642436,1.372373,2.226934,2.701077,3.021514,3.4896010000000004,3.920646,4.204776,4.607441000000001,5.349969000000001,5.441743,4.983296,5.6945239999999995,5.971672,6.164343,6.331817,6.122878,5.9250300000000005,5.712028,5.271294,5.017266,4.73197,4.919249,4.278196,4.21232,4.5445709999999995,5.036682
63-2803167,,,,,,,,,,,,,,,,,,0,0.729938,1.584498,2.058641,2.379078,2.846165,3.2772099999999997,3.56334,3.965005,4.707533,5.021822,4.5834470000000005,5.294675,5.575823000000001,5.767494,5.689381,5.479442,5.281594999999999,5.069592,4.628858,4.37483,4.088533999999999,4.275812999999999,3.63476,3.5698849999999998,3.901136,4.394246
64-2805706,,,,,,,,,,,,,,,,,,,0,0.85556,1.329704,1.6501400000000002,2.1182279999999998,2.549273,2.834402,3.237068,3.9795949999999998,4.293883999999999,4.752331,4.733103,4.846884999999999,5.039557,4.961443,4.751505,4.553657,4.341655,3.89992,3.646893,3.3605970000000003,3.547876,2.906823,2.8409470000000003,3.1731979999999997,3.6663080000000003
65-2803164,,,,,,,,,,,,,,,,,,,,0,0.47414300000000004,0.7945800000000001,1.261668,1.6927130000000001,1.9778419999999999,2.3805080000000003,3.123035,3.437324,3.895771,3.876543,3.990325,4.182997,4.104883,3.894945,3.6970970000000003,3.485095,3.04336,2.7903330000000004,2.504037,2.6913150000000003,2.050262,1.984387,2.316638,2.809748
66-2803680,,,,,,,,,,,,,,,,,,,,,0,0.32043699999999997,0.787524,1.218569,1.503699,1.906365,2.648892,2.963181,3.4216279999999997,3.402399,3.516182,3.708853,3.6307400000000003,3.4208010000000004,3.222954,3.010951,2.5692169999999996,2.316189,2.029893,2.217172,1.576119,1.5102440000000001,1.842495,2.3356049999999997
67-2803677,,,,,,,,,,,,,,,,,,,,,,0,0.467088,0.898133,1.183262,1.585928,2.328455,2.642744,3.101191,3.081963,3.195745,3.388417,3.3103029999999998,3.100364,2.902517,2.690515,2.24878,1.995752,1.709457,1.8967349999999998,1.255682,1.189807,1.522058,2.015168
68-2803183,,,,,,,,,,,,,,,,,,,,,,,0,0.43104499999999996,0.716175,1.11884,1.864368,2.178656,2.6371029999999998,2.617875,2.731657,2.924329,2.846216,2.636277,2.438429,2.226427,1.784693,1.531665,1.245369,1.5597379999999998,1.45021,1.384334,1.7165849999999998,2.209696
69-2805472,,,,,,,,,,,,,,,,,,,,,,,,0,0.28513,0.6877949999999999,1.433323,1.747612,2.206058,2.18683,2.3006130000000002,2.493284,2.415171,2.205232,2.0073849999999998,1.795382,1.353648,1.1006200000000002,0.8143239999999999,1.128693,1.7697459999999998,1.815379,2.14763,2.64074
70-2803186,,,,,,,,,,,,,,,,,,,,,,,,,0,0.40266599999999997,1.148193,1.462482,1.920929,1.9017009999999999,2.015483,2.208155,2.130041,1.920103,1.7222549999999999,1.510253,1.068518,0.815491,0.529195,0.843563,1.484616,1.814545,2.1467959999999997,2.6399060000000003
71-2803163,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.745528,1.059816,1.518263,1.4990350000000001,1.612818,1.805489,1.7273759999999998,1.5174370000000001,1.319589,1.107587,0.665853,0.412825,0.126529,0.44089799999999996,1.08195,1.411879,1.74413,2.2372400000000003
72-2805691,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.314289,0.772736,0.753508,0.86729,1.059962,1.4401979999999999,1.230259,1.032412,0.8204100000000001,0.378675,0.333703,0.765352,1.07972,1.7207729999999999,2.0507020000000002,2.382953,2.8760630000000003
73-2805637,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.45844700000000005,0.9281459999999999,1.041929,1.2346,1.754487,1.544548,1.346701,1.134699,0.692964,0.647992,1.07964,1.394009,2.035062,2.364991,2.6972419999999997,3.190352
74-2805693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.967407,1.2445540000000002,1.4372260000000001,1.961113,1.7511740000000002,1.746853,1.593145,1.151411,1.106439,1.538087,1.852456,2.493509,2.8234369999999998,3.155688,3.648799
75-2805695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.277147,0.469819,0.994706,0.784767,0.780446,0.992448,1.132183,1.08721,1.518859,1.8332279999999999,2.47428,2.804209,3.13646,3.6295699999999997
76-2806025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.192672,1.0965120000000002,0.8975489999999999,0.893228,1.1052309999999999,1.245965,1.200993,1.632642,1.94701,2.588063,2.917992,3.250243,3.743353
