순번_정류장ID,52-2804574,53-2804076,54-2806307,55-2804575,56-2804078,57-2806308,58-2804557,59-2804080,60-2804082,61-2806234,62-2804565,63-2804563,64-2804561,65-2804560,66-2806311,67-2804084,68-2804612,69-2804067,70-2804571,71-2804538,72-2804536,73-2804065,74-2800297,75-2800261,76-2803997,77-2800290,78-2800289,79-2803934,80-2800286,81-2803932,82-2803596,83-2800283,84-2800281,85-2800280,86-2800278,87-2806663,88-2804031,89-2800260,90-2800275,91-2804713,92-2803598,93-2803600,94-2800273,95-2803601,96-2804331,97-2803581,98-2800271,99-2805489,100-2807150,101-2804581,102-2804582,103-2800267,104-2804032
62-2804565,,,,,,,,,,,0,0.456255,0.868449,1.360105,1.711648,2.180735,2.65525,3.444111,4.287273,4.669953,5.1890019999999994,5.395002,5.97216,6.196162999999999,6.734952000000001,7.271011,7.64015,8.093899,9.396068,10.288052,10.572092,11.561933,12.023361,12.714222999999999,13.287465,13.420916,14.366617000000002,14.998517999999999,15.235195999999998,15.557391,15.742181,16.230482000000002,16.689764,16.902491,17.074199,17.329864999999998,17.816313,18.314178,18.690948000000002,19.019211,19.313166,19.678251,19.259629
63-2804563,,,,,,,,,,,,0,0.412195,0.9038510000000001,1.255393,1.72448,2.198995,2.9878560000000003,3.8310190000000004,4.213698,4.731747,4.938747,5.515906,5.739908,6.278697,6.814756,7.183895,7.637644,8.939813000000001,9.831797,10.115836999999999,11.105678,11.567105999999999,12.255969,12.828211,12.965661,13.910362,14.543263,14.779941,15.102135999999998,15.284926,15.773228,16.233508999999998,16.445235999999998,16.616944,16.87361,17.359059,17.858923,18.232692999999998,18.560956,18.857912,19.221996,18.802374
64-2804561,,,,,,,,,,,,,0,0.49165600000000004,0.843199,1.312286,1.7868009999999999,2.575662,3.418824,3.802504,4.320553,4.527553,5.103711,5.327714,5.867503,6.403561,6.772701,7.22645,8.529619,9.419603,9.703643,10.694484,11.156912,11.843774,12.418016,12.554466,13.499167000000002,14.132069,14.367747,14.689942000000002,14.872732000000001,15.361032999999999,15.822315,16.034042000000003,16.20575,16.463416,16.946864,17.446729,17.820498999999998,18.148761999999998,18.446717,18.810802,18.390179999999997
65-2804560,,,,,,,,,,,,,,0,0.351543,0.82063,1.295145,2.084006,2.927168,3.3108480000000005,3.828897,4.035897,4.613055,4.837058,5.375847,5.911906,6.281045,6.734794,8.036963,8.928947,9.212987,10.202828,10.665256,11.353117999999998,11.92636,12.062811,13.008512,13.640413,13.877091,14.199285999999999,14.382076000000001,14.870377,15.331659,15.542385999999999,15.714094000000001,15.97176,16.456208,16.956073,17.329843,17.658106,17.955060999999997,18.320145999999998,17.899524
66-2806311,,,,,,,,,,,,,,,0,0.469087,0.943602,1.732463,2.575625,2.9583049999999997,3.476354,3.683354,4.2605129999999996,4.484515,5.023304,5.559362999999999,5.928502,6.382251,7.68542,8.577404,8.861444,9.851285,10.313713,11.001575,11.574817,11.711267999999999,12.656969,13.288870000000001,13.525548,13.847743,14.030532999999998,14.518835000000001,14.980116,15.190843,15.362551000000002,15.620217000000002,16.104666,16.60453,16.9783,17.306563,17.603519,17.968603,17.547981
67-2804084,,,,,,,,,,,,,,,,0,0.47451499999999996,1.263376,2.106538,2.489218,3.0072669999999997,3.214267,3.791425,4.015428,4.5542169999999995,5.090276,5.459415,5.913164,7.2163330000000006,8.108317,8.391357000000001,9.381198,9.843625999999999,10.531488000000001,11.10573,11.242181,12.187882,12.818783,13.055461,13.377656,13.560445999999999,14.048747,14.510029000000001,14.720756,14.892464000000002,15.151129999999998,15.635578,16.134443,16.508213,16.837476000000002,17.134431,17.498516,17.077894
68-2804612,,,,,,,,,,,,,,,,,0,0.7888609999999999,1.632024,2.014703,2.532752,2.739752,3.316911,3.5409129999999998,4.079701999999999,4.615761,4.9849,5.438649,6.740817999999999,7.631802,7.917842,8.905683,9.369111,10.056974,10.630215,10.766666,11.711367,12.343268,12.579946000000001,12.904141000000001,13.085931,13.573232999999998,14.034514000000001,14.245241,14.416948999999999,14.674615,15.159064,15.659928,16.032698,16.362961,16.657917,17.024001000000002,16.602379
69-2804067,,,,,,,,,,,,,,,,,,0,0.8431629999999999,1.225842,1.743891,1.950891,2.52805,2.752053,3.2908410000000003,3.8269,4.196039,4.649788,5.951957,6.842942,7.126981,8.117822,8.58025,9.268113,9.841355,9.977805,10.923506,11.555407,11.792085,12.11428,12.29607,12.784372,13.246653,13.45638,13.628088,13.885754,14.370203,14.871067000000002,15.244837,15.5731,15.870056,16.235139999999998,15.814518
70-2804571,,,,,,,,,,,,,,,,,,,0,0.38368,0.9017290000000001,1.108729,1.685887,1.90989,2.4486790000000003,2.984737,3.3538769999999998,3.8076260000000004,5.1107949999999995,6.0007790000000005,6.285819,7.27566,7.738088,8.42495,8.999191999999999,9.135642,10.081342999999999,10.712245,10.950923,11.273117999999998,11.454908,11.942209,12.404491,12.615217999999999,12.785926,13.043592,13.53004,14.028904999999998,14.401675,14.730938,15.027892999999999,15.393978,14.972356
71-2804538,,,,,,,,,,,,,,,,,,,,0,0.518049,0.7250489999999999,1.302208,1.52621,2.0649990000000003,2.601058,2.970197,3.423946,4.727115,5.6181,5.902139,6.89198,7.354408,8.042271000000001,8.615513,8.751963,9.697664,10.329564999999999,10.566243,10.888438,11.071228,11.55953,12.020811,12.231538,12.403246000000001,12.660912,13.145361,13.645225,14.018995,14.347257999999998,14.644214000000002,15.009298000000001,14.588676000000001
72-2804536,,,,,,,,,,,,,,,,,,,,,0,0.207,0.786159,1.010161,1.54895,2.085009,2.454148,2.907897,4.210066,5.10205,5.38609,6.375931,6.838359,7.526222,8.099463,8.235914,9.181614999999999,9.813516,10.050194,10.372389,10.555178999999999,11.043481,11.504762,11.715489,11.887197,12.144863,12.629311999999999,13.129176000000001,13.502946,13.831209,14.128165,14.493248999999999,14.072626999999999
73-2804065,,,,,,,,,,,,,,,,,,,,,,0,0.579159,0.803162,1.34195,1.878009,2.247148,2.700898,4.003067,4.894051,5.17909,6.168931,6.631359,7.319222,7.892464,8.028914,8.974615,9.606517,9.843194,10.165389999999999,10.348179,10.836481,11.297763,11.508488999999999,11.680197,11.937863,12.422312,12.922176,13.295947,13.624209,13.921165,14.286249,13.865626999999998
74-2800297,,,,,,,,,,,,,,,,,,,,,,,0,0.227003,0.8147909999999999,1.35085,1.719989,2.173739,3.4769080000000003,4.366892,4.652931,5.641773000000001,6.103201,6.793063,7.365305,7.5027550000000005,8.448456,9.080358,9.316035000000001,9.637231,9.82002,10.309322,10.771604,10.98133,11.152039,11.411705,11.894153,12.396018,12.768788,13.098051,13.395006,13.759091,13.339469
75-2800261,,,,,,,,,,,,,,,,,,,,,,,,0,0.587789,1.123848,1.492987,1.946736,3.2489049999999997,4.140889,4.423929,5.415769999999999,5.8761980000000005,6.5640600000000004,7.138302,7.274753,8.220454,8.851355,9.088033,9.410228,9.594018,10.081319,10.544601,10.753328,10.926036,11.183702,11.668151,12.169015,12.542785,12.870047999999999,13.166003,13.531088,13.111466
