순번_정류장ID,36-2804279,37-2804277,38-2804639,39-2803750,40-2803752,41-2804275,42-2806287,43-2806285,44-2804281,45-2806283,46-2804272,47-2804271,48-2804269,49-2804267,50-2804265,51-2806281,52-2804263,53-2804777,54-2803744,55-2804666,56-2803745,57-2803746,58-2803747,59-2803748,60-2804688,61-2807370,62-2803604,63-2800266,64-2807368,65-2804602,66-2803580,67-2800263,68-2800267,69-2804032
46-2804272,,,,,,,,,,,0,0.324148,0.942175,1.228607,1.954374,2.528435,3.034056,3.565383,4.12193,4.431148,5.089746,5.560681,6.298904,6.706930000000001,7.133056,7.265169,7.580077,8.24925,8.546926,8.774175,8.92768,9.148678,9.398774000000001,10.035221
47-2804271,,,,,,,,,,,,0,0.618028,0.90446,1.630226,2.204287,2.709909,3.2412360000000002,3.7977830000000004,4.107001,4.765599,5.236534,5.974756,6.382782,6.808908,6.941022,7.255928999999999,7.925103,8.222778,8.450028,8.603532000000001,8.824531,9.074627,9.711072999999999
48-2804269,,,,,,,,,,,,,0,0.286432,1.012199,1.58626,2.0918810000000003,2.623209,3.179755,3.488974,4.147571,4.618507,5.3567290000000005,5.764755,6.190881,6.3229940000000004,6.637902,7.307075,7.604750999999999,7.832000000000001,7.985505,8.206503,8.456599,9.093046000000001
49-2804267,,,,,,,,,,,,,,0,0.725767,1.299828,1.805449,2.336776,2.893323,3.202541,3.861139,4.3320739999999995,5.070297,5.4783230000000005,5.904449,6.036562,6.35147,7.020643,7.318319,7.545567999999999,7.699072999999999,7.920071000000001,8.170167,8.806614
50-2804265,,,,,,,,,,,,,,,0,0.5740609999999999,1.079683,1.61101,2.167557,2.476775,3.135373,3.6063080000000003,4.344530000000001,4.752555999999999,5.178682,5.310795,5.625703,6.294877,6.592552,6.819802,6.973306,7.194305,7.4444,8.080847
51-2806281,,,,,,,,,,,,,,,,0,0.505622,1.036949,1.593496,1.902714,2.561312,3.032247,3.7704690000000003,4.178495,4.604621,4.7367349999999995,5.051642,5.720816,6.018491,6.245741000000001,6.399245,6.6202440000000005,6.87034,7.506786
52-2804263,,,,,,,,,,,,,,,,,0,0.531327,1.089874,1.399093,2.05769,2.528626,3.266848,3.674874,4.101,4.2331129999999995,4.548021,5.217194,5.514869999999999,5.742119000000001,5.895624,6.1166220000000004,6.366718,7.003164999999999
53-2804777,,,,,,,,,,,,,,,,,,0,0.558547,0.867765,1.526363,1.997298,2.735521,3.1435470000000003,3.5696730000000003,3.7017860000000002,4.016694,4.685867,4.983542,5.210792,5.3642970000000005,5.5852949999999995,5.835391,6.471837
54-2803744,,,,,,,,,,,,,,,,,,,0,0.309218,0.967816,1.4387510000000001,2.176974,2.585,3.011126,3.143239,3.4581470000000003,4.12732,4.424995,4.652245,4.80575,5.026748,5.2768440000000005,5.91329
55-2804666,,,,,,,,,,,,,,,,,,,,0,0.6585979999999999,1.129533,1.8677560000000002,2.275782,2.701907,2.834021,3.148929,3.8181019999999997,4.115777,4.343026999999999,4.496532,4.71753,4.967626,5.604072
56-2803745,,,,,,,,,,,,,,,,,,,,,0,0.47093500000000005,1.209158,1.617184,2.04331,2.175423,2.4903310000000003,3.159504,3.457179,3.684429,3.8379339999999997,4.0589319999999995,4.309028,4.945475
57-2803746,,,,,,,,,,,,,,,,,,,,,,0,0.738223,1.146248,1.572374,1.704488,2.019396,2.6885689999999998,2.9862439999999997,3.213494,3.366999,3.587997,3.838093,4.474539
58-2803747,,,,,,,,,,,,,,,,,,,,,,,0,0.408026,0.834152,0.9662649999999999,1.281173,1.950346,2.248022,2.4752709999999998,2.628776,2.849774,3.09987,3.7363169999999997
59-2803748,,,,,,,,,,,,,,,,,,,,,,,,0,0.426126,0.55824,0.8731469999999999,1.5423209999999998,1.839996,2.067246,2.22075,2.441749,2.6918450000000003,3.3282910000000006
60-2804688,,,,,,,,,,,,,,,,,,,,,,,,,0,0.132114,0.447021,1.116195,1.4138700000000002,1.6411200000000001,1.7946240000000002,2.015623,2.265719,2.902165
61-2807370,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.31490799999999997,0.986081,1.283757,1.5110059999999998,1.664511,1.885509,2.135605,2.772052
62-2803604,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.6711729999999999,0.968849,1.1960979999999999,1.349603,1.570601,1.820697,2.457144
63-2800266,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.297676,0.524925,0.67843,0.8994280000000001,1.149524,1.785971
64-2807368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.22725,0.380754,0.601753,0.851849,1.4882950000000001
65-2804602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.153505,0.37450300000000003,0.624599,1.261046
66-2803580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.22099899999999997,0.47109399999999996,1.1075409999999999
67-2800263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.250096,0.8865430000000001
68-2800267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.636447
69-2804032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
