순번_정류장ID,1-2800269,2-2805488,3-2800272,4-2803582,5-2803603,6-2803602,7-2800274,8-2803847,9-2806301,10-2803848,11-2806298,12-2803849,13-2803851,14-2803852,15-2803854,16-2806296,17-2803605,18-2803855,19-2803856,20-2806231,21-2803857,22-2806293,23-2804201,24-2806291,25-2807291,26-2804203,27-2804206,28-2804332,29-2804208,30-2804210,31-2804212,32-2804579,33-2803703,34-2806885,35-2807292,36-2806887,37-2806889,38-2806892,39-2807121,40-2806979,41-2807407,42-2806980,43-2806981,44-2806982,45-2806983,46-2806984,47-2806985,48-2807003,49-2807294,50-2807295,51-2807411,52-2807002,53-2806989,54-2807000,55-2806992,56-2806993,57-2806995,58-2806997,59-2806998,60-2806999,61-2807296,62-2807412,63-2807297,64-2807298,65-2807125,66-2807126,67-2807128,68-2807130,69-2807132,70-2806962
11-2806298,,,,,,,,,,,0,0.512868,1.100428,1.581798,1.740811,2.0745,2.562376,2.885144,3.331357,3.679246,4.03115,4.5613589999999995,4.81677,5.199395,5.389883,5.619376,5.8181709999999995,6.359905,6.911478,7.404964,7.742242,8.27144,8.447541000000001,8.65189,9.227372,9.584807000000001,10.16878,10.678044,12.464573,13.067442999999999,13.778209,14.405857999999998,14.721877,15.063537,15.307687,15.833254,16.085085999999997,16.770567,17.64337,18.057314,20.204949,20.663344,21.63044,21.515334,22.027323000000003,22.40465,23.82744,22.412026,22.01531,21.503522,20.600911,20.142274,18.047843,17.635157,17.243489999999998,18.322858,18.877563000000002,19.570038,20.328196,20.782672
12-2803849,,,,,,,,,,,,0,0.587561,1.06893,1.2279440000000001,1.561632,2.049509,2.372276,2.81849,3.166378,3.518282,4.050491,4.301903,4.684528,4.877015,5.106508,5.307303,5.847037,6.398611,6.892097,7.229375,7.760572,7.934672999999999,8.136023,8.713503999999999,9.071939,9.655911999999999,10.163177000000001,11.951705,12.553576,13.263341,13.89299,14.20801,14.548670000000001,14.792819,15.320386,15.569219,16.2577,17.130503,17.542445999999998,19.693082,20.153476,21.116572,21.004466,21.516455999999998,21.890783,23.315572,21.900157999999998,21.504442,20.992654,20.090044,19.630406,17.533975,17.126289,16.732623,17.80799,18.361696,19.057170000000003,19.813329,20.266804999999998
13-2803851,,,,,,,,,,,,,0,0.48136899999999994,0.640383,0.9790719999999999,1.466948,1.7897150000000002,2.235929,2.583818,2.935722,3.465931,3.721342,4.101967,4.292455,4.525947,4.724743,5.266477,5.81805,6.311536,6.648814,7.178011,7.354113000000001,7.556462,8.130942999999998,8.487378,9.072352,9.581616,11.367144,11.971015,12.679780000000001,13.307429999999998,13.623448999999999,13.969109,14.212257999999999,14.738826000000001,14.988658,15.677139000000002,16.547942000000003,16.961885000000002,19.111521,19.568915,20.532010999999997,20.419906,20.931895,21.308222,22.735011,21.315597,20.920881,20.409093,19.507482999999997,19.047846,16.953414000000002,16.541729,16.150062,17.225429000000002,17.779135,18.476609,19.230767999999998,19.685244
14-2803852,,,,,,,,,,,,,,0,0.15901400000000002,0.49770299999999995,0.9855790000000001,1.308346,1.75456,2.102448,2.454352,2.984562,3.2379729999999998,3.620598,3.811085,4.042578,4.2413739999999995,4.783108,5.334681,5.828167,6.165445,6.694642,6.870742999999999,7.073092999999999,7.648574000000001,8.006008999999999,8.589982000000001,9.099247,10.884775,11.486646,12.199411,12.826061,13.142079999999998,13.48574,13.730889000000001,14.258457,14.505289000000001,15.19377,16.065573,16.478516,18.628152,19.087546,20.051642,19.938536,20.450526,20.827853,22.252642,20.836228,20.439512,19.926724,19.025114000000002,18.565476999999998,16.470045000000002,16.059359,15.666692999999999,16.745060000000002,17.298766,17.99524,18.750398999999998,19.202875
15-2803854,,,,,,,,,,,,,,,0,0.33868899999999996,0.826565,1.149332,1.595546,1.9434349999999998,2.295339,2.827548,3.080959,3.4635839999999996,3.654072,3.885564,4.08436,4.626094,5.177667,5.6711529999999994,6.008431,6.537628,6.71373,6.916078999999999,7.492560000000001,7.8489949999999995,8.432969,8.942233,10.727761,11.330632000000001,12.042397,12.669047,12.985066,13.328726000000001,13.572875,14.100442999999999,14.349275,15.037756,15.908559,16.321502,18.472138,18.930532999999997,19.894629000000002,19.781523,20.293512,20.669839,22.094628,20.678214,20.282498,19.77071,18.8681,18.408463,16.313031,15.902346,15.510679000000001,16.588047,17.141752,17.837226,18.593385,19.045861
16-2806296,,,,,,,,,,,,,,,,0,0.48787700000000006,0.8106439999999999,1.256858,1.604746,1.95665,2.488859,2.742271,3.124896,3.315383,3.546876,3.7456709999999998,4.287405000000001,4.838979,5.332465,5.669743,6.19894,6.375041,6.578391000000001,7.154872,7.511307,8.09428,8.603545,10.390073,10.992944,11.704709,12.331358,12.646378,12.990038,13.235187,13.761754000000002,14.010587,14.699067999999999,15.569871,15.983814,18.13445,18.592844,19.55694,19.442834,19.955824,20.332151,21.75694,20.341526,19.94481,19.432022,18.529412,18.069774,15.975342999999999,15.564657,15.171991,16.249357999999997,16.804063,17.498538,18.255697,18.708173000000002
17-2803605,,,,,,,,,,,,,,,,,0,0.322767,0.768981,1.11687,1.468774,2.000983,2.254394,2.637019,2.8275069999999998,3.058999,3.257795,3.799529,4.351102,4.844588,5.181866,5.711062999999999,5.887165,6.089514,6.665995,7.02343,7.607403999999999,8.116667999999999,9.902196,10.505067,11.216832,11.842482,12.158501,12.502161,12.746310000000001,13.274878,13.52271,14.210191,15.081994,15.493936999999999,17.646573,18.102967,19.069063,18.954957999999998,19.467947,19.845274,21.270063,19.853649,19.455932999999998,18.944145000000002,18.041535,17.582898,15.487466,15.074781,14.684114000000001,15.761481,16.316187,17.010661,17.766820000000003,18.220295999999998
18-2803855,,,,,,,,,,,,,,,,,,0,0.44621400000000006,0.7941020000000001,1.1460059999999999,1.678216,1.931627,2.314252,2.50474,2.7362319999999998,2.935028,3.4767620000000004,4.028335,4.521821,4.859099,5.3882959999999995,5.5643970000000005,5.765747,6.3422279999999995,6.698663000000001,7.282636,7.792901,9.578429,10.1803,10.893065,11.518715,11.834734,12.178394,12.423542999999999,12.950111,13.198943,13.888423999999999,14.758227,15.172170000000001,17.321806,17.7802,18.744296,18.63119,19.14218,19.520507000000002,20.944295999999998,19.528882,19.132166,18.620378,17.717768,17.258131,15.162699,14.752014,14.360347,15.437714000000001,15.991420000000002,16.686894,17.443053,17.895529
19-2803856,,,,,,,,,,,,,,,,,,,0,0.347889,0.699793,1.232002,1.485414,1.868039,2.0585259999999996,2.290019,2.488814,3.030548,3.582122,4.075608,4.412886,4.942083,5.118183999999999,5.321534,5.898015,6.25445,6.838423,7.347688000000001,9.133216000000001,9.736086,10.447852000000001,11.074501,11.390521000000001,11.734181,11.97833,12.505897000000001,12.75473,13.443210999999998,14.314014000000002,14.726957,16.877593,17.335987,18.299083,18.186977,18.698967,19.076294,20.501082999999998,19.084669,18.687953,18.176165,17.273554999999998,16.813917,14.718485999999999,14.3078,13.916134,14.993501,15.547206,16.242681,16.998839999999998,17.451316000000002
20-2806231,,,,,,,,,,,,,,,,,,,,0,0.351904,0.8841129999999999,1.137525,1.52015,1.710637,1.94213,2.140925,2.682659,3.234233,3.7277190000000004,4.064997,4.594194,4.770295,4.973644999999999,5.549126,5.905561,6.490533999999999,6.999799,8.785327,9.387198,10.098963000000001,10.725612,11.040632,11.386292,11.630441000000001,12.157008,12.404841000000001,13.095322,13.965125,14.379068,16.529704000000002,16.987098,17.951194,17.837088,18.348078,18.725405,20.151194,18.734779999999997,18.338064000000003,17.826276,16.925666,16.466028,14.369597,13.957911,13.566245,14.643612,15.197318,15.894792,16.650951,17.102427
