순번_정류장ID,68-2806423,69-2806421,70-2805953,71-2806527,72-2806526,73-2806525,74-2807112,75-2806773,76-2801854,77-2807443,78-2807444,79-2807281,80-2807182,81-2801997,82-2802002,83-2802005,84-2802020,85-2801907,86-2802007,87-2801989,88-2801958,89-2801948,90-2801951,91-2801962,92-2801979,93-2801967,94-2801973,95-2801974,96-2801964,97-2801955,98-2801996,99-2802015,100-2802043,101-2802686,102-2802717,103-2802724,104-2802732,105-2802739,106-2802751,107-2802742,108-2802726,109-2802725,110-2802735,111-2802761,112-2802762,113-2803139,114-2803138,115-2803231,116-2803232,117-2803181,118-2803255,119-2804952,120-2803250,121-2803238,122-2803228,123-2803110,124-2803051,125-2803511,126-2803512,127-2803513,128-2803078,129-2803079,130-2803068,131-2803630,132-2805651,133-2800369
79-2807281,,,,,,,,,,,,0,0.332464,0.971476,1.422033,1.629071,2.1901639999999998,2.490846,2.918607,3.236393,3.4096550000000003,3.736557,3.9680769999999996,3.7432480000000004,3.695203,3.9453709999999997,4.249703,4.675247,5.026816999999999,5.468891,6.249461,6.505203,6.875203,7.290933,7.035284,7.109319,7.487489999999999,7.751703,8.124399,8.493568,9.282916,9.742279,10.185749000000001,10.964203,11.339663,11.699059,12.154033,12.498647,12.961321,13.338201999999999,13.37326,13.741029000000001,14.050882000000001,14.517992999999999,14.162773999999999,14.347202,14.314844,14.557870000000001,14.402871,13.885292999999999,13.250896,12.947842999999999,12.806593,12.683966999999999,12.378281,12.414202000000001
80-2807182,,,,,,,,,,,,,0,0.639012,1.089569,1.296608,1.8577,2.158383,2.586143,2.90393,3.077191,3.404093,3.6356129999999998,3.4107839999999996,3.362739,3.612908,3.917239,4.342783,4.6943529999999996,5.136426999999999,5.916997,6.172739,6.542739,6.958469,6.70282,6.776855,7.154025999999999,7.418239,7.7919350000000005,8.160103999999999,8.948452,9.410815,9.852286,10.633739,11.006199,11.368595,11.820569,12.167183,12.624857,13.002739,13.043796,13.408566,13.720417999999999,14.185529,13.83131,14.017739,13.983379999999999,14.225406,14.071407,13.553829,12.919432,12.615378999999999,12.475128999999999,12.351503,12.043817,12.081739
81-2801997,,,,,,,,,,,,,,0,0.450558,0.675596,1.236688,1.5373709999999998,1.9651319999999999,2.282918,2.45618,2.783081,3.014602,2.789773,2.741727,2.991896,3.2962269999999996,3.721772,4.073341,4.515415,5.295985,5.551727,5.921728,6.337458,6.081809,6.155844,6.533014,6.797227,7.171923,7.539092,8.326441,8.790804,9.234274000000001,10.012727,10.384188,10.746584,11.202557,11.546172,12.004845,12.383727,12.422785000000001,12.789553999999999,13.100407,13.566517000000001,13.210298000000002,13.397727,13.364369,13.604394000000001,13.450395,12.932817,12.298421000000001,11.995368,11.854118,11.730491,11.422805,11.461727
82-2802002,,,,,,,,,,,,,,,0,0.22503800000000002,0.786131,1.086813,1.514574,1.8323599999999998,2.0056220000000002,2.3325240000000003,2.564044,2.3392150000000003,2.29117,2.541338,2.84567,3.271214,3.622784,4.064858,4.845428,5.10117,5.47117,5.8869,5.631251,5.705286,6.083457,6.34667,6.720366,7.089535000000001,7.876883,8.340246,8.783716,9.56217,9.93463,10.298026,10.752,11.095614,11.553288,11.932169,11.969227,12.338996,12.648849,13.11496,12.758741,12.944169,12.914811,13.153837,12.998838000000001,12.48226,11.847863,11.54381,11.40356,11.279933999999999,10.972248,11.01117
83-2802005,,,,,,,,,,,,,,,,0,0.562092,0.862775,1.2905360000000001,1.608322,1.781584,2.108485,2.3400060000000003,2.115177,2.0671310000000003,2.3173,2.6216310000000003,3.047176,3.398745,3.840819,4.621389,4.877130999999999,5.247132,5.6628620000000005,5.408213,5.481248,5.859418,6.122631,6.496327,6.866496000000001,7.651845,8.114208,8.558678,9.339131,9.711592,10.072988,10.526961,10.870576,11.330249,11.706131,11.747189,12.113958,12.423811,12.890921,12.533702,12.721131,12.687773,12.928798,12.775799000000001,12.258221,11.623825,11.320772,11.179522,11.055895,10.75121,10.788131
84-2802020,,,,,,,,,,,,,,,,,0,0.300683,0.728444,1.04623,1.219492,1.5463930000000001,1.777914,1.553085,1.505039,1.755208,2.059539,2.485084,2.836653,3.2787269999999995,4.059297,4.315039,4.68504,5.10077,4.845121,4.919156,5.2963260000000005,5.561539,5.935235,6.3034040000000005,7.088752,7.552116000000001,7.995586,8.774039,9.1465,9.508894999999999,9.962869,10.307484,10.770157000000001,11.145039,11.184097,11.551866,11.861719,12.329829,11.97161,12.159039,12.128681,12.366706,12.212707,11.695129,11.060733,10.757679,10.616430000000001,10.493803,10.185117,10.227039
85-2801907,,,,,,,,,,,,,,,,,,0,0.42776099999999995,0.7455470000000001,0.918809,1.24571,1.477231,1.252402,1.204356,1.454525,1.7588560000000002,2.184401,2.5359700000000003,2.9780439999999997,3.758614,4.014355999999999,4.384357,4.800087,4.545438,4.619473,4.995643,5.2608559999999995,5.634551999999999,6.003721,6.79007,7.252433,7.6959029999999995,8.475356,8.845817,9.210213000000001,9.664186,10.006801,10.470474000000001,10.846356,10.884414,11.252183,11.562036,12.028146000000001,11.671927,11.858356,11.824997999999999,12.066023,11.913024,11.395446000000002,10.76005,10.457997,10.315747,10.19312,9.884433999999999,9.924356
86-2802007,,,,,,,,,,,,,,,,,,,0,0.317787,0.555048,0.88195,1.051721,0.824641,0.776596,1.026765,1.3310959999999998,1.756641,2.1082099999999997,2.550284,3.330854,3.586596,3.956596,4.372326,4.117677,4.191712,4.5688830000000005,4.832096,5.206792,5.575961,6.360309,6.822672,7.270142999999999,8.047596,8.420056,8.784452,9.237426,9.58104,10.040714,10.417596000000001,10.457654,10.824423,11.132276,11.599386,11.244167,11.433596000000001,11.399237,11.639263,11.484264,10.966686,10.332289,10.029236000000001,9.887986,9.765360000000001,9.457674,9.495596
87-2801989,,,,,,,,,,,,,,,,,,,,0,0.237262,0.564163,0.7956840000000001,0.770237,0.722191,0.97236,1.276691,1.702236,2.053805,2.495879,3.276449,3.5321910000000005,3.902192,4.317922,4.063273000000001,4.137308,4.513478,4.778691,5.152387,5.5215559999999995,6.307904,6.770268,7.213738,7.994191000000001,8.365652,8.728048,9.182021,9.523636,9.985308999999999,10.362191000000001,10.403249,10.769017999999999,11.080871,11.546981,11.190762,11.376191,11.346833,11.584858,11.430859,10.913281,10.278885,9.974832000000001,9.834582000000001,9.710955,9.402269,9.443191
88-2801958,,,,,,,,,,,,,,,,,,,,,0,0.326902,0.558422,0.785502,0.9594530000000001,1.209622,1.513953,1.939497,2.291067,2.733141,3.5137110000000003,3.769453,4.139453,4.555183,4.2995339999999995,4.374569,4.75174,5.015953,5.388649,5.756818,6.547166000000001,7.006529,7.452999999999999,8.227453,8.603913,8.963308999999999,9.418283,9.764897,10.222571,10.601453,10.63851,11.00528,11.319132000000002,11.781243,11.428024,11.611453,11.580094,11.82212,11.667121,11.149543,10.515146000000001,10.212093,10.070843,9.948217,9.640531,9.678453
89-2801948,,,,,,,,,,,,,,,,,,,,,,0,0.231521,0.4586,0.778646,1.028815,1.333146,1.758691,2.11026,2.552334,3.332904,3.588646,3.958647,4.374377,4.627436,4.701471,5.078641,5.341854,5.71655,6.084719000000001,6.713359,7.175723,7.619192999999999,8.397646,8.751107000000001,9.114502,9.568475999999999,9.912091,10.372764,10.749646,10.807704,11.175473,11.485325999999999,11.932436000000001,11.576217,11.701646,11.669288,11.641313,11.487314,10.969736,10.335339999999999,10.031286,9.890037,9.76741,9.462724,9.499646
90-2801951,,,,,,,,,,,,,,,,,,,,,,,0,0.22708000000000003,0.548126,0.798294,1.102626,1.52817,1.8797400000000002,2.321814,3.102384,3.3581260000000004,3.728126,4.1438559999999995,4.462044000000001,4.624242,5.002413,5.2666260000000005,5.639322,6.008491,6.480839,6.943202,7.388673,8.165125999999999,8.520586,8.883982000000001,9.337956,9.681569999999999,10.142244,10.519126,10.575183,10.942952,11.254805000000001,11.701916,11.345697,11.472125,11.439767,11.409792999999999,11.255794,10.739216,10.103819,9.800766000000001,9.659516,9.53689,9.229204,9.270126
91-2801962,,,,,,,,,,,,,,,,,,,,,,,,0,0.321046,0.5712149999999999,0.8755459999999999,1.301091,1.6526599999999998,2.094734,2.8753040000000003,3.131046,3.501046,3.9167769999999997,4.234964,4.398162,4.774333,5.038546,5.412242,5.780411,6.255758999999999,6.716122,7.159592999999999,7.940046000000001,8.293505999999999,8.656902,9.110876,9.45449,9.915164,10.292046000000001,10.348104,10.715873,11.025725999999999,11.474836,11.118617,11.244046,11.212686999999999,11.182713,11.028714,10.512136,9.876739,9.574686,9.432436000000001,9.30981,9.004124000000001,9.042046000000001
92-2801979,,,,,,,,,,,,,,,,,,,,,,,,,0,0.25016900000000003,0.5545,0.980045,1.3316139999999999,1.7736880000000002,2.5542580000000004,2.81,3.180001,3.595731,3.9139190000000004,4.076117,4.454287,4.7175,5.091196,5.460365,5.934714,6.3970769999999995,6.838547,7.617000000000001,7.972461,8.335857,8.78983,9.133445,9.594119000000001,9.971,10.029058000000001,10.396827,10.70468,11.153791,10.797571000000001,10.922,10.889642,10.861668,10.707669000000001,10.19009,9.556694,9.253641,9.111391000000001,8.988764999999999,8.682079,8.722000000000001
93-2801967,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.309332,0.734876,1.086446,1.52852,2.3090900000000003,2.564832,2.934832,3.350562,3.66875,3.831948,4.208119,4.473332,4.847028,5.215197,5.689545,6.151908000000001,6.595378,7.373832000000001,7.727291999999999,8.090688,8.544661999999999,8.888276,9.34895,9.725831,9.783889,10.151658,10.461511,10.908622,10.552403,10.676831,10.646473,10.616499000000001,10.4625,9.944922,9.311525,9.007472,8.867222,8.743596,8.43491,8.473831
94-2801973,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.426545,0.7781140000000001,1.2201879999999998,2.0007580000000003,2.2565,2.6265009999999998,3.042231,3.3604190000000003,3.522617,3.8997870000000003,4.164,4.5376959999999995,4.906865,5.379214,5.841577,6.2850470000000005,7.0635,7.418961,7.782357000000001,8.23633,8.579945,9.040619,9.4175,9.473558,9.841327,10.15118,10.600291,10.244071,10.3685,10.337142,10.308167999999998,10.154169,9.63659,9.002194,8.699141000000001,8.557891,8.435265,8.127578999999999,8.1685
95-2801974,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.35157,0.7936439999999999,1.574214,1.8299560000000001,2.1999560000000002,2.615686,2.9338740000000003,3.1860720000000002,3.563243,3.8274559999999997,4.2011519999999996,4.570321,4.952669,5.415032,5.858503,6.638955999999999,6.992416,7.355811999999999,7.809786,8.1534,8.614074,8.990955,9.047013,9.414782,9.724635000000001,10.173746000000001,9.817527,9.941955,9.909597,9.882622999999999,9.727624,9.211046000000001,8.576649,8.272596,8.132346,8.00872,7.702033999999999,7.739955999999999
96-2801964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.44207399999999997,1.222644,1.478386,1.848387,2.2641169999999997,2.582305,2.8345029999999998,3.211673,3.475886,3.849582,4.217751,4.6031,5.065462999999999,5.508933,6.287386,6.640847,7.004242999999999,7.458216,7.801831,8.262505,8.639386,8.697444,9.065213,9.373066,9.822177,9.465957000000001,9.591386,9.560027999999999,9.530054,9.376055000000001,8.858476,8.22508,7.922027000000001,7.779777,7.657151,7.348464999999999,7.387386
97-2801955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.78357,1.039312,1.4093129999999998,1.825043,2.14323,2.395429,2.772599,3.036812,3.410508,3.7796769999999995,4.164025,4.626389,5.069858999999999,5.848312,6.201773,6.565167999999999,7.0191419999999995,7.362757000000001,7.82343,8.200312,8.25837,8.626139,8.935992,9.383102000000001,9.026883,9.154312,9.119954,9.091978999999998,8.93798,8.420402000000001,7.785006,7.482952,7.340702,7.218075999999999,6.91039,6.950311999999999
98-2801996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.257742,0.627743,1.0434729999999999,1.36166,1.613859,1.9910290000000002,2.255242,2.628938,2.998107,3.382455,3.844819,4.288289,5.066742,5.439202,5.802598000000001,6.256572,6.600186999999999,7.060860000000001,7.437742,7.4768,7.844569,8.154422,8.620532,8.264313000000001,8.451742,8.419383999999999,8.504408999999999,8.34941,7.832832000000001,7.197436,6.894382000000001,6.754132000000001,6.630506,6.519664,6.769742
99-2802015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.37800100000000003,0.7937310000000001,1.111919,1.364117,1.7412869999999998,2.0055,2.379196,2.748365,3.1307139999999998,3.5930769999999996,4.0365470000000006,4.815,5.187461,5.550857,6.00683,6.348445,6.809119,7.188,7.227058,7.592827000000001,7.90268,8.370791,8.014571,8.2,8.167641999999999,8.254667999999999,8.099669,7.582089999999999,6.948694000000001,6.645641,6.504391,6.380765,6.269922,6.704
100-2802043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.41573000000000004,0.7339180000000001,0.986116,1.3632870000000001,1.6275,2.0011959999999998,2.370365,3.156713,3.619076,4.062547,4.842,5.2134599999999995,5.576855999999999,6.032830000000001,6.376444,6.835118,7.212000000000001,7.251057,7.6188270000000005,7.928678999999999,8.39679,8.038571000000001,8.227,8.192641,8.438668,8.284669000000001,7.767091000000001,7.132694,6.8296410000000005,6.688391,6.565765,6.454923,7.0700009999999995
101-2802686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.318188,0.577386,0.954557,1.2187700000000001,1.592466,1.9616349999999998,2.747983,3.209346,3.654817,4.433269999999999,4.80673,5.169126,5.6231,5.966714,6.427388,6.80227,6.843327,7.2110970000000005,7.520949000000001,7.988060000000001,7.630841,7.81827,7.783911,8.155602,8.035938,7.519360000000001,6.882963,6.58091,6.43866,6.559034,6.447191,7.082269999999999
102-2802717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.259198,0.636369,0.900582,1.274278,1.6424470000000002,2.428795,2.8911580000000003,3.334629,4.113082,4.485542,4.850937999999999,5.302912,5.648526,6.1092,6.484082,6.52514,6.890909,7.200761,7.666872,7.310653,7.4990820000000005,7.464722999999999,7.834414,7.71675,7.199172,6.565775,6.262722,6.120472,6.239846,6.130003,6.764082000000001
103-2802724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.377171,0.6413840000000001,1.01508,1.384249,2.172597,2.63496,3.078431,3.8568839999999995,4.229344,4.59274,5.046714,5.390328,5.851001999999999,6.227883,6.266941,6.634710000000001,6.9445630000000005,7.410674,7.054455,7.2418830000000005,7.208525,7.578216,7.458552,6.940974000000001,6.306577,6.003524,5.862274,5.981648000000001,5.870805000000001,6.6651169999999995
104-2802732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.26621300000000003,0.6399090000000001,1.0090780000000001,1.7954259999999997,2.25779,2.70126,3.4817129999999996,3.8521739999999998,4.215569,4.669543,5.013158,5.473831,5.850713,5.889771,6.2575400000000005,6.567392999999999,7.033503,6.677283999999999,6.863713000000001,6.831355,7.201046000000001,7.084381,6.566803,5.930407,5.628353,5.487104,5.606477,5.495635,6.331713
