순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2804748,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2803599,11-2804712,12-2800276,13-2800277,14-2803597,15-2806642,16-2804030,17-2800279,18-2804029,19-2800282,20-2806302,21-2804028,22-2804703,23-2804021,24-2806407,25-2804018,26-2806405,27-2804017,28-2804015,29-2804013,30-2804010,31-2804009,32-2804007,33-2804005,34-2804003,35-2804001,36-2803999,37-2804768,38-2800288,39-2804793,40-2800291,41-2807413,42-2800297,43-2803996,44-2803994,45-2803951,46-2803953,47-2803955,48-2803957,49-2803959,50-2803961,51-2803963,52-2803965,53-2803967,54-2803969,55-2803972,56-2803867,57-2806359,58-2804721,59-2803870,60-2800254,61-2803874
14-2803597,,,,,,,,,,,,,,0,0.900323,1.0605930000000001,1.6138649999999999,2.3188880000000003,2.749806,3.11864,3.5639730000000003,3.774785,3.980927,4.291029,4.537509,4.92756,5.24087,5.551529,5.973229,6.33405,6.737767999999999,7.034902000000001,7.386546000000001,7.647214,8.013822,7.675948,7.110335000000001,6.661250999999999,7.085107000000001,7.598406,7.9854,8.385481,8.369957000000001,8.677980999999999,9.326446,9.857353999999999,9.837750999999999,9.282929,8.892309,8.136442,7.991478,8.431593,9.020625,9.37025,10.001391,10.316426,10.702297999999999,12.070561999999999,12.422653,12.601066000000001,12.908479
15-2806642,,,,,,,,,,,,,,,0,0.16027,0.713542,1.419565,1.850483,2.2193169999999998,2.6646490000000003,2.8754619999999997,3.081604,3.3917059999999997,3.638186,4.028237,4.341547,4.652206,5.073906,5.434727,5.838445,6.135579,6.487223,6.747891,7.114499,6.775625,6.210012,5.760928,6.184784,6.6980830000000005,7.085077,7.485158,7.469633,7.777658,8.426123,8.957031,8.938428,8.383605000000001,7.992986,7.237119,7.092155,7.53227,8.121302,8.470927,9.102068,9.417103,9.802975,11.170239,11.52233,11.700743,12.008155
16-2804030,,,,,,,,,,,,,,,,0,0.553272,1.259295,1.6902130000000002,2.059047,2.50438,2.715193,2.921334,3.231437,3.4779160000000005,3.8679669999999997,4.181278,4.491937,4.913636,5.274457,5.678175,5.975308999999999,6.326953,6.5876220000000005,6.95423,6.616356,6.050742,5.602658,6.025514,6.538814,6.925807000000001,7.325888000000001,7.310364,7.618389,8.266853,8.797761,8.778158,8.223336,7.832717,7.076849,6.931885,7.372000000000001,7.962032000000001,8.311657,8.941799000000001,9.256834,9.642705,11.010969000000001,11.362060000000001,11.541474000000001,11.848886
17-2800279,,,,,,,,,,,,,,,,,0,0.706023,1.136941,1.505775,1.951108,2.161921,2.368062,2.6781650000000004,2.924645,3.3146949999999995,3.6280059999999996,3.9386650000000003,4.360364,4.721185,5.124903,5.422037,5.773681,6.03435,6.400958,6.062084,5.4964699999999995,5.048386,5.473242,5.984542,6.3735349999999995,6.772616999999999,6.757092,7.0641169999999995,7.712581,8.243489,8.225886000000001,7.671064,7.280444999999999,6.524578,6.378613,6.818728999999999,7.407760000000001,7.7583850000000005,8.389527000000001,8.703562,9.089433,10.456697,10.808788,10.987202,11.294614
18-2804029,,,,,,,,,,,,,,,,,,0,0.43791800000000003,0.806752,1.2520850000000001,1.462898,1.669039,1.9791419999999997,2.225622,2.615672,2.928983,3.239642,3.661341,4.022162000000001,4.42588,4.723014,5.074658,5.3353269999999995,5.701935,5.365061,4.799448,4.350363,4.774219,5.2875190000000005,5.674512,6.074594,6.059069,6.367094,7.015559,7.546467,7.525864,6.9710410000000005,6.580422,5.824555,5.67959,6.119706,6.708738,7.058363000000001,7.6895039999999995,8.004539,8.390411,9.758674000000001,10.110766,10.289178999999999,10.596591
19-2800282,,,,,,,,,,,,,,,,,,,0,0.36883499999999997,0.814167,1.02498,1.2311219999999998,1.541224,1.7877040000000002,2.177755,2.4910650000000003,2.801724,3.223424,3.5842449999999997,3.9879629999999997,4.285097,4.6367400000000005,4.897409,5.264017,4.925143,4.35953,3.9104449999999997,4.335301,4.848601,5.235595,5.634676,5.6191510000000005,5.928176000000001,6.576641,7.107549000000001,7.088946000000001,6.534123,6.143504,5.386637,5.242672,5.6827879999999995,6.27182,6.621445,7.252586,7.567621000000001,7.953492999999999,9.321757,9.672848,9.851261000000001,10.158673
20-2806302,,,,,,,,,,,,,,,,,,,,0,0.445333,0.656146,0.862287,1.17239,1.4188690000000002,1.80892,2.122231,2.43289,2.854589,3.21541,3.619128,3.916262,4.267906,4.528575,4.895183,5.094631,4.528018,4.078933999999999,4.50279,5.016089,5.4030830000000005,5.803164,5.787640000000001,6.095664,6.744128999999999,7.274037,7.255433999999999,6.700612,6.309992,5.554125,5.409161,5.849276000000001,6.438308,6.788933,7.419074,7.734108999999999,8.119981,9.489245,9.840336,10.018749,10.326162
21-2804028,,,,,,,,,,,,,,,,,,,,,0,0.210813,0.416954,0.727057,0.9735370000000001,1.363587,1.676898,1.987557,2.4092569999999998,2.770077,3.173795,3.470929,3.822573,4.083242,4.44985,4.838036,4.973351,4.525266,4.949122,5.460422,5.847416,6.249497,6.231972,6.5399970000000005,7.189462,7.71937,7.700767,7.145944,6.755325,5.999458,5.854493,6.2946089999999995,6.883641000000001,7.233266,7.864407000000001,8.179442,8.566314,9.933577,10.285669,10.464082000000001,10.771494
22-2804703,,,,,,,,,,,,,,,,,,,,,,0,0.20614200000000002,0.5162439999999999,0.762724,1.152775,1.466085,1.7767439999999999,2.198444,2.5592650000000003,2.9629830000000004,3.2601169999999997,3.611761,3.872429,4.239037000000001,4.627224,5.184164,4.735079,5.158935,5.672235,6.059228,6.459309999999999,6.443785,6.751810000000001,7.4002740000000005,7.931182000000001,7.911579,7.356757000000001,6.966138000000001,6.210271,6.065306,6.505422,7.094453999999999,7.4440789999999994,8.07522,8.390255,8.776127,10.14439,10.496482,10.674895,10.982307
23-2804021,,,,,,,,,,,,,,,,,,,,,,,0,0.310102,0.556582,0.946633,1.259944,1.570603,1.992302,2.355123,2.758841,3.055975,3.4076190000000004,3.6682879999999995,4.034895,4.423082,4.988695,4.941221,5.366077,5.877376,6.266369999999999,6.6664509999999995,6.650927,6.9579509999999996,7.606416,8.137324000000001,8.118721,7.563899,7.173278999999999,6.417412000000001,6.272448000000001,6.712563,7.301595,7.65022,8.281361,8.597396,8.983267999999999,10.351532,10.702622999999999,10.882036,11.189449
24-2806407,,,,,,,,,,,,,,,,,,,,,,,,0,0.24648,0.6365310000000001,0.9498409999999999,1.2605,1.6822,2.0450209999999998,2.4487389999999998,2.745873,3.097517,3.3581849999999998,3.724793,4.11298,4.678593,5.181222,5.605078,6.118377,6.505371,6.905452,6.889927,7.197952000000001,7.846417,8.377325,8.427823,7.8730009999999995,7.482382,6.7275149999999995,6.58255,7.022666,7.611698,7.961322999999999,8.591464,8.907499000000001,9.292371000000001,10.660634,11.011726,11.190139,11.498550999999999
25-2804018,,,,,,,,,,,,,,,,,,,,,,,,,0,0.39005100000000004,0.703361,1.0140200000000001,1.43572,1.798541,2.202259,2.499393,2.851037,3.1117060000000003,3.4783129999999995,3.8665,4.432112999999999,4.934742,5.358598000000001,5.871897,6.258891,6.658972,6.643447999999999,6.951472,7.599937,8.130844999999999,8.6712,8.119481,7.7288619999999995,6.972995,6.82803,7.268145,7.857177,8.206802,8.837944,9.152979,9.53885,10.907114,11.259205,11.437619,11.745030999999999
26-2806405,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.313311,0.62397,1.045669,1.40849,1.8122080000000003,2.109342,2.460986,2.7216549999999997,3.088263,3.4764489999999997,4.0420620000000005,4.544691,4.968547,5.481847,5.8688400000000005,6.268922,6.2533970000000005,6.561422,7.209886,7.740794,8.281149000000001,8.509532,8.118912,7.363045,7.218081,7.658196,8.247228,8.596853,9.227994,9.544029,9.928901,11.297165,11.649256,11.827669,12.134082000000001
27-2804017,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.310659,0.732359,1.0951799999999998,1.498898,1.7960310000000002,2.147675,2.408344,2.774952,3.163138,3.7287519999999996,4.231380000000001,4.655236,5.1685360000000005,5.55553,5.955611,5.940086,6.248111,6.896576,7.427484,7.967839,8.522661,8.433223,7.677356,7.5323910000000005,7.972507000000001,8.560539,8.910164,9.542305,9.857339999999999,10.243212,11.611475,11.963567,12.14198,12.448392
28-2804015,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.4217,0.784521,1.188239,1.485373,1.837017,2.097685,2.464293,2.85248,3.418093,3.920722,4.344578,4.857876999999999,5.244871,5.644952,5.629427,5.9374519999999995,6.585917,7.116825,7.65718,8.212002,8.602621000000001,7.988014999999999,7.84205,8.283166,8.872198,9.221822999999999,9.851964,10.167999,10.552871000000001,11.921134,12.274225999999999,12.451639,12.531452
29-2804013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.362821,0.7665390000000001,1.0636729999999999,1.415317,1.675986,2.042593,2.43078,2.996393,3.499022,3.922878,4.436177,4.823171,5.223252,5.2077279999999995,5.515752,6.164217,6.695125,7.23548,7.790303,8.180922,8.409714,8.26475,8.704865,9.292897,9.643522,10.274663,10.589698,10.97557,12.343834,12.599578,12.421165,12.110753
