순번_정류장ID,1-2800297,2-2803996,3-2803994,4-2803951,5-2803953,6-2803955,7-2803957,8-2803959,9-2803961,10-2803963,11-2803965,12-2803967,13-2803969,14-2803972,15-2803868,16-2803866,17-2803863,18-2803864,19-2800255,20-2803615,21-2803614,22-2803859,23-2806227,24-2803858,25-2803611,26-2806295,27-2806293,28-2804201,29-2806291,30-2807291,31-2804203,32-2804206,33-2804332,34-2804208,35-2804210,36-2804212,37-2804579,38-2803703
11-2803965,,,,,,,,,,,0,0.589032,0.938657,1.569798,1.847725,2.2256080000000003,2.6646349999999996,2.861894,2.9882299999999997,3.533499,4.502425,4.869135,5.095715,5.78113,6.129442,7.311683,7.667805,7.921216,8.303841,8.494328999999999,8.725822,8.924617,9.466351,10.017924,10.51141,10.848688000000001,11.377885000000001,11.553987
12-2803967,,,,,,,,,,,,0,0.349625,0.980766,1.258693,1.636576,2.0756040000000002,2.272862,2.399198,2.944467,3.913393,4.2801029999999995,4.506683,5.1920980000000005,5.54041,6.722650999999999,7.078773,7.332184,7.714809,7.905297,8.13679,8.335585,8.877319,9.428892,9.922378,10.259656,10.788853999999999,10.964955
13-2803969,,,,,,,,,,,,,0,0.631141,0.909068,1.286951,1.7259779999999998,1.9232369999999999,2.049573,2.594842,3.563768,3.930478,4.157058,4.842473,5.190785,6.373026,6.7291479999999995,6.982558999999999,7.365183999999999,7.555672,7.787164999999999,7.98596,8.527694,9.079267,9.572753,9.910031,10.439229,10.61533
14-2803972,,,,,,,,,,,,,,0,0.277927,0.65581,1.094837,1.292096,1.418431,1.9637,2.932627,3.2993370000000004,3.5259169999999997,4.211332,4.5596440000000005,5.741884,6.098007,6.351418,6.734042999999999,6.924531,7.156022999999999,7.354819,7.896553,8.448126,8.941612,9.278889999999999,9.808086999999999,9.984189
15-2803868,,,,,,,,,,,,,,,0,0.37788299999999997,0.81691,1.014169,1.1405040000000002,1.685773,2.6547,3.02141,3.24799,3.9334050000000005,4.2817169999999996,5.463957,5.82008,6.073491000000001,6.456116000000001,6.646603999999999,6.878096,7.076892,7.618626,8.170199,8.663685000000001,9.000963,9.53016,9.706261999999999
16-2803866,,,,,,,,,,,,,,,,0,0.439028,0.636286,0.764622,1.309891,2.2788180000000002,2.645527,2.8721080000000003,3.557522,3.9058339999999996,5.088075,5.444197,5.697608,6.080234,6.270721,6.502214,6.701009,7.242742999999999,7.794316,8.287803,8.62508,9.154278,9.330378999999999
17-2803863,,,,,,,,,,,,,,,,,0,0.197259,0.32559499999999997,0.8708629999999999,1.83979,2.2065,2.43308,3.1184950000000002,3.4668069999999997,4.649047,5.00517,5.2585809999999995,5.6412059999999995,5.831694000000001,6.063186,6.261982,6.8037160000000005,7.355289,7.848775,8.186053,8.71525,8.891352000000001
18-2803864,,,,,,,,,,,,,,,,,,0,0.12833599999999998,0.673605,1.6425319999999999,2.009241,2.235821,2.921236,3.269548,4.451789,4.807911,5.0613220000000005,5.4439470000000005,5.634435,5.865928,6.064723000000001,6.606457000000001,7.15803,7.651516,7.988794,8.517992,8.694092999999999
19-2800255,,,,,,,,,,,,,,,,,,,0,0.54527,1.5141959999999999,1.8809060000000002,2.107486,2.7929009999999996,3.141213,4.323453,4.679576,4.932987000000001,5.315612000000001,5.5061,5.737592,5.936388,6.478122,7.029694999999999,7.523181,7.860459,8.389656,8.565758
20-2803615,,,,,,,,,,,,,,,,,,,,0,0.9689270000000001,1.335636,1.562217,2.247632,2.595944,3.7781839999999995,4.134306,4.3877180000000005,4.770343,4.9608300000000005,5.192323,5.391118,5.932852,6.484426,6.977912,7.315189999999999,7.844386999999999,8.020488
21-2803614,,,,,,,,,,,,,,,,,,,,,0,0.36671,0.59329,1.278705,1.627017,2.809257,3.16538,3.418791,3.801416,3.991904,4.223396,4.422192,4.963926,5.515499,6.008985,6.3462629999999995,6.87546,7.051562
22-2803859,,,,,,,,,,,,,,,,,,,,,,0,0.226581,0.9119959999999999,1.260307,2.442548,2.79867,3.0520810000000003,3.434707,3.625194,3.8566870000000004,4.055482,4.597216,5.148789,5.642276,5.979553,6.508751,6.684852
23-2806227,,,,,,,,,,,,,,,,,,,,,,,0,0.685415,1.033727,2.215967,2.57209,2.825501,3.208126,3.398614,3.6301059999999996,3.828902,4.370636,4.922209,5.4156949999999995,5.752973,6.28217,6.458272
24-2803858,,,,,,,,,,,,,,,,,,,,,,,,0,0.348312,1.530553,1.886675,2.140086,2.522711,2.7131990000000004,2.944692,3.143487,3.685221,4.236794000000001,4.7302800000000005,5.067558,5.596755,5.772857
25-2803611,,,,,,,,,,,,,,,,,,,,,,,,,0,1.185241,1.5413629999999998,1.794774,2.1773990000000003,2.367887,2.59938,2.798175,3.3399089999999996,3.891482,4.384968,4.722246,5.251443,5.427544999999999
26-2806295,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.356122,0.609534,0.992159,1.1826459999999999,1.414139,1.612934,2.154668,2.706242,3.199728,3.537006,4.066203,4.242304
27-2806293,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.253411,0.636037,0.8265239999999999,1.058017,1.256812,1.798546,2.350119,2.8436060000000003,3.180883,3.7100809999999997,3.886182
28-2804201,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.382625,0.573113,0.804606,1.003401,1.5451350000000001,2.096708,2.590194,2.9274720000000003,3.456669,3.632771
29-2806291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.19048800000000002,0.42198100000000005,0.620776,1.16551,1.7170830000000001,2.210569,2.547847,3.077045,3.253146
30-2807291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.23149299999999998,0.430288,0.9750219999999999,1.5265959999999998,2.020082,2.35736,2.886557,3.0626580000000003
31-2804203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.198795,0.743529,1.2951030000000001,1.788589,2.125867,2.655064,2.831165
32-2804206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.544734,1.096307,1.589793,1.927071,2.456269,2.63237
33-2804332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.551573,1.04506,1.3823370000000001,1.9115349999999998,2.0876360000000003
34-2804208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.493486,0.830764,1.359961,1.536063
35-2804210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.337278,0.866475,1.042577
36-2804212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.529197,0.705299
37-2804579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.176102
38-2803703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
