순번_정류장ID,83-2800505,84-2805797,85-2800504,86-2800510,87-2800512,88-2800521,89-2800524,90-2800548,91-2800553,92-2800566,93-2800580,94-2800587,95-2805740,96-2800596,97-2806215,98-2807267,99-2804912,100-2800626,101-2800637,102-2800647,103-2800666,104-2800678,105-2800688,106-2805582,107-2800715,108-2800727,109-2800723,110-2800745,111-2800759,112-2800776,113-2800796,114-2800813,115-2803049,116-2802654,117-2807098,118-2802671,119-2802630,120-2803042,121-2803043,122-2805595,123-2803123,124-2803131,125-2803137,126-2805441,127-2802629,128-2802719,129-2802709,130-2802718,131-2802712,132-2802708,133-2802731,134-2802755,135-2802776,136-2802813,137-2802854,138-2802865,139-2802876,140-2802880,141-2802890,142-2802893,143-2802896,144-2805500,145-2802634,146-2802843,147-2802804,148-2802810,149-2802859,150-2803287,151-2803294,152-2803308,153-2807102,154-2806071,155-2805983,156-2807033,157-2806177,158-2807454,159-2807455,160-2807484,161-2806157,162-2806176
93-2800580,,,,,,,,,,,0,0.337394,1.628635,1.6971150000000002,2.362663,2.942466,3.143802,3.340297,3.642605,3.8930589999999996,4.210636,4.643863,5.0964849999999995,5.299272,5.473977,5.496919,5.343636,5.707335,5.902344,6.290201000000001,6.680772999999999,7.4938009999999995,7.845923,8.134425,8.863636,9.105972999999999,8.749077999999999,8.647364999999999,8.989865,9.332865,9.531991,9.636611,9.728492,9.972369,9.751877,9.499971,9.202849,9.936713000000001,10.155222,10.725729,11.000592,10.931222,11.339692,11.806636,12.190767,12.163637,11.750411999999999,11.727449,11.965158,12.291042,12.635669,12.391473,11.901341,11.560077,10.934664,10.785787,11.392449000000001,12.103353,12.350755,12.792864999999999,13.464545000000001,14.007819,14.560748,14.831782,15.543792999999999,18.358703,18.689439,18.133871,15.889192000000001,14.939354999999999
94-2800587,,,,,,,,,,,,0,1.462971,1.70145,2.365998,2.946802,3.147138,3.344632,3.6469410000000004,3.8963940000000004,4.214971,4.647198,5.0998209999999995,5.301607,5.477312,5.500254,5.348971,5.71167,5.90468,6.292537,6.686108,7.4971369999999995,7.850258,8.138761,8.867971,9.099692,8.674743,8.572028999999999,8.914530000000001,9.256528999999999,9.455656,9.562275,9.654156,9.896033000000001,9.755212,9.504306,9.206184,9.940047999999999,10.159557000000001,10.730065,11.004927,10.935558,11.344028,11.809971,12.195102,12.167972,11.755747999999999,11.731784,11.970493,12.295377,12.641003999999999,12.317138,11.827005,11.483742,10.860329,10.711452,11.316114,12.028018,12.275419,12.718529,13.39021,13.933484,14.486413,14.757447,15.469458,18.284368,18.613104,18.057536,15.814857,14.865020000000001
95-2805740,,,,,,,,,,,,,0,0.238479,0.903027,1.483831,1.6841669999999997,1.881662,2.18397,2.433423,2.752,3.184227,3.63685,3.838636,4.015341,4.037283,3.885,4.247699,4.442709,4.830566,5.222137,6.034166,6.387287000000001,6.675789999999999,7.406000000000001,7.646337,7.452713,7.352,7.6955,8.0375,8.234625999999999,8.342246000000001,8.432127000000001,8.674004,8.292241,8.041335,7.743213000000001,8.478077,8.696587,9.266094,9.540956,9.470587,9.879057000000001,10.345999999999998,10.730131,10.705002,10.291777,10.267813,10.506522,10.831407,11.178033000000001,11.097108,10.606976,10.262713,9.6413,9.492422999999999,10.095085000000001,10.805989,11.05339,11.4985,12.17118,12.714455000000001,13.264384,13.535418,14.250429,17.062339,17.392075,16.836507,14.595828,13.64599
96-2800596,,,,,,,,,,,,,,0,0.6655479999999999,1.2463520000000001,1.446688,1.6441830000000002,1.946491,2.195944,2.514521,2.946748,3.400371,3.601157,3.7768620000000004,3.799804,3.648521,4.01122,4.20523,4.593087000000001,4.985658,5.796687,6.149808,6.438311,7.167521000000001,7.409859,7.2172339999999995,7.113521,7.456021000000001,7.799021000000001,7.997147,8.104766999999999,8.196648,8.438525,8.054762,7.803856,7.5057339999999995,8.239597999999999,8.459108,9.029615,9.304477,9.234108,9.642578,10.109521,10.495652,10.467523,10.054298,10.031334,10.270043,10.593928,10.939554,10.858628999999999,10.368497,10.025234,9.402821000000001,9.253944,9.858606,10.57151,10.816911,11.262021,11.933701,12.474976,13.027905,13.299939000000002,14.01295,16.82686,17.154595999999998,16.600028,14.357349,13.406512
97-2806215,,,,,,,,,,,,,,,0,0.580804,0.78114,0.978635,1.280943,1.530397,1.848973,2.2822009999999997,2.734823,2.935609,3.111314,3.40369,3.378027,3.740726,3.934736,4.322593,4.715164,5.604193,5.957314,6.245817,6.975027000000001,6.975636,6.551686,6.4489730000000005,6.791473,7.1334729999999995,7.3326,7.438219,7.5311,7.772977,7.862267999999999,7.611362,7.3132399999999995,8.048103999999999,8.266614,8.837121,9.112983,9.041614,9.450084,9.918027,10.303158,10.276029,9.862803999999999,9.83884,10.077549000000001,10.402434,10.71594,10.194082,9.702949,9.358686,8.735273,8.586396,9.193058,9.902961999999999,10.152363000000001,10.594472999999999,11.266153,11.810428,12.363357,12.634391,13.345401999999998,16.160312,16.490048,15.93348,13.691801000000002,12.739964
98-2807267,,,,,,,,,,,,,,,,0,0.200336,0.397831,0.7001390000000001,0.949593,1.26817,1.7003970000000002,2.153019,2.354805,2.53051,2.822886,3.0681689999999997,3.4308680000000003,3.624878,4.012735,4.4053059999999995,5.294335,5.647457,5.9359589999999995,6.565169,6.394832,5.969883,5.868169,6.20967,6.551669,6.751796000000001,6.857415,6.949296,7.191172999999999,7.552411,7.301505000000001,7.003382000000001,7.738246000000001,7.955756,8.526263,8.802126,8.731755999999999,9.140226,9.606169,9.9913,9.965171,9.552946,9.528983,9.766691,10.091576,10.135136,9.612278,9.123145,8.779882,8.155469,8.006592,8.612254,9.324158,9.571558999999999,10.015669,10.686349,11.229624000000001,11.781553,12.053587,12.765597999999999,15.579507999999999,15.908244,15.352676,13.110997,12.160160000000001
99-2804912,,,,,,,,,,,,,,,,,0,0.197495,0.499803,0.749257,1.067834,1.500061,1.9536830000000003,2.1544689999999997,2.3311740000000003,2.62355,2.867833,3.230532,3.4245419999999998,3.8123989999999996,4.204969999999999,5.093999,5.447121,5.734623,6.365833,6.194496,5.7705459999999995,5.668833,6.010333999999999,6.353333,6.55246,6.658078999999999,6.749960000000001,6.991836999999999,7.352075,7.1011679999999995,6.803046000000001,7.537910000000001,7.756419999999999,8.326927,8.60179,8.531419999999999,8.93989,9.406833,9.791964,9.765835000000001,9.35261,9.328647,9.567355000000001,9.89124,9.9358,9.412942,8.922808999999999,8.579546,7.955133,7.807256,8.411918,9.125822,9.371222999999999,9.816333,10.486013,11.030288,11.581217,11.852250999999999,12.565261999999999,15.379172,15.708908,15.15434,12.910661,11.961824
100-2800626,,,,,,,,,,,,,,,,,,0,0.30230799999999997,0.551762,0.870339,1.303566,1.756189,1.957975,2.13368,2.426056,2.670339,3.033038,3.227048,3.614904,4.0074760000000005,4.896504,5.249626,5.5381279999999995,6.168339,5.998001,5.574052,5.470339,5.814839,6.155839,6.354965,6.4615849999999995,6.553466,6.795342999999999,7.15458,6.9036740000000005,6.605552,7.339416,7.557925,8.128432,8.403295,8.333926,8.742395,9.209339,9.59247,9.56734,9.154115,9.130152,9.368861,9.693745,9.738305,9.215447,8.726315,8.382050999999999,7.759638000000001,7.610761,8.215423,8.928327000000001,9.174729,9.618839,10.288519,10.831793,11.384722,11.655756,12.367767,15.182676999999998,15.511413000000001,14.956845000000001,12.715166,11.764329
101-2800637,,,,,,,,,,,,,,,,,,,0,0.249454,0.5680310000000001,1.001258,1.453881,1.6556669999999998,1.8313720000000002,2.123748,2.3670310000000003,2.72973,2.92374,3.312596,3.704168,4.594196,4.946318,5.23482,5.865031,5.695693,5.269744,5.168031,5.510530999999999,5.853530999999999,6.051657,6.158277,6.250158,6.492035,6.852272,6.600366,6.302244,7.038108,7.255617,7.827124,8.101987,8.031618,8.439086999999999,8.907031,9.292162,9.266032000000001,8.852807,8.828844,9.066553,9.390437,9.435997,8.914139,8.424007000000001,8.079742999999999,7.45533,7.306453,7.911115,8.626019,8.872421000000001,9.315531,9.985211,10.529485000000001,11.082414,11.353448,12.064459,14.881369,15.209105,14.653537,12.411858,11.461021
102-2800647,,,,,,,,,,,,,,,,,,,,0,0.318577,0.750804,1.203427,1.4052129999999998,1.580918,1.8732939999999998,2.1175770000000003,2.480276,2.674286,3.0621419999999997,3.454714,4.343743,4.696864,4.985366,5.6165769999999995,5.447239,5.02229,4.919576999999999,5.262077,5.604076999999999,5.803203,5.909823,6.001704,6.243581,6.601818,6.350912,6.05279,6.7866539999999995,7.0051630000000005,7.575671000000001,7.850533,7.7811639999999995,8.188633,8.656577,9.040708,9.014578,8.601353,8.57739,8.816099000000001,9.140983,9.187544,8.664685,8.174553,7.831289,7.207876,7.059,7.6636619999999995,8.376565,8.622967,9.067077000000001,9.737757,10.281031,10.833961,11.104994,11.817005,14.631915,14.960651,14.405084,12.163404,11.212567
