순번_정류장ID,40-2802708,41-2802731,42-2802755,43-2802776,44-2802813,45-2802853,46-2802903,47-2802942,48-2802439,49-2802449,50-2802370,51-2802459,52-2802473,53-2802495,54-2802517,55-2802506,56-2802514,57-2802522,58-2802375,59-2802504,60-2806677,61-2806675,62-2802558,63-2802569,64-2802560,65-2802555,66-2802556,67-2802553,68-2802543,69-2802537,70-2802364,71-2802544,72-2802548,73-2802365,74-2802570,75-2802571,76-2802576,77-2802578,78-2802585,79-2802374
50-2802370,,,,,,,,,,,0,0.357939,0.876554,1.138235,1.328392,1.483755,1.5997940000000002,1.804532,2.1806200000000002,2.068685,2.5850779999999998,2.306858,2.695061,2.857116,2.180729,2.112419,2.421,2.65198,2.3262419999999997,2.2336400000000003,2.458037,2.770046,2.980123,3.605836,3.489099,3.3962730000000003,3.6713379999999995,3.668906,3.5407480000000002,3.7465410000000006
51-2802459,,,,,,,,,,,,0,0.518616,0.780297,0.970454,1.125816,1.241855,1.4465940000000002,1.822682,1.711746,2.22614,1.94892,2.337123,3.018946,2.533668,2.465357,2.7739380000000002,3.003919,2.67918,2.586579,2.810975,3.122984,3.3330620000000004,3.958774,3.8420370000000004,3.7492120000000004,4.024277,4.021845,3.8936870000000003,4.099480000000001
52-2802473,,,,,,,,,,,,,0,0.261681,0.451838,0.607201,0.72324,0.9279780000000001,1.304066,1.192131,1.7075240000000003,1.430304,1.8185069999999999,2.50033,3.052283,2.984973,3.293554,3.5245339999999996,3.1987959999999998,3.106194,3.329591,3.6426,3.8526769999999995,4.47839,4.361653,4.268827,4.543892,4.54146,4.4123019999999995,4.618094999999999
53-2802495,,,,,,,,,,,,,,0,0.190157,0.45481400000000005,0.616559,0.8212969999999999,1.1973850000000001,1.2201170000000001,1.699843,1.168623,1.556826,2.238649,2.911036,3.245654,3.554235,3.785215,3.4594769999999997,3.3668760000000004,3.591272,3.903281,4.113358,4.739071,4.6223339999999995,4.529509,4.804573,4.802142,4.673983,4.879776000000001
54-2802517,,,,,,,,,,,,,,,0,0.26465700000000003,0.42640200000000006,0.631141,1.0072290000000002,1.206293,1.509686,0.978466,1.3666690000000001,2.048492,2.720879,3.05983,3.368411,3.899629,3.649634,3.558032,3.782429,4.093438,4.304515,4.790773000000001,4.50751,4.4146849999999995,4.689749,4.616318,4.488159,4.6939519999999995
55-2802506,,,,,,,,,,,,,,,,0,0.161745,0.36648400000000003,0.742572,0.9416370000000001,1.2450299999999999,1.134104,1.522307,2.20413,2.8765169999999998,3.215467,3.5240480000000005,4.0552660000000005,3.805996,3.713395,3.9377910000000003,4.2498,4.459878,4.94641,4.663147,4.570322,4.8453870000000006,4.771955,4.643797,4.84959
56-2802514,,,,,,,,,,,,,,,,,0,0.204739,0.5808270000000001,0.885892,1.083285,1.102065,1.490268,2.172091,2.844478,3.1834290000000003,3.49201,4.023226999999999,3.921035,3.8294339999999996,4.05283,4.365839,4.574917,4.9153709999999995,4.631108,4.538283,4.813348,4.739916,4.611758,4.817551
57-2802522,,,,,,,,,,,,,,,,,,0,0.37608800000000003,0.681153,0.8785459999999999,0.8963260000000001,1.284529,1.966352,2.6387389999999997,2.97769,3.2862709999999997,3.8174879999999995,4.126774,4.034173,4.2585690000000005,4.570578,4.780655,4.709633,4.42537,4.332544,4.607609,4.534177,4.406019000000001,4.6118120000000005
58-2802375,,,,,,,,,,,,,,,,,,,0,0.30506500000000003,0.558458,0.637675,1.025878,1.707701,2.380089,2.719039,3.02762,3.5588379999999997,3.884576,4.118261,4.342657,4.654666000000001,4.864743,4.449982,4.1667190000000005,4.073894,4.3489580000000005,4.275526999999999,4.147368,4.353161
59-2802504,,,,,,,,,,,,,,,,,,,,0,0.581041,0.9427399999999999,1.330943,2.012766,2.6851529999999997,3.024104,3.3326849999999997,3.8639019999999995,4.18864,4.298325,4.5217220000000005,4.833730999999999,5.044808,4.7560459999999996,4.471783,4.378958,4.6540230000000005,4.580591,4.452433,4.658226
60-2806677,,,,,,,,,,,,,,,,,,,,,0,0.59622,1.2603360000000001,1.942159,2.614546,2.953497,3.262078,3.7932949999999996,4.119034,4.351718,4.577115,4.8881239999999995,5.098201,4.68544,4.401177,4.308351,4.583416000000001,4.509983999999999,4.381826,4.587619
61-2806675,,,,,,,,,,,,,,,,,,,,,,0,0.6701159999999999,1.351939,2.024326,2.363277,2.6718580000000003,3.203075,3.528814,3.7614989999999997,3.9868949999999996,4.297904,4.507981,4.095219999999999,3.810957,3.7181309999999996,3.9931959999999997,3.919765,3.791606,3.9973989999999997
62-2802558,,,,,,,,,,,,,,,,,,,,,,,0,0.681823,1.3542100000000001,1.6931610000000001,2.0017419999999997,2.532959,2.857698,3.092382,3.316779,3.627788,3.8378650000000003,3.425104,3.140841,3.0480150000000004,3.3230800000000005,3.249648,3.12149,3.327283
63-2802569,,,,,,,,,,,,,,,,,,,,,,,,0,0.676387,1.0153379999999999,1.323919,1.8551360000000001,2.180875,2.4135590000000002,2.637956,2.950965,3.160042,2.747281,2.463018,2.370192,2.645257,2.571825,2.443667,2.64946
64-2802560,,,,,,,,,,,,,,,,,,,,,,,,,0,0.338951,0.647532,1.17875,1.503488,1.7371729999999999,1.961569,2.273578,2.4836549999999997,2.070894,1.786631,1.6938060000000001,1.9688700000000001,1.8954389999999999,1.76728,1.9730729999999999
65-2802555,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.308581,0.839799,1.165537,1.3982219999999999,1.6226180000000001,1.934627,2.144705,1.7309430000000001,1.4476799999999999,1.354855,1.62992,1.5564879999999999,1.4283299999999999,1.634123
