순번_정류장ID,1-2801245,2-2801244,3-2805070,4-2801261,5-2801267,6-2801193,7-2801278,8-2801295,9-2801309,10-2801329,11-2801335,12-2800209,13-2800204,14-2800201,15-2800197,16-2800199,17-2800175,18-2800213,19-2800220,20-2800231,21-2806091,22-2806779,23-2807641,24-2801697,25-2801724,26-2801915,27-2801923,28-2801926,29-2801922,30-2805271,31-2805273,32-2805275,33-2805278,34-2801967,35-2801973,36-2801984,37-2802009,38-2802037,39-2802075,40-2802124,41-2802114,42-2802097,43-2802088,44-2802081,45-2802066
11-2801335,,,,,,,,,,,0,0.43322299999999997,1.0797290000000002,1.3103040000000001,1.9528740000000002,2.350227,2.281352,2.42009,2.910344,3.141856,3.372706,3.0844709999999997,3.405514,4.303652,4.851209,6.020417,6.7923089999999995,6.917006,7.285386999999999,7.703742999999999,7.470397,7.349913000000001,7.069628999999999,6.906975999999999,6.596645,6.433489,6.639738,6.852161,7.218752,7.867481,8.214053999999999,8.772685000000001,8.677567,8.573355000000001,8.256910000000001
12-2800209,,,,,,,,,,,,0,0.644506,0.876081,1.517651,1.9150040000000002,1.8461299999999998,1.9848669999999997,2.4751220000000003,2.706633,3.0887830000000003,3.042982,2.970291,4.262163,4.8097199999999996,5.585195,6.357086,6.481783999999999,6.850164,7.26852,7.435619,7.317135,7.035852,6.871198,6.5618669999999995,6.3987110000000005,6.604961,6.818384,7.183974,7.832704,8.179276,8.499092999999998,8.270056,8.138133,7.821687
13-2800204,,,,,,,,,,,,,0,0.243575,0.8851450000000001,1.282498,1.213623,1.3523610000000001,1.843616,2.074127,2.456277,2.7455119999999997,2.337785,3.9114230000000005,4.45898,5.547435,6.319326,6.444024,6.812403999999999,7.230760000000001,7.493621000000001,7.616105,7.680358,7.516705,7.208373,7.043216999999999,7.249467,7.463889999999999,7.82848,8.47821,8.824783,8.461333,8.232296,8.100372,7.783927
14-2800201,,,,,,,,,,,,,,0,0.641571,1.038923,0.9700489999999999,1.108786,1.599041,1.8305529999999999,2.212702,2.501937,2.09421,3.667849,4.2154050000000005,5.542114,6.314005,6.438703,6.807084,7.225439,7.4883,7.610784,7.890067999999999,7.748278999999999,7.439947999999999,7.273792,7.482042,7.694464999999999,8.061055,8.709785,9.014643,8.456012,8.226975,8.095052,7.778607000000001
15-2800197,,,,,,,,,,,,,,,0,0.397353,0.660486,0.988252,1.478507,1.710018,2.092168,2.3814029999999997,1.9736759999999998,3.547314,4.0948709999999995,5.4215800000000005,6.193471,6.318169,6.686549,7.1049050000000005,7.3677660000000005,7.49025,7.769533999999999,7.938186999999999,7.910017999999999,7.745862,7.953112,8.166535000000001,8.532125,9.180855000000001,8.894109,8.335478,8.106441,7.974517,7.658072
16-2800199,,,,,,,,,,,,,,,,0,0.263133,0.9718629999999999,1.462118,1.5451290000000002,1.9272790000000002,2.216514,1.808787,3.382425,3.929982,5.256691,6.028582,6.1532800000000005,6.52166,6.940016,7.202877,7.325361,7.604645,7.773298,7.7451289999999995,7.580972999999999,7.787223,8.001646000000001,8.366236,9.014966000000001,8.72922,8.170589,7.941552000000001,7.809628999999999,7.493183
17-2800175,,,,,,,,,,,,,,,,,0,0.70873,1.198985,1.430496,1.812646,2.101881,1.6941540000000002,3.267792,3.815349,5.1420580000000005,5.913949,6.038647,6.4070279999999995,6.825383,7.088244,7.210728,7.490011999999999,7.658664999999999,7.630496000000001,7.46634,7.67259,7.888013000000001,8.252604,8.901333000000001,8.614587,8.055956,7.826919,7.694996000000001,7.37855
18-2800213,,,,,,,,,,,,,,,,,,0,0.491255,0.722767,1.104916,1.394152,0.986425,2.560063,3.1076189999999997,4.434328,5.206219,5.3309169999999995,5.699298000000001,6.117653,6.380514,6.502998000000001,6.782282,6.9509360000000004,6.923767,6.7596110000000005,6.96586,7.180283,7.544874,8.192603,7.9068570000000005,7.3482259999999995,7.1191889999999995,6.987266,6.670821000000001
19-2800220,,,,,,,,,,,,,,,,,,,0,0.232512,0.614662,0.903897,0.49617,2.069808,2.617365,3.9440739999999996,4.715965,4.840663,5.209043,5.627399,5.89026,6.0127440000000005,6.292027,6.460681,6.433512,6.269356,6.475606,6.690028999999999,7.054619000000001,7.703349,7.416603,6.857972,6.628935,6.497011,6.180566000000001
20-2800231,,,,,,,,,,,,,,,,,,,,0,0.38315,0.672385,0.264658,1.838296,2.385853,3.712562,4.484453,4.609151,4.977531,5.395887,5.658748,5.781232,6.060516000000001,6.229169000000001,6.2010000000000005,6.036844,6.243094,6.457517,6.822107000000001,7.4708369999999995,7.185091000000001,6.626460000000001,6.397423000000001,6.265499,5.949054
21-2806091,,,,,,,,,,,,,,,,,,,,,0,0.28923499999999996,0.352808,1.580446,2.128002,3.454711,4.226603,4.3513,4.719681,5.138037000000001,5.400898000000001,5.523382,5.802665,5.971319,5.94315,5.779994,5.985244000000001,6.200667,6.565257000000001,7.213986,6.927239999999999,6.368608999999999,6.139572,6.007649,5.691204
22-2806779,,,,,,,,,,,,,,,,,,,,,,0,0.527957,1.8696810000000001,2.417238,3.743947,4.515838,4.640536,5.008916,5.427272,5.690133,5.8126169999999995,6.0919,6.134447,5.826115,5.6619589999999995,5.868208999999999,6.082632,6.447222,7.0959520000000005,7.216475999999999,6.657845,6.428808,6.2968839999999995,5.980439
23-2807641,,,,,,,,,,,,,,,,,,,,,,,0,1.807954,2.355511,3.6822199999999996,4.454111,4.578809,4.947189,5.365545,5.628406,5.75089,6.0301730000000004,6.198827,6.171658,6.007502,6.2137519999999995,6.428175,6.792764999999999,7.440494999999999,7.154749000000001,6.596118,6.367081,6.235157,5.918712
24-2801697,,,,,,,,,,,,,,,,,,,,,,,,0,0.548557,1.8752659999999999,2.647157,2.771855,3.1402349999999997,3.5585910000000003,3.821452,3.943936,4.223219,4.391873,4.696204,5.033048,5.239298000000001,5.453721,5.8183110000000005,5.694368,5.347795,4.7891639999999995,4.560127,4.428203,4.111758
25-2801724,,,,,,,,,,,,,,,,,,,,,,,,,0,1.326709,2.0986,2.2232979999999998,2.591679,3.010034,3.272895,3.395379,3.674663,3.843316,4.147648,4.4844919999999995,4.690741,4.905164,5.269755,5.145811,4.799238,4.240607,4.01157,3.8796470000000003,3.5632019999999995
26-2801915,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.771891,0.896589,1.2649700000000001,1.683325,1.946186,2.06867,2.347954,2.516608,2.820939,3.1577830000000002,3.364032,3.5784559999999996,3.943046,4.080225,3.7336519999999997,3.175021,2.945984,2.814061,2.497616
27-2801923,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.124698,0.493079,0.911434,1.174295,1.2967790000000001,1.576063,1.744716,2.049048,2.3858919999999997,2.592141,2.806564,3.1711549999999997,3.8198839999999996,3.5346379999999997,2.976007,2.74697,2.7930479999999998,3.1094939999999998
28-2801926,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.368381,0.786736,1.049597,1.172081,1.451365,1.620019,1.92435,2.2611939999999997,2.467443,2.681866,3.046457,3.695186,3.40994,2.851309,2.622272,2.66835,2.984796
29-2801922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.42035600000000006,0.683217,0.805701,1.084984,1.253638,1.5579690000000002,1.894813,2.101063,2.315486,2.6800759999999997,3.3288059999999997,3.04356,2.484929,2.255892,2.3019700000000003,2.618415
