순번_정류장ID,1-2806962,2-2806940,3-2806941,4-2806942,5-2806943,6-2806944,7-2807134,8-2806945,9-2807161,10-2807162,11-2807163,12-2806957,13-2807146,14-2807164,15-2807159,16-2807160,17-2807158,18-2807165,19-2807135,20-2806946,21-2807137,22-2806947,23-2806948,24-2806949,25-2807147,26-2807148,27-2807149,28-2806951,29-2807138,30-2806973,31-2807139,32-2807409,33-2807123,34-2807121,35-2806979,36-2807407,37-2806980,38-2806981,39-2806982,40-2806983,41-2806984,42-2806985,43-2807003,44-2806986,45-2807294,46-2807295,47-2807411,48-2807002,49-2806989,50-2806991,51-2807000,52-2806992,53-2806993,54-2806995,55-2806997,56-2806998,57-2806999,58-2807001,59-2807002,60-2806989,61-2807296,62-2807412,63-2807297,64-2807298,65-2806964,66-2806987,67-2806965,68-2806966,69-2806967,70-2806968
11-2807163,,,,,,,,,,,0,0.47491700000000003,1.714188,0.511278,0.9992219999999999,1.489682,1.559803,1.289613,1.298711,1.705571,1.9400220000000001,2.2393970000000003,2.5405189999999997,3.90081,4.461762,5.3089699999999995,5.562746,5.973566,6.242463,7.21497,7.540831,8.000182,8.463946,8.598945,9.202816,9.914581,10.54123,10.85625,10.729714,10.485565,9.957997,9.709164999999999,9.020684,8.658011,9.149742999999999,9.562686,11.713322,12.172716000000001,13.135812,12.582667,13.022706,13.534695999999999,13.912023000000001,15.336812,13.920398,13.523682,13.011894,12.57681,12.172716000000001,13.135812,12.109283999999999,11.649646,9.554215,9.143529,8.665302,9.035042,9.719643,9.941685000000001,10.498535,10.744241
12-2806957,,,,,,,,,,,,0,1.239272,0.036361000000000004,0.524306,1.014766,1.496281,1.764529,1.773628,2.180487,2.4149380000000003,2.713314,3.0154360000000002,4.375726,4.935678,5.782886,6.036662000000001,6.447483,6.716378999999999,7.688886999999999,8.015747,8.474099,8.938863000000001,9.073862,9.676732000000001,10.388498,11.015147,11.331166,11.204631,10.960481,10.432914,10.184082,9.495600999999999,9.132928,9.624659,10.037602,12.188238,12.646633,13.609729000000002,13.056583,13.496623000000001,14.008612,14.385939000000002,15.810729,14.394314999999999,13.997598000000002,13.485810999999998,13.050726,12.646633,13.609729000000002,12.5842,12.124563,10.029132,9.618446,9.140217999999999,9.509959,10.194560000000001,10.416601,10.973452,11.219157000000001
13-2807146,,,,,,,,,,,,,0,1.25109,1.739034,2.229494,2.7110090000000002,2.9812,3.0119,3.4187589999999997,3.65321,3.9515849999999997,4.2537080000000005,5.6139980000000005,6.17395,7.021158,7.274934,7.685753999999999,7.954650999999999,8.927159,9.254019,9.712371000000001,10.177133999999999,10.312133,10.915004,11.626769,12.253419000000001,12.569438,12.442903,12.198753,11.671186,11.422353,10.733872999999999,10.3712,10.862931,11.275874,13.42651,13.885905,14.848001000000002,14.295855,14.734895000000002,15.246884,15.625210999999998,17.05,15.633586,15.236870000000001,14.724082999999998,14.289998,13.885905,14.848001000000002,13.822472,13.362835,11.267403999999999,10.856717999999999,10.37849,10.748231,11.432832000000001,11.654873,12.211724,12.457429
14-2807164,,,,,,,,,,,,,,0,0.48794499999999996,0.978405,1.45992,1.7301099999999998,1.7608099999999998,2.16767,2.4021209999999997,2.700496,3.002618,4.362908,4.92286,5.770068,6.023844,6.434665,6.703562,7.676069,8.002929,8.461281,8.926045,9.061044,9.663914,10.375680000000001,11.002329,11.318349000000001,11.191813,10.947664,10.420096000000001,10.171264,9.482783,9.12011,9.611842,10.024785000000001,12.175421,12.634815,13.597910999999998,13.043766,13.483804999999998,13.995795000000001,14.373122,15.797911,14.381497,13.985781,13.473993,13.038908000000001,12.634815,13.597910999999998,12.571383,12.111744999999999,10.016314,9.605628,9.127400999999999,9.497141000000001,10.181742,10.403783,10.960633999999999,11.206339999999999
15-2807159,,,,,,,,,,,,,,,0,0.49046000000000006,0.971975,1.2421659999999999,1.272866,1.679725,1.9141759999999999,2.212551,2.514673,3.8759639999999997,4.434916,5.283124,5.5369,5.94672,6.215617,7.188125,7.514985,7.974336,8.4391,8.573099000000001,9.176969999999999,9.887735000000001,10.514385,10.830404,10.703869000000001,10.459719,9.932152,9.683319000000001,8.994839,8.632166,9.123897,9.53684,11.687476,12.145871000000001,13.109966,12.555821,12.996861,13.50885,13.886176999999998,15.310966,13.894552,13.496835999999998,12.985047999999999,12.550964,12.145871000000001,13.109966,12.083438000000001,11.623801,9.528369,9.117683999999999,8.639456,9.009197,9.693798,9.915839,10.47269,10.718395
16-2807160,,,,,,,,,,,,,,,,0,0.48151499999999997,0.751706,0.782406,1.189265,1.423716,1.723091,2.024213,3.384504,3.9444559999999997,4.791664,5.04544,5.45726,5.726157,6.698664,7.025525,7.4838759999999995,7.94764,8.083639,8.68651,9.398275,10.024925,10.340944,10.213408,9.969259,9.441692,9.192859,8.504377999999999,8.141706,8.633436999999999,9.046380000000001,11.197016,11.656410000000001,12.619506,12.065361,12.5054,13.017389999999999,13.395717000000001,14.819506,13.403092000000001,13.006376,12.494588,12.060504,11.656410000000001,12.619506,11.592978,11.133341,9.037908999999999,8.627224,8.148996,8.518736,9.203337,9.425379,9.982229,10.227935
17-2807158,,,,,,,,,,,,,,,,,0,0.27019,0.30089099999999996,0.70775,0.9422010000000001,1.241576,1.543698,2.903989,3.463941,4.3111489999999995,4.564925,4.975745,5.244642,6.216149,6.54401,7.0023610000000005,7.467125,7.601124,8.204995,8.91676,9.54341,9.859428999999999,9.731893,9.487744000000001,8.960177,8.711344,8.022863000000001,7.660191,8.151922,8.564865,10.715501,11.174895,12.136991,11.583846000000001,12.023885,12.535875,12.913202,14.337991,12.922577,12.524861,12.014073,11.578989,11.174895,12.136991,11.111463,10.651826,8.556394000000001,8.145709,7.6674809999999995,8.037221,8.721822,8.943864,9.500714,9.74642
18-2807165,,,,,,,,,,,,,,,,,,0,0.0307,0.43755900000000003,0.6720109999999999,0.9713860000000001,1.273508,2.633798,3.19375,4.040958,4.294734,4.705555,4.974451999999999,5.946959,6.2738190000000005,6.732171000000001,7.196935000000001,7.3319339999999995,7.934804,8.64657,9.273219000000001,9.589238,9.461703,9.217554,8.689986,8.441154,7.752673,7.39,7.881732,8.294675,10.445311,10.903705,11.866800999999999,11.313656,11.753695,12.265685000000001,12.643011999999999,14.067801000000001,12.651387,12.254671,11.742883,11.307798,10.903705,11.866800999999999,10.841273,10.381635000000001,8.286204,7.875518,7.397289999999999,7.767030999999999,8.451632,8.673672999999999,9.230524,9.476230000000001
19-2807135,,,,,,,,,,,,,,,,,,,0,0.406859,0.641311,0.940686,1.242808,2.603098,3.16305,4.010258,4.264034,4.674855,4.943752,5.916258999999999,6.243119,6.701471000000001,7.166235,7.301234,7.904103999999999,8.61587,9.242519,9.558539,9.470802,9.226653,8.699085,8.450253,7.761772000000001,7.3990990000000005,7.89083,8.303774,10.454409,10.913803999999999,11.8769,11.323755,11.763794,12.275783,12.653111,14.0779,12.661486,12.26477,11.752982000000001,11.317897,10.913803999999999,11.8769,10.850372,10.390734,8.295303,7.8846169999999995,7.406389,7.77613,8.460731,8.682772,9.239623,9.485329
20-2806946,,,,,,,,,,,,,,,,,,,,0,0.23445100000000002,0.533827,0.8359489999999999,2.196239,2.756191,3.6033989999999996,3.857175,4.267995,4.536892,5.5094,5.83626,6.294612,6.759376,6.894375,7.4972449999999995,8.209011,8.83566,9.151679,9.495339,9.633512,9.105944000000001,8.857111999999999,8.168631,7.805958,8.29769,8.710633,10.861269,11.320663,12.282759,11.730614,12.170653,12.682642999999999,13.05897,14.484759,13.068344999999999,12.670629,12.158841,11.723757,11.320663,12.282759,11.257230999999999,10.797592999999999,8.702162,8.291476,7.813249000000001,8.182989,8.86759,9.089632,9.646482,9.481813
