순번_정류장ID,1-2806423,2-2806421,3-2807340,4-2806518,5-2806516,6-2805650,7-2806076,8-2806907,9-2805881,10-2805657,11-2805658,12-2802147,13-2801897,14-2801895,15-2802108,16-2801822,17-2802019,18-2801998,19-2801981,20-2801879,21-2801856,22-2801959,23-2801976,24-2801880,25-2802017,26-2802049,27-2804800,28-2802084,29-2802061,30-2802077,31-2802090,32-2802083,33-2802070,34-2802055,35-2802063,36-2802086,37-2806708,38-2802099,39-2802119,40-2802103,41-2802052,42-2805597,43-2801952,44-2801176
11-2805658,,,,,,,,,,,0,0.33678600000000003,0.611557,0.781918,1.029733,1.359348,2.061413,2.284119,2.404058,2.6157880000000002,2.823568,2.719391,2.451393,2.211623,2.061619,1.903001,2.221654,2.431339,3.106619,3.388035,3.4495709999999997,3.8063010000000004,3.8852629999999997,4.083089,4.315531,4.79761,5.093008,5.305911,5.769939,6.118983999999999,6.161521,6.350733999999999,6.566085,7.146514999999999
12-2802147,,,,,,,,,,,,0,0.278771,0.449132,0.696947,1.026562,1.7286270000000001,1.9513330000000002,2.071272,2.284002,2.490783,2.386605,2.118607,1.8788369999999999,1.728833,1.570216,1.888868,2.098553,2.773834,3.0552490000000003,3.153785,3.5105150000000003,3.5894769999999996,3.787303,4.0197449999999995,4.501824,4.7972220000000005,5.010125,5.474153,5.8231980000000005,5.828735,6.0179480000000005,6.233299,6.8137289999999995
13-2801897,,,,,,,,,,,,,0,0.17036099999999998,0.41817600000000005,0.747792,1.449856,1.672563,1.792502,2.005231,2.213012,2.108835,1.839837,1.600066,1.4500629999999999,1.2914450000000002,1.610097,1.819782,2.495063,2.776478,2.8750139999999997,3.231745,3.3107059999999997,3.5085319999999998,3.7409739999999996,4.223053,4.518451,4.731355000000001,5.1953830000000005,5.544427,5.549964,5.739178,5.954529,6.5349580000000005
14-2801895,,,,,,,,,,,,,,0,0.248815,0.57843,1.2804950000000002,1.503201,1.62314,1.8358700000000001,2.0436509999999997,1.939473,1.670475,1.430705,1.280701,1.122083,1.440736,1.650421,2.325701,2.6071169999999997,2.705653,3.062383,3.1413450000000003,3.339171,3.5716129999999997,4.053692,4.34909,4.561993,5.026021,5.375066,5.380603,5.569816,5.7851669999999995,6.365597
15-2802108,,,,,,,,,,,,,,,0,0.329615,1.03168,1.254386,1.374325,1.586055,1.793836,1.689658,1.4216600000000001,1.1818899999999999,1.031886,0.8732690000000001,1.191921,1.401606,2.0768869999999997,2.358302,2.4568380000000003,2.813568,2.89253,3.0903560000000003,3.322798,3.804877,4.100275,4.313178,4.777206,5.126251,5.131787999999999,5.321001,5.536352,6.116782
16-2801822,,,,,,,,,,,,,,,,0,0.7020649999999999,0.9247709999999999,1.04471,1.25644,1.46422,1.3600430000000001,1.0920450000000002,0.852275,0.702271,0.5436529999999999,0.8623059999999999,1.071991,1.747271,2.0286869999999997,2.127223,2.483953,2.5629150000000003,2.760741,2.993183,3.4752620000000003,3.77066,3.9835629999999997,4.447591,4.796636,4.802173000000001,4.991386,5.206737,5.787167
17-2802019,,,,,,,,,,,,,,,,,0,0.22270700000000002,0.342646,0.555375,0.7631560000000001,0.658979,0.389981,0.15020999999999998,0.147207,0.366176,0.684828,0.8945129999999999,1.273207,1.554622,1.8291580000000003,2.185889,2.23985,2.4376759999999997,2.670118,3.152197,3.4475949999999997,3.6604989999999997,4.124527,4.164843,4.1001080000000005,4.289322,4.504673,5.085102
18-2801998,,,,,,,,,,,,,,,,,,0,0.119939,0.331669,0.539449,0.43527200000000005,0.167274,0.227503,0.2245,0.588882,0.9075340000000001,1.11722,1.3505,1.631916,1.906452,2.263182,2.317144,2.51497,2.7474119999999997,3.229491,3.524889,3.737792,4.20182,4.242136,4.177401000000001,4.366615,4.581966,5.162396
19-2801981,,,,,,,,,,,,,,,,,,,0,0.21273000000000003,0.42051000000000005,0.316333,0.047335,0.27355799999999997,0.344439,0.708821,1.0274729999999999,1.237158,1.470439,1.751854,2.026391,2.383121,2.437082,2.634909,2.8673509999999998,3.3494300000000004,3.644828,3.857731,4.321758999999999,4.362075,4.29734,4.486554,4.701905,5.282334
20-2801879,,,,,,,,,,,,,,,,,,,,0,0.207781,0.17894100000000002,0.16539500000000001,0.42516499999999996,0.5561689999999999,0.920551,1.239203,1.448888,1.6821689999999998,1.963584,2.23812,2.59485,2.648812,2.846638,3.07908,3.5611589999999995,3.856557,4.069461,4.533489,4.573805,4.5090699999999995,4.698283999999999,4.913634,5.494064
21-2801856,,,,,,,,,,,,,,,,,,,,,0,0.206279,0.373175,0.633946,0.764949,1.1293309999999999,1.447983,1.6576689999999998,1.8909490000000002,2.172365,2.446901,2.803631,2.857593,3.0554189999999997,3.287861,3.76994,4.065338,4.278241,4.742269,4.782585,4.71785,4.907064,5.122415,5.702845
22-2801959,,,,,,,,,,,,,,,,,,,,,,0,0.268998,0.5297689999999999,0.660772,1.0251540000000001,1.343806,1.553491,1.786772,2.068188,2.342724,2.6994540000000002,2.753416,2.9512419999999997,3.183684,3.6657629999999997,3.961161,4.1740639999999996,4.638091999999999,4.678408,4.613673,4.802887,5.018237999999999,5.598668
23-2801976,,,,,,,,,,,,,,,,,,,,,,,0,0.26077100000000003,0.39177399999999996,0.756156,1.074808,1.284493,1.517774,1.79919,2.0737259999999997,2.430456,2.4844180000000002,2.682244,2.914686,3.3967650000000003,3.692163,3.905066,4.3690940000000005,4.40941,4.344675,4.533889,4.74924,5.32967
24-2801880,,,,,,,,,,,,,,,,,,,,,,,,0,0.152003,0.516386,0.835038,1.0447229999999998,1.2780040000000001,1.559419,1.833955,2.1906849999999998,2.244647,2.442473,2.674915,3.156994,3.4523919999999997,3.6652949999999995,4.129323,4.169639,4.1049050000000005,4.294118,4.509469,5.089899
25-2802017,,,,,,,,,,,,,,,,,,,,,,,,,0,0.36638200000000004,0.685034,0.8947200000000001,1.275,1.556416,1.8309520000000001,2.187682,2.241644,2.43947,2.671912,3.153991,3.449389,3.662292,4.12632,4.1666360000000005,4.101901,4.2911150000000005,4.5064660000000005,5.086896
26-2802049,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.318652,0.528338,1.207618,1.489034,1.5875700000000001,1.9443,2.023262,2.221088,2.4535299999999998,2.935609,3.231007,3.44391,3.9079379999999997,4.256982,4.466283,4.655497,4.8708480000000005,5.451278
27-2804800,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.20968499999999998,0.888966,1.170381,1.268917,1.625648,1.704609,1.9024349999999999,2.134877,2.6169569999999998,2.912354,3.125258,3.589286,3.93833,4.368867,4.594081,4.809432,5.389861
28-2802084,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.679281,0.9606959999999999,1.059233,1.4159629999999999,1.494924,1.69275,1.925193,2.4072720000000003,2.7026689999999998,2.9155729999999997,3.379601,3.7286449999999998,4.159182,4.384396,4.599747,5.180176
29-2802061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.283416,0.557952,0.914682,0.9936440000000001,1.19147,1.423912,1.905991,2.201389,2.4142919999999997,2.87832,3.2273650000000003,3.6579010000000003,3.883115,4.098466,4.678896
30-2802077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.275536,0.632266,0.711228,0.9090540000000001,1.1414959999999998,1.623575,1.918973,2.1318770000000002,2.595905,2.9449490000000003,3.375486,3.6007,3.81605,4.39648
31-2802090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.35673,0.451692,0.649518,0.8819600000000001,1.364039,1.652437,1.865341,2.329369,2.678413,3.10895,3.4321639999999998,3.877418,4.457847
32-2802083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.095962,0.293788,0.52623,1.0083090000000001,1.303707,1.51661,1.9806380000000001,2.329683,2.76022,3.0834330000000003,3.6017839999999994,4.182214
33-2802070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.197826,0.43026800000000004,0.9123469999999999,1.207745,1.420648,1.884677,2.233721,2.6642580000000002,2.9874709999999998,3.505822,4.086252
34-2802055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.232442,0.714521,1.009919,1.2228219999999999,1.68685,2.035895,2.466432,2.789645,3.3079959999999997,3.8884260000000004
35-2802063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.482079,0.7774770000000001,0.9903799999999999,1.454408,1.803453,2.2339900000000004,2.557203,3.075554,3.6559839999999997
36-2802086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.295398,0.508301,0.9723299999999999,1.321374,1.751911,2.075124,2.593475,3.173905
37-2806708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.212904,0.676932,1.025976,1.500513,1.823727,2.527854,3.108284
38-2802099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.464028,0.813072,1.287609,1.610823,2.360174,2.9586040000000002
39-2802119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.350044,0.8255809999999999,1.148795,1.8981459999999999,2.4965759999999997
40-2802103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.475537,0.798751,1.548102,2.146532
41-2802052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.323214,1.072565,1.670995
42-2805597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.749351,1.347781
43-2801952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.59843
44-2801176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
