순번_정류장ID,1-2805726,2-2805739,3-2800372,4-2800317,5-2805949,6-2800371,7-2803055,8-2802647,9-2802648,10-2802649,11-2803050,12-2800814,13-2800793,14-2800785,15-2800766,16-2800748,17-2800721,18-2800697,19-2801603,20-2801583,21-2801565,22-2801546,23-2801527,24-2801514,25-2801509,26-2801497,27-2801482,28-2801492,29-2801524,30-2801602,31-2806837,32-2801647,33-2801634,34-2801686,35-2801182,36-2805798,37-2805799,38-2805800,39-2805801,40-2807214,41-2804429,42-2804431,43-2800165,44-2803661,45-2801697,46-2801724,47-2801915,48-2801923,49-2801926,50-2801922,51-2805271,52-2805273,53-2805275,54-2805278,55-2801967,56-2801973,57-2801984,58-2802009,59-2802047,60-2802054,61-2802098,62-2802129,63-2802158,64-2802168,65-2802175,66-2801848,67-2802825,68-2802870,69-2802906
25-2801509,,,,,,,,,,,,,,,,,,,,,,,,,0,0.307195,0.730175,1.046507,1.349691,1.817102,2.060768,2.4325,2.531202,3.245993,3.445264,3.8827059999999998,4.125136,4.270862999999999,4.432824,4.653032,4.504592,4.247621,5.208908,4.966228,5.5702620000000005,6.117818,7.444527000000001,8.216419,8.154314999999999,7.787935000000001,7.369578999999999,7.104717999999999,6.985233999999999,6.70295,6.539297,6.2309660000000004,6.06681,6.27306,6.642327000000001,6.505685,6.2130160000000005,6.586448,7.115719,7.431805000000001,7.775106,8.054466,8.324239,8.641636,9.145234
26-2801497,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.42298,0.739312,1.042497,1.5099069999999999,1.753573,2.126306,2.224007,2.938799,3.13807,3.575511,3.817942,3.9636690000000003,4.125629,4.345837,4.197398000000001,3.940426,4.901714,4.659033999999999,5.2630669999999995,5.810624,7.137333,7.909224000000001,7.8471210000000005,7.480739999999999,7.062384,6.797524,6.678039999999999,6.3957559999999996,6.2321029999999995,5.923771,5.759615,5.965865,6.335132,6.1984900000000005,5.905822,6.279253,6.808525,7.123611,7.467911999999999,7.7472710000000005,8.016045,8.334442,8.863971000000001
27-2801482,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.318332,0.621517,1.088927,1.333593,1.7043259999999998,1.803027,2.517819,2.7170900000000002,3.154531,3.3969620000000003,3.5426889999999998,3.704649,3.924857,3.776418,3.519446,4.480734,4.238054,4.842087,5.3896440000000005,6.716353,7.488244,7.539141000000001,7.173760000000001,6.754403999999999,6.489544,6.37006,6.087776,5.924123000000001,5.616791,5.451635,5.658885,6.027152,6.395928,6.10326,6.475691,7.005963,7.322049000000001,7.66435,7.945709,8.214483,8.53088,9.062408
28-2801492,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.303185,0.770595,1.014261,1.385994,1.484695,2.199487,2.3987580000000004,2.8362,3.07863,3.224357,3.386317,3.606526,3.458086,3.201114,4.162401999999999,3.919722,4.523756,5.071312,6.398021,7.169911999999999,7.220809,6.8544279999999995,6.436073,6.172212,6.052728,5.769444,5.605791,5.29746,5.133304,5.340553,5.70982,6.104741000000001,6.20251,6.574941,7.1042130000000006,7.420299000000001,7.7646,8.043959,8.312733,8.63013,9.161659
29-2801524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.46641099999999996,0.7110770000000001,1.082809,1.180511,1.895302,2.094573,2.5320150000000003,2.774445,2.920172,3.082132,3.302341,3.153901,2.896929,3.858217,3.6155370000000002,4.219571,4.7671269999999994,6.0938360000000005,6.865727000000001,6.9166240000000005,6.550243,6.131888,5.868027,5.748543,5.465259,5.301606,4.994275,4.829119,5.035368,5.404636,5.800555999999999,5.899325,6.272757,6.802028,7.118114,7.460414999999999,7.741775,8.010548,8.327945,8.859474
30-2801602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.243666,0.615399,0.9016280000000001,1.7008919999999998,1.900163,2.3376040000000002,2.5800349999999996,2.725762,2.887722,3.10793,2.959491,2.7025189999999997,3.663807,3.421127,4.02516,4.572717,5.899426,6.671317,6.723214,6.356833,5.938477,5.673617,5.554133,5.271849,5.1081959999999995,4.799864,4.635708,4.841958,5.211225,5.607145,5.431915,5.804346,6.334618,6.649703999999999,6.9940050000000005,7.273364,7.5421380000000005,7.8605350000000005,8.390064
31-2806837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.372733,0.6589619999999999,1.458226,1.6574970000000002,2.094938,2.337369,2.4830959999999997,2.6450560000000003,2.865264,2.716825,2.459853,3.4211410000000004,3.178461,3.7824940000000002,4.330051,5.65676,6.428651,6.479548,6.113167,5.694812000000001,5.429951,5.310467,5.028183,4.865530000000001,4.556198,4.3930419999999994,4.598292,4.967559,5.363479,5.189249,5.56268,6.091952,6.4080379999999995,6.751339,7.031698,7.300472,7.617869000000001,8.146398
32-2801647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.28623000000000004,1.085493,1.284764,1.7222060000000001,1.964636,2.110363,2.272323,2.492532,2.344092,2.08712,3.0484080000000002,2.8057279999999998,3.409762,3.957318,5.284027,6.055918,6.107815,5.741434,5.323079,5.058218,4.938733999999999,4.65645,4.492797,4.1844660000000005,4.02031,4.226559,4.595827,4.991747,5.202585,5.576017,6.105288,6.421374,6.764675,7.044035000000001,7.313809,7.630205,8.160734
33-2801634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.7992640000000001,0.9985350000000001,1.435976,1.678407,1.824134,1.9860939999999998,2.206302,2.057863,1.800891,2.762179,2.519499,3.123532,3.671089,4.997798,5.769689,5.8205860000000005,5.454205,5.035849,4.770989,4.651505,4.369221,4.205568,3.897236,3.73308,3.9393300000000004,4.308597,4.704517,5.261287,5.633718,6.16299,6.480076,6.823377000000001,7.102736,7.371510000000001,7.689907000000001,8.305435000000001
34-2801686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.199271,0.639713,0.882143,1.02787,1.18983,1.489407,1.531599,1.274627,2.2359150000000003,1.9932349999999999,2.597269,3.144825,4.471533999999999,5.243425,5.222377,4.855996,4.437641,4.17278,4.053296,3.7710120000000003,3.6073589999999998,3.299028,3.134872,3.341121,3.710389,4.1063089999999995,4.710078,5.08251,5.612781,5.928866999999999,6.246168,6.526528,6.821300999999999,7.138698,7.711227
35-2801182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.440442,0.682872,0.828599,0.990559,1.290136,1.332328,1.075356,2.036644,1.793964,2.397998,2.945554,4.272263,5.044154,5.168851999999999,5.055268,4.636912000000001,4.373051,4.252567,3.9702839999999995,3.80663,3.498299,3.335143,3.540393,3.9096599999999997,4.30558,4.910349,5.282781,5.811052,6.128139,6.4454400000000005,6.726799000000001,7.020573,7.337969,7.911498
36-2805798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.242431,0.388158,0.550118,0.8606950000000001,1.009134,0.9723950000000001,1.9336830000000003,1.6014979999999999,2.009056,2.556613,3.883322,4.655213,4.779911,5.148291,5.0743529999999994,4.809493,4.690009,4.407725,4.244072,3.93574,3.771584,3.9778339999999996,4.347101,4.743021,5.3467910000000005,5.719222,6.249494,6.565580000000001,6.882880999999999,7.163239999999999,7.458014,7.775411,8.347939
37-2805799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.145727,0.307687,0.618264,0.766703,1.023675,1.913272,1.359067,1.7666259999999998,2.314182,3.6408910000000003,4.412782,4.53748,4.905861,5.316783999999999,5.051923,4.932439,4.650156,4.486502,4.178171,4.0140150000000006,4.220265,4.589532,4.9854519999999996,5.589221,5.9626529999999995,6.491924,6.80801,7.125311999999999,7.405671000000001,7.699445,8.016841000000001,8.59037
38-2805800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.161961,0.472537,0.620976,0.877948,1.7675450000000001,1.2133399999999999,1.6208989999999999,2.168455,3.495164,4.267056,4.391753,4.760134,5.17849,5.19865,5.078166,4.795882,4.632229,4.323898000000001,4.159742,4.365991,4.7362589999999996,5.132179,5.734948,6.10738,6.637650999999999,6.953736999999999,7.272038,7.552397999999999,7.847171,8.163568,8.737097
39-2805801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.310577,0.460016,0.716988,1.606585,1.0523799999999999,1.459938,2.007495,3.334204,4.106095,4.230793,4.599173,5.017529,5.280390000000001,5.240126,4.957843,4.795189,4.485858,4.322702,4.528951999999999,4.898219,5.293139,5.897908,6.269340000000001,6.799611,7.114698,7.432999000000001,7.713358,8.007132,8.325528,8.899057
