순번_정류장ID,1-2800270,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2800265,8-2803682,9-2807369,10-2804135,11-2803684,12-2803685,13-2804147,14-2804149,15-2804151,16-2804162,17-2804164,18-2804166,19-2804656,20-2804168,21-2806206,22-2804654,23-2804651,24-2804649,25-2804648,26-2804646,27-2804327,28-2804329,29-2804645,30-2804198,31-2804200
16-2804162,,,,,,,,,,,,,,,,0,0.9881270000000001,1.6442599999999998,2.121193,2.437741,3.1999419999999996,3.8790720000000003,4.615662,4.931421,6.793785000000001,7.409261999999999,7.657319,7.890678,8.307151,8.725228,9.164767999999999
17-2804164,,,,,,,,,,,,,,,,,0,0.6561319999999999,1.133065,1.4496129999999998,2.211815,2.890945,3.627535,3.9432940000000003,5.805657,6.421135,6.6691910000000005,6.902551,7.319023,7.7371,8.176641
18-2804166,,,,,,,,,,,,,,,,,,0,0.476933,0.793481,1.555682,2.2398130000000003,2.976403,3.2921620000000003,5.154525,5.770002,6.018059,6.251419,6.667891,7.085967999999999,7.525509
19-2804656,,,,,,,,,,,,,,,,,,,0,0.316548,1.078749,1.76288,2.49947,2.815229,4.677592,5.293069999999999,5.541126,5.7744860000000005,6.190958,6.609035,7.048576
20-2804168,,,,,,,,,,,,,,,,,,,,0,0.762201,1.446332,2.182922,2.498681,4.361044000000001,4.976521,5.224578,5.4579379999999995,5.87441,6.292487,6.732028
21-2806206,,,,,,,,,,,,,,,,,,,,,0,0.684131,1.420721,1.73648,3.598843,4.21432,4.462377,4.695737,5.112209,5.530286,5.9698269999999996
22-2804654,,,,,,,,,,,,,,,,,,,,,,0,0.73659,1.052349,2.914713,3.53019,3.7782459999999998,4.011606,4.428079,4.846155,5.285696
23-2804651,,,,,,,,,,,,,,,,,,,,,,,0,0.315759,2.178123,2.7936,3.041657,3.275016,3.691489,4.109565,4.549106
24-2804649,,,,,,,,,,,,,,,,,,,,,,,,0,1.862364,2.477841,2.7258970000000002,2.959257,3.375729,3.7938059999999996,4.233347
25-2804648,,,,,,,,,,,,,,,,,,,,,,,,,0,0.647478,0.895534,1.128894,1.545366,1.963443,2.402984
26-2804646,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.24805700000000003,0.481417,0.8978889999999999,1.319966,1.759507
27-2804327,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.23335999999999998,0.649832,1.071909,1.51145
28-2804329,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.416472,0.838549,1.27809
29-2804645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.42207700000000004,0.861618
30-2804198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.43954099999999996
31-2804200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
