순번_정류장ID,64-2803210,65-2803361,66-2807344,67-2806484,68-2807326,69-2805694,70-2805636,71-2806053,72-2806032,73-2806025,74-2805697,75-2805699,76-2805701,77-2807440,78-2806806,79-2805704,80-2807625,81-2806162,82-2805635,83-2805633,84-2807037,85-2805631,86-2805677,87-2807428,88-2807429,89-2807521,90-2806171,91-2807223,92-2806160,93-2805528,94-2807269,95-2806830,96-2805759,97-2805529,98-2805839,99-2805561,100-2805340,101-2805841,102-2805450,103-2806913,104-2805580,105-2805332,106-2805742,107-2805229,108-2805231,109-2805400,110-2805038,111-2804895,112-2805911,113-2806732,114-2806730,115-2807462,116-2806214,117-2800622,118-2800627,119-2800336,120-2800653,121-2800656,122-2800661,123-2804967,124-2806938
74-2805697,,,,,,,,,,,0,0.903841,1.0902209999999999,1.0859,1.2979020000000001,1.4386370000000002,1.393664,1.8253130000000002,2.139681,2.780734,3.110663,3.442914,3.9360239999999997,4.9596029999999995,4.9630160000000005,14.280987,15.087464,16.985591,17.46404,18.435075,19.208738,19.578483,20.250212,20.496857000000002,20.790360999999997,20.853863,20.781143,20.887670999999997,21.068479999999997,21.220341,20.778862,20.47653,20.294138,20.49315,20.183601,20.294864999999998,20.456104999999997,20.734095999999997,20.999637,21.333506,21.812764,22.017820999999998,22.628207,22.914392000000003,23.257748,23.697832000000002,23.672983,23.491028,23.285412,23.194809,24.004442
75-2805699,,,,,,,,,,,,0,0.209939,0.40778600000000004,0.619789,1.0625229999999999,1.315551,1.7472,2.061568,2.7026209999999997,3.03255,3.3648010000000004,3.857911,4.88149,4.8849029999999996,14.202873,15.009351,16.907478,17.385927,18.356961,19.130625,19.50037,20.172099,20.418744,20.712248000000002,20.77575,20.703029,20.809557,20.990367000000003,21.143228,20.699748,20.398417000000002,20.218025,20.415035999999997,20.105487,20.216751000000002,20.377992000000003,20.655983,20.917523000000003,21.259393,21.730651,21.935707,22.550094,22.840279000000002,23.174635000000002,23.624717999999998,23.593870000000003,23.412914999999998,23.207299,23.112695000000002,23.923329000000003
76-2805701,,,,,,,,,,,,,0,0.197848,0.40985,0.852584,1.105612,1.537261,1.8516290000000002,2.492682,2.822611,3.154862,3.647972,4.670551000000001,4.674964,13.992935000000001,14.799412,16.697539000000003,17.175988,18.147022,18.920686,19.290430999999998,19.96216,20.208804999999998,20.502309,20.565811,20.493091,20.599619,20.780428,20.930289000000002,20.492810000000002,20.189478,20.006086,20.205098,19.895549,20.006813,20.168053,20.446044,20.707584,21.045454,21.520712,21.729769,22.341155,22.62634,22.965695999999998,23.413779,23.383931,23.197976,22.99636,22.905756,23.711389999999998
77-2807440,,,,,,,,,,,,,,0,0.21200300000000002,0.654737,0.9077649999999999,1.339413,1.6537819999999999,2.294835,2.624764,2.957015,3.450125,4.473704,4.4771160000000005,13.795086999999999,14.601564000000002,16.499692,16.978141,17.949175,18.722839,19.092582999999998,19.764313,20.010958,20.304462,20.367963,20.295243,20.401771,20.58258,20.734441,20.291961999999998,19.99263,19.807239000000003,20.00725,19.697701000000002,19.808965,19.970206,20.248196,20.513737,20.851606,21.326864999999998,21.531921,22.142308,22.428492000000002,22.770849,23.216932,23.186084,23.003128,22.796512,22.703909,23.515543
78-2806806,,,,,,,,,,,,,,,0,0.44273500000000005,0.695762,1.1274110000000002,1.4417799999999998,2.082832,2.412761,2.745012,3.238123,4.260701999999999,4.265114,13.583085,14.389562,16.287689,16.766139000000003,17.737173000000002,18.510837,18.880581,19.552311,19.798955,20.09246,20.155960999999998,20.083241,20.189769000000002,20.370578,20.522439000000002,20.07996,19.778628,19.597236,19.795248,19.485699,19.596963,19.758202999999998,20.036194000000002,20.301735,20.639604000000002,21.114863,21.319919,21.934306,22.21549,22.555847,22.99993,22.978082,22.793126,22.58751,22.495907,23.306541
79-2805704,,,,,,,,,,,,,,,,0,0.25402800000000003,0.6856770000000001,1.000045,1.641098,1.971027,2.3032779999999997,2.7963880000000003,3.8199669999999997,3.8233800000000002,13.14135,13.947828,15.845954999999998,16.324404,17.295438,18.069101999999997,18.438847,19.110576000000002,19.357221,19.650725,19.714226999999998,19.641506,19.748034,19.928844,20.080705,19.639225,19.336894,19.153502,19.353513,19.043964000000003,19.155228,19.316469,19.59446,19.855999999999998,20.19787,20.669128,20.874184,21.489570999999998,21.774756,22.114112,22.562195000000003,22.532347,22.348392,22.140776000000002,22.056172,22.859806
80-2807625,,,,,,,,,,,,,,,,,0,0.432649,0.747017,1.3880700000000001,1.717999,2.05025,2.54336,3.5659389999999997,3.5703519999999997,12.888323,13.6948,15.592927,16.071376,17.04241,17.816074,18.185819,18.857548,19.104193,19.397697,19.461199,19.388479,19.495007,19.675816,19.827676999999998,19.385198000000003,19.085866,18.900474,19.100486,18.790937,18.902201,19.063441,19.341432,19.602973000000002,19.940842,20.4201,20.625157,21.240543,21.525728,21.861083999999998,22.305168,22.279319,22.094364000000002,21.893748000000002,21.803145,22.609778
81-2806162,,,,,,,,,,,,,,,,,,0,0.314369,0.9554219999999999,1.29035,1.622602,2.115712,3.139291,3.142703,12.460674000000001,13.267151,15.165279,15.643728,16.614762,17.388426000000003,17.75817,18.4299,18.676545,18.970049,19.03355,18.960829999999998,19.067358,19.248167000000002,19.400028,18.959549,18.659217,18.475826,18.672837,18.363288,18.474552,18.635792000000002,18.913783,19.175324,19.513192999999998,19.988452,20.197508,20.808895,21.094079,21.436435999999997,21.881519,21.851671,21.671715,21.461099,21.372495999999998,22.182129999999997
82-2805635,,,,,,,,,,,,,,,,,,,0,0.641053,0.975982,1.308233,1.8013430000000001,2.823922,2.828335,12.146305,12.952783,14.85091,15.329359,16.300393,17.074057,17.443801999999998,18.115531,18.362176,18.65568,18.719182,18.646461,18.75299,18.933799,19.08566,18.643181,18.341849,18.160457,18.358469,18.048920000000003,18.160183,18.321424,18.599415,18.860955,19.202825,19.678082999999997,19.87914,20.493526,20.778710999999998,21.119067,21.56815,21.541301999999998,21.357347,21.146731,21.056127,21.869760999999997
83-2805633,,,,,,,,,,,,,,,,,,,,0,0.334929,0.66718,1.16029,2.1828689999999997,2.187282,11.505253,12.31173,14.209857000000001,14.688305999999999,15.65934,16.433004,16.802749,17.474478,17.721123000000002,18.014626999999997,18.078129,18.005408,18.111937,18.292745999999998,18.442607000000002,18.002128,17.700796,17.520404,17.717416,17.407867,17.519130999999998,17.680371,17.958362,18.219901999999998,18.561772,19.03303,19.242086999999998,19.856473,20.141658,20.478014,20.923097,20.900249,20.716294,20.507678,20.419074,21.225707999999997
