순번_정류장ID,45-2803874,46-2803973,47-2803975,48-2805718,49-2803979,50-2806018,51-2804334,52-2803983,53-2803985,54-2803987,55-2803989,56-2806004,57-2807385,58-2803991,59-2803993,60-2803995,61-2800298,62-2803997,63-2800290,64-2800289,65-2803934,66-2806662,67-2800286,68-2803932,69-2803596,70-2800283,71-2800281,72-2800280,73-2800278,74-2806663,75-2804031,76-2800260,77-2800275,78-2804713,79-2803598,80-2803600,81-2800273,82-2803601,83-2804331,84-2803581,85-2800271,86-2805489,87-2807150,88-2804581,89-2804582,90-2800267,91-2804032
57-2807385,,,,,,,,,,,,,0,0.182479,0.596342,0.908639,1.044371,1.524541,2.0605990000000003,2.429739,2.8834880000000003,3.2456099999999997,4.185657,5.077641000000001,5.36068,6.3525220000000004,6.81495,7.500812,8.074053999999999,8.210504,9.157205000000001,9.790107,10.025785,10.348980000000001,10.530769,11.018071,11.479353,11.69008,11.862788,12.121454,12.605902,13.105767,13.479536999999999,13.8078,14.103755,14.467839999999999,14.047217999999999
58-2803991,,,,,,,,,,,,,,0,0.41386300000000004,0.72616,0.861892,1.342061,1.87812,2.247259,2.701009,3.0631310000000003,4.003178,4.895162,5.179201,6.168043,6.630471000000001,7.318333,7.891575,8.028025,8.973726,9.605628,9.842305,10.164501,10.34729,10.835592,11.296874,11.5076,11.679309,11.936975,12.421422999999999,12.921288,13.295058,13.623320999999999,13.920276000000001,14.285360999999998,13.864739000000002
59-2803993,,,,,,,,,,,,,,,0,0.312297,0.448029,1.104696,1.640755,2.009894,2.4636430000000002,2.825766,3.7668120000000003,4.658796,4.942836,5.932677,6.395105,7.082967,7.656209,7.792660000000001,8.738361,9.370262,9.60694,9.929135,10.111925,10.600226,11.061508,11.272235,11.443942999999999,11.701609,12.186058000000001,12.685922,13.059692,13.387954999999998,13.68491,14.049995000000001,13.629373000000001
60-2803995,,,,,,,,,,,,,,,,0,0.135732,0.792399,1.328458,1.697597,2.1513459999999998,2.513468,3.4545150000000002,4.345499,4.629539,5.61838,6.0818080000000005,6.768669999999999,7.342911999999999,7.478363000000001,8.424064,9.055964999999999,9.292643,9.615838,9.797628,10.286928999999999,10.748211,10.958938,11.129646000000001,11.387312,11.872760000000001,12.371625,12.746395,13.074658,13.370613,13.735698000000001,13.315076000000001
61-2800298,,,,,,,,,,,,,,,,,0,0.8089109999999999,1.34497,1.714109,2.1678580000000003,2.5299810000000003,3.471027,4.363011,4.647051,5.636892,6.098319999999999,6.787183,7.360424000000001,7.496875,8.440576,9.072477000000001,9.311155,9.63335,9.81414,10.303442,10.765723,10.97645,11.148158,11.403824,11.889273,12.388137,12.763907000000001,13.09117,13.387126,13.75221,13.333588
62-2803997,,,,,,,,,,,,,,,,,,0,0.5370590000000001,0.906198,1.359947,1.72207,2.663116,3.555101,3.83814,4.827980999999999,5.2904089999999995,5.9782720000000005,6.551514,6.687964,7.633665,8.265566,8.502244000000001,8.824439,9.007228999999999,9.495531,9.956812,10.167539,10.339247,10.596913,11.081362,11.581226,11.954996000000001,12.283259,12.580214999999999,12.945299,12.524677
63-2800290,,,,,,,,,,,,,,,,,,,0,0.369139,0.822889,1.185011,2.125058,3.0160419999999997,3.3000809999999996,4.289922,4.752351,5.440213,6.013455,6.149905,7.095606,7.727508,7.9641850000000005,8.286381,8.46917,8.957472000000001,9.418754,9.629480000000001,9.801188,10.058854,10.543303,11.043168,11.416938,11.745201,12.042156,12.40724,11.986619000000001
64-2800289,,,,,,,,,,,,,,,,,,,,0,0.45375,0.815872,1.7559189999999998,2.646903,2.930942,3.920783,4.383212,5.071073999999999,5.644316000000001,5.780766000000001,6.7264669999999995,7.358369000000001,7.595046000000001,7.917242,8.100031,8.588333,9.049615,9.260341,9.432049000000001,9.689715,10.174164,10.674028999999999,11.047799000000001,11.376062,11.673017,12.038101,11.61748
65-2803934,,,,,,,,,,,,,,,,,,,,,0,0.362122,1.303169,2.194153,2.478193,3.468034,3.9304620000000003,4.618323999999999,5.191566000000001,5.328016000000001,6.273718,6.905619000000001,7.142297,7.464492,7.647282000000001,8.135583,8.596865,8.807592,8.9793,9.236966,9.721414,10.221279,10.595049000000001,10.923312,11.220267,11.585352,11.16473
66-2806662,,,,,,,,,,,,,,,,,,,,,,0,0.941047,1.833031,2.1170709999999997,3.106912,3.56934,4.2572019999999995,4.830444,4.966894,5.912595,6.544497,6.781175,7.10337,7.286160000000001,7.774461,8.235743,8.44647,8.618178,8.875844,9.360292,9.860157000000001,10.233927,10.56219,10.859145,11.22423,10.803608
67-2800286,,,,,,,,,,,,,,,,,,,,,,,0,0.891984,1.176024,2.165865,2.628293,3.316155,3.889397,4.025847,4.971548,5.60345,5.840128,6.162323000000001,6.345113,6.833414,7.294696000000001,7.5054229999999995,7.677131,7.9347970000000005,8.419245,8.91911,9.29288,9.621143,9.918097999999999,10.283183,9.862561
68-2803932,,,,,,,,,,,,,,,,,,,,,,,,0,0.28404,1.276881,1.739309,2.427171,3.000413,3.136864,4.082565,4.714466000000001,4.951144,5.273339,5.456129,5.9444300000000005,6.405712,6.616439,6.788147,7.045813000000001,7.530261,8.030126,8.403896000000001,8.732159,9.029114,9.394199,8.973577
69-2803596,,,,,,,,,,,,,,,,,,,,,,,,,0,0.992841,1.45527,2.143132,2.716374,2.852824,3.798525,4.430427,4.667104,4.9893,5.172089,5.660391000000001,6.121673,6.332399,6.504107,6.761773,7.246222,7.746086,8.119857000000001,8.448119,8.745075,9.110159,8.689537
70-2800283,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.46642799999999995,1.154291,1.7275330000000002,1.8639830000000002,2.809684,3.441585,3.678263,4.000458,4.183248000000001,4.67155,5.1328309999999995,5.343558,5.5152660000000004,5.772932,6.257381,6.757244999999999,7.131015,7.459278,7.756234,8.121317999999999,7.700696000000001
