순번_정류장ID,1-2800717,2-2805253,3-2805251,4-2805249,5-2800563,6-2807520,7-2807504,8-2804433,1-2806577,2-2804034,3-2804035,4-2804039,5-2805298,6-2804496,7-2804523,8-2804508,9-2804520,10-2805723,11-2800053,12-2800024,13-2800451,14-2800454,15-2800309,16-2800494,17-2805303,18-2800512,19-2800566,20-2800596,21-2803049,22-2802654,23-2807098,24-2802671,25-2803042,26-2803043,27-2803123,28-2803137,29-2802629,30-2802709,31-2802748,32-2802728,33-2802094,34-2802129,35-2802831
3-2804035,,,,,,,,,,,0.0,0.614719,3.620243,7.141089999999999,10.467621000000001,11.26983,15.920534,17.238088,18.532276,20.485445000000002,23.491260999999998,23.744138,25.720117000000002,26.538771999999998,28.257339,28.738201,30.839028000000003,32.743755,38.893563,39.179065,39.910276,40.153613,39.857276,40.200776,40.740902,40.939403000000006,40.798517,40.248489,41.7551,41.630456,42.930958000000004,43.170757,43.845081
4-2804039,,,,,,,,,,,,0.0,3.010524,6.5323720000000005,9.857903,10.660111,15.310816,16.628369,17.923557000000002,19.875726999999998,22.884543,23.13642,25.111398,25.928053,27.650621,28.128483000000003,30.229309000000004,32.134036,38.283844,38.573347,39.301557,39.540895,39.250557,39.591057,40.134183,40.329684,40.189797999999996,39.64077,41.145381,41.017738,42.321239,42.558039,43.239363
5-2805298,,,,,,,,,,,,,0.0,3.5208480000000004,6.847378999999999,7.6495869999999995,12.300292,13.617845,14.912033,16.866203,19.871019,20.123896,22.099874,22.918529,24.637097,25.118959,27.215784999999997,29.123511999999998,35.27132,35.559823,36.288033,36.532371000000005,36.236033,36.577533,37.118659,37.31716,37.177274,36.628246000000004,38.133857,38.007213,39.311715,39.547515000000004,40.228839
6-2804496,,,,,,,,,,,,,,0.0,3.3385309999999997,4.14074,8.791444,10.108998,11.403186,13.356356,16.363170999999998,16.615048,18.592026999999998,19.407682,21.12825,21.610111,23.707938000000002,25.613665,31.762472999999996,32.052976,32.781186,33.021522999999995,32.727185999999996,33.072686,33.608812,33.811313,33.669427,33.121399,34.625009999999996,34.500366,35.800868,36.038668,36.717991999999995
7-2804523,,,,,,,,,,,,,,,0.0,0.816209,5.466913,6.784467,8.078655,10.031824,13.03864,13.292517000000002,15.267496,16.082151,17.805718,18.286579999999997,20.383407000000002,22.292134,28.440942,28.729444,29.458655,29.696991999999998,29.405655,29.746154999999998,30.288281,30.484782,30.344896000000002,29.796868,31.298478999999997,31.176834999999997,32.476337,32.712137,33.393461
8-2804508,,,,,,,,,,,,,,,,0.0,4.650704,5.9682580000000005,7.262446000000001,9.215616,12.222432000000001,12.473308,14.450287,15.268942000000001,16.98951,17.471370999999998,19.567198,21.473925,27.623733,27.910235999999998,28.640446,28.881783000000002,28.588446,28.928946000000003,29.469071999999997,29.667572999999997,29.525686999999998,28.977659000000003,30.48227,30.356626000000002,31.661128,31.896928000000003,32.578252
9-2804520,,,,,,,,,,,,,,,,,0.0,1.3175540000000001,2.611742,4.564911,7.571727,7.826604,9.801583,10.618238,12.338805,12.820667,14.918494,16.825221,22.972029,23.261531,23.991742000000002,24.233079,23.937742,24.280242,24.821368,25.020869,24.876983,24.328955,25.834566,25.708922,27.009424,27.246223999999998,27.924547999999998
10-2805723,,,,,,,,,,,,,,,,,,0.0,1.294188,3.247358,6.255174,6.505051,8.484029,9.300684,11.022252,11.502114,13.59694,15.502667,21.651475,21.942978,22.672188000000002,22.913526,22.621188,22.962688,23.501814000000003,23.703315,23.557429,23.008401,24.516012,24.392367999999998,25.69487,25.930670000000003,26.609994
11-2800053,,,,,,,,,,,,,,,,,,,0.0,1.95317,4.958986,5.211863,7.187841000000001,8.004496000000001,9.725064,10.206926,12.303752000000001,14.209479,20.359287,20.64679,21.379,21.618338,21.323,21.6645,22.206626,22.407127,22.264241000000002,21.715213000000002,23.222824,23.098181,24.396682000000002,24.636482,25.312806
12-2800024,,,,,,,,,,,,,,,,,,,,0.0,3.008816,3.259693,5.237671,6.054327,7.774894000000001,8.253756,10.353582000000001,12.26131,18.410118,18.69762,19.425829999999998,19.667168,19.37583,19.712331,20.259457,20.451957999999998,20.313072000000002,19.762043,21.269655,21.143010999999998,22.443512,22.685312,23.364635999999997
