순번_정류장ID,1-2805726,2-2805739,3-2800372,4-2800317,5-2805948,6-2800371,7-2803056,8-2802651,9-2802638,10-2803669,11-2803046,12-2803045,13-2803071,14-2803082,15-2803093,16-2803107,17-2803121,18-2803113,19-2803106,20-2803048,21-2803109,22-2803227,23-2803239,24-2803252,25-2804953,26-2803256,27-2803249,28-2803230,29-2803233,30-2803234,31-2803237,32-2803241,33-2802745,34-2802737,35-2802629,36-2802719,37-2802709,38-2802703,39-2802693,40-2802688,41-2802684,42-2802674,43-2802665,44-2802662,45-2802659,46-2802650,47-2800819,48-2800815,49-2800810,50-2800806,51-2800793,52-2800785,53-2800771,54-2800764,55-2800756,56-2800736,57-2800710,58-2800705,59-2800697,60-2801603,61-2801583,62-2801565,63-2801546,64-2801527,65-2801514,66-2801509,67-2801497,68-2801482,69-2801450,70-2801424,71-2801411,72-2801401,73-2801160,74-2801367,75-2801346,76-2800173,77-2801259,78-2805069,79-2801243,80-2801242,81-2801247,82-2801249,83-2801253,84-2801083,85-2801057,86-2801043,87-2801010
11-2803046,,,,,,,,,,,0,0.12574200000000002,0.286445,0.588059,0.984835,1.247531,1.437637,1.927399,2.1506830000000003,2.264557,2.542389,3.033067,3.389628,3.535823,3.266636,2.958648,2.6952700000000003,2.1999020000000002,1.800561,1.807205,2.093138,2.324652,1.816382,1.875168,2.2700009999999997,2.520907,2.761971,2.858405,3.2559080000000002,3.484685,3.7209269999999997,3.5429160000000004,3.328303,3.102186,3.093664,3.190843,3.356381,3.6113129999999996,3.335464,3.0478080000000003,3.300956,3.4948589999999995,3.8415120000000003,4.023695,4.171135,4.467671,4.827011,4.905724,4.937703,5.915453,6.246663,6.5122860000000005,6.801861,7.223683,7.473414999999999,7.644792999999999,7.951987,8.375967,8.787334,9.153928,9.415756,9.715986000000001,9.956664,10.263849,10.773588,11.420395,12.101313000000001,12.344258,12.535596,12.424642,12.112119,11.828175,11.552359,11.761975,11.992896,12.396509,13.222095000000001
12-2803045,,,,,,,,,,,,0,0.162703,0.464317,0.861093,1.123789,1.3148950000000001,1.804657,2.026941,2.1408150000000004,2.418647,2.909325,3.265886,3.4120809999999997,3.142894,2.834906,2.571528,2.07616,1.6768189999999998,1.6834630000000002,1.969396,2.201911,1.6936400000000003,1.7524259999999998,2.146259,2.397165,2.688287,2.983147,3.38065,3.6094269999999997,3.8456690000000004,3.6676580000000003,3.453045,3.226927,3.2184060000000003,3.316585,3.4821230000000005,3.7370550000000002,3.461206,3.17355,3.4266980000000005,3.620601,3.967254,4.149437,4.296876999999999,4.593413,4.951753,5.0304660000000005,5.063445,6.041195,6.3724050000000005,6.638028,6.9276029999999995,7.349425,7.599157000000001,7.771535000000001,8.078729,8.501709,8.913076,9.27967,9.540497,9.840727000000001,10.082406,10.389591000000001,10.89933,11.546137,12.227055,12.47,12.661338,12.549384,12.236861,11.953917,11.678101,11.887717,12.118637,12.522250999999999,13.347837
13-2803071,,,,,,,,,,,,,0,0.304614,0.70139,0.9640850000000001,1.154192,1.6439540000000001,1.868238,1.981112,2.258944,2.749622,3.106183,3.263378,2.994191,2.687203,2.4228240000000003,1.927457,1.674522,1.6811669999999999,1.9670990000000002,2.199614,1.691344,1.750129,2.1439619999999997,2.394868,2.68699,3.14385,3.541353,3.7701300000000004,4.006372,3.828361,3.613748,3.387631,3.3791089999999997,3.477289,3.6428260000000003,3.897758,3.62091,3.333253,3.5864010000000004,3.781305,4.127957,4.309141,4.45758,4.754116000000001,5.112456,5.19117,5.2241480000000005,6.201898,6.532108,6.797731,7.088305999999999,7.510128,7.75886,7.9312380000000005,8.238432000000001,8.662412,9.071779,9.439373,9.701201,10.001431,10.242109,10.550294000000001,11.059033,11.70684,12.387758999999999,12.629703,12.821041000000001,12.710087,12.398564,12.11362,11.837805,12.04842,12.278341000000001,12.682953999999999,13.507539999999999
14-2803082,,,,,,,,,,,,,,0,0.396776,0.6594720000000001,0.849578,1.33934,1.561625,1.676498,1.95433,2.445008,2.80157,2.958764,2.688577,2.380589,2.118211,1.622843,1.725502,1.732146,2.018079,2.421773,1.991957,2.051743,2.4445759999999996,2.695482,2.987604,3.4464639999999997,3.842967,4.071744,4.307986,4.130975,3.9163620000000003,3.6892449999999997,3.6807230000000004,3.7789019999999995,3.94444,4.199372,3.9225230000000004,3.634867,3.889015,4.081918,4.428571,4.611754,4.7581940000000005,5.0557300000000005,5.41407,5.492783,5.525762,6.502512,6.833722,7.099345,7.38892,7.810741999999999,8.060474000000001,8.232852000000001,8.539046,8.962026,9.373393,9.740986999999999,10.003815,10.303045,10.543723,10.850908,11.360647,12.007454,12.689372,12.931317,13.122654999999998,13.012701,12.699178,12.415234,12.140417999999999,12.349034,12.579955,12.983568,13.809154000000001
15-2803093,,,,,,,,,,,,,,,0,0.262696,0.45280200000000004,0.942564,1.1648479999999999,1.439722,1.717554,2.094232,2.462793,2.561988,2.292801,1.9848130000000002,1.7214349999999998,1.226067,1.328726,1.3353700000000002,1.6213030000000002,2.024997,2.388733,2.4485189999999997,2.841352,3.093258,3.38438,3.8422400000000003,4.240743,4.469519999999999,4.7047620000000006,4.527751,4.312138,4.08702,4.078499,4.175678,4.341216,4.596148,4.3202989999999994,4.031643,4.284791,4.479694,4.825347,5.00753,5.15497,5.451506,5.810846,5.889558999999999,5.906537999999999,6.884288000000001,7.215497999999999,7.481121000000001,7.770696000000001,8.192518,8.44225,8.614628,8.920822,9.344802,9.756169,9.997763,10.25959,10.558819999999999,10.800499,11.107683999999999,11.616423,12.26323,12.944148,13.188092999999999,13.379431,13.267477,12.954953999999999,12.67201,12.395194,12.60481,12.83573,13.201344,14.064929999999999
16-2803107,,,,,,,,,,,,,,,,0,0.191107,0.680869,0.9021530000000001,1.193397,1.679859,1.8325369999999999,2.201098,2.300293,2.030106,1.723118,1.459739,0.9643719999999999,1.06703,1.073675,1.359608,1.7633009999999998,2.269572,2.516638,3.016471,3.267377,3.5594989999999997,4.056359,4.453862,4.682639,4.918881,4.789447,4.575833,4.349716,4.341194000000001,4.438374,4.603911,4.858843,4.581995,4.294339,4.547486,4.74139,5.089042,5.270226,5.417665,5.714201,6.0735410000000005,6.152255,6.168233,7.145983,7.477192999999999,7.742816,8.032392,8.454213000000001,8.704946000000001,8.876323,9.183517,9.606498,10.017864,10.259458,10.522286,10.820516,11.062194,11.368379,11.879119000000001,12.525926,13.206844,13.449789,13.641126000000002,13.529172,13.216648999999999,12.932705,12.65889,12.866505,13.097425999999999,13.464039000000001,14.326626000000001
17-2803121,,,,,,,,,,,,,,,,,0,0.489762,0.713046,1.00129,1.489752,1.64143,2.009991,2.1091860000000002,1.8399990000000002,1.532011,1.268633,0.773265,0.875923,0.882568,1.168501,1.572195,2.078465,2.3255310000000002,2.825364,3.07627,3.3683919999999996,3.8652519999999995,4.262755,4.491532,4.727774,4.943447,4.76494,4.539823,4.530301000000001,4.628480000000001,4.794018,5.04895,4.772101,4.4854449999999995,4.738593,4.931496,5.278149,5.461332,5.608772,5.904308,6.263648,6.342361,6.35834,7.3360899999999996,7.6683,7.932923,8.223498,8.64432,8.894052,9.065430000000001,9.372624,9.796603999999999,10.206971000000001,10.450565,10.710393,11.012623,11.251301,11.558486,12.069225,12.715032,13.395951,13.638895000000002,13.831233,13.719279,13.407756,13.123812,12.848996000000001,13.057611999999999,13.287532999999998,13.652145999999998,14.517732
18-2803113,,,,,,,,,,,,,,,,,,0,0.22328499999999998,0.512528,1.00099,1.485982,1.8482299999999998,1.9537380000000002,1.684551,1.376563,1.113184,0.6178170000000001,0.8698389999999999,1.1331200000000001,1.4190530000000001,1.8227470000000001,2.329017,2.576083,3.149916,3.4008220000000002,3.6929440000000002,4.190804,4.587307,4.816084,5.052326,5.268999,5.1637010000000005,4.937583999999999,4.929062999999999,5.117242,5.282780000000001,5.537712,5.261863,4.974207,5.227355,5.421258,5.767911,5.950094,6.097533,6.39407,6.753410000000001,6.832122999999999,6.848102000000001,7.825852,8.157062,8.422685000000001,8.71226,9.134082000000001,9.383814,9.555191,9.862386,10.286366000000001,10.696733,10.938327000000001,11.200154,11.500384,11.741062,12.048248,12.557986999999999,13.205794000000001,13.885712,14.128657,14.319995,14.209041000000001,13.897518,13.612573999999999,13.337758,13.546373,13.778294,14.141907999999999,15.006494
19-2803106,,,,,,,,,,,,,,,,,,,0,0.289244,0.777706,1.268384,1.624945,2.138978,1.907835,1.599847,1.3364690000000001,0.841102,1.093123,1.3564049999999999,1.642338,2.046031,2.552301,2.7993669999999997,3.3732,3.624106,3.916228,4.413088,4.8105910000000005,5.039368,5.2756099999999995,5.491283999999999,5.386986,5.160869,5.152347,5.340527,5.506064,5.760996,5.485148000000001,5.197492,5.450639,5.644543,5.991194999999999,6.173379,6.320818,6.617354,6.976694,7.055408,7.071386,8.049136,8.380346000000001,8.645969000000001,8.934544,9.356366,9.607097999999999,9.777476,10.08567,10.50865,10.919017,11.161611,11.423439,11.723669000000001,11.964347,12.272532,12.781272,13.428078,14.108997,14.351941,14.543279,14.431325,14.119801999999998,13.834857999999999,13.560042999999999,13.768657999999999,14.000579,14.364192000000001,15.230777999999999
20-2803048,,,,,,,,,,,,,,,,,,,,0,0.488462,0.97914,1.335702,1.849734,2.118922,1.888091,1.6247129999999999,1.129345,1.381367,1.6446479999999999,1.930581,2.334275,2.840545,3.087611,3.6624440000000003,3.91335,4.205472,4.702332,5.099835,5.328612000000001,5.564854,5.780526999999999,5.59186,5.365742,5.357221,5.4554,5.620938,5.87587,5.599021,5.312365,5.564513,5.759416000000001,6.106069000000001,6.288252,6.4356919999999995,6.731228,7.091568,7.170281,7.186260000000001,8.16301,8.49422,8.760843,9.050417999999999,9.47124,9.720972,9.89335,10.199544,10.623524,11.034891,11.277485,11.538313,11.837542,12.079221,12.386406,12.896144999999999,13.541951999999998,14.22287,14.467815,14.658153,14.546199,14.235676000000002,13.950732,13.675916,13.883532,14.116451999999999,14.480066,15.345652
21-2803109,,,,,,,,,,,,,,,,,,,,,0,0.49067799999999995,0.847239,1.361272,1.630459,1.938447,2.113175,1.617807,1.8698290000000002,2.133111,2.419043,2.822737,3.329007,3.5760730000000005,4.151905999999999,4.4018120000000005,4.693934,5.190794,5.588297,5.817074,6.053316000000001,6.085305,5.869692,5.644575,5.635053,5.733233,5.89877,6.153702,5.876854,5.589197,5.842345,6.037249,6.382901,6.565085000000001,6.712524,7.009060000000001,7.3684,7.448114,7.463092,8.440842,8.772052,9.037675,9.32725,9.749072,9.998804,10.171182,10.478375999999999,10.901356,11.312723,11.553317,11.816145,12.116375,12.356053,12.664238000000001,13.172977,13.820784,14.502703,14.744647,14.935985,14.825031,14.511508,14.228564000000002,13.953748999999998,14.162364000000002,14.393285,14.757898,15.623484
22-2803227,,,,,,,,,,,,,,,,,,,,,,0,0.368562,0.8825940000000001,1.1517819999999999,1.459769,1.725148,1.421485,1.673507,1.9367880000000002,2.222721,2.626415,3.132685,3.379751,4.015584,4.26649,4.558612,5.055472,5.452975,5.6817519999999995,5.917994,6.133667,6.226369999999999,6.000252,5.991731,6.21391,6.379448,6.63438,6.357531,6.069875,6.323023,6.516926,6.863579,7.045762,7.193202,7.489738000000001,7.8490779999999996,7.927791,7.95477,8.93252,9.26373,9.528353,9.818928,10.24075,10.490482,10.66186,10.969054,11.392033999999999,11.803401,12.044995,12.306822,12.607052000000001,12.847731,13.154916,13.664654999999998,14.311461999999999,14.993379999999998,15.235325,15.426663000000001,15.315709,15.003186,14.719242000000001,14.443426,14.653042000000001,14.883962,15.248576000000002,16.113162
23-2803239,,,,,,,,,,,,,,,,,,,,,,,0,0.514033,0.78322,1.091208,1.356586,1.7900470000000002,2.042068,2.30535,2.5912830000000002,2.994976,3.501246,3.7483120000000003,4.384144999999999,4.635051,4.927173000000001,5.4240330000000005,5.821536,6.050313,6.286555,6.502229,6.594931,6.3688139999999995,6.360291999999999,6.580472,6.746009,7.000941,6.725092999999999,6.4364360000000005,6.690583999999999,6.883488000000001,7.23014,7.412324000000001,7.559763,7.858299000000001,8.215639,8.294353,8.310331,9.288081,9.619291,9.884914,10.174489,10.596311,10.846043,11.017421,11.324615,11.747595,12.159962,12.400556,12.662384,12.962614,13.204292,13.510476999999998,14.021217000000002,14.669023000000001,15.348942000000001,15.590886,15.783223999999999,15.671270000000002,15.359747,15.075803,14.799988,15.009603,15.239524,15.605137,16.468723
24-2803252,,,,,,,,,,,,,,,,,,,,,,,,0,0.26918800000000004,0.577175,0.8425540000000001,1.335921,1.735263,1.998545,2.214477,2.618171,3.124441,3.371507,4.00734,4.258246,4.550368,5.047228,5.444731,5.673508,5.90975,6.1254230000000005,6.288126,6.062009,6.0534870000000005,6.275666999999999,6.442204,6.697136,6.420287999999999,6.131631,6.384779,6.5806830000000005,6.926335000000001,7.108519,7.255958000000001,7.553494000000001,7.912833999999999,7.991548,8.021526,9.001275999999999,9.331486,9.597109,9.886683999999999,10.308506,10.559238,10.730616,11.03781,11.46079,11.871157,12.239751,12.501579,12.800809,13.042487,13.348672,13.857410999999999,14.506217999999999,15.187137,15.429081,15.621419,15.509464999999999,15.197942000000001,14.912998000000002,14.637182000000001,14.846798000000001,15.076719,15.482332000000001,16.307918
25-2804953,,,,,,,,,,,,,,,,,,,,,,,,,0,0.307988,0.5733659999999999,1.066734,1.466076,1.729357,1.9452900000000002,2.348984,2.855254,3.10232,3.738153,3.9890589999999997,4.281181,4.778041,5.175544,5.4043209999999995,5.640562999999999,5.856236,6.0189379999999995,5.792821,5.784299,6.007479,6.1730160000000005,6.427949,6.1501,5.863444,6.1165910000000006,6.3104949999999995,6.657147,6.839331,6.98677,7.283306,7.643646,7.721360000000001,7.7533389999999995,8.730089,9.062299000000001,9.327922000000001,9.617497,10.039319,10.289050999999999,10.461428,10.767623,11.191603,11.60197,11.969564,12.231391,12.531621000000001,12.772299,13.079485,13.590224,14.235031,14.916948999999999,15.158894,15.351231,15.241278,14.927755,14.64381,14.368995000000002,14.57761,14.808531,15.212144,16.036731
26-2803256,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.265379,0.758746,1.158088,1.421369,1.637302,2.040996,2.547266,2.794332,3.430165,3.6810709999999998,3.973193,4.470053,4.8675559999999995,5.0963330000000004,5.332575,5.548248,5.7109510000000006,5.484833,5.476312,5.698491000000001,5.864029,6.118961,5.844112,5.554456,5.808604,6.002507,6.3491599999999995,6.531343,6.678783,6.974319,7.334658999999999,7.413372,7.445351,8.423100999999999,8.754311,9.019934,9.309509,9.732331,9.981063,10.151441,10.460635,10.882615,11.292982,11.661576,11.923403,12.223633,12.464312,12.771497,13.281235999999998,13.928042999999999,14.608960999999999,14.851906,15.043244,14.93229,14.619767000000001,14.335823000000001,14.060007,14.269623000000001,14.500542999999999,14.904157000000001,15.729743
27-2803249,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.49536800000000003,0.894709,1.157991,1.443924,1.8476169999999998,2.353887,2.600953,3.236787,3.487693,3.779815,4.276674,4.6741779999999995,4.902955,5.139196,5.35487,5.447572,5.221455000000001,5.2129330000000005,5.436113,5.60165,5.856582,5.579733999999999,5.292078,5.545225,5.7401290000000005,6.086780999999999,6.268965000000001,6.415404,6.711939999999999,7.071280000000001,7.149994,7.181972999999999,8.159722,8.490932,8.757555,9.046130999999999,9.467952,9.717685000000001,9.889062,10.196257000000001,10.620237,11.030603,11.398197,11.660025,11.960255,12.200933000000001,12.508118,13.017858,13.664665,14.345583,14.589528,14.779865,14.668910999999998,14.356388,14.073444,13.796629000000001,14.006244,14.237165,14.640778,15.466365
