순번_정류장ID,55-2806423,56-2806421,57-2805953,58-2805650,59-2806076,60-2806907,61-2805881,62-2805657,63-2805658,64-2802147,65-2801852,66-2801854,67-2801895,68-2802108,69-2801822,70-2802019,71-2802005,72-2801932,73-2801908,74-2801715,75-2801690,76-2803662,77-2800166,78-2801632,79-2801643,80-2801646,81-2801664,82-2801678,83-2801183,84-2801685,85-2805307,86-2801700,87-2801706,88-2801713,89-2801720,90-2801737,91-2801748,92-2801751,93-2801746,94-2801725,95-2801708,96-2801694,97-2801196,98-2801657,99-2801618,100-2801596,101-2801188,102-2801469,103-2801430,104-2801376,105-2801345,106-2801331,107-2801344,108-2801357,109-2805405
69-2801822,,,,,,,,,,,,,,,0,0.7020649999999999,0.91514,2.061832,3.057762,3.953882,4.433651,5.009305,5.472911,5.271586,5.867543,5.961906,6.325571,6.580779,6.751382,6.796512,7.067829,7.193207000000001,7.4128940000000005,7.393771000000001,7.183402,6.831989999999999,6.395504,6.4302529999999996,6.768184,7.290628999999999,7.538850999999999,7.785141,8.174275,8.558387,8.7682,8.97185,9.345775,9.780188,10.15425,10.679769,10.920736999999999,11.171349000000001,11.519038,11.810397,12.211336
70-2802019,,,,,,,,,,,,,,,,0,0.21307600000000002,1.359767,2.355698,3.251817,3.731586,4.30724,4.770847,4.569521,5.165479,5.259841000000001,5.623507,5.8787139999999996,6.049318,6.095448,6.3657639999999995,6.492143,6.711828999999999,6.691707000000001,6.481338,6.129925,5.693439,5.728187999999999,6.0661190000000005,6.588564,6.836786,7.082076,7.472211,7.855322,8.066135000000001,8.269785,8.642711,9.078124,9.452185,9.977704,10.217673,10.467285,10.815973,11.108332,11.509271
71-2802005,,,,,,,,,,,,,,,,,0,1.147692,2.143622,3.039742,3.519511,4.095165,4.558771,4.3574459999999995,4.953403,5.047766,5.411430999999999,5.666638,5.837242,5.882372,6.154689,6.280067,6.499753,6.4796309999999995,6.269262,5.9178489999999995,5.481364,5.516113,5.854044,6.375488,6.6247110000000005,6.871,7.260135000000001,7.644247,7.853059,8.05771,8.431635,8.866048,9.240109,9.764629,10.005597,10.256209,10.604898,10.895257,11.298195
72-2801932,,,,,,,,,,,,,,,,,,0,1.002931,1.89905,2.378819,2.954473,3.4180800000000002,3.216754,3.8127120000000003,3.9070739999999997,4.27074,4.525947,4.696551,4.953698999999999,5.348497,5.473876000000001,5.693562,5.88044,6.090808999999999,6.442222,6.233793,6.268542,6.606472999999999,7.127917999999999,7.37714,7.62343,8.012564999999999,8.396676,8.605489,8.809139,8.733444,9.054856,9.428918,9.954436999999999,10.195405000000001,10.206017999999998,10.553706,10.845065,11.247003999999999
73-2801908,,,,,,,,,,,,,,,,,,,0,0.89612,1.417889,1.993543,2.4571490000000002,2.255824,2.8517810000000003,2.946144,3.3098089999999996,3.5650160000000004,3.7356199999999995,3.992769,4.387567,4.512944999999999,4.732631,4.919509,5.129879,5.481291000000001,5.931776999999999,6.179991,6.517922,6.666367,6.616589,6.862878,7.251013,7.636125,7.845936999999999,7.921431,7.772513000000001,8.093926,8.467988,8.993507000000001,9.234475,9.245087,9.592775999999999,9.884135,10.286074000000001
74-2801715,,,,,,,,,,,,,,,,,,,,0,0.5217689999999999,1.097423,1.561029,1.359704,1.9556619999999998,2.050024,2.4136889999999998,2.6688970000000003,2.8395,3.096649,3.491447,3.616826,3.8365120000000004,4.02339,4.233759,4.585171,5.035657,5.2838709999999995,5.621802,5.770247,5.7204690000000005,5.965758999999999,6.355894,6.740005,6.948817999999999,7.025311,6.875394,7.197806,7.571867999999999,8.097387,8.338355,8.348968,8.696655999999999,8.988014999999999,9.389954
75-2801690,,,,,,,,,,,,,,,,,,,,,0,0.575654,1.039261,0.837935,1.433893,1.528255,1.891921,2.147128,2.317732,2.57488,2.969678,3.095057,3.314743,3.501621,3.71199,4.063403,4.513888,4.762102,5.100033,5.2484779999999995,5.1977,5.44499,5.833125,6.217236,6.427049,6.504542,6.354625,6.676036999999999,7.050099,7.5756179999999995,7.816586,7.827199,8.174887,8.466246,8.868185
76-2803662,,,,,,,,,,,,,,,,,,,,,,0,0.466607,0.262281,0.858239,0.952601,1.316267,1.571474,1.7420779999999998,1.999226,2.3940240000000004,2.519403,2.739089,2.925967,3.136336,3.487749,3.9382339999999996,4.186448,4.524379,4.672823999999999,4.6230459999999995,4.869336,5.258471,5.642582,5.852395,5.927887999999999,5.777971,6.100383,6.474444999999999,6.999964,7.240932000000001,7.251545,7.599233,7.890592,8.292531
77-2800166,,,,,,,,,,,,,,,,,,,,,,,0,0.459955,1.0559120000000002,1.150274,1.51394,1.769147,1.9397509999999998,2.196899,2.591697,2.717076,2.936762,3.12364,3.3340089999999996,3.685422,4.135908000000001,4.3841220000000005,4.722053,4.870497,4.819719999999999,5.067009,5.456144,5.840256,6.049068,6.126562,5.975644,6.298057,6.672117999999999,7.197638,7.438606,7.449217999999999,7.796907000000001,8.088266,8.490203999999999
78-2801632,,,,,,,,,,,,,,,,,,,,,,,,0,0.597957,0.6923199999999999,1.055985,1.311193,1.481796,1.738945,2.133743,2.259121,2.4788080000000003,2.665686,2.876055,3.227467,3.677953,3.926167,4.264098000000001,4.412543,4.3627650000000004,4.609055000000001,4.998189,5.382301,5.592114,5.667607,5.51869,5.840102,6.214164,6.739683,6.980650999999999,6.991264,7.338952000000001,7.630311,8.03225
