순번_정류장ID,73-2802155,74-2807105,75-2802127,76-2802109,77-2802072,78-2802061,79-2802077,80-2802068,81-2802032,82-2802007,83-2801989,84-2801958,85-2801947,86-2801939,87-2801934,88-2801940,89-2801951,90-2801962,91-2801979,92-2801967,93-2801973,94-2801956,95-2801945,96-2801169,97-2805307,98-2801700,99-2801706,100-2801713,101-2801703,102-2801681,103-2801666,104-2801633,105-2801192,106-2801636,107-2801604,108-2801564,109-2801518,110-2801490,111-2801458,112-2801434,113-2801399,114-2801370,115-2801341,116-2801316,117-2801297,118-2801318,119-2801325,120-2807166,121-2801351,122-2803551,123-2801331,124-2801344,125-2801357,126-2801360,127-2800384,128-2800607,129-2800618,130-2800623,131-2800631,132-2800642,133-2800664,134-2800333,135-2803555,136-2800688,137-2805582,138-2800715,139-2800729,140-2800743,141-2800755,142-2800308,143-2800317,144-2800369
105-2801192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.358406,0.615941,0.876092,1.164828,1.355469,1.676454,1.914509,2.18818,2.477707,2.736446,3.0568299999999997,3.3539529999999997,3.116061,3.1154509999999997,3.5205269999999995,3.9270410000000004,4.285977,4.763019,5.110708,5.402067,5.678316000000001,6.344222,6.556947999999999,6.8205279999999995,7.124931,6.8651740000000006,6.55221,6.156699,5.870565,6.4216370000000005,7.022291,7.145805,6.9701,6.923288,7.533995,7.981012,8.432825999999999,8.719835,8.842941
106-2801636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.257536,0.517687,0.8314229999999999,1.022063,1.343049,1.5811030000000001,1.854775,2.144302,2.403041,2.723424,3.020548,2.7576560000000003,2.757045,3.162122,3.568636,3.927572,4.404614,4.7523029999999995,5.043662,5.319911,5.984817,6.1975430000000005,6.461123000000001,6.766526,6.506769,6.193805,5.798294,5.51216,6.063232,6.663886,6.7884,6.6126949999999995,6.564882000000001,7.17559,7.622607,8.074421000000001,8.361429,8.780536
107-2801604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.261151,0.574887,0.765528,1.0865129999999998,1.324567,1.598239,1.887766,2.146505,2.466888,2.7640119999999997,2.5011200000000002,2.500509,2.905586,3.3121,3.671036,4.148078,4.495767,4.787126,5.063375,5.728281,5.942007,6.204587,6.50999,6.250233000000001,5.937269000000001,5.541758,5.255624,5.806696,6.40735,6.530864,6.356159,6.308346,6.919053999999999,7.366071000000001,7.817885,8.104894,8.525
108-2801564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.469736,0.660377,0.9813629999999999,1.219417,1.493088,1.782615,2.041355,2.361738,2.6058380000000003,2.239969,2.239359,2.6444349999999996,3.050949,3.409885,3.8869279999999997,4.234616,4.525975,4.802225,5.46813,5.679857,5.9444360000000005,6.247839,5.989083,5.676119,5.280607,4.994473999999999,5.545545,6.146199,6.269712999999999,6.094009,6.046196,6.657903999999999,7.10492,7.555733999999999,7.842743,8.26285
109-2801518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.190641,0.511627,0.749681,1.023352,1.3128790000000001,1.571619,1.892002,2.189125,2.421006,2.4203959999999998,2.825472,3.231986,3.5909230000000005,4.067965,4.415653,4.707012000000001,4.983262,5.649166999999999,5.861894,6.125473,6.429876,6.17012,5.857156,5.461644000000001,5.175511,5.726583,6.327237,6.451751,6.276046,6.227233,6.838941,7.284957,7.737771,8.02378,8.445886999999999
110-2801490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.320986,0.55904,0.8327120000000001,1.1222379999999998,1.380978,1.7013610000000001,1.998484,2.2715919999999996,2.270982,2.6760580000000003,3.0825720000000003,3.4495089999999995,3.9265510000000003,4.274239,4.5655980000000005,4.841848000000001,5.506753,5.72048,5.98306,6.2874620000000006,6.028706,5.715742,5.3202300000000005,5.034097,5.5851690000000005,6.185823,6.387608999999999,6.466687,6.418874,7.029582,7.476597999999999,7.928412,8.215421000000001,8.635528
111-2801458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.238054,0.511726,0.801253,1.059992,1.380375,1.677499,1.950607,1.9499959999999998,2.355073,2.761587,3.128523,3.6055650000000004,3.9532540000000003,4.244612999999999,4.520862,5.185768,5.398494,5.662074,5.966476999999999,5.70772,5.394756,4.999244999999999,4.7131110000000005,5.264183,5.8648370000000005,6.066623,6.242328,6.455833,7.066541,7.514558,7.965372,8.25238,8.674487
112-2801434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.27367199999999997,0.563199,0.821938,1.142321,1.439445,1.712553,1.7119419999999999,2.117019,2.523533,2.890469,3.367511,3.7152,4.006558999999999,4.282808,4.948714,5.16144,5.42502,5.729423000000001,5.469666,5.156702,4.761191,4.475057,5.026129,5.6267830000000005,5.828569,6.004274,6.2187790000000005,6.829486999999999,7.276503999999999,7.728317999999999,8.015326,8.435433
113-2801399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.289527,0.548266,0.86865,1.165773,1.4388809999999999,1.4382709999999999,1.843347,2.249861,2.6187970000000003,3.095839,3.4435279999999997,3.734887,4.0111360000000005,4.676042,4.888768,5.152348,5.456751000000001,5.407472,5.094508,4.698997,4.412863,4.963935,5.564589,5.766375,5.942080000000001,6.155584999999999,6.766292999999999,7.213310000000001,7.6651240000000005,7.952132000000001,8.372239
114-2801370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.25874,0.5791229999999999,0.8762459999999999,1.1643540000000001,1.1637440000000001,1.56882,1.975334,2.344271,2.821313,3.1690009999999997,3.4603599999999997,3.7366099999999998,4.401515,4.614242,4.877821,5.182224,5.446002,5.384035,4.988523000000001,4.70239,5.253462,5.854116,6.055902,6.231607,6.446112,7.05682,7.503836,7.95565,8.241659,8.661766
