순번_정류장ID,65-2802877,66-2802883,67-2802900,68-2802928,69-2802622,70-2802996,71-2803018,72-2803022,73-2803030,74-2802644,75-2802645,76-2802965,77-2802959,78-2802641,79-2803003,80-2803008,81-2803013,82-2803004,83-2802997,84-2802990,85-2802989,86-2802993,87-2802969,88-2802615,89-2802952,90-2802918,91-2802864,92-2802824,93-2802618,94-2802176,95-2806506,96-2806502,97-2806512,98-2802193,99-2802196,100-2802200,101-2802204,102-2805533,103-2802215,104-2802212,105-2802208,106-2805660,107-2806528,108-2806527,109-2806526,110-2806525,111-2807112,112-2806514,113-2801854,114-2807443,115-2807444,116-2807281,117-2802018,118-2800097,119-2800060,120-2805845,121-2805847,122-2805849,123-2805851,124-2800085
75-2802645,,,,,,,,,,,0,0.830573,1.319848,1.240245,1.144041,1.5383959999999999,1.939297,2.1692419999999997,2.317232,2.546178,2.872796,3.174498,3.52225,3.796178,3.964613,4.05021,4.867675,5.112874,5.417379,5.621739,5.9774910000000006,6.375699,6.256792,5.8117779999999994,6.553658,6.950550999999999,7.079412,7.433199,7.883311,8.27634,8.928283,10.406399,10.737816,10.576971,10.273602,9.890036,9.39792,9.111596,9.462619,9.731777000000001,10.754957000000001,11.503917,11.742712,12.468858,12.914276,13.371135999999998,13.788829999999999,14.126151,14.407662,14.715785999999998
76-2802965,,,,,,,,,,,,0,0.489275,0.81142,0.847377,1.241731,1.6426330000000002,1.872577,2.020567,2.249514,2.575223,2.876925,3.2246770000000002,3.4986050000000004,3.66704,3.7526370000000004,4.569102,4.815301,5.119807,5.325166,5.679918,6.078126,5.959219,5.5142050000000005,6.256085,6.652978,6.781839999999999,7.135625999999999,7.585738,7.978768,8.63071,10.108825999999999,10.438243,10.279398,9.97603,9.592463,9.100347,8.814022999999999,9.165046,9.434204,10.457384,11.206344,11.445139,12.171285000000001,12.616703,13.073563,13.491257000000001,13.828578,14.11009,14.418214
77-2802959,,,,,,,,,,,,,0,0.32314499999999996,0.6901930000000001,1.0845479999999998,1.485449,1.7153939999999999,1.863384,1.945212,2.086948,2.38865,2.736402,3.0103299999999997,3.1787650000000003,3.2643619999999998,4.081827,4.327026,4.631531,4.8368910000000005,5.191643,5.589851,5.470944,5.025930000000001,5.76781,6.164703,6.293564,6.647351,7.097463,7.490492,8.142435,9.620550999999999,9.951967999999999,9.793123,9.487753999999999,9.104188,8.612072,8.325747999999999,8.676771,8.945929,9.969109,10.718069,10.956864,11.683010000000001,12.128428,12.585288,13.002982000000001,13.340302,13.621814,13.929938
78-2802641,,,,,,,,,,,,,,0,0.36704899999999996,0.7614029999999999,1.162304,1.392249,1.540239,1.7248150000000002,1.8665509999999998,2.168253,2.516005,2.789933,2.958368,3.043965,3.8604300000000005,4.106629,4.411134,4.615494,4.971246,5.369454,5.250547,4.8055330000000005,5.547413,5.944306,6.073167,6.426954,6.877066,7.2700949999999995,7.922038000000001,9.400153999999999,9.731571,9.570725999999999,9.267357,8.883791,8.391675,8.105350999999999,8.456374,8.725532000000001,9.748712,10.497672,10.736467,11.462613000000001,11.908031,12.364891,12.782585000000001,13.119906,13.401417000000002,13.709541
79-2803003,,,,,,,,,,,,,,,0,0.394355,0.7952560000000001,1.025201,1.173191,1.4021370000000002,1.7287549999999998,2.030457,2.378209,2.652138,2.8205720000000003,2.906169,3.7236339999999997,3.967833,4.273339,4.4786980000000005,4.83345,5.231658,5.112751,4.667737000000001,5.409617,5.80651,5.935372,6.2891580000000005,6.739269999999999,7.1323,7.784242,9.262358,9.593775,9.43493,9.129562,8.745996,8.253879,7.967555,8.318578,8.587736,9.610916,10.359876,10.598672,11.324817,11.770236,12.227095,12.644789,12.98211,13.263622,13.571746
80-2803008,,,,,,,,,,,,,,,,0,0.400901,0.630846,0.778836,1.007783,1.334401,1.636102,1.983854,2.2577830000000003,2.426218,2.5118150000000004,3.328279,3.5734790000000003,3.8789839999999995,4.083343,4.439095,4.8373040000000005,4.718397,4.273382,5.015263,5.412155,5.541017,5.894804,6.3449160000000004,6.737945,7.389887,8.868003,9.199421000000001,9.038575,8.735207,8.351641,7.859524,7.573200999999999,7.924223,8.193381,9.216561,9.965521,10.204317,10.930463,11.375881,11.83274,12.250435000000001,12.587755,12.869267,13.177391
81-2803013,,,,,,,,,,,,,,,,,0,0.22994499999999998,0.37793499999999997,0.606881,0.9375,1.239201,1.586953,1.860882,2.029316,2.114913,2.932378,3.177577,3.4820830000000003,3.687442,4.042194,4.440402,4.321495,3.8764809999999996,4.618361,5.015254,5.144116,5.497903,5.948014,6.341044,6.992986,8.471102,8.800519,8.643674,8.338306,7.954739999999999,7.462623,7.1763,7.527322,7.79648,8.81966,9.56862,9.807416,10.533561,10.97898,11.435839,11.853534,12.190854,12.472366000000001,12.780489999999999
82-2803004,,,,,,,,,,,,,,,,,,0,0.14799,0.37693699999999997,0.707555,1.009256,1.357008,1.630937,1.7993720000000002,1.884969,2.701433,2.9466330000000003,3.252138,3.457497,3.812249,4.210458,4.091551,3.6465370000000004,4.388417,4.785309,4.914171,5.267958,5.71807,6.111098999999999,6.7630419999999996,8.241157000000001,8.570575,8.411729,8.108361,7.724794999999999,7.232678,6.9463550000000005,7.297377,7.566535000000001,8.589716000000001,9.338675,9.577471000000001,10.303617,10.749035000000001,11.205894,11.623588999999999,11.960909,12.242421,12.550545
83-2802997,,,,,,,,,,,,,,,,,,,0,0.22894699999999998,0.559565,0.861266,1.209018,1.482947,1.6513810000000002,1.736979,2.554443,2.798643,3.104148,3.308507,3.6642589999999995,4.062467,3.9435599999999997,3.4985459999999997,4.240426,4.637319000000001,4.766181,5.119968,5.570079,5.963108999999999,6.615050999999999,8.093167,8.422585,8.265739,7.960371,7.576805,7.084688000000001,6.7983649999999995,7.149387,7.418545,8.441725,9.190685,9.429481,10.155626,10.601045,11.057903999999999,11.475599,11.812919,12.094431,12.402555
84-2802990,,,,,,,,,,,,,,,,,,,,0,0.33061799999999997,0.63232,0.9800719999999999,1.254,1.4224350000000001,1.508032,2.325497,2.570696,2.8752020000000003,3.080561,3.435313,3.8335209999999997,3.714614,3.2696,4.011480000000001,4.408373,4.537235,4.891021,5.341133,5.734163,6.386105000000001,7.864221000000001,8.195638,8.034792999999999,7.731425,7.3478580000000004,6.855742,6.569417999999999,6.920441,7.189599,8.212779,8.961739,9.200534,9.926680000000001,10.372098,10.828958,11.246652000000001,11.583973,11.865485000000001,12.173608999999999
85-2802989,,,,,,,,,,,,,,,,,,,,,0,0.301702,0.649453,0.9233819999999999,1.091817,1.642414,2.459879,2.705078,3.009583,3.213943,3.569694,3.9679029999999997,3.848996,3.403982,4.145862,4.5427550000000005,4.671616,5.025403,5.475515000000001,5.868544,6.520487,7.998603,8.33002,8.171174,7.865806,7.482239999999999,6.990124000000001,6.7038,7.054823,7.323980000000001,8.347161,9.096119999999999,9.334916,10.061062,10.50648,10.963339999999999,11.381034,11.718354,11.999866,12.30799
86-2802993,,,,,,,,,,,,,,,,,,,,,,0,0.349752,0.623681,0.792115,1.341713,2.159177,2.404377,2.708882,2.913241,3.268993,3.6672010000000004,3.5482940000000003,3.10328,3.84516,4.242053,4.370915,4.724702,5.174812999999999,5.567843,6.219785,7.697901,8.029318,7.870473,7.565105,7.181539,6.689422,6.403099,6.7541210000000005,7.023279,8.046459,8.795419,9.034215,9.76036,10.205779,10.662638000000001,11.080333,11.417653,11.699164999999999,12.007289
87-2802969,,,,,,,,,,,,,,,,,,,,,,,0,0.273929,0.44236400000000003,0.9919610000000001,1.808425,2.054625,2.35913,2.563489,2.919241,3.317449,3.1985419999999998,2.7535279999999998,3.4954080000000003,3.8923010000000002,4.021163,4.37495,4.825062,5.218091,5.870033,7.348149,7.679567,7.520721000000001,7.2153529999999995,6.831786999999999,6.33967,6.0533470000000005,6.404369,6.673527,7.696707000000001,8.445667,8.684463000000001,9.410609,9.856027000000001,10.312886,10.730580999999999,11.067900999999999,11.349413,11.657537
88-2802615,,,,,,,,,,,,,,,,,,,,,,,,0,0.168435,0.719032,1.535497,1.7806959999999998,2.086201,2.291561,2.646312,3.044521,2.925614,2.4806,3.22248,3.6193730000000004,3.7482339999999996,4.102021,4.552133,4.945162,5.597105,7.075221000000001,7.404638,7.245792,6.942424000000001,6.558858,6.066742,5.780418,6.131441000000001,6.4005980000000005,7.423779,8.172738,8.411534,9.13768,9.583098,10.039958,10.457652000000001,10.794972,11.076483999999999,11.384608
89-2802952,,,,,,,,,,,,,,,,,,,,,,,,,0,0.550597,1.3680620000000001,1.6122610000000002,1.9177669999999998,2.1221259999999997,2.477878,2.876086,2.7571790000000003,2.3121650000000002,3.054045,3.450938,3.5798,3.933586,4.383698000000001,4.776728,5.428669999999999,6.906786,7.236203,7.079358,6.7739899999999995,6.390423,5.898307,5.611983,5.963006,6.232164,7.255344,8.004304,8.243099,8.969244999999999,9.414663000000001,9.871523,10.289216999999999,10.626538,10.90805,11.216174
90-2802918,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.817465,1.0626639999999998,1.36717,1.5715290000000002,1.927281,2.325489,2.206582,1.761568,2.503448,2.900341,3.029203,3.38299,3.833101,4.226131,4.8780730000000005,6.356189,6.687606,6.528761,6.223393,5.839827,5.34771,5.061387,5.412408999999999,5.681567,6.704747,7.4537070000000005,7.692503,8.418648,8.864067,9.320926,9.738621,10.075941,10.357453,10.665577
91-2802864,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.2452,0.594705,0.8390639999999999,1.209816,1.608025,1.8782290000000001,1.433215,2.2150950000000003,2.611988,2.74085,3.094636,3.5447480000000002,3.937778,4.58972,6.067836,6.359253,6.200408,5.89504,5.511474,5.019357,4.733033,5.0840559999999995,5.353214,6.376394,7.125354,7.364038000000001,8.090183999999999,8.535602,8.992461,9.410156,9.747475999999999,10.028988,10.337112
92-2802824,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.349505,0.593865,0.9646170000000001,1.362825,1.7875720000000002,1.679414,2.462295,2.859187,2.9870490000000003,3.340836,3.790948,4.183977,4.8359190000000005,6.314035,6.564941999999999,6.406097,6.102728,5.719162,5.227046,4.940722,5.291745,5.560903,6.584083000000001,6.8974470000000005,7.118838,7.844983999999999,8.290402,8.747262,9.164956,9.502277000000001,9.783788000000001,10.091911999999999
93-2802618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.24536,0.616111,1.01432,1.439067,1.366399,2.148279,2.545172,2.675033,3.02882,3.478932,3.871961,4.5229040000000005,6.00202,6.216437,6.059591,5.7542230000000005,5.370657,4.878541,4.592217,4.94324,5.212397,6.235578,6.553942,6.775333,7.501479,7.946897,8.403756,8.821451,9.158771,9.440283,9.748407
94-2802176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.37075199999999997,0.7689600000000001,1.193707,1.121039,1.9029189999999998,2.2998119999999997,2.428674,2.782461,3.2325720000000002,3.6256019999999998,4.277544,5.75566,5.971076999999999,5.812232,5.508864,5.125298,4.6331809999999995,4.346858,4.6978800000000005,4.967038,5.990218,6.308582,6.529974,7.256119,7.701538,8.158397,8.576092,8.913412,9.194924,9.503048
95-2806506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.400208,0.8249549999999999,1.106031,1.888911,2.2848040000000003,2.413665,2.767452,3.217564,3.610593,4.262536,5.533908,5.602326000000001,5.44548,5.140112,4.756546,4.264429,3.978106,4.329128,4.598286,5.621466000000001,5.939831,6.161222,6.8873679999999995,7.3327860000000005,7.789645,8.20734,8.54466,8.826172,9.134296
