순번_정류장ID,40-2803402,41-2803401,42-2803398,43-2803385,44-2803384,45-2805647,46-2805047,47-2803567,48-2803569,49-2803391,50-2803573,51-2803572,52-2807547,53-2807522,54-2807539,55-2807536,56-2807530,57-2807491,58-2807490,59-2800016,60-2800011,61-2804472,62-2800009,63-2800042,64-2807332,65-2800039,66-2800018,67-2800020,68-2800008,69-2800395,70-2800399,71-2804902,72-2800410,73-2800416,74-2800343
57-2807491,,,,,,,,,,,,,,,,,,0,3.981873,9.305147999999999,11.737287,12.95317,13.806216000000001,14.120820000000002,14.666623999999999,15.471578,16.216959,16.806564,17.409692,18.446757,18.911634,19.193115,20.62387,20.959771,21.795734
58-2807490,,,,,,,,,,,,,,,,,,,0,5.323275,7.755414,8.971297,9.824342999999999,10.138947,10.684751,11.489705,12.235086,12.824691,13.42782,14.463885000000001,14.929761,15.212242000000002,16.641997,16.976898000000002,17.812862
59-2800016,,,,,,,,,,,,,,,,,,,,0,2.436139,3.652022,4.505068,4.819672,5.365476,6.1704300000000005,6.915811,7.505416,8.108544,9.144608999999999,9.610486,9.892967,11.321722,11.657623,12.494587
60-2800011,,,,,,,,,,,,,,,,,,,,,0,1.215883,2.0689290000000002,2.478533,3.024337,3.8292910000000004,4.5746720000000005,5.164276999999999,5.767405,6.80347,7.268347,7.550828,8.980583,9.316483999999999,10.153448
61-2804472,,,,,,,,,,,,,,,,,,,,,,0,0.8530469999999999,1.262651,1.808454,2.613409,3.35879,3.9483949999999997,4.551523,5.588588,6.052464,6.3349459999999995,7.764701,8.100602,8.936565
62-2800009,,,,,,,,,,,,,,,,,,,,,,,0,0.409604,0.955408,1.760362,2.505743,3.095348,3.6984760000000003,4.734541,5.199418,5.481898999999999,6.9116539999999995,7.247555,8.083519
63-2800042,,,,,,,,,,,,,,,,,,,,,,,,0,0.546804,1.351758,2.097139,2.686744,3.289872,4.325937000000001,4.790814,5.074294999999999,6.50305,6.838951,7.6749149999999995
64-2807332,,,,,,,,,,,,,,,,,,,,,,,,,0,0.804955,1.5503360000000002,2.139941,2.7430689999999998,3.7801339999999994,4.24501,4.527492,5.957246,6.293147,7.129111
65-2800039,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.7463810000000001,1.3359860000000001,1.939114,2.9751790000000002,3.440056,3.7225370000000004,5.152292,5.488193,6.324157
66-2800018,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.589605,1.192733,2.228798,2.693675,2.976156,4.405911,4.741812,5.577776
67-2800020,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.603128,1.640193,2.10507,2.3875509999999998,3.817306,4.153207,4.98917
68-2800008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.037065,1.501942,1.7844229999999999,3.214178,3.550079,4.386042
69-2800395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.46487700000000004,0.756358,2.186113,2.522014,3.3579769999999995
70-2800399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.291481,1.721236,2.057137,2.8931009999999997
71-2804902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.4297549999999999,1.7656560000000001,2.60162
72-2800410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.339901,1.175865
73-2800416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.8359639999999999
74-2800343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
