순번_정류장ID,1-2805404,2-2801355,3-2805017,4-2801153,5-2801147,6-2801142,7-2801135,8-2801131,9-2801120,10-2801105,11-2801096,12-2801089,13-2801092,14-2801109,15-2801123,16-2801129,17-2806922,18-2801115,19-2801098,20-2801049,21-2801039,22-2801018,23-2801004,24-2800976,25-2800968,26-2800965,27-2800843,28-2800842,29-2800989,30-2800979,31-2800990,32-2801012,33-2801023,34-2801031,35-2801034,36-2800844,37-2800890,38-2801047
11-2801096,,,,,,,,,,,0,0.17563399999999998,0.43342200000000003,0.690017,0.9908309999999999,1.1914559999999998,1.411841,1.37061,1.070339,1.619685,1.839716,2.1631650000000002,2.427389,2.738807,2.9406830000000004,3.157391,3.3346370000000003,3.222601,3.046423,3.4374239999999996,3.307263,3.014896,2.775346,2.60881,2.7149229999999998,3.116299,3.098418,2.988437
12-2801089,,,,,,,,,,,,0,0.257788,0.514383,0.8151970000000001,1.014822,1.236207,1.194976,0.894705,1.444051,1.664082,1.9875310000000002,2.2517549999999997,2.563173,2.765048,2.981757,3.159003,3.0459669999999996,2.869789,3.26179,3.131629,2.8392619999999997,2.599712,2.433176,2.539289,2.940665,2.923784,2.813803
13-2801092,,,,,,,,,,,,,0,0.25659499999999996,0.557409,0.757034,0.977419,0.9371879999999999,0.636917,1.1862629999999998,1.4062940000000002,1.729743,1.9939669999999998,2.305385,2.507261,2.723969,2.901216,2.7891790000000003,2.6130009999999997,3.004002,2.873841,2.581474,2.341924,2.1753880000000003,2.281502,2.682877,2.664996,2.555015
14-2801109,,,,,,,,,,,,,,0,0.30081399999999997,0.5014390000000001,0.721824,0.790593,0.6572859999999999,1.206633,1.426664,1.750113,2.014337,2.325755,2.52763,2.744339,2.921585,2.809549,2.633371,3.024372,2.8942099999999997,2.601844,2.362294,2.195758,2.301871,2.703247,2.600402,2.490421
15-2801123,,,,,,,,,,,,,,,0,0.200625,0.42101099999999997,0.785629,0.830492,1.507447,1.7274779999999998,2.050927,2.3151509999999997,2.626569,2.8284439999999997,3.045153,3.2223990000000002,3.053363,2.877185,3.269186,3.139024,2.846658,2.607108,2.440572,2.5466849999999996,2.778532,2.60718,2.497199
16-2801129,,,,,,,,,,,,,,,,0,0.220385,0.5850029999999999,0.884275,1.629229,1.849261,2.17271,2.436934,2.748351,2.950227,3.166935,3.344182,3.107145,2.930967,3.321968,3.192807,2.900441,2.6598900000000003,2.4933549999999998,2.599468,2.7563150000000003,2.584962,2.510982
17-2806922,,,,,,,,,,,,,,,,,0,0.365618,0.66489,1.409844,1.629875,1.953324,2.217548,2.528966,2.730842,2.94755,3.124797,2.8877599999999997,2.712582,3.103583,2.9734220000000002,2.6810549999999997,2.441505,2.274969,2.3810830000000003,2.535929,2.365577,2.2915959999999997
18-2801115,,,,,,,,,,,,,,,,,,0,0.300272,1.045226,1.265257,1.588706,1.85293,2.164348,2.3662240000000003,2.582932,2.760179,2.523142,2.347964,2.7389650000000003,2.608804,2.316437,2.0768869999999997,1.910351,2.016465,2.248311,2.076959,1.966978
19-2801098,,,,,,,,,,,,,,,,,,,0,0.744955,0.964986,1.288435,1.552659,1.864077,2.0659520000000002,2.282661,2.459907,2.2938709999999998,2.116693,2.5086939999999998,2.378533,2.086166,1.846616,1.68008,1.786193,2.187569,2.11008,2.000099
20-2801049,,,,,,,,,,,,,,,,,,,,0,0.220031,0.543481,0.807705,1.119122,1.320998,1.537706,1.714953,1.8392169999999999,1.663039,2.05404,1.9238790000000001,1.631512,1.3919620000000001,1.2254260000000001,1.331539,1.7329150000000002,1.762034,1.652053
21-2801039,,,,,,,,,,,,,,,,,,,,,0,0.323449,0.587673,0.899091,1.100966,1.317675,1.494921,1.932752,1.88307,2.2740709999999997,2.14391,1.8515439999999999,1.611993,1.445458,1.5515709999999998,1.9529459999999998,1.9820659999999999,1.8720849999999998
22-2801018,,,,,,,,,,,,,,,,,,,,,,0,0.26422399999999996,0.575642,0.777517,0.994226,1.1714719999999998,1.6093030000000002,2.0422580000000004,2.418259,2.467359,2.174993,1.9354419999999999,1.768907,1.8750200000000001,2.276395,2.305515,2.195534
23-2801004,,,,,,,,,,,,,,,,,,,,,,,0,0.311418,0.513293,0.730002,0.9072479999999999,1.3450790000000001,1.7780340000000001,2.154035,2.438417,2.4392169999999997,2.199666,2.033131,2.1392439999999997,2.540619,2.568739,2.458758
24-2800976,,,,,,,,,,,,,,,,,,,,,,,,0,0.201876,0.418584,0.595831,1.0336610000000002,1.466616,1.8426169999999997,2.126999,2.304089,2.186916,2.344548,2.450662,2.8520369999999997,2.8811560000000003,2.7701759999999997
25-2800968,,,,,,,,,,,,,,,,,,,,,,,,,0,0.216709,0.393955,0.831786,1.264741,1.640742,1.925124,2.103214,1.985041,2.151577,2.542241,2.917617,3.0830319999999998,2.973051
26-2800965,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17724700000000002,0.6150770000000001,1.048032,1.425034,1.709416,1.8855060000000001,1.769332,1.935868,2.326533,2.701908,2.8732599999999997,2.9200470000000003
27-2800843,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.437831,0.8707860000000001,1.246787,1.531169,1.708259,1.591086,1.757622,2.148286,2.523662,2.695014,2.7428
28-2800842,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.43395500000000004,0.8379559999999999,1.1473389999999999,1.2994290000000002,1.1822549999999998,1.348791,1.7394560000000001,2.115831,2.287183,2.30597
29-2800989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.424001,0.733384,0.885474,0.7683,0.9348360000000001,1.325501,1.701876,1.873228,1.970015
30-2800979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.31238299999999997,0.606749,0.6620779999999999,0.828614,1.219279,1.304875,1.476227,1.573014
31-2800990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.293367,0.531917,0.698453,0.9233389999999999,0.9914930000000001,1.1628450000000001,1.259631
32-2801012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.23955,0.406086,0.74925,0.817403,0.9887549999999999,1.085541
33-2801023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.166536,0.5572010000000001,0.958576,1.129928,1.2267139999999999
34-2801031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.390665,0.79204,0.963392,1.060179
35-2801034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.401376,0.572728,0.669514
36-2800844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.171352,0.281333
37-2800890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.109981
38-2801047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
