순번_정류장ID,59-2800198,60-2800203,61-2800208,62-2801378,63-2801385,64-2801389,65-2801400,66-2801406,67-2801422,68-2801438,69-2805321,70-2801487,71-2801529,72-2801544,73-2801187,74-2801581,75-2801606,76-2800694,77-2800726,78-2800751,79-2800765,80-2800782,81-2800797,82-2800813,83-2803049,84-2802654,85-2807098,86-2802671,87-2802630,88-2803042,89-2803043,90-2803099,91-2803071,92-2803082,93-2803093,94-2803107,95-2803121,96-2803125,97-2803232,98-2803181,99-2803260,100-2803270,101-2803269,102-2803273,103-2803279,104-2803294,105-2803308,106-2803318,107-2803315,108-2803323,109-2803332
69-2805321,,,,,,,,,,,0,0.469444,0.9820969999999999,1.326683,1.6052739999999999,1.8149240000000002,2.230222,3.15595,3.5259440000000004,3.9440779999999998,4.128444,4.590175,4.870217,5.49761,5.850731,6.139234,6.8694440000000005,7.109781,7.535731,7.857444,8.199944,8.614163000000001,8.391647,8.693261,8.948037,9.209732,9.401839,9.80311,9.923062,10.301944,10.567383,10.855875,10.631310000000001,10.402192,10.748738000000001,11.414833999999999,11.858944000000001,12.380107,13.138137,14.128704999999998,14.678669000000001
70-2801487,,,,,,,,,,,,0,0.5136539999999999,0.85824,1.13683,1.34648,1.7617779999999998,2.687506,3.0575,3.4756339999999994,3.66,4.121731,4.401774,5.029166,5.382287,5.67079,6.4,6.641338,7.066286999999999,7.388999999999999,7.7325,8.146719000000001,7.923203,8.224817,8.604593,8.868289,9.058394999999999,9.461666000000001,9.456619,9.8325,10.099939,10.387431,10.162866000000001,9.933748,10.280294,10.94639,11.3895,11.910663000000001,12.668693,13.659260999999999,14.210225
71-2801529,,,,,,,,,,,,,0,0.345586,0.6241770000000001,0.8338270000000001,1.249125,2.1748529999999997,2.5448470000000003,2.962981,3.147347,3.609078,3.8891199999999997,4.516513,4.869634,5.158136,5.888347,6.129683999999999,6.554634,6.8753470000000005,7.218847,7.633066,7.41055,7.711164,8.09194,8.354635,8.544742,8.948012,8.942965,9.319847,9.587285000000001,9.874777,9.650212,9.421095,9.767641000000001,10.432737,10.877847000000001,11.39901,12.156039999999999,13.146607999999999,13.697571
72-2801544,,,,,,,,,,,,,,0,0.27859,0.488241,0.903539,1.8292669999999998,2.199261,2.617395,2.801761,3.263492,3.5435339999999997,4.170926000000001,4.5240480000000005,4.81255,5.5427610000000005,5.783098000000001,6.209047,6.529761,6.872261,7.28748,7.063964,7.365578,7.746353999999999,8.009049000000001,8.199156,8.601426,8.598379,8.974261,9.240699000000001,9.529191,9.304625999999999,9.075509,9.422055,10.088151,10.532261,11.053423,11.810453,12.801022,13.350985000000001
73-2801187,,,,,,,,,,,,,,,0,0.20965,0.624948,1.567676,1.93767,2.355805,2.5401700000000003,3.001902,3.281944,3.909336,4.262457,4.55096,5.28017,5.521508,5.946457,6.26917,6.611669999999999,7.025889,6.803373,7.1049869999999995,7.485763,7.7484589999999995,7.939564999999999,8.340836,8.335789,8.71267,8.980108999999999,9.267600999999999,9.043036,8.813919,9.160465,9.825560000000001,10.26967,10.790833000000001,11.548863,12.539432000000001,13.089395
74-2801581,,,,,,,,,,,,,,,,0,0.41529799999999994,1.358026,1.7280200000000001,2.146154,2.33052,2.792251,3.072294,3.6996860000000003,4.052807,4.34131,5.07152,5.311858,5.736807,6.05952,6.402019999999999,6.816239,6.5927229999999994,6.895337,7.2761130000000005,7.537808999999999,7.728915,8.131186,8.125139,8.50302,8.769459,9.057951,8.833386,8.604268,8.950814,9.615910000000001,10.06002,10.582183,11.339213,12.330781,12.879745
75-2801606,,,,,,,,,,,,,,,,,0,0.942728,1.312722,1.7308560000000002,1.9152220000000002,2.376953,2.656995,3.284388,3.6375089999999997,3.926012,4.655222,4.896559,5.322508999999999,5.643222,5.987722,6.399941,6.178425,6.480039,6.860815,7.122510000000001,7.314617,7.716888000000001,7.71184,8.086722,8.354161,8.642653,8.418088000000001,8.18897,8.535516000000001,9.200612,9.645722,10.166885,10.923915,11.915483,12.464447
76-2800694,,,,,,,,,,,,,,,,,,0,0.369994,0.7881279999999999,0.9724940000000001,1.434225,1.7142669999999998,2.34166,2.6947810000000003,2.983284,3.7134940000000003,3.954831,4.378781,4.701494,5.0439940000000005,5.458213,5.235697,5.537311,5.917087,6.1797830000000005,6.369889,6.773160000000001,6.7681119999999995,7.1449940000000005,7.412433,7.699925,7.47536,7.246242,7.5927880000000005,8.258884,8.701994000000001,9.223157,9.981187,10.972755000000001,11.521719000000001
77-2800726,,,,,,,,,,,,,,,,,,,0,0.418134,0.6025,1.064231,1.344274,1.971666,2.3247869999999997,2.61329,3.3425,3.5838379999999996,4.008787,4.3325,4.6739999999999995,5.0882190000000005,4.865703,5.167317,5.564093,5.826789,6.016895,6.420166,6.399118,6.775,7.043439,7.329931,7.105366,6.8762479999999995,7.222794,7.888889999999999,8.332,8.854163,9.612193,10.602761,11.151725
78-2800751,,,,,,,,,,,,,,,,,,,,0,0.184366,0.646097,0.9261389999999999,1.553532,1.906653,2.1951560000000003,2.925366,3.166703,3.591653,3.9123660000000005,4.254866000000001,4.669085,4.4475690000000005,4.748183,5.144959,5.408654,5.598761,6.000032,5.978984,6.356866,6.623303999999999,6.911797,6.687232000000001,6.458114,6.80466,7.470756,7.914866,8.436029,9.193059,10.183627,10.734591
79-2800765,,,,,,,,,,,,,,,,,,,,,0,0.461732,0.7417739999999999,1.3691659999999999,1.722288,2.01079,2.741,2.982338,3.407287,3.73,4.0715010000000005,4.486719,4.263204,4.564817,4.961593,5.224289,5.414395,5.818666,5.796619000000001,6.1735,6.440939,6.727431,6.502866,6.273749,6.620295,7.28539,7.7295,8.251663,9.008693,9.999262,10.549225
80-2800782,,,,,,,,,,,,,,,,,,,,,,0,0.280042,0.909435,1.262556,1.551059,2.2802689999999997,2.5216060000000002,2.946556,3.268269,3.6117690000000002,4.024988,3.8024720000000003,4.104086,4.500862000000001,4.763557,4.954664,5.355935,5.334887,5.712769000000001,5.979207,6.2677,6.0431349999999995,5.814017,6.160563,6.826658999999999,7.2707690000000005,7.791932000000001,8.549961999999999,9.539530000000001,10.089494
