순번_정류장ID,34-2801790,35-2801977,36-2805598,37-2802051,38-2802067,39-2802056,40-2802050,41-2802042,42-2802029,43-2802013,44-2802003,45-2802033,46-2802057,47-2802081,48-2802066,49-2802069,50-2802087,51-2804799,52-2802048,53-2801823,54-2802110,55-2802132,56-2801891,57-2801853,58-2801821,59-2806513,60-2807111,61-2806771,62-2806429,63-2806635,64-2805906,65-2806422,66-2806424,67-2807419,68-2806862,69-2807444
44-2802003,,,,,,,,,,,0,0.536994,0.674355,0.9205530000000001,1.236999,1.386954,1.639675,1.941729,1.9156970000000002,2.369052,2.6979830000000002,2.983022,3.194804,3.3961449999999997,3.601552,3.3171230000000005,3.61648,3.9958199999999997,4.372132,4.951097,5.081974,5.4233970000000005,5.1305629999999995,4.8250519999999995,3.858338,3.7942139999999998
45-2802033,,,,,,,,,,,,0,0.13736099999999998,0.38355900000000004,0.700004,0.976959,1.102681,1.404734,1.7874130000000001,2.2930580000000003,2.621989,2.907028,3.118809,3.21615,3.4485580000000002,2.780129,3.079486,3.458825,3.8351379999999997,4.414103,4.54798,4.889402,5.118452,4.812942,3.8037730000000005,3.782104
46-2802057,,,,,,,,,,,,,0,0.246198,0.5626439999999999,0.839599,0.9653200000000001,1.267374,1.650053,2.155697,2.484628,2.7696680000000002,2.981449,3.07879,3.3111980000000005,2.6427680000000002,2.942126,3.3214650000000003,3.697777,4.276742,4.409619999999999,4.750042,5.062187000000001,4.950303,3.6664120000000002,3.729535
47-2802081,,,,,,,,,,,,,,0,0.316446,0.5934010000000001,0.895122,1.197176,1.579855,2.085499,2.41443,2.6994689999999997,2.911251,3.010593,3.243001,2.5745720000000003,2.873929,3.253268,3.629581,4.208545,4.339423,4.6828449999999995,4.994991000000001,4.769499,3.596214,3.6593370000000003
48-2802066,,,,,,,,,,,,,,,0,0.276955,0.578677,0.8807299999999999,1.263409,1.7690540000000001,2.097985,2.3830240000000003,2.594805,2.796146,3.001554,2.8910169999999997,3.190375,3.569714,3.9460260000000003,4.524991,4.588976000000001,4.930398,4.758564,4.453054,3.2797690000000004,3.342892
49-2802069,,,,,,,,,,,,,,,,0,0.307722,0.609775,0.9924540000000001,1.498099,1.827029,2.112069,2.32385,2.525191,2.7295990000000003,2.70717,3.006527,3.3858660000000005,3.712179,4.291143,4.318021,4.6594430000000004,4.6776089999999995,4.3720989999999995,3.008814,3.0719369999999997
50-2802087,,,,,,,,,,,,,,,,,0,0.302054,0.684733,1.1903780000000002,1.519308,1.804348,2.0161290000000003,2.21747,2.421878,2.399449,2.6988060000000003,3.078145,3.404458,3.983422,4.0103,4.3517220000000005,4.3698879999999996,4.064378,2.701093,2.764216
51-2804799,,,,,,,,,,,,,,,,,,0,0.382679,0.888324,1.217254,1.502294,1.714075,1.915416,2.1208240000000003,2.097395,2.396752,2.776091,3.102404,3.681368,3.708246,4.049668,4.0678339999999995,3.762324,2.399039,2.4621619999999997
52-2802048,,,,,,,,,,,,,,,,,,,0,0.505645,0.834575,1.119615,1.3313959999999998,1.532737,1.7371450000000002,1.714716,2.014073,2.393412,2.719725,3.298689,3.325567,3.6659889999999997,3.6851550000000004,3.3796449999999996,2.0163599999999997,2.079483
53-2801823,,,,,,,,,,,,,,,,,,,,0,0.328931,0.62097,0.832751,1.034092,1.2385,1.216071,1.515428,1.8947669999999999,2.2210799999999997,2.800045,2.826922,3.167344,3.1865099999999997,2.8810000000000002,1.517715,1.580838
